t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.315,40.4,39.292,39.838,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.423,40.31,38.616,39.618,-1,-1
0.2,5.789,0.217,125.087,130.909,0.2,6.001,58.33,38.53,42.67,116.548,127.933
0.30000000000000004,7.699,0.783,135.458,145.404,0.2,7.782,66.071,40.228,58.83,117.423,135.662
0.4,15.281,0.609,148.107,178.953,0.2,8.779,66.096,39.848,51.517,128.582,143.586
0.5,5.675,0.739,172.039,180.652,0.2,5.031,61.963,44.457,55.456,163.837,173.384
0.6,9.835,1.0,166.48,180.689,0.2,1.49,64.076,59.249,61.494,146.867,168.372
0.7,10.938,1.0,145.507,164.699,0.2,1.919,66.6,60.393,63.475,132.626,143.627
0.7999999999999999,4.647,0.565,135.315,145.27,0.2,7.814,66.588,47.887,57.648,125.544,134.792
0.8999999999999999,1.57,0.435,150.241,151.64,0.2,7.798,64.413,46.102,54.983,147.201,151.233
0.9999999999999999,4.942,1.0,147.091,151.788,0.2,0.422,64.815,63.151,64.11,136.397,148.854
1.0999999999999999,4.774,1.0,138.211,149.211,0.2,1.198,64.711,60.272,62.758,131.561,136.133
1.2,1.548,0.957,134.53,136.978,0.2,1.745,63.312,56.734,61.375,130.451,134.999
1.3,16.638,0.696,147.48,171.739,0.2,6.715,63.661,45.191,55.731,131.179,135.154
1.4000000000000001,6.31,0.87,158.753,171.671,0.2,3.995,65.934,52.769,60.874,149.141,157.804
1.5000000000000002,7.065,0.609,149.621,157.258,0.2,7.96,66.045,44.17,55.513,134.946,152.329
1.6000000000000003,8.919,0.348,122.307,136.404,0.2,6.175,58.502,40.347,50.522,110.402,120.711
1.7000000000000004,3.526,0.522,111.355,117.772,0.2,7.505,59.083,40.079,50.321,107.61,110.246
1.8000000000000005,7.205,0.913,111.836,139.555,0.2,3.696,59.058,46.252,55.144,102.8,110.374
1.9000000000000006,14.737,0.696,122.643,144.506,0.2,6.926,62.599,41.217,52.749,102.357,120.197
2.0000000000000004,5.486,0.913,140.632,145.881,0.2,3.975,69.808,57.923,65.864,125.883,141.633
2.1000000000000005,11.333,1.0,135.328,145.925,0.2,2.658,69.77,58.375,66.807,108.522,141.148
2.2000000000000006,11.093,1.0,115.03,137.84,0.2,5.796,67.613,49.593,58.038,100.879,109.733
2.3000000000000007,2.044,0.957,109.189,112.229,0.2,3.078,60.26,48.979,56.787,104.522,109.266
2.400000000000001,12.428,0.696,118.769,134.314,0.2,6.44,62.7,42.613,53.162,102.753,111.503
2.500000000000001,4.5,0.913,127.711,134.369,0.2,2.289,63.507,56.852,60.562,120.001,127.813
2.600000000000001,7.388,1.0,115.529,125.993,0.2,1.522,61.533,56.611,60.513,105.343,114.342
2.700000000000001,3.215,0.609,106.458,109.799,0.2,1.478,61.484,57.302,59.955,100.192,107.264
2.800000000000001,-1,0.0,-1,-1,0.2,0.468,59.064,57.303,58.205,-1,-1
2.9000000000000012,-1,0.0,-1,-1,0.2,1.516,58.719,54.56,56.389,-1,-1
3.0000000000000013,-1,0.0,-1,-1,0.2,6.416,55.639,39.967,48.76,-1,-1
3.1000000000000014,-1,0.0,-1,-1,0.2,0.69,42.11,39.367,40.262,-1,-1
3.2000000000000015,-1,0.0,-1,-1,0.2,0.58,40.783,38.793,39.673,-1,-1
3.3000000000000016,-1,0.0,-1,-1,0.2,2.366,48.451,38.819,40.673,-1,-1
3.4000000000000017,2.552,0.565,116.59,118.89,0.2,7.344,58.421,39.247,52.356,109.031,117.342
3.5000000000000018,12.185,0.739,121.268,144.748,0.2,5.825,63.994,44.946,54.022,101.368,117.521
3.600000000000002,6.941,0.783,145.907,155.271,0.2,5.523,66.651,47.641,61.366,131.274,145.833
3.700000000000002,3.917,1.0,148.324,155.157,0.2,2.351,65.492,58.963,61.766,139.817,148.608
3.800000000000002,12.694,0.826,135.359,148.479,0.2,6.247,63.338,44.225,57.33,109.51,139.127
