t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.518,41.243,39.506,40.385,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.92,41.135,37.966,39.833,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.786,41.146,38.039,39.964,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.263,40.45,39.471,39.908,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.352,40.543,39.085,39.774,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.496,40.903,38.814,40.173,-1,-1
0.6,6.331,0.087,769.535,774.011,0.2,0.317,40.69,39.615,40.19,765.058,769.535
0.7,92.631,0.174,738.187,818.33,0.2,0.499,41.081,39.381,40.16,602.671,771.728
0.7999999999999999,-1,0.0,-1,-1,0.2,0.479,41.19,39.41,40.249,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,0.43,41.097,39.609,40.311,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,0.412,40.729,39.268,40.081,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,0.389,40.68,39.352,40.151,-1,-1
1.2,-1,0.0,-1,-1,0.2,0.261,40.729,39.723,40.187,-1,-1
1.3,-1,0.0,-1,-1,0.2,0.257,40.722,39.66,40.124,-1,-1
1.4000000000000001,3.687,0.304,199.566,203.033,0.2,10.323,64.148,39.704,48.274,191.935,199.925
1.5000000000000002,7.943,0.522,195.573,202.893,0.2,9.355,64.105,41.007,54.309,179.696,199.028
1.6000000000000003,34.275,0.478,246.695,283.788,0.2,8.611,60.581,40.163,49.353,180.47,254.352
1.7000000000000004,20.829,1.0,280.745,302.217,0.2,1.471,63.924,59.393,61.984,245.17,287.051
1.8000000000000005,10.444,1.0,291.939,302.514,0.2,0.704,64.791,62.235,63.012,268.876,296.668
1.9000000000000006,34.613,1.0,248.992,294.143,0.2,3.048,67.441,57.489,63.586,193.637,256.62
2.0000000000000004,27.698,0.783,193.153,244.088,0.2,6.772,65.932,44.668,58.957,145.301,194.497
2.1000000000000005,20.407,0.391,178.938,213.903,0.2,6.493,61.68,42.645,48.549,150.352,184.271
2.2000000000000006,6.965,0.783,190.272,205.899,0.2,6.73,65.516,43.27,59.708,181.05,189.657
2.3000000000000007,7.011,1.0,198.956,209.965,0.2,1.792,65.987,60.09,63.599,184.794,199.032
2.400000000000001,9.808,1.0,196.713,209.934,0.2,1.294,64.199,60.162,62.509,176.139,198.267
2.500000000000001,12.932,1.0,173.267,194.696,0.2,1.436,62.234,58.105,60.281,157.712,166.482
2.600000000000001,237.094,0.696,268.631,754.688,0.2,6.833,60.764,42.543,53.658,141.028,162.351
2.700000000000001,3.306,0.391,204.315,210.17,0.2,8.78,63.765,42.49,51.364,200.62,203.707
2.800000000000001,11.808,1.0,215.555,239.278,0.2,0.858,65.036,61.273,63.909,200.709,214.879
2.9000000000000012,12.325,1.0,233.876,253.265,0.2,3.243,65.052,54.982,61.515,216.143,236.194
3.0000000000000013,14.735,1.0,245.183,259.856,0.2,4.323,65.096,49.682,61.35,213.263,250.57
3.1000000000000014,97.056,0.826,298.801,512.432,0.2,7.423,63.105,42.489,47.791,218.804,258.917
3.2000000000000015,139.024,0.478,277.444,507.14,0.2,7.648,61.84,42.175,51.156,177.179,208.116
3.3000000000000016,12.625,0.435,194.597,209.996,0.2,7.84,61.766,40.63,48.715,177.923,193.857
