t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,1.108,0.087,685.349,686.133,0.2,0.869,45.499,41.858,43.349,684.566,685.349
0.1,6.084,0.13,691.371,695.999,0.2,0.822,45.382,42.262,43.324,684.446,693.634
0.2,-1,0.0,-1,-1,0.2,0.466,44.387,42.51,43.151,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.306,43.604,42.235,42.777,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.426,43.479,41.813,42.647,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.418,43.334,41.777,42.671,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.301,43.361,42.161,42.754,-1,-1
0.7,-1,0.0,-1,-1,0.2,2.06,50.989,41.888,43.271,-1,-1
0.7999999999999999,10.158,0.609,219.121,247.269,0.2,7.667,62.748,41.952,54.967,204.138,217.983
0.8999999999999999,16.633,1.0,225.951,256.728,0.2,6.147,62.801,45.078,54.389,206.153,219.17
0.9999999999999999,9.245,0.913,254.948,266.613,0.2,5.332,64.557,46.116,57.902,231.784,257.454
1.0999999999999999,5.943,1.0,264.293,272.545,0.2,3.426,65.536,56.685,61.029,252.123,264.938
1.2,11.143,1.0,261.084,273.619,0.2,0.955,65.48,60.828,63.944,234.261,265.319
1.3,21.852,1.0,228.386,263.223,0.2,2.457,64.171,55.835,62.027,200.708,225.172
1.4000000000000001,263.291,0.826,399.068,819.382,0.2,6.844,63.94,45.325,54.459,195.052,211.263
1.5000000000000002,126.914,0.783,312.312,491.1,0.2,7.02,63.449,45.017,53.733,204.382,236.823
1.6000000000000003,7.727,1.0,211.178,238.623,0.2,3.622,65.877,52.695,62.529,204.36,209.467
1.7000000000000004,10.391,1.0,220.218,244.042,0.2,5.852,65.248,50.532,58.734,208.912,214.228
1.8000000000000005,13.124,1.0,218.048,243.053,0.2,1.413,65.249,60.111,63.771,199.787,214.0
1.9000000000000006,6.96,1.0,199.349,212.373,0.2,3.959,65.127,52.567,57.77,191.8,198.075
2.0000000000000004,313.737,0.957,447.925,830.859,0.2,3.817,57.395,44.692,53.083,191.351,194.35
2.1000000000000005,290.934,0.913,572.955,836.107,0.2,8.524,65.658,43.436,54.148,241.277,798.945
2.2000000000000006,6.742,1.0,241.878,265.589,0.2,0.945,65.659,62.76,64.43,232.929,241.24
2.3000000000000007,7.04,1.0,243.064,252.657,0.2,4.555,64.146,48.806,60.142,227.559,241.469
2.400000000000001,233.184,0.913,426.339,842.864,0.2,7.234,62.382,43.668,54.109,244.446,254.946
2.500000000000001,304.545,0.478,554.82,846.651,0.2,5.382,58.684,42.738,47.004,229.227,740.765
2.600000000000001,258.683,0.435,342.901,840.499,0.2,4.822,63.749,43.447,56.166,191.064,232.798
2.700000000000001,9.386,0.174,217.126,229.842,0.2,8.01,63.773,42.23,53.085,208.9,214.882
2.800000000000001,12.501,0.783,203.891,241.986,0.2,3.605,62.393,52.096,57.951,191.782,199.243
2.9000000000000012,8.73,0.696,195.67,221.284,0.2,5.754,66.051,45.411,53.339,181.859,195.845
3.0000000000000013,6.229,0.652,214.661,222.649,0.2,6.698,67.717,44.252,61.027,205.742,217.857
3.1000000000000014,8.837,1.0,223.716,240.071,0.2,1.655,68.485,61.507,67.166,207.972,223.336
3.2000000000000015,10.418,1.0,242.903,254.365,0.2,0.655,68.437,66.029,67.361,226.173,244.755
3.3000000000000016,5.347,0.696,249.688,254.456,0.2,10.694,67.407,42.157,56.718,236.828,251.438
3.4000000000000017,23.308,0.609,207.364,251.708,0.2,11.044,67.759,41.97,56.969,186.62,195.518
3.5000000000000018,5.025,1.0,191.298,204.117,0.2,6.88,67.615,48.481,57.003,183.303,191.108
3.600000000000002,44.675,0.826,153.12,201.331,0.2,6.854,64.358,46.889,56.057,101.36,184.274
3.700000000000002,42.29,0.913,186.984,213.4,0.2,2.501,66.448,56.321,63.278,89.626,205.922
3.800000000000002,4.395,1.0,212.25,219.724,0.2,3.072,64.541,54.901,59.238,205.782,212.392
3.900000000000002,9.211,1.0,207.004,219.694,0.2,0.955,62.282,59.694,60.824,192.961,207.211
4.000000000000002,5.858,1.0,192.409,204.037,0.2,2.856,60.056,52.075,57.824,182.637,193.04
4.100000000000001,4.412,1.0,182.348,190.491,0.2,1.862,57.141,51.935,54.269,177.242,179.694
4.200000000000001,1.297,0.522,178.617,182.046,0.2,0.553,56.488,54.556,55.631,176.909,178.666
4.300000000000001,5.026,0.174,163.028,168.719,0.2,3.29,55.73,46.922,52.825,158.13,162.631
4.4,3.101,0.087,161.013,163.206,0.2,3.211,50.862,40.787,44.588,158.821,161.013
4.5,-1,0.0,-1,-1,0.2,0.742,43.341,40.72,42.06,-1,-1
4.6,-1,0.0,-1,-1,0.2,1.269,46.725,41.847,43.325,-1,-1
4.699999999999999,1.895,0.391,204.404,208.78,0.2,8.433,63.012,42.988,52.982,202.455,204.295
4.799999999999999,266.901,0.87,392.652,778.784,0.2,6.97,63.005,44.102,53.82,184.255,205.016
4.899999999999999,267.157,0.739,401.831,781.395,0.2,7.426,62.465,43.243,53.775,205.818,212.146
4.999999999999998,5.933,1.0,214.937,225.471,0.2,1.697,65.066,59.134,62.218,206.197,213.991
5.099999999999998,6.733,1.0,226.693,240.518,0.2,2.465,64.393,56.755,59.679,215.564,226.705
5.1999999999999975,7.071,1.0,232.039,243.305,0.2,3.409,66.205,57.222,61.219,210.387,231.988
5.299999999999997,10.471,0.739,223.898,237.71,0.2,7.545,65.559,42.939,53.184,208.611,226.276
5.399999999999997,12.828,0.739,203.828,233.63,0.2,6.751,63.31,42.544,54.389,184.27,201.382
5.4999999999999964,9.844,1.0,207.97,219.814,0.2,4.279,64.294,48.112,59.269,184.741,211.812
5.599999999999996,2.502,1.0,215.412,219.664,0.2,1.385,66.012,61.667,64.727,210.409,216.262
5.699999999999996,5.89,1.0,208.566,217.398,0.2,4.688,65.682,54.839,60.295,200.933,209.186
5.799999999999995,3.566,1.0,205.492,210.577,0.2,1.722,58.799,54.832,56.709,200.709,205.98
5.899999999999995,5.436,1.0,213.322,228.507,0.2,1.142,60.632,56.213,57.683,206.989,212.56
5.999999999999995,4.106,1.0,221.262,227.189,0.2,1.916,62.088,56.89,60.481,213.302,222.572
6.099999999999994,275.886,0.957,387.883,830.02,0.2,6.821,62.577,44.235,57.552,210.319,224.882
6.199999999999994,315.53,0.826,498.555,829.262,0.2,4.193,55.879,44.212,49.65,191.302,234.004
6.299999999999994,247.706,0.739,332.522,803.34,0.2,6.448,60.068,42.319,50.766,188.528,199.826
6.399999999999993,8.482,0.739,193.393,214.819,0.2,4.639,60.043,45.194,53.215,179.857,192.252
6.499999999999993,3.672,0.565,187.294,193.613,0.2,5.836,62.14,45.494,56.926,181.577,187.38
6.5999999999999925,8.869,1.0,194.73,210.699,0.2,1.248,61.286,57.775,59.469,183.124,192.621
6.699999999999992,7.887,1.0,211.511,224.084,0.2,2.063,61.309,55.292,58.758,193.296,212.635
6.799999999999992,6.264,1.0,214.31,223.387,0.2,1.711,59.59,54.77,57.306,201.321,215.963
6.8999999999999915,7.352,1.0,201.051,213.443,0.2,1.559,56.096,51.68,54.256,191.449,200.598
6.999999999999991,2.503,1.0,195.786,199.823,0.2,2.478,58.728,51.671,54.133,191.473,195.761
7.099999999999991,2.032,1.0,198.17,200.682,0.2,1.223,60.202,56.336,58.925,192.875,198.801
7.19999999999999,3.072,1.0,194.967,200.681,0.2,2.758,59.919,52.422,56.992,190.453,194.255
7.29999999999999,3.461,1.0,194.078,201.607,0.2,0.798,60.453,57.434,59.546,190.331,192.566
7.39999999999999,8.707,1.0,205.204,218.531,0.2,1.658,60.453,55.177,58.526,190.907,205.023
7.499999999999989,6.253,0.913,219.636,230.843,0.2,2.324,57.218,47.937,54.467,208.094,220.848
7.599999999999989,3.163,0.609,227.888,234.224,0.2,8.483,66.196,43.235,53.65,222.63,228.435
7.699999999999989,1.433,0.478,230.692,232.775,0.2,5.433,66.17,48.63,61.364,229.006,230.664
7.799999999999988,6.493,0.609,217.972,232.127,0.2,3.946,60.181,46.594,51.273,210.741,216.791
7.899999999999988,9.895,1.0,204.531,219.888,0.2,3.487,61.216,50.675,56.513,192.752,198.063
