t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.566,63.767,58.423,61.201,-1,-1
0.1,90.556,0.348,502.097,621.466,0.2,1.713,60.158,54.564,57.298,397.056,493.786
0.2,53.061,0.609,501.338,573.802,0.2,1.644,56.178,50.756,53.457,416.106,510.536
0.30000000000000004,31.595,0.435,444.331,502.247,0.2,1.706,52.206,46.98,49.495,401.73,448.457
0.4,114.015,0.391,503.724,665.09,0.2,1.322,47.861,42.826,46.213,399.365,448.102
0.5,23.849,0.087,680.308,697.172,0.2,1.717,45.774,40.362,42.697,663.444,680.308
0.6,116.892,0.348,562.789,676.38,0.2,1.415,42.057,37.404,39.992,421.45,626.873
0.7,49.496,0.304,433.263,517.457,0.2,2.703,42.07,33.297,37.298,386.137,409.41
0.7999999999999999,158.973,0.435,602.533,820.903,0.2,3.089,36.599,26.329,33.441,384.225,607.291
0.8999999999999999,150.391,0.783,565.797,832.188,0.2,3.119,35.625,25.459,28.871,389.442,520.572
0.9999999999999999,44.943,0.304,505.322,571.192,0.2,1.734,26.953,21.155,23.955,455.198,498.627
1.0999999999999999,-1,0.0,-1,-1,0.2,1.52,24.041,18.361,22.088,-1,-1
1.2,-1,0.0,-1,-1,0.2,6.381,38.276,20.848,27.569,-1,-1
1.3,-1,0.0,-1,-1,0.2,3.532,38.193,28.307,32.207,-1,-1
1.4000000000000001,7.571,0.13,449.822,458.533,0.2,1.893,35.178,29.464,32.785,443.535,446.113
1.5000000000000002,104.712,0.435,491.367,785.17,0.2,2.991,35.058,26.468,31.168,437.795,453.957
1.6000000000000003,59.847,0.826,533.909,654.635,0.2,1.813,30.175,23.348,27.367,448.266,518.809
1.7000000000000004,22.583,0.478,497.228,531.82,0.2,2.754,30.018,19.94,24.835,467.567,499.117
1.8000000000000005,-1,0.0,-1,-1,0.2,10.266,57.825,24.46,32.154,-1,-1
1.9000000000000006,3.095,0.391,138.706,144.084,0.2,10.7,66.081,28.603,56.259,131.441,139.128
2.0000000000000004,4.131,1.0,135.862,145.402,0.2,2.767,66.098,54.819,63.387,126.581,136.164
2.1000000000000005,8.09,0.565,129.925,136.957,0.2,10.492,64.995,39.695,55.069,111.179,133.322
2.2000000000000006,6.683,0.478,158.808,169.421,0.2,10.698,65.252,39.727,51.974,149.783,157.514
2.3000000000000007,9.188,1.0,166.409,177.297,0.2,0.767,65.836,63.157,65.184,150.185,167.883
2.400000000000001,7.52,1.0,164.961,177.289,0.2,0.995,66.169,63.218,64.775,149.926,162.06
2.500000000000001,18.068,1.0,147.219,162.592,0.2,4.046,66.526,50.162,62.81,107.174,154.984
2.600000000000001,21.656,0.652,153.557,180.29,0.2,9.241,66.483,42.468,54.587,107.797,151.941
2.700000000000001,16.539,0.913,190.646,220.852,0.2,2.781,63.434,54.081,59.798,164.622,195.95
2.800000000000001,14.461,0.783,202.688,220.529,0.2,5.186,61.98,40.839,56.78,166.909,205.908
2.9000000000000012,31.522,0.435,160.802,211.694,0.2,11.911,63.624,32.706,48.179,121.378,156.239
3.0000000000000013,6.398,0.783,128.098,146.642,0.2,3.952,65.446,49.626,61.653,121.156,126.117
3.1000000000000014,4.326,1.0,124.412,135.891,0.2,3.685,65.242,53.836,59.923,119.285,123.45
3.2000000000000015,9.652,1.0,135.374,147.519,0.2,4.981,69.06,53.838,62.243,119.319,137.063
3.3000000000000016,5.849,1.0,137.438,147.655,0.2,3.049,69.106,60.307,64.691,129.17,135.247
3.4000000000000017,12.194,1.0,146.735,163.004,0.2,2.145,65.709,59.405,63.046,132.193,146.578
3.5000000000000018,6.452,1.0,164.067,173.368,0.2,1.662,65.715,60.138,64.012,151.675,163.239
3.600000000000002,18.281,1.0,147.845,173.444,0.2,4.028,64.8,54.32,60.493,127.286,138.608
3.700000000000002,9.06,0.739,125.588,138.484,0.2,8.782,64.835,39.662,55.972,108.011,127.715
3.800000000000002,7.867,0.565,112.913,125.677,0.2,8.078,63.445,39.417,51.505,99.756,111.885
3.900000000000002,6.748,0.522,111.045,123.311,0.2,9.069,62.241,33.596,50.768,101.128,109.848
4.000000000000002,5.716,0.783,112.252,128.057,0.2,7.002,65.693,42.106,58.914,104.116,111.298
4.100000000000001,14.234,0.696,121.175,138.947,0.2,9.824,62.354,34.637,49.538,103.285,113.17
4.200000000000001,10.611,0.87,131.182,141.672,0.2,3.508,66.623,54.664,61.071,107.928,135.754
4.300000000000001,13.638,0.609,128.812,154.235,0.2,9.04,65.319,39.687,51.435,106.625,132.292
4.4,4.88,0.739,123.816,135.047,0.2,6.902,64.319,40.136,57.232,113.856,124.028
4.5,2.859,1.0,123.175,126.867,0.2,2.974,64.323,54.92,60.718,117.02,124.063
4.6,5.607,1.0,117.365,126.973,0.2,0.765,62.986,60.58,61.956,106.151,116.934
4.699999999999999,4.738,0.609,110.063,115.955,0.2,9.997,62.891,35.833,52.661,100.913,111.016
4.799999999999999,3.264,0.217,109.827,113.027,0.2,8.888,59.831,35.716,46.757,104.949,111.098
4.899999999999999,9.96,0.348,113.186,128.69,0.2,9.351,59.431,30.917,46.148,101.852,109.069
4.999999999999998,11.243,0.826,121.257,135.348,0.2,4.836,63.483,49.18,57.935,104.355,124.402
5.099999999999998,7.546,0.739,118.58,133.143,0.2,8.113,61.939,38.584,53.408,106.665,119.281
5.1999999999999975,8.725,1.0,125.961,140.638,0.2,2.246,65.395,57.442,62.48,107.435,125.384
5.299999999999997,10.181,1.0,143.718,161.419,0.2,1.819,65.596,59.545,63.556,127.366,142.917
5.399999999999997,7.875,0.913,158.597,169.882,0.2,5.574,65.143,44.861,60.212,144.896,158.462
5.4999999999999964,7.967,0.348,161.235,170.112,0.2,9.393,59.529,29.877,41.546,148.603,161.847
5.599999999999996,17.993,0.348,498.995,532.495,0.2,3.16,35.555,23.927,30.033,476.316,499.479
5.699999999999996,-1,0.0,-1,-1,0.2,2.753,33.062,23.661,28.924,-1,-1
5.799999999999995,21.729,0.478,457.834,508.574,0.2,1.425,34.401,29.647,31.261,423.851,456.042
5.899999999999995,25.682,0.391,456.402,510.575,0.2,1.5,34.68,29.963,31.696,426.658,449.049
5.999999999999995,2.292,0.087,462.04,463.661,0.2,2.017,33.369,25.611,30.074,460.42,462.04
6.099999999999994,3.742,0.304,107.664,114.522,0.2,10.588,55.083,25.518,37.043,103.406,107.427
6.199999999999994,4.511,0.826,113.605,119.119,0.2,5.247,63.031,45.569,57.863,102.497,113.747
6.299999999999994,2.927,1.0,116.554,125.974,0.2,2.43,62.408,56.081,59.181,110.383,116.104
