t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,22.71,53.151,-1.601,24.987,-1,-1
0.1,-1,0.0,-1,-1,0.2,7.793,52.984,28.506,39.542,-1,-1
0.2,6.43,0.348,111.186,117.534,0.2,15.649,80.304,37.22,64.118,99.979,114.409
0.30000000000000004,6.942,0.652,112.663,122.175,0.2,6.077,80.332,61.813,72.604,98.121,114.427
0.4,9.586,0.391,131.825,139.761,0.2,9.405,84.947,53.583,68.018,107.84,134.594
0.5,14.688,0.957,151.059,175.588,0.2,4.327,86.733,73.498,80.123,130.105,152.286
0.6,4.465,1.0,165.804,173.119,0.2,5.206,85.661,70.325,76.339,155.557,166.99
0.7,14.902,1.0,152.506,171.685,0.2,2.417,85.896,75.713,83.824,118.101,155.503
0.7999999999999999,170.827,0.783,236.993,509.69,0.2,3.761,85.874,75.496,81.386,116.808,138.893
0.8999999999999999,3.715,0.348,125.47,132.062,0.2,5.774,83.809,68.821,77.952,120.563,124.206
0.9999999999999999,0.371,0.087,106.742,107.004,0.2,3.996,75.542,61.589,67.673,106.48,106.742
1.0999999999999999,9.744,0.609,116.892,135.99,0.2,6.989,83.725,61.547,76.695,104.26,114.523
1.2,4.834,0.913,120.473,135.758,0.2,0.944,85.399,82.167,84.18,113.9,120.717
1.3,171.291,0.696,250.262,490.414,0.2,6.012,85.37,67.796,79.615,119.897,123.497
1.4000000000000001,139.225,0.696,171.132,475.411,0.2,4.643,80.327,67.57,75.179,101.75,107.622
1.5000000000000002,3.17,0.609,105.916,110.598,0.2,1.875,80.33,74.597,77.901,100.967,106.792
1.6000000000000003,13.892,0.261,108.019,136.262,0.2,4.59,79.495,66.259,73.718,97.9,102.474
1.7000000000000004,2.391,0.348,134.537,138.508,0.2,8.144,85.222,64.024,72.697,130.851,134.428
1.8000000000000005,3.446,0.957,138.54,142.597,0.2,1.222,86.204,81.394,84.711,131.029,139.261
1.9000000000000006,8.803,1.0,133.005,142.565,0.2,3.532,86.361,76.885,82.412,120.762,136.415
