t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,7.427,0.913,291.135,306.239,0.2,6.024,74.713,58.882,66.625,276.156,289.997
0.1,30.366,0.696,257.835,293.78,0.2,9.236,80.566,55.939,68.22,215.117,268.158
0.2,18.4,0.913,210.236,257.48,0.2,2.608,80.617,72.122,76.993,189.857,208.054
0.30000000000000004,6.695,1.0,188.783,201.786,0.2,2.264,76.475,69.409,74.039,180.961,186.948
0.4,2.207,0.783,183.208,188.345,0.2,5.958,72.662,57.044,63.638,179.036,182.748
0.5,12.554,0.826,200.329,217.35,0.2,6.98,73.56,57.054,67.146,179.85,207.206
0.6,14.084,1.0,191.948,209.708,0.2,3.123,74.667,65.593,70.896,168.803,191.19
0.7,15.193,1.0,165.044,184.84,0.2,5.763,68.419,52.602,61.892,128.807,166.594
0.7999999999999999,10.517,1.0,161.425,184.076,0.2,10.664,79.197,52.503,67.499,132.598,164.332
0.8999999999999999,1.182,1.0,164.426,167.127,0.2,6.712,78.868,56.544,68.442,162.878,164.316
0.9999999999999999,14.276,1.0,172.699,210.03,0.2,5.876,70.27,51.94,58.48,162.525,164.37
1.0999999999999999,14.205,1.0,176.456,208.521,0.2,4.683,72.736,54.35,68.468,159.201,168.17
1.2,2.973,1.0,164.163,168.202,0.2,0.998,72.357,67.889,69.8,159.392,164.59
1.3,1.465,0.652,160.676,163.728,0.2,3.942,69.855,58.63,65.016,157.777,160.582
1.4000000000000001,13.268,0.391,188.873,204.577,0.2,3.917,69.52,56.072,62.288,159.673,189.934
1.5000000000000002,7.711,0.913,185.325,204.108,0.2,5.166,81.731,60.924,72.004,175.552,185.159
1.6000000000000003,13.452,1.0,195.404,214.296,0.2,2.745,81.862,73.413,78.395,175.589,191.359
1.7000000000000004,7.898,1.0,206.269,214.325,0.2,1.426,78.531,73.383,76.347,186.727,208.885
1.8000000000000005,39.789,0.957,168.105,210.103,0.2,4.981,75.91,60.229,70.587,99.682,181.59
1.9000000000000006,23.25,0.87,151.573,172.667,0.2,9.574,82.832,53.79,66.517,99.908,165.601
2.0000000000000004,3.623,1.0,167.985,175.076,0.2,5.322,84.424,68.637,78.586,158.775,167.421
2.1000000000000005,5.846,1.0,166.136,175.176,0.2,2.932,77.156,65.713,68.869,155.627,166.905
2.2000000000000006,4.211,0.522,160.569,167.187,0.2,4.081,68.686,55.228,62.866,155.715,159.145
2.3000000000000007,4.456,0.261,191.964,198.795,0.2,6.67,78.824,55.001,65.075,187.291,190.954
2.400000000000001,2.818,0.826,188.882,197.588,0.2,4.201,81.124,65.174,77.685,186.077,188.273
2.500000000000001,2.194,1.0,190.253,193.896,0.2,4.853,79.645,60.135,73.742,187.326,189.624
2.600000000000001,2.659,1.0,189.252,193.882,0.2,4.866,74.25,59.197,70.108,184.638,189.238
2.700000000000001,2.233,0.696,185.277,188.772,0.2,4.647,73.338,61.006,67.428,181.421,185.737
2.800000000000001,1.006,0.13,182.056,183.122,0.2,7.892,65.418,43.334,54.256,181.122,181.923
2.9000000000000012,1.835,0.261,169.004,172.39,0.2,16.553,81.692,38.923,55.139,167.484,168.302
3.0000000000000013,1.688,0.826,168.078,171.63,0.2,3.821,82.078,71.37,77.878,165.44,167.764
3.1000000000000014,5.566,1.0,172.03,185.663,0.2,5.049,82.13,67.214,77.029,166.247,170.435
3.2000000000000015,24.126,1.0,198.258,234.699,0.2,2.639,74.545,66.229,69.981,169.188,190.74
3.3000000000000016,11.237,1.0,233.654,243.817,0.2,0.869,73.46,70.5,72.2,201.849,238.746
3.4000000000000017,2.531,1.0,243.029,247.116,0.2,0.843,74.964,72.524,73.484,239.139,242.971
3.5000000000000018,2.86,0.913,242.551,247.106,0.2,4.033,74.916,63.225,69.185,236.315,242.109
3.600000000000002,1.359,0.348,241.927,243.497,0.2,6.382,67.104,46.607,60.065,239.303,242.093
3.700000000000002,16.546,0.304,729.715,757.552,0.2,5.296,57.821,39.211,44.847,710.958,728.515
3.800000000000002,22.188,0.391,432.477,460.72,0.2,12.799,72.265,39.157,52.111,405.58,422.396
3.900000000000002,181.112,0.87,307.666,745.097,0.2,2.973,72.266,62.979,68.189,198.827,204.861
4.000000000000002,315.217,0.739,521.202,859.27,0.2,3.641,72.631,59.358,66.418,190.927,730.947
4.100000000000001,253.708,0.783,289.278,843.735,0.2,6.842,79.722,58.988,71.713,165.408,182.437
4.200000000000001,25.813,1.0,201.712,231.199,0.2,5.715,80.53,64.359,72.773,166.185,210.894
4.300000000000001,29.778,0.957,201.697,231.389,0.2,1.239,82.454,77.376,80.431,143.259,212.637
4.4,17.528,1.0,156.155,198.229,0.2,2.587,82.556,73.331,77.779,141.521,147.484
4.5,2.79,1.0,144.243,148.168,0.2,3.368,76.494,64.517,70.856,139.964,144.796
4.6,1.562,0.478,141.748,144.773,0.2,4.654,68.639,55.234,60.855,139.88,141.385
4.699999999999999,-1,0.0,-1,-1,0.2,0.857,58.136,55.385,56.523,-1,-1
4.799999999999999,-1,0.043,726.106,726.106,0.2,1.445,57.695,52.657,55.791,726.106,726.106
4.899999999999999,-1,0.043,720.814,720.814,0.2,1.668,57.524,52.361,54.896,720.814,720.814
4.999999999999998,-1,0.0,-1,-1,0.2,1.35,57.638,52.425,54.777,-1,-1
5.099999999999998,-1,0.0,-1,-1,0.2,1.662,57.66,51.949,54.818,-1,-1
5.1999999999999975,219.027,0.348,305.194,661.771,0.2,7.327,73.264,50.856,58.293,181.77,185.542
5.299999999999997,153.23,0.783,236.796,658.797,0.2,5.539,74.211,57.825,66.908,181.811,182.703
5.399999999999997,7.76,0.696,191.197,200.972,0.2,7.76,76.216,55.861,66.483,182.165,195.533
5.4999999999999964,2.396,1.0,199.417,205.63,0.2,5.234,78.678,61.613,74.064,195.0,199.56
5.599999999999996,1.231,1.0,200.974,202.681,0.2,7.786,78.686,58.352,68.74,196.823,201.229
5.699999999999996,31.529,0.87,238.081,287.409,0.2,6.378,74.929,58.273,66.234,200.793,255.582
5.799999999999995,6.574,1.0,262.56,273.934,0.2,4.61,84.939,71.988,77.264,252.897,261.695
5.899999999999995,18.594,1.0,247.273,272.271,0.2,5.072,84.896,69.813,78.204,209.65,247.286
5.999999999999995,25.461,0.826,209.108,250.055,0.2,4.069,78.797,65.874,73.276,173.58,208.487
6.099999999999994,3.84,0.87,177.733,189.679,0.2,2.856,74.575,65.625,70.785,172.731,177.317
6.199999999999994,4.72,0.826,171.892,178.534,0.2,5.374,73.694,55.489,65.041,163.421,172.252
6.299999999999994,3.072,0.696,169.995,178.892,0.2,6.2,69.567,52.09,61.909,165.486,170.484
6.399999999999993,91.458,0.913,205.583,425.733,0.2,8.241,69.554,47.93,58.069,159.066,170.587
6.499999999999993,5.957,0.565,176.554,184.981,0.2,10.549,79.893,47.696,66.529,163.09,176.404
6.5999999999999925,2.99,0.87,172.843,177.672,0.2,6.701,80.451,59.61,72.878,166.564,172.49
6.699999999999992,5.293,1.0,173.96,187.023,0.2,5.208,73.212,58.211,66.263,163.717,173.042
6.799999999999992,17.14,1.0,192.08,227.207,0.2,7.273,86.416,64.299,78.096,169.761,187.084
6.8999999999999915,17.669,1.0,226.201,243.216,0.2,2.441,85.469,76.689,80.644,191.135,234.248
6.999999999999991,3.493,1.0,243.61,250.764,0.2,1.489,80.849,75.663,77.923,239.509,242.607
7.099999999999991,3.066,1.0,248.703,254.785,0.2,3.99,77.916,67.032,73.25,243.02,248.54
7.19999999999999,3.22,0.261,250.264,253.972,0.2,3.828,69.68,56.127,64.528,245.738,250.407
7.29999999999999,-1,0.0,-1,-1,0.2,8.301,61.855,37.99,49.423,-1,-1
