t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.137,71.529,67.144,69.565,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.822,69.824,66.737,68.079,-1,-1
0.2,20.649,0.087,126.236,140.838,0.2,0.67,69.435,66.912,68.338,111.635,126.236
0.30000000000000004,-1,0.043,144.1,144.1,0.2,0.798,69.485,66.815,68.1,144.1,144.1
0.4,10.33,0.261,139.226,155.202,0.2,0.831,69.778,66.821,68.4,126.034,135.541
0.5,37.793,0.391,182.585,210.08,0.2,2.095,73.972,67.577,71.027,127.377,206.098
0.6,5.539,0.348,211.761,220.68,0.2,1.258,73.955,70.307,72.032,206.386,209.866
0.7,22.387,0.696,248.776,290.727,0.2,3.434,81.598,71.589,75.803,214.886,247.041
0.7999999999999999,15.845,0.783,272.343,292.588,0.2,3.613,81.611,71.017,76.522,241.535,278.517
0.8999999999999999,70.612,0.565,251.797,309.966,0.2,1.641,74.541,69.315,72.017,126.16,284.385
0.9999999999999999,53.897,0.826,232.107,306.925,0.2,2.755,76.934,68.622,72.847,130.231,235.98
1.0999999999999999,23.84,1.0,205.489,258.875,0.2,0.965,76.258,73.131,74.625,176.787,199.852
1.2,26.993,0.435,176.535,194.067,0.2,2.526,76.263,69.284,71.906,101.202,184.352
1.3,4.21,0.652,203.78,206.929,0.2,1.715,74.766,69.316,72.673,193.649,205.788
1.4000000000000001,2.783,0.739,206.542,211.448,0.2,2.027,74.694,68.769,71.848,199.69,206.427
1.5000000000000002,7.569,0.348,203.579,210.368,0.2,1.221,73.106,68.658,71.186,186.543,206.278
1.6000000000000003,15.827,0.826,179.845,207.467,0.2,1.526,76.11,71.497,73.168,165.08,174.778
1.7000000000000004,335.74,0.913,545.844,846.622,0.2,1.375,76.118,71.57,73.697,164.821,821.699
1.8000000000000005,332.641,0.913,486.93,834.943,0.2,1.673,75.675,70.039,73.348,174.309,181.889
1.9000000000000006,2.846,1.0,180.021,185.546,0.2,0.82,75.623,72.717,74.201,174.791,180.194
2.0000000000000004,10.379,1.0,192.614,208.275,0.2,0.537,74.611,72.908,73.979,180.466,187.912
2.1000000000000005,5.915,1.0,207.507,222.072,0.2,1.641,76.487,70.674,73.537,197.79,206.609
2.2000000000000006,6.959,0.435,211.504,222.092,0.2,1.306,77.021,72.699,75.12,205.032,208.201
2.3000000000000007,282.213,0.609,401.34,836.241,0.2,2.638,80.946,71.53,75.715,210.654,240.028
2.400000000000001,12.61,1.0,220.837,254.871,0.2,1.95,81.017,75.445,77.523,210.677,217.089
2.500000000000001,7.72,1.0,224.894,233.61,0.2,1.514,79.687,74.842,77.206,211.488,227.411
2.600000000000001,2.941,0.522,230.75,233.526,0.2,3.703,78.931,69.09,73.86,223.13,231.436
2.700000000000001,3.116,0.261,221.198,224.595,0.2,2.221,76.191,69.165,71.045,216.328,221.595
2.800000000000001,3.553,0.87,223.586,228.409,0.2,1.882,77.748,71.939,75.148,212.795,224.454
2.9000000000000012,11.716,1.0,216.73,227.719,0.2,1.451,75.794,70.47,72.588,192.114,223.211
3.0000000000000013,9.712,1.0,197.264,218.325,0.2,0.603,72.88,70.428,71.281,187.838,193.736
3.1000000000000014,5.094,1.0,194.765,202.689,0.2,1.058,74.408,70.939,72.557,187.997,193.176
3.2000000000000015,2.878,1.0,199.11,202.969,0.2,0.843,74.461,71.495,72.889,191.002,198.793
3.3000000000000016,11.148,0.522,193.068,198.88,0.2,1.363,73.391,68.209,71.468,167.354,197.641
3.4000000000000017,171.868,0.391,220.477,678.423,0.2,2.085,75.321,68.37,72.876,148.072,165.964
3.5000000000000018,325.283,0.565,454.122,829.224,0.2,2.176,76.108,69.384,72.948,152.64,172.769
3.600000000000002,11.316,0.652,154.443,172.719,0.2,1.224,73.621,69.34,71.943,141.025,153.214
3.700000000000002,4.129,0.87,139.27,149.527,0.2,0.525,72.654,70.769,71.785,133.368,138.49
3.800000000000002,308.856,0.826,486.52,833.093,0.2,0.869,72.163,69.25,70.777,133.792,671.177
3.900000000000002,59.528,0.609,694.433,776.0,0.2,1.021,72.283,69.009,70.322,623.611,686.086
4.000000000000002,3.61,0.261,124.471,130.463,0.2,0.66,70.266,68.025,69.192,119.198,124.249
4.100000000000001,3.54,0.217,125.459,130.629,0.2,2.122,73.434,66.779,69.068,121.312,125.546
4.200000000000001,-1,0.0,-1,-1,0.2,1.638,73.394,68.601,70.669,-1,-1
4.300000000000001,5.367,0.304,162.35,170.372,0.2,1.632,73.425,67.853,70.053,155.068,162.286
4.4,5.68,0.391,153.994,165.115,0.2,1.402,72.836,67.867,70.769,147.172,151.313
4.5,0.831,0.174,172.996,174.001,0.2,1.282,72.665,68.305,70.154,171.979,173.002
4.6,16.432,0.783,195.413,209.923,0.2,2.565,76.434,68.382,73.158,157.174,203.105
4.699999999999999,17.874,1.0,189.869,209.896,0.2,1.157,77.83,73.905,75.421,159.229,193.739
4.799999999999999,12.283,1.0,160.087,186.287,0.2,1.786,77.853,71.44,73.51,137.979,157.003
4.899999999999999,6.478,0.783,149.959,157.121,0.2,1.416,72.411,68.405,70.441,137.268,151.979
4.999999999999998,331.072,0.435,463.951,812.847,0.2,0.608,71.658,69.319,70.054,146.022,423.631
5.099999999999998,276.62,0.696,330.581,811.349,0.2,1.763,74.009,68.445,70.89,171.874,177.525
5.1999999999999975,3.684,0.739,178.329,184.49,0.2,1.266,73.432,68.619,70.872,173.555,177.359
5.299999999999997,8.433,0.783,168.447,185.024,0.2,3.782,78.517,68.493,74.27,161.192,163.836
5.399999999999997,6.494,1.0,167.782,178.33,0.2,1.416,78.425,74.331,76.584,161.177,164.244
5.4999999999999964,4.18,0.783,176.652,181.093,0.2,1.086,75.38,72.133,74.298,165.827,177.827
5.599999999999996,1.864,0.348,179.875,181.655,0.2,1.673,74.199,68.837,71.992,176.249,180.729
5.699999999999996,2.922,0.696,175.408,181.086,0.2,0.667,71.216,68.836,69.788,171.031,174.822
5.799999999999995,6.036,1.0,176.298,189.799,0.2,1.401,74.73,69.18,70.952,170.012,173.349
5.899999999999995,12.08,0.913,190.749,208.536,0.2,2.825,76.711,68.327,72.854,170.031,193.084
5.999999999999995,37.546,0.609,196.534,247.248,0.2,1.591,71.883,66.295,68.372,118.053,201.674
6.099999999999994,25.397,0.522,164.119,189.711,0.2,3.606,75.962,66.941,70.828,116.278,177.179
6.199999999999994,14.988,0.783,196.107,212.049,0.2,2.053,75.956,69.269,72.654,176.665,203.086
6.299999999999994,4.093,0.739,208.913,215.311,0.2,1.71,73.887,68.622,71.841,199.191,209.453
6.399999999999993,4.454,0.174,210.859,215.491,0.2,1.792,73.089,67.553,70.372,204.931,211.48
6.499999999999993,0.153,0.174,159.796,159.93,0.2,1.864,73.393,67.512,69.904,159.577,159.846
6.5999999999999925,0.175,0.217,159.793,159.95,0.2,2.143,76.484,70.089,73.513,159.496,159.853
6.699999999999992,3.334,0.391,215.155,223.428,0.2,1.687,76.209,70.577,74.067,212.213,214.116
6.799999999999992,2.18,0.739,213.371,217.872,0.2,2.095,76.647,69.66,74.248,208.719,213.743
6.8999999999999915,5.897,0.435,215.789,227.325,0.2,1.541,75.142,69.538,71.906,208.734,214.757
6.999999999999991,13.58,0.348,213.152,234.801,0.2,1.454,72.659,67.623,70.504,197.699,214.174
7.099999999999991,8.067,0.696,185.545,200.18,0.2,1.897,75.082,67.672,71.139,171.671,184.35
7.19999999999999,11.433,1.0,193.597,211.943,0.2,3.148,78.778,68.56,74.352,169.437,194.734
