t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,15.495,0.261,765.178,791.806,0.2,1.776,34.81,29.287,31.562,748.113,760.495
0.1,34.657,0.609,796.885,844.358,0.2,1.403,33.464,29.254,31.59,728.935,801.971
0.2,51.003,0.609,778.696,836.84,0.2,2.505,37.864,29.153,32.321,697.174,805.542
0.30000000000000004,42.095,0.652,756.674,848.97,0.2,2.322,37.066,29.318,32.375,692.632,747.498
0.4,104.646,0.13,610.169,730.955,0.2,1.197,34.143,30.025,31.989,546.832,552.719
0.5,-1,0.0,-1,-1,0.2,1.295,34.875,30.691,32.42,-1,-1
0.6,76.916,0.478,727.688,813.36,0.2,1.82,36.364,30.317,32.699,607.524,745.327
0.7,32.13,0.304,770.586,811.926,0.2,2.127,37.871,30.48,33.307,732.997,754.625
0.7999999999999999,5.227,0.609,172.606,187.822,0.2,7.126,51.121,32.5,45.213,167.748,171.97
0.8999999999999999,5.065,1.0,175.298,181.682,0.2,1.81,55.572,49.658,52.015,167.352,174.506
0.9999999999999999,8.414,0.826,179.851,190.839,0.2,3.797,52.688,41.848,46.561,159.552,180.355
1.0999999999999999,9.306,0.826,193.161,214.98,0.2,3.164,52.321,41.882,48.794,184.948,189.89
1.2,26.709,1.0,226.468,257.733,0.2,1.374,52.315,48.025,49.999,186.38,230.982
1.3,12.318,1.0,244.074,257.726,0.2,0.914,50.92,47.941,48.934,215.038,246.28
1.4000000000000001,25.523,1.0,205.456,244.512,0.2,1.018,52.509,48.859,50.166,174.741,201.648
1.5000000000000002,10.233,1.0,169.93,186.774,0.2,2.493,53.149,45.514,50.142,155.411,171.02
1.6000000000000003,4.229,1.0,155.32,164.627,0.2,2.472,48.883,41.077,45.439,150.241,154.271
1.7000000000000004,5.351,0.435,150.795,154.59,0.2,1.306,44.257,37.945,41.554,136.028,151.977
1.8000000000000005,5.275,0.565,190.211,203.069,0.2,3.704,48.249,36.869,44.034,185.331,188.275
1.9000000000000006,4.052,1.0,192.566,196.381,0.2,1.241,50.475,46.77,49.014,185.114,194.716
2.0000000000000004,5.457,1.0,196.609,209.337,0.2,2.494,51.963,44.083,49.314,183.877,195.717
2.1000000000000005,6.612,1.0,195.45,210.662,0.2,2.427,51.707,44.184,48.184,183.843,194.118
2.2000000000000006,5.141,0.478,192.259,201.048,0.2,4.848,49.188,34.667,40.962,183.688,189.937
2.3000000000000007,6.582,0.565,148.908,161.579,0.2,6.343,51.359,34.681,45.202,139.079,147.048
2.400000000000001,5.713,1.0,146.501,161.04,0.2,1.045,49.139,46.149,47.401,134.351,146.886
2.500000000000001,18.191,1.0,167.38,198.582,0.2,2.819,53.692,46.273,49.839,143.639,167.679
2.600000000000001,12.773,1.0,198.595,212.625,0.2,1.715,52.712,47.33,48.927,174.576,201.173
2.700000000000001,7.839,0.696,206.55,212.585,0.2,5.218,48.13,35.104,43.692,184.105,209.441
2.800000000000001,21.663,0.565,163.227,199.315,0.2,6.434,50.106,33.123,42.153,132.878,163.306
2.9000000000000012,15.034,0.522,146.931,171.205,0.2,4.935,50.064,34.291,41.987,130.809,143.276
3.0000000000000013,8.88,0.609,137.581,149.214,0.2,3.222,47.049,37.479,43.502,117.434,136.985
