t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,28.883,0.478,731.74,758.101,0.2,4.368,43.562,31.432,37.521,674.334,741.239
0.1,36.449,0.652,744.62,835.63,0.2,4.066,43.501,32.21,39.043,677.812,750.584
0.2,0.651,0.174,154.347,155.055,0.2,8.317,57.233,31.943,39.001,153.479,154.427
0.30000000000000004,3.521,0.783,156.058,164.896,0.2,5.442,57.748,37.466,52.346,150.753,155.394
0.4,19.956,1.0,176.57,200.641,0.2,3.588,56.965,46.872,52.578,151.046,176.689
0.5,3.38,1.0,198.616,203.52,0.2,2.71,56.979,49.699,53.691,189.827,199.818
0.6,18.278,1.0,183.38,203.483,0.2,1.256,56.126,50.874,53.668,146.335,188.589
0.7,18.755,0.739,151.554,182.072,0.2,3.798,57.572,46.376,53.213,127.019,149.006
0.7999999999999999,11.899,0.435,141.024,153.033,0.2,3.361,57.376,45.791,49.86,125.188,147.951
0.8999999999999999,4.718,0.826,155.974,162.253,0.2,3.858,61.373,47.963,58.419,147.73,155.806
0.9999999999999999,6.586,1.0,156.259,162.271,0.2,1.246,60.78,56.823,59.926,140.605,159.196
1.0999999999999999,10.867,1.0,139.98,159.892,0.2,2.794,60.19,50.499,55.348,126.277,138.094
1.2,7.348,0.87,123.952,134.563,0.2,2.41,54.511,45.133,51.688,110.661,126.769
1.3,22.573,0.478,129.722,165.305,0.2,4.431,55.696,42.076,46.334,109.586,119.389
1.4000000000000001,4.154,0.739,156.543,165.511,0.2,5.906,59.936,42.529,55.189,151.269,155.726
1.5000000000000002,3.881,1.0,159.839,173.023,0.2,5.391,59.941,45.228,54.165,153.081,159.996
1.6000000000000003,3.319,1.0,162.041,173.078,0.2,4.204,56.524,45.457,53.187,153.847,162.679
1.7000000000000004,137.222,0.739,226.129,532.491,0.2,4.375,56.204,43.445,49.657,162.397,163.085
1.8000000000000005,170.784,0.217,391.735,532.286,0.2,6.567,49.303,30.715,39.569,196.985,485.246
1.9000000000000006,19.561,0.435,171.523,211.549,0.2,12.316,68.766,30.95,48.234,145.729,163.162
2.0000000000000004,8.617,0.217,154.186,164.443,0.2,7.326,68.737,45.572,57.071,142.988,153.056
2.1000000000000005,61.64,0.652,163.702,384.645,0.2,4.466,59.816,45.22,53.699,139.7,144.588
2.2000000000000006,7.238,1.0,140.787,156.979,0.2,3.799,56.912,44.704,50.07,127.338,141.154
