t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.131,51.826,47.575,49.868,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.794,51.169,48.11,50.06,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.995,51.948,47.992,50.168,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.779,51.925,48.594,49.97,-1,-1
0.4,-1,0.0,-1,-1,0.2,1.402,52.862,47.82,49.779,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.778,51.067,48.26,49.873,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.83,50.825,47.721,49.388,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.854,51.087,48.004,49.646,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.589,51.114,49.173,50.117,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,0.725,50.62,47.776,49.43,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,0.541,50.438,48.364,49.392,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,0.73,51.008,47.916,49.419,-1,-1
1.2,1.257,0.13,284.6,285.454,0.2,1.193,52.515,47.859,50.105,283.156,285.189
1.3,9.66,0.565,124.969,150.47,0.2,7.23,66.689,49.159,58.072,113.371,123.179
1.4000000000000001,7.7,0.957,116.848,126.233,0.2,4.48,67.479,55.135,63.004,98.721,119.332
1.5000000000000002,6.907,0.739,110.581,126.326,0.2,6.178,71.089,52.721,60.047,99.699,108.415
1.6000000000000003,2.81,1.0,106.425,111.967,0.2,2.35,73.134,65.459,70.722,100.23,106.799
1.7000000000000004,2.095,0.435,103.743,106.211,0.2,2.496,72.183,65.623,68.406,99.724,104.288
1.8000000000000005,-1,0.0,-1,-1,0.2,1.041,65.989,62.64,64.564,-1,-1
1.9000000000000006,-1,0.0,-1,-1,0.2,5.005,65.153,51.181,58.299,-1,-1
2.0000000000000004,2.22,0.478,117.146,121.519,0.2,9.284,72.966,50.124,62.108,114.273,117.086
2.1000000000000005,4.371,1.0,120.819,130.532,0.2,0.617,73.89,71.503,72.72,114.285,120.579
2.2000000000000006,5.959,1.0,129.125,138.533,0.2,3.25,73.895,64.189,69.437,122.993,126.173
2.3000000000000007,3.99,1.0,137.603,141.187,0.2,1.941,71.92,65.974,70.243,124.661,138.616
2.400000000000001,1.784,1.0,140.41,146.315,0.2,6.789,71.317,52.93,60.413,137.366,140.172
2.500000000000001,2.23,0.478,139.722,145.564,0.2,1.694,54.796,49.036,51.569,137.33,139.245
2.600000000000001,85.08,0.304,158.98,284.714,0.2,6.583,67.637,49.125,54.319,106.387,108.644
2.700000000000001,17.212,1.0,112.752,157.72,0.2,3.576,67.534,53.324,65.673,100.881,105.347
2.800000000000001,5.022,1.0,105.889,117.038,0.2,1.847,71.075,66.729,68.732,100.086,103.885
2.9000000000000012,7.993,1.0,118.858,130.225,0.2,0.927,71.096,68.649,70.012,106.395,120.175
3.0000000000000013,6.738,1.0,132.449,145.738,0.2,0.589,71.141,68.973,69.65,121.731,131.655
3.1000000000000014,6.492,1.0,144.413,154.234,0.2,5.553,71.115,55.093,65.85,133.228,143.673
3.2000000000000015,4.366,0.652,146.396,153.656,0.2,3.163,63.145,51.997,55.77,140.815,144.105
3.3000000000000016,16.001,0.609,116.425,145.976,0.2,7.645,71.071,52.084,63.223,100.74,108.495
3.4000000000000017,176.992,0.565,199.578,518.365,0.2,4.7,72.382,56.026,66.255,100.54,106.558
3.5000000000000018,104.016,0.565,462.58,550.983,0.2,5.173,73.449,58.505,67.737,283.692,506.159
3.600000000000002,80.506,0.522,150.281,284.161,0.2,4.731,70.615,58.245,63.887,102.78,105.713
3.700000000000002,3.616,0.826,105.52,112.527,0.2,2.645,76.064,67.583,72.234,99.883,105.37
3.800000000000002,2.489,0.261,102.423,106.349,0.2,3.819,73.068,59.963,67.885,99.87,102.103
3.900000000000002,-1,0.0,-1,-1,0.2,4.193,67.619,54.55,62.127,-1,-1
4.000000000000002,1.236,0.217,104.568,105.912,0.2,6.636,74.009,52.915,60.879,102.984,105.089
4.100000000000001,1.662,0.783,103.257,107.588,0.2,3.968,74.401,63.725,69.583,101.849,102.452
4.200000000000001,214.02,0.826,244.825,577.135,0.2,2.149,71.479,64.977,67.517,100.693,105.648
4.300000000000001,36.764,0.261,541.102,576.452,0.2,2.442,71.392,63.928,68.292,487.207,552.023
4.4,24.035,0.391,537.297,579.718,0.2,1.989,67.6,60.652,64.629,505.22,536.931
4.5,26.204,0.435,538.068,591.096,0.2,4.725,68.235,54.297,60.642,509.873,529.762
4.6,0.38,0.13,102.597,103.03,0.2,3.045,62.904,52.618,55.66,102.269,102.438
4.699999999999999,1.628,0.696,103.471,106.079,0.2,4.51,69.834,54.704,65.024,100.669,103.456
4.799999999999999,2.978,1.0,105.958,111.725,0.2,1.775,74.366,68.18,70.595,101.09,105.662
4.899999999999999,92.886,0.739,132.052,492.376,0.2,5.77,74.408,58.858,68.491,104.755,110.99
4.999999999999998,6.692,0.696,108.61,126.395,0.2,6.643,77.774,58.999,70.23,101.997,105.305
5.099999999999998,91.778,0.783,125.166,492.852,0.2,2.389,74.457,64.135,70.024,100.633,103.278
5.1999999999999975,214.236,0.609,307.847,553.699,0.2,5.163,74.256,59.654,67.252,100.0,296.683
5.299999999999997,-1,0.043,497.224,497.224,0.2,2.929,66.355,56.25,60.805,497.224,497.224
5.399999999999997,-1,0.0,-1,-1,0.2,4.418,66.359,52.167,57.665,-1,-1
5.4999999999999964,1.094,0.391,115.067,116.718,0.2,8.907,73.683,52.11,61.481,113.416,115.124
5.599999999999996,6.218,0.957,121.423,132.536,0.2,1.904,73.691,68.334,70.681,113.304,120.594
