t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.656,51.842,49.313,50.557,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.846,50.94,47.881,49.617,-1,-1
0.2,8.814,0.217,152.283,161.192,0.2,0.89,51.894,48.372,49.832,140.926,155.85
0.30000000000000004,9.993,0.13,151.61,159.229,0.2,1.056,51.692,47.842,49.911,140.296,155.306
0.4,9.104,0.13,287.821,298.234,0.2,0.722,52.151,49.408,50.911,281.36,283.869
0.5,-1,0.0,-1,-1,0.2,1.912,55.86,49.346,51.595,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.781,51.406,48.692,50.122,-1,-1
0.7,2.218,0.217,159.973,163.256,0.2,0.843,52.222,48.544,50.532,158.062,158.95
0.7999999999999999,-1,0.0,-1,-1,0.2,0.971,52.284,48.328,50.247,-1,-1
0.8999999999999999,109.16,0.217,219.959,306.713,0.2,1.003,51.797,48.509,50.021,100.503,290.646
0.9999999999999999,4.589,0.087,302.464,305.709,0.2,0.97,51.997,48.727,50.659,299.219,302.464
1.0999999999999999,9.666,0.13,296.092,307.114,0.2,0.906,52.073,48.018,50.383,289.055,292.106
1.2,9.803,0.13,297.592,307.329,0.2,1.27,52.821,48.185,50.523,287.724,297.723
1.3,-1,0.0,-1,-1,0.2,1.067,52.858,49.084,51.055,-1,-1
1.4000000000000001,7.609,0.13,293.313,298.788,0.2,1.027,51.59,47.95,49.94,284.6,296.525
1.5000000000000002,-1,0.0,-1,-1,0.2,0.737,50.902,47.913,49.592,-1,-1
1.6000000000000003,-1,0.0,-1,-1,0.2,0.69,51.195,48.966,49.982,-1,-1
1.7000000000000004,-1,0.0,-1,-1,0.2,0.773,51.432,48.623,50.048,-1,-1
1.8000000000000005,-1,0.0,-1,-1,0.2,1.146,52.471,48.568,50.248,-1,-1
1.9000000000000006,-1,0.0,-1,-1,0.2,0.614,50.594,48.222,49.353,-1,-1
2.0000000000000004,-1,0.0,-1,-1,0.2,0.955,52.339,48.149,49.272,-1,-1
2.1000000000000005,3.984,0.478,231.335,238.753,0.2,10.528,73.727,48.204,64.432,226.161,230.781
2.2000000000000006,4.879,0.826,234.144,244.12,0.2,6.727,73.667,53.216,64.835,226.552,233.876
2.3000000000000007,24.269,0.783,265.656,307.302,0.2,5.657,70.656,53.043,61.764,231.415,264.31
2.400000000000001,31.004,1.0,311.149,356.164,0.2,1.71,73.011,67.065,69.698,262.977,307.034
2.500000000000001,17.665,1.0,331.306,356.098,0.2,3.092,78.746,70.184,75.574,289.269,332.916
2.600000000000001,31.459,1.0,282.662,335.13,0.2,2.594,78.725,70.628,74.623,251.348,269.032
2.700000000000001,5.148,1.0,256.583,272.598,0.2,7.897,76.653,57.465,66.455,251.311,255.593
2.800000000000001,5.368,1.0,257.121,272.467,0.2,8.992,78.714,57.335,69.627,251.048,255.895
2.9000000000000012,4.321,1.0,257.603,264.267,0.2,1.529,78.709,73.707,76.725,250.927,257.177
3.0000000000000013,6.001,1.0,255.148,264.257,0.2,1.901,78.76,72.759,76.091,241.676,255.281
3.1000000000000014,14.316,1.0,235.665,257.91,0.2,3.648,78.211,68.007,71.555,218.623,233.565
3.2000000000000015,2.998,0.87,222.545,227.98,0.2,6.157,69.846,53.967,63.876,218.671,221.877
3.3000000000000016,24.979,0.739,250.638,279.442,0.2,9.277,75.066,53.753,64.189,219.191,265.157
3.4000000000000017,10.592,1.0,281.646,294.554,0.2,1.794,75.783,68.526,74.004,264.302,283.96
3.5000000000000018,4.925,1.0,292.328,301.89,0.2,2.853,74.056,65.227,69.583,283.341,292.932
3.600000000000002,12.287,1.0,287.778,301.915,0.2,6.531,71.658,53.368,61.604,256.859,291.636
3.700000000000002,39.854,1.0,252.398,295.983,0.2,6.35,72.295,54.587,63.421,156.601,255.931
3.800000000000002,12.809,0.391,247.552,259.525,0.2,5.619,70.294,50.992,56.6,224.752,253.183
3.900000000000002,15.09,0.783,226.03,266.245,0.2,6.83,72.153,51.118,66.497,211.33,220.724
4.000000000000002,9.279,0.826,211.131,222.202,0.2,6.156,69.835,52.003,64.301,198.368,214.505
