t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.864,21.592,14.301,15.808,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.447,15.87,14.244,14.976,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.67,15.974,13.421,14.67,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,1.578,18.898,13.335,15.138,-1,-1
0.4,-1,0.0,-1,-1,0.2,3.443,26.03,14.916,20.438,-1,-1
0.5,8.147,0.826,803.971,819.438,0.2,1.516,25.921,21.448,23.778,788.023,803.177
0.6,16.813,0.435,805.199,848.76,0.2,1.104,22.851,18.591,21.171,789.955,800.116
0.7,0.525,0.087,848.981,849.352,0.2,3.011,25.801,15.648,20.027,848.61,848.981
0.7999999999999999,11.622,0.304,156.466,173.758,0.2,12.77,49.35,13.875,26.603,143.165,152.0
0.8999999999999999,9.547,0.87,144.542,172.194,0.2,4.713,53.063,35.856,49.171,137.185,140.916
0.9999999999999999,8.435,0.609,141.839,164.089,0.2,3.136,52.807,42.207,47.654,130.378,138.6
1.0999999999999999,7.804,0.783,146.083,169.446,0.2,3.506,52.456,42.294,49.098,127.968,145.085
1.2,11.015,1.0,157.37,170.377,0.2,0.811,54.315,51.485,52.901,142.342,157.182
1.3,8.44,1.0,161.531,170.404,0.2,1.262,53.797,49.565,51.43,144.467,164.979
1.4000000000000001,7.528,1.0,146.119,161.295,0.2,1.005,52.352,48.836,51.011,136.171,144.205
1.5000000000000002,10.08,1.0,138.353,167.517,0.2,2.955,52.336,43.251,48.961,121.069,137.029
1.6000000000000003,17.288,1.0,153.654,170.069,0.2,3.799,55.047,43.185,50.063,121.139,161.985
1.7000000000000004,5.201,1.0,171.471,178.401,0.2,4.117,55.101,42.464,50.72,161.522,169.781
1.8000000000000005,1.7,0.478,176.636,178.841,0.2,4.463,54.808,38.432,46.228,173.56,176.901
1.9000000000000006,4.179,0.522,137.337,145.022,0.2,3.619,49.433,36.823,44.616,133.523,135.015
2.0000000000000004,5.441,1.0,139.132,151.429,0.2,1.431,50.11,45.01,47.917,130.323,138.051
2.1000000000000005,6.41,1.0,149.009,158.173,0.2,1.03,50.117,46.66,48.341,137.252,148.908
2.2000000000000006,3.629,1.0,157.594,162.571,0.2,1.231,50.552,46.575,48.905,147.961,157.882
2.3000000000000007,2.142,0.783,158.535,161.629,0.2,6.348,49.151,30.707,42.004,155.242,158.251
2.400000000000001,12.274,0.435,144.238,158.477,0.2,7.803,51.55,30.201,41.533,124.63,138.625
2.500000000000001,4.075,0.609,135.715,138.91,0.2,4.407,51.493,39.766,46.328,124.747,137.295
2.600000000000001,8.325,0.696,143.238,152.736,0.2,4.419,51.817,37.388,44.936,127.534,147.501
2.700000000000001,9.132,0.783,141.837,152.602,0.2,1.736,51.483,44.844,47.486,127.734,146.266
2.800000000000001,3.938,0.696,134.28,144.816,0.2,3.733,49.923,39.409,45.297,127.705,132.58
2.9000000000000012,3.781,0.913,136.244,143.96,0.2,1.776,51.635,45.471,47.708,128.312,135.211
3.0000000000000013,10.092,1.0,148.043,164.059,0.2,2.261,53.456,46.297,51.103,133.2,146.631
3.1000000000000014,5.739,1.0,163.656,169.618,0.2,1.054,54.777,51.733,53.296,151.184,165.727
3.2000000000000015,11.575,1.0,157.484,169.666,0.2,1.363,54.764,51.154,53.285,139.49,162.216
3.3000000000000016,5.658,1.0,140.236,154.032,0.2,2.847,52.341,42.706,50.251,133.435,138.324
3.4000000000000017,2.055,1.0,134.982,142.463,0.2,1.986,50.55,42.829,45.49,132.983,134.443
3.5000000000000018,6.025,1.0,130.272,143.258,0.2,1.658,46.033,40.257,43.231,109.602,130.179
3.600000000000002,3.284,1.0,127.676,139.554,0.2,4.31,52.289,40.535,47.126,122.419,127.23
3.700000000000002,2.396,1.0,127.252,132.62,0.2,1.511,52.49,47.725,50.748,120.46,127.303
3.800000000000002,2.201,1.0,127.187,132.715,0.2,1.317,51.864,47.698,50.256,120.677,126.936
3.900000000000002,61.32,0.826,152.683,294.376,0.2,2.678,51.316,42.368,47.022,124.09,126.824
4.000000000000002,67.051,0.696,176.752,294.25,0.2,3.643,49.682,39.255,46.238,125.087,141.979
4.100000000000001,5.916,1.0,136.119,148.741,0.2,2.246,50.017,43.415,47.842,127.267,135.917
4.200000000000001,2.579,1.0,128.446,133.791,0.2,3.175,52.331,43.525,49.184,124.15,128.348
4.300000000000001,2.985,1.0,125.242,131.216,0.2,3.48,52.333,42.184,48.93,118.207,125.74
4.4,7.516,1.0,128.069,142.289,0.2,4.194,51.076,38.094,43.101,117.607,125.904
4.5,7.108,1.0,137.874,146.246,0.2,4.118,52.639,38.663,49.229,120.807,141.041
4.6,2.214,1.0,141.523,146.693,0.2,4.133,51.681,38.283,44.191,138.233,142.204
4.699999999999999,3.999,1.0,146.393,151.856,0.2,5.191,54.021,37.737,49.9,137.685,146.174
4.799999999999999,1.678,1.0,150.696,152.317,0.2,2.114,54.02,46.17,51.587,146.431,151.339
4.899999999999999,2.0,0.652,151.296,154.0,0.2,5.468,51.622,33.054,42.446,146.285,151.768
4.999999999999998,2.31,0.522,139.318,142.037,0.2,5.825,48.13,31.122,41.077,135.226,139.637
5.099999999999998,5.178,1.0,133.302,141.862,0.2,1.843,49.047,42.651,46.469,126.291,131.694
5.1999999999999975,1.227,1.0,128.077,131.174,0.2,2.475,53.483,45.961,50.912,126.343,127.769
5.299999999999997,2.378,1.0,130.579,133.696,0.2,2.557,53.464,46.224,51.252,126.553,130.72
5.399999999999997,1.511,1.0,131.867,133.741,0.2,1.754,49.966,43.523,45.888,128.879,132.352
5.4999999999999964,3.227,0.87,127.925,133.863,0.2,1.995,46.741,40.413,43.804,121.949,128.484
5.599999999999996,2.905,0.913,127.245,132.497,0.2,4.041,51.916,40.266,46.691,121.419,126.588
5.699999999999996,3.582,1.0,131.258,135.627,0.2,3.559,51.887,40.835,48.113,123.433,132.368
5.799999999999995,3.171,0.87,134.07,143.622,0.2,6.196,49.546,30.845,41.645,127.489,134.21
5.899999999999995,6.022,0.913,128.778,143.371,0.2,1.604,49.495,44.693,47.634,121.145,126.523
5.999999999999995,4.997,1.0,124.764,138.0,0.2,1.988,49.917,44.718,47.72,115.945,123.595
6.099999999999994,3.224,0.913,124.535,135.139,0.2,3.386,49.963,40.08,46.582,120.211,124.025
6.199999999999994,8.022,0.87,137.391,147.782,0.2,2.44,47.539,40.15,45.062,124.144,140.901
6.299999999999994,2.657,1.0,142.76,147.745,0.2,3.425,47.506,37.757,44.002,136.134,143.347
6.399999999999993,4.881,1.0,142.353,149.194,0.2,4.779,49.484,37.421,44.188,132.138,143.217
6.499999999999993,7.249,1.0,134.171,147.931,0.2,1.138,50.113,45.778,48.515,125.726,132.04
6.5999999999999925,2.4,1.0,129.355,133.556,0.2,0.504,50.799,48.957,49.805,125.407,130.278
6.699999999999992,2.211,1.0,128.415,133.926,0.2,1.289,49.779,45.419,47.936,125.333,128.274
6.799999999999992,1.579,1.0,127.782,132.219,0.2,2.816,54.325,46.006,51.148,125.217,127.879
6.8999999999999915,4.356,1.0,131.923,138.209,0.2,1.692,54.308,49.329,51.792,125.293,134.217
6.999999999999991,2.043,1.0,133.766,136.67,0.2,2.245,51.548,44.302,48.432,128.467,134.15
7.099999999999991,2.559,1.0,129.989,134.131,0.2,2.372,52.382,44.285,47.089,126.344,130.036
7.19999999999999,3.368,1.0,124.858,130.706,0.2,2.391,55.392,47.438,53.11,118.946,125.47
7.29999999999999,1.977,1.0,120.595,125.086,0.2,2.365,55.256,48.615,51.089,118.283,120.584
7.39999999999999,2.819,1.0,122.88,126.719,0.2,5.488,50.364,35.047,44.26,118.261,122.796
7.499999999999989,5.779,0.652,124.288,130.464,0.2,7.274,39.879,17.305,28.812,105.945,125.486
7.599999999999989,7.98,0.609,125.501,140.13,0.2,8.871,39.207,17.664,28.757,103.807,126.171
7.699999999999989,4.999,0.87,124.304,130.44,0.2,6.132,39.248,21.021,33.402,109.092,124.946
7.799999999999988,368.81,0.609,478.783,843.479,0.2,5.211,31.959,13.822,19.454,101.954,479.261
7.899999999999988,22.285,0.478,818.632,843.637,0.2,3.356,23.397,12.197,15.855,771.649,828.494
7.999999999999988,5.556,0.435,644.783,651.42,0.2,3.118,23.707,12.501,17.419,632.671,646.341
8.099999999999987,1.066,0.087,645.521,646.274,0.2,1.114,18.955,15.218,17.311,644.767,645.521
8.199999999999987,-1,0.0,-1,-1,0.2,0.771,19.488,16.285,18.546,-1,-1
8.299999999999986,-1,0.0,-1,-1,0.2,2.124,19.519,12.54,15.626,-1,-1
8.399999999999986,-1,0.043,139.414,139.414,0.2,11.889,46.518,10.071,19.453,139.414,139.414
8.499999999999986,3.186,0.609,143.882,150.015,0.2,11.677,55.37,12.649,46.882,140.233,142.786
8.599999999999985,4.189,1.0,148.803,154.483,0.2,4.033,55.373,43.649,51.147,140.527,150.325
8.699999999999985,9.733,1.0,153.969,198.072,0.2,5.826,49.872,32.711,40.754,147.516,151.408
8.799999999999985,2.098,0.957,152.074,154.428,0.2,6.1,51.509,33.774,45.141,145.929,152.63
8.899999999999984,2.341,0.565,151.332,153.337,0.2,3.159,46.853,34.43,39.035,146.009,152.273
8.999999999999984,-1,0.0,-1,-1,0.2,7.876,38.259,14.675,27.327,-1,-1
9.099999999999984,8.267,0.13,145.266,151.863,0.2,2.438,20.218,12.324,15.562,135.721,149.947
9.199999999999983,-1,0.0,-1,-1,0.2,1.58,13.956,8.783,11.293,-1,-1
9.299999999999983,180.787,0.435,644.541,831.491,0.2,13.326,42.671,9.062,23.701,433.853,781.808
9.399999999999983,217.431,0.87,497.649,832.367,0.2,2.625,47.725,36.479,42.252,150.753,434.713
9.499999999999982,2.866,0.696,149.544,153.633,0.2,3.923,52.107,40.498,48.551,142.173,149.139
9.599999999999982,5.521,1.0,144.924,153.545,0.2,1.398,53.036,47.98,51.01,133.228,145.664
9.699999999999982,3.372,1.0,138.831,145.714,0.2,2.533,53.007,44.843,49.039,132.81,138.842
9.799999999999981,4.435,1.0,143.735,150.353,0.2,1.211,52.188,47.57,50.597,135.469,143.867
9.89999999999998,5.885,1.0,153.918,161.364,0.2,1.3,52.872,48.832,51.228,145.078,152.333
9.99999999999998,2.068,1.0,160.402,163.076,0.2,4.501,52.888,41.304,48.468,155.862,161.053
10.09999999999998,26.999,1.0,134.131,163.799,0.2,2.649,45.102,34.554,39.716,101.676,156.597
