t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.436,49.805,48.019,48.974,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.596,49.768,47.323,48.904,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.628,49.84,47.469,48.836,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,1.921,50.545,43.031,48.529,-1,-1
0.4,-1,0.043,783.567,783.567,0.2,1.917,50.43,43.351,48.556,783.567,783.567
0.5,5.68,0.087,786.57,790.587,0.2,1.609,50.318,44.8,48.481,782.554,786.57
0.6,-1,0.0,-1,-1,0.2,1.546,49.827,44.554,48.398,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.896,50.738,47.279,48.812,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.746,50.28,47.049,49.025,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,1.655,51.442,45.023,48.925,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,1.008,51.441,47.735,49.163,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,1.007,52.19,47.49,48.942,-1,-1
1.2,-1,0.0,-1,-1,0.2,1.637,52.177,46.512,49.223,-1,-1
1.3,-1,0.0,-1,-1,0.2,1.251,51.584,46.865,49.378,-1,-1
1.4000000000000001,-1,0.0,-1,-1,0.2,1.555,50.61,45.732,48.612,-1,-1
1.5000000000000002,5.971,0.087,655.114,659.336,0.2,1.892,50.773,43.857,48.329,650.891,655.114
1.6000000000000003,-1,0.0,-1,-1,0.2,1.99,51.242,43.513,48.415,-1,-1
1.7000000000000004,-1,0.0,-1,-1,0.2,2.308,51.232,41.636,48.331,-1,-1
1.8000000000000005,51.093,0.087,793.95,830.078,0.2,0.89,50.387,47.161,49.015,757.822,793.95
1.9000000000000006,-1,0.0,-1,-1,0.2,1.022,50.292,47.009,48.826,-1,-1
2.0000000000000004,94.676,0.435,666.039,845.675,0.2,0.944,50.313,46.965,48.656,594.445,614.091
2.1000000000000005,74.553,0.391,648.838,793.736,0.2,1.052,50.634,46.931,48.754,595.743,611.432
2.2000000000000006,25.274,0.13,780.805,799.631,0.2,1.315,52.649,47.432,49.122,752.08,790.704
2.3000000000000007,2.486,0.391,118.85,121.833,0.2,8.541,69.595,48.149,60.805,114.88,118.877
2.400000000000001,2.568,0.435,119.053,122.051,0.2,8.626,69.618,49.339,58.788,114.489,119.653
2.500000000000001,7.528,0.478,143.192,152.466,0.2,5.908,66.05,49.374,57.197,124.738,144.835
2.600000000000001,7.129,1.0,152.791,163.801,0.2,2.147,67.985,60.867,65.148,139.033,154.294
2.700000000000001,3.272,1.0,161.558,167.834,0.2,2.952,67.459,59.465,63.67,157.009,161.139
2.800000000000001,13.907,1.0,149.988,167.414,0.2,1.527,67.371,60.656,65.771,120.257,152.941
2.9000000000000012,10.591,0.957,127.953,147.136,0.2,3.24,67.148,55.991,63.44,111.366,127.287
3.0000000000000013,4.107,0.391,116.692,123.294,0.2,5.734,67.011,50.241,55.06,109.962,117.558
3.1000000000000014,252.693,0.652,254.257,746.284,0.2,6.215,65.874,50.15,58.884,128.385,133.169
3.2000000000000015,2.554,1.0,132.265,135.062,0.2,0.851,65.881,62.816,64.855,124.984,133.197
3.3000000000000016,6.468,1.0,124.714,134.201,0.2,1.458,65.099,60.032,62.303,108.255,123.253
3.4000000000000017,3.588,1.0,116.919,123.218,0.2,1.771,62.077,56.758,60.233,110.625,117.729
3.5000000000000018,1.571,0.478,113.392,117.211,0.2,4.819,62.069,48.959,54.632,111.198,112.989
3.600000000000002,226.423,0.609,226.479,782.35,0.2,7.167,65.747,48.969,58.674,134.1,137.0
3.700000000000002,2.627,1.0,138.817,143.022,0.2,1.903,65.738,59.258,63.028,135.191,139.308
3.800000000000002,2.645,1.0,139.455,144.04,0.2,1.99,63.44,56.509,61.083,134.279,139.291
