t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,125.196,0.391,592.55,792.986,0.2,0.319,49.213,48.243,48.788,460.639,558.856
0.1,36.537,0.13,759.571,797.661,0.2,0.356,49.306,47.975,48.726,724.816,756.235
0.2,4.456,0.087,800.116,803.266,0.2,0.351,49.21,47.83,48.707,796.965,800.116
0.30000000000000004,-1,0.0,-1,-1,0.2,0.36,49.211,48.15,48.74,-1,-1
0.4,134.17,0.174,723.847,846.419,0.2,0.282,49.221,48.351,48.798,606.447,721.261
0.5,133.669,0.174,724.194,844.895,0.2,0.353,49.193,47.958,48.682,605.288,723.297
0.6,9.915,0.087,803.462,810.473,0.2,0.39,49.133,47.724,48.645,796.451,803.462
0.7,-1,0.0,-1,-1,0.2,0.502,49.795,47.99,48.635,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.482,49.725,48.052,48.685,-1,-1
0.8999999999999999,3.519,0.087,191.206,193.694,0.2,0.909,52.186,48.1,48.997,188.717,191.206
0.9999999999999999,7.107,0.696,189.349,212.33,0.2,4.485,60.537,48.595,55.895,183.097,187.898
1.0999999999999999,4.659,0.696,185.433,193.111,0.2,4.869,61.101,48.272,54.74,174.455,185.204
1.2,20.195,0.435,206.544,221.123,0.2,6.019,61.859,48.231,53.786,174.77,217.636
1.3,8.56,0.87,229.261,239.987,0.2,2.545,67.428,60.149,64.023,216.166,231.721
1.4000000000000001,5.888,1.0,241.751,252.941,0.2,1.251,69.649,64.956,66.672,231.697,240.082
1.5000000000000002,11.8,1.0,238.573,254.108,0.2,2.068,69.63,62.678,66.848,213.622,242.9
1.6000000000000003,14.307,0.913,214.644,240.88,0.2,1.854,66.671,61.618,64.292,191.545,211.916
1.7000000000000004,9.183,0.522,205.213,218.205,0.2,6.634,66.635,49.045,57.164,190.468,204.114
1.8000000000000005,3.148,0.739,213.636,218.786,0.2,7.167,69.016,49.753,63.002,209.492,213.897
1.9000000000000006,3.142,1.0,213.116,217.406,0.2,0.647,69.683,67.487,68.644,205.33,213.817
2.0000000000000004,4.789,1.0,206.398,214.887,0.2,0.465,69.345,67.595,68.409,201.086,203.533
2.1000000000000005,1.841,1.0,200.8,203.729,0.2,2.163,69.298,63.499,65.78,198.114,200.465
2.2000000000000006,2.976,0.739,197.061,200.602,0.2,4.282,63.95,52.155,61.091,190.195,198.181
2.3000000000000007,17.692,0.478,214.546,237.913,0.2,5.971,66.109,50.767,56.931,190.843,223.196
2.400000000000001,6.558,0.913,227.949,253.484,0.2,1.319,66.126,60.414,64.794,222.12,226.145
2.500000000000001,4.737,1.0,231.907,239.892,0.2,1.666,64.576,59.061,63.429,225.774,231.615
2.600000000000001,14.212,1.0,229.585,240.063,0.2,3.681,69.826,58.951,66.321,181.988,235.527
2.700000000000001,36.853,1.0,190.26,238.223,0.2,2.549,69.66,61.791,64.761,119.141,196.948
2.800000000000001,25.536,1.0,198.915,226.887,0.2,1.427,67.893,63.656,66.193,131.97,204.232
2.9000000000000012,5.819,0.652,220.024,226.887,0.2,7.719,67.776,49.092,57.494,207.775,221.483
3.0000000000000013,2.269,0.087,221.401,223.005,0.2,1.384,53.479,47.834,49.972,219.797,221.401
3.1000000000000014,12.156,0.087,804.356,812.952,0.2,1.26,52.508,46.837,49.074,795.76,804.356
3.2000000000000015,-1,0.0,-1,-1,0.2,0.656,50.124,47.924,48.968,-1,-1
3.3000000000000016,-1,0.043,656.006,656.006,0.2,0.345,49.501,48.213,48.782,656.006,656.006
3.4000000000000017,-1,0.0,-1,-1,0.2,0.308,49.176,48.072,48.721,-1,-1
3.5000000000000018,38.236,0.304,585.452,628.972,0.2,0.32,49.271,48.066,48.642,520.671,588.44
3.600000000000002,-1,0.043,803.097,803.097,0.2,0.349,49.175,47.98,48.717,803.097,803.097
3.700000000000002,-1,0.043,687.808,687.808,0.2,0.98,52.103,47.932,48.97,687.808,687.808
3.800000000000002,140.758,0.652,222.952,731.198,0.2,6.329,64.599,48.46,58.716,178.219,186.755
3.900000000000002,7.425,0.696,178.501,187.89,0.2,5.961,63.664,48.507,56.882,159.368,178.841
4.000000000000002,8.494,0.609,187.286,203.795,0.2,7.884,67.321,48.271,56.846,169.507,189.315
4.100000000000001,16.046,1.0,174.112,192.072,0.2,1.801,69.674,64.537,68.142,145.116,177.321
4.200000000000001,11.628,1.0,146.196,170.943,0.2,3.225,69.67,60.838,66.17,133.791,141.722
4.300000000000001,3.582,1.0,135.148,141.574,0.2,1.021,64.324,59.886,61.648,127.944,135.572
4.4,5.162,0.522,134.691,141.783,0.2,1.839,61.715,56.323,58.749,128.896,132.584
4.5,-1,0.0,-1,-1,0.2,3.053,65.066,56.479,61.439,-1,-1
4.6,14.014,0.13,114.494,128.555,0.2,4.998,65.188,50.906,60.01,100.529,114.399
4.699999999999999,-1,0.0,-1,-1,0.2,2.509,57.339,48.132,50.117,-1,-1
4.799999999999999,1.655,0.087,579.574,580.744,0.2,0.282,49.192,48.408,48.769,578.404,579.574
4.899999999999999,-1,0.0,-1,-1,0.2,0.51,49.325,47.237,48.608,-1,-1
4.999999999999998,1.023,0.435,169.148,170.941,0.2,8.676,67.315,47.791,59.265,168.127,168.708
5.099999999999998,4.57,0.913,166.846,170.987,0.2,3.906,67.326,52.489,63.08,151.955,168.398
5.1999999999999975,16.522,0.565,178.972,199.276,0.2,7.464,68.475,48.659,57.571,156.402,168.678
5.299999999999997,47.048,0.826,165.248,218.638,0.2,1.788,68.423,60.01,66.149,91.239,194.964
5.399999999999997,58.504,1.0,170.144,230.814,0.2,1.152,67.975,63.122,65.476,103.139,218.076
5.4999999999999964,10.433,1.0,213.322,225.16,0.2,2.049,71.969,65.975,69.17,190.883,219.683
5.599999999999996,10.738,1.0,193.151,214.757,0.2,1.138,71.048,67.145,68.336,178.138,189.662
