t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,85.299,0.783,689.868,835.98,0.2,0.441,47.958,46.486,47.234,531.559,696.47
0.1,69.614,0.609,674.792,842.581,0.2,0.54,48.457,46.287,47.416,565.172,694.529
0.2,27.008,0.348,678.75,706.063,0.2,0.4,48.065,46.661,47.317,636.689,693.728
0.30000000000000004,95.619,0.174,769.66,847.382,0.2,0.383,47.674,46.435,47.144,643.708,793.774
0.4,14.972,0.304,240.956,271.284,0.2,5.73,63.225,46.429,50.776,227.795,235.351
0.5,8.705,0.87,230.251,249.866,0.2,3.844,66.243,53.083,63.366,216.21,229.66
0.6,7.666,0.696,219.762,229.778,0.2,5.984,65.827,49.786,61.297,204.356,217.345
0.7,17.866,0.348,228.532,251.857,0.2,5.005,64.587,48.444,53.69,200.434,234.299
0.7999999999999999,7.976,0.826,239.166,252.855,0.2,4.352,66.687,52.544,63.474,229.216,238.664
0.8999999999999999,10.466,1.0,250.875,265.873,0.2,2.522,67.024,59.559,64.867,229.463,251.66
0.9999999999999999,15.152,0.783,251.343,265.848,0.2,3.417,68.796,59.424,64.412,221.18,256.093
1.0999999999999999,16.828,0.783,206.552,247.212,0.2,2.963,68.048,59.273,62.589,189.37,199.733
1.2,3.43,0.826,192.762,200.682,0.2,2.945,62.353,51.383,59.643,187.452,192.602
1.3,1.768,0.261,193.19,195.05,0.2,3.675,61.819,49.953,53.011,190.476,193.644
1.4000000000000001,11.273,0.565,284.879,310.847,0.2,8.726,69.031,49.998,60.695,274.753,281.805
1.5000000000000002,14.895,1.0,296.101,312.163,0.2,1.566,68.997,63.995,66.794,274.845,302.429
1.6000000000000003,13.875,1.0,315.622,334.519,0.2,4.103,66.083,53.0,61.412,286.492,311.615
1.7000000000000004,8.118,1.0,330.373,341.287,0.2,4.558,64.461,49.421,61.162,307.97,333.401
1.8000000000000005,8.597,0.304,328.708,336.77,0.2,5.013,62.181,44.601,50.001,315.742,332.003
1.9000000000000006,6.705,0.087,669.652,674.393,0.2,1.731,52.846,44.886,47.392,664.911,669.652
2.0000000000000004,155.71,0.609,251.775,792.523,0.2,6.705,64.327,46.919,57.999,203.641,210.226
2.1000000000000005,4.632,1.0,206.956,215.753,0.2,1.171,66.787,63.219,65.023,199.159,206.821
2.2000000000000006,22.334,1.0,228.789,273.688,0.2,1.22,67.6,64.213,65.72,201.945,222.691
2.3000000000000007,21.707,1.0,273.218,298.72,0.2,0.669,69.355,66.605,67.731,231.308,281.713
2.400000000000001,7.943,1.0,298.791,321.753,0.2,0.337,67.657,66.46,67.194,287.434,298.493
2.500000000000001,13.751,1.0,319.499,344.174,0.2,1.562,67.12,61.828,65.636,299.469,322.758
2.600000000000001,10.392,0.739,338.745,354.366,0.2,7.164,65.512,45.56,55.703,323.405,338.399
2.700000000000001,7.286,0.174,345.598,352.278,0.2,1.019,49.245,45.838,47.607,334.807,348.281
2.800000000000001,-1,0.0,-1,-1,0.2,0.539,48.602,46.294,47.27,-1,-1
2.9000000000000012,11.357,0.174,235.599,247.28,0.2,2.896,56.595,46.399,48.404,221.716,236.699
3.0000000000000013,20.855,0.696,209.499,251.382,0.2,5.933,64.371,46.485,58.721,186.417,200.175
3.1000000000000014,10.63,0.609,203.065,228.346,0.2,6.977,64.453,46.5,56.979,189.913,200.055
3.2000000000000015,10.38,0.522,203.736,227.416,0.2,4.755,69.454,51.167,60.653,192.317,201.456
3.3000000000000016,3.151,0.565,191.318,195.645,0.2,9.42,82.458,49.647,64.807,185.224,191.5
3.4000000000000017,5.423,1.0,185.674,195.134,0.2,2.257,64.418,56.699,62.161,172.741,184.64
3.5000000000000018,37.273,0.652,210.559,263.266,0.2,7.761,68.496,47.217,56.314,171.7,184.05
3.600000000000002,15.509,0.826,271.82,304.79,0.2,4.795,68.781,49.87,61.927,250.47,269.402
3.700000000000002,21.376,1.0,303.295,335.958,0.2,3.058,67.136,56.402,62.615,257.299,306.775
3.800000000000002,16.708,1.0,335.837,367.551,0.2,4.602,64.74,49.966,57.858,308.209,334.155
3.900000000000002,23.053,0.739,335.24,369.437,0.2,2.199,55.53,46.576,49.583,292.222,333.407
4.000000000000002,53.096,0.261,255.447,316.536,0.2,0.994,50.605,46.586,47.761,205.447,253.491
4.100000000000001,10.241,0.696,200.072,218.698,0.2,7.034,64.72,47.484,57.074,184.835,197.874
4.200000000000001,6.44,0.478,191.803,202.653,0.2,7.819,64.634,42.366,54.9,181.408,192.297
4.300000000000001,15.734,0.391,197.292,231.209,0.2,6.063,61.662,45.491,53.307,182.434,193.943
4.4,13.065,1.0,192.143,239.209,0.2,1.884,61.599,55.589,59.035,182.12,187.686
4.5,4.111,0.913,183.93,191.354,0.2,3.178,67.828,57.577,62.202,175.646,183.832
4.6,3.159,0.87,178.841,182.427,0.2,3.162,67.912,58.36,62.199,169.034,179.766
4.699999999999999,14.497,0.826,183.807,214.755,0.2,4.859,63.318,47.974,56.723,159.105,179.714
4.799999999999999,25.983,0.652,211.307,252.263,0.2,6.276,65.419,47.396,56.728,181.231,199.379
4.899999999999999,3.676,0.739,252.143,258.812,0.2,6.401,67.759,47.654,62.474,247.28,251.694
4.999999999999998,19.002,1.0,241.857,258.623,0.2,3.405,67.746,55.138,63.137,199.366,251.309
5.099999999999998,31.6,1.0,193.646,252.418,0.2,2.598,64.451,55.337,62.261,157.504,185.142
5.1999999999999975,10.205,1.0,165.266,189.577,0.2,4.676,63.655,51.393,58.378,154.386,162.711
5.299999999999997,10.282,0.957,162.873,188.726,0.2,2.277,56.644,49.448,54.053,154.871,157.802
5.399999999999997,1.072,0.348,157.716,160.184,0.2,2.225,54.848,47.311,49.549,156.85,157.334
5.4999999999999964,37.116,0.217,698.263,731.357,0.2,1.31,50.745,45.858,48.114,640.931,695.164
5.599999999999996,62.392,0.565,715.992,799.358,0.2,1.962,50.913,43.251,47.325,635.629,692.793
5.699999999999996,10.936,0.435,218.111,238.931,0.2,5.514,62.012,46.685,51.99,201.743,216.227
5.799999999999995,12.513,1.0,205.48,236.743,0.2,4.375,69.441,56.867,65.348,193.835,197.697
5.899999999999995,1.999,1.0,195.731,198.139,0.2,2.85,69.431,62.122,65.143,191.074,196.389
5.999999999999995,3.469,1.0,199.329,209.605,0.2,1.233,64.535,60.355,62.901,195.443,198.822
6.099999999999994,16.219,1.0,216.035,251.635,0.2,2.063,66.856,60.353,64.32,198.644,212.113
6.199999999999994,17.209,0.783,243.147,265.649,0.2,7.893,67.623,47.348,60.387,216.222,241.721
6.299999999999994,12.166,0.217,252.845,264.684,0.2,1.767,53.224,46.363,48.319,236.991,258.146
6.399999999999993,7.666,0.087,236.98,242.401,0.2,2.228,55.845,46.264,48.052,231.559,236.98
6.499999999999993,16.791,0.696,211.99,251.69,0.2,7.458,67.176,47.076,60.665,195.636,209.295
6.5999999999999925,8.295,1.0,202.242,217.815,0.2,2.227,67.12,59.173,64.359,184.193,199.426
6.699999999999992,13.135,0.87,215.332,231.245,0.2,3.592,64.028,49.894,61.097,182.835,217.989
6.799999999999992,13.091,0.739,227.295,250.711,0.2,6.373,66.694,47.242,59.087,203.003,229.632
6.8999999999999915,13.387,0.609,219.94,241.621,0.2,8.264,72.55,45.333,61.092,202.605,216.093
6.999999999999991,6.688,0.348,207.931,216.487,0.2,8.098,71.078,44.298,57.541,196.747,206.815
7.099999999999991,15.648,0.261,190.262,212.129,0.2,4.587,59.13,44.157,50.708,175.26,186.031
7.19999999999999,11.467,0.826,175.337,211.429,0.2,2.291,59.219,49.908,55.406,163.078,173.602
7.29999999999999,7.622,0.783,163.251,174.311,0.2,2.297,54.925,47.409,52.208,149.635,164.688
7.39999999999999,4.075,0.522,157.052,161.321,0.2,4.167,56.493,45.037,51.167,149.332,158.915
7.499999999999989,3.383,0.609,158.043,162.1,0.2,3.347,56.494,47.736,52.955,150.506,158.919
7.599999999999989,255.645,0.565,587.096,800.914,0.2,1.094,50.105,45.756,47.703,150.287,695.546
7.699999999999989,37.498,0.783,800.645,851.588,0.2,0.529,48.521,46.617,47.613,695.828,802.44
7.799999999999988,62.042,0.739,788.016,872.391,0.2,0.513,48.298,46.569,47.494,612.289,800.074
7.899999999999988,60.421,0.13,763.489,812.224,0.2,0.435,47.917,46.423,47.013,693.757,796.421
7.999999999999988,-1,0.0,-1,-1,0.2,4.506,58.552,46.379,51.55,-1,-1
8.099999999999987,3.457,0.478,242.021,246.289,0.2,7.669,77.537,52.798,66.036,235.648,242.23
8.199999999999987,5.461,1.0,243.658,249.94,0.2,1.724,70.514,63.893,68.151,230.051,244.014
8.299999999999986,10.014,0.783,240.428,260.701,0.2,6.965,68.967,48.449,62.563,220.551,242.18
8.399999999999986,23.927,1.0,227.367,289.45,0.2,3.481,69.001,58.662,64.46,195.75,226.47
8.499999999999986,19.11,1.0,231.197,263.137,0.2,2.603,67.582,58.619,64.448,195.633,230.648
8.599999999999985,16.007,0.826,262.748,282.677,0.2,1.055,70.618,66.57,67.929,239.472,264.793
8.699999999999985,10.937,0.826,290.289,302.568,0.2,2.446,72.014,62.821,67.379,273.135,294.022
8.799999999999985,9.834,0.522,294.473,302.552,0.2,8.34,65.83,45.835,53.911,273.458,299.468
8.899999999999984,23.331,0.609,229.299,277.279,0.2,8.798,67.504,45.862,58.044,205.027,221.994
8.999999999999984,15.494,1.0,201.562,233.903,0.2,1.076,66.641,62.961,64.408,177.998,202.248
9.099999999999984,9.482,0.652,182.459,202.841,0.2,7.346,65.605,47.012,57.608,166.993,181.856
9.199999999999983,2.073,0.087,168.534,170.0,0.2,0.866,49.827,46.548,47.842,167.068,168.534
9.299999999999983,5.071,0.435,154.392,165.323,0.2,2.858,53.542,46.354,49.755,148.767,154.11
9.399999999999983,4.365,0.696,152.283,164.4,0.2,1.997,53.499,47.235,51.052,146.728,150.185
9.499999999999982,294.959,0.435,571.264,834.218,0.2,0.923,49.934,46.361,47.541,146.65,711.817
9.599999999999982,1.163,0.087,806.268,807.091,0.2,0.713,48.867,46.222,47.324,805.446,806.268
9.699999999999982,-1,0.0,-1,-1,0.2,0.625,48.19,46.341,47.234,-1,-1
9.799999999999981,-1,0.0,-1,-1,0.2,0.389,47.628,46.246,46.92,-1,-1
9.89999999999998,-1,0.0,-1,-1,0.2,0.381,47.59,46.366,46.936,-1,-1
9.99999999999998,-1,0.043,617.575,617.575,0.2,1.142,51.577,46.399,47.345,617.575,617.575
10.09999999999998,6.572,0.609,232.845,244.926,0.2,8.712,68.791,46.749,59.862,222.128,232.797
10.19999999999998,16.866,1.0,251.916,287.966,0.2,0.595,69.947,67.584,68.454,225.7,252.155
10.29999999999998,26.523,1.0,295.042,337.339,0.2,1.066,71.498,67.943,69.706,258.381,296.938
10.399999999999979,42.367,1.0,276.921,336.118,0.2,2.785,71.492,60.042,69.19,212.189,279.582
10.499999999999979,18.859,0.696,224.631,262.487,0.2,7.83,69.639,46.59,57.521,190.848,220.577
10.599999999999978,250.254,0.739,358.58,846.005,0.2,8.714,66.463,46.564,55.299,191.59,229.704
10.699999999999978,6.424,0.696,232.729,249.869,0.2,8.349,66.705,46.45,59.698,224.649,232.274
10.799999999999978,7.419,0.304,234.628,246.638,0.2,2.026,54.601,45.688,48.775,227.792,230.182
10.899999999999977,23.799,0.783,204.361,245.846,0.2,5.732,62.158,45.76,57.238,162.748,197.796
10.999999999999977,9.629,0.565,191.833,212.514,0.2,6.479,62.063,46.009,55.047,181.484,190.12
11.099999999999977,15.021,0.652,183.497,221.286,0.2,4.532,62.139,46.675,56.667,169.2,176.669
11.199999999999976,5.495,0.739,179.374,187.432,0.2,6.522,72.434,50.673,60.777,171.963,178.107
11.299999999999976,112.291,0.913,217.931,559.974,0.2,5.038,63.44,47.855,58.958,174.429,183.245
11.399999999999975,41.774,0.435,222.394,266.983,0.2,8.617,70.335,47.318,56.53,177.626,222.816
11.499999999999975,15.779,0.783,277.898,302.896,0.2,3.208,70.429,57.851,64.462,253.448,275.506
11.599999999999975,79.095,1.0,208.121,302.507,0.2,4.49,68.717,53.342,62.601,97.854,153.99
11.699999999999974,248.679,0.826,388.697,743.935,0.2,5.605,64.163,46.716,51.572,98.079,559.038
11.799999999999974,94.404,0.913,681.774,837.371,0.2,0.741,48.417,45.988,47.187,525.68,688.371
11.899999999999974,51.631,0.478,690.154,799.645,0.2,0.673,48.373,46.006,47.133,629.618,685.448
11.999999999999973,14.511,0.261,211.278,229.864,0.2,4.948,63.333,45.74,49.339,197.657,205.582
12.099999999999973,12.878,0.565,201.146,228.99,0.2,7.274,64.336,43.297,57.376,189.319,196.122
12.199999999999973,232.187,0.522,298.881,804.11,0.2,6.595,63.084,43.194,54.257,188.466,198.263
12.299999999999972,12.131,0.87,193.17,230.215,0.2,2.511,63.165,55.234,59.695,182.563,187.732
12.399999999999972,1.547,0.783,185.243,188.439,0.2,2.757,65.1,56.182,61.276,182.602,184.918
12.499999999999972,31.869,0.739,225.279,267.032,0.2,2.287,70.052,62.363,66.257,183.768,227.154
12.599999999999971,14.317,0.913,250.201,268.042,0.2,6.131,67.394,48.69,63.506,222.862,253.722
12.69999999999997,19.588,0.826,254.335,306.537,0.2,7.793,68.52,47.277,60.35,230.73,251.074
12.79999999999997,22.497,1.0,230.806,272.683,0.2,3.734,68.46,55.526,63.554,190.157,233.029
12.89999999999997,14.811,1.0,196.187,230.19,0.2,2.199,63.383,55.636,61.462,183.747,187.417
12.99999999999997,10.629,1.0,196.27,215.944,0.2,0.77,63.363,60.96,62.172,183.717,193.216
13.09999999999997,8.946,0.826,215.102,226.46,0.2,2.648,62.171,53.69,60.636,200.238,217.083
13.199999999999969,2.482,0.261,223.863,226.486,0.2,4.127,61.469,46.897,52.934,220.26,224.804
13.299999999999969,13.223,0.478,226.823,247.137,0.2,5.515,61.163,45.637,52.294,204.573,228.257
13.399999999999968,20.001,0.826,206.627,242.283,0.2,1.167,61.982,57.064,60.493,183.83,202.783
13.499999999999968,2.391,0.826,184.4,188.943,0.2,0.79,62.06,59.042,59.92,180.991,184.831
13.599999999999968,3.326,1.0,183.359,189.257,0.2,1.661,62.962,56.388,59.927,177.667,182.717
13.699999999999967,16.534,1.0,196.65,250.248,0.2,4.362,64.973,50.067,60.938,177.926,192.864
13.799999999999967,4.581,0.348,202.247,208.591,0.2,4.871,62.132,46.497,50.295,195.809,202.78
13.899999999999967,18.275,0.174,233.813,258.53,0.2,2.621,57.418,46.385,49.278,214.814,230.954
13.999999999999966,153.765,0.435,250.27,681.673,0.2,3.361,58.547,48.079,53.097,165.28,203.595
14.099999999999966,12.343,0.565,202.267,222.654,0.2,2.845,57.629,49.137,54.196,170.434,199.966
14.199999999999966,7.351,1.0,201.269,217.738,0.2,3.034,61.338,50.327,56.077,191.012,198.467
14.299999999999965,13.231,0.435,203.533,236.027,0.2,7.183,75.217,50.07,60.84,195.196,197.057
14.399999999999965,5.231,0.522,244.248,250.448,0.2,5.834,75.292,50.469,64.33,235.405,245.146
14.499999999999964,33.37,0.391,261.732,329.096,0.2,5.96,63.151,46.043,53.344,232.829,248.772
14.599999999999964,10.91,0.652,293.165,316.219,0.2,7.29,67.287,47.296,61.01,278.369,290.488
14.699999999999964,13.976,1.0,273.328,292.865,0.2,0.853,67.298,63.492,66.492,239.628,274.801
14.799999999999963,27.197,0.783,272.944,326.494,0.2,7.608,66.974,47.077,58.845,236.624,265.7
14.899999999999963,8.55,0.826,309.111,323.536,0.2,4.878,66.835,50.258,62.154,299.004,306.882
14.999999999999963,156.563,0.609,407.516,682.917,0.2,5.789,62.545,45.313,51.116,299.336,319.638
15.099999999999962,85.322,0.826,717.68,845.948,0.2,0.709,48.077,45.444,47.046,610.891,689.34
