t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,4.527,59.667,42.738,52.438,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.854,53.985,50.863,53.115,-1,-1
0.2,93.082,0.913,654.581,772.955,0.2,1.157,53.399,49.76,51.7,474.865,666.415
0.30000000000000004,92.264,0.957,678.203,826.008,0.2,1.376,50.852,46.477,48.716,470.209,663.883
0.4,49.713,1.0,704.696,790.533,0.2,1.501,47.693,42.921,45.342,621.71,724.658
0.5,48.287,1.0,749.557,846.233,0.2,1.553,44.221,39.357,41.749,638.863,744.519
0.6,64.901,1.0,650.778,789.824,0.2,1.666,40.553,35.325,37.976,576.585,635.019
0.7,31.585,0.435,647.357,712.664,0.2,1.671,36.719,31.417,34.069,600.883,644.598
0.7999999999999999,132.22,0.174,611.588,726.179,0.2,6.325,53.433,30.012,33.933,487.733,616.22
0.8999999999999999,81.975,0.652,530.403,726.283,0.2,6.446,54.763,31.595,43.652,450.386,509.684
0.9999999999999999,37.336,0.913,534.049,642.56,0.2,7.621,47.579,23.246,39.05,491.658,517.462
1.0999999999999999,62.394,0.652,533.917,630.474,0.2,7.004,47.807,23.252,37.254,451.181,549.759
1.2,108.176,0.739,426.47,558.61,0.2,3.026,44.013,32.396,38.006,239.248,464.457
1.3,12.787,0.913,519.433,543.409,0.2,1.582,39.484,34.504,37.234,498.351,519.959
1.4000000000000001,5.279,0.217,593.136,597.577,0.2,9.07,64.088,31.749,38.627,584.098,593.935
1.5000000000000002,1.494,0.13,596.005,597.73,0.2,15.463,79.1,32.514,66.289,595.082,595.205
1.6000000000000003,-1,0.0,-1,-1,0.2,9.716,79.087,53.839,70.127,-1,-1
1.7000000000000004,1.132,0.304,106.578,108.368,0.2,11.565,82.982,53.655,66.731,105.093,106.278
1.8000000000000005,7.353,1.0,112.048,133.497,0.2,0.901,82.913,79.593,81.884,102.549,110.131
1.9000000000000006,5.171,1.0,109.083,122.748,0.2,1.489,84.757,80.531,82.425,97.865,109.796
2.0000000000000004,2.705,0.391,104.175,107.024,0.2,1.238,84.729,79.825,83.7,99.781,105.935
2.1000000000000005,110.527,0.304,585.689,746.385,0.2,2.407,85.916,77.855,82.715,495.968,545.863
2.2000000000000006,51.01,0.217,577.128,632.978,0.2,5.479,85.144,68.752,74.205,524.839,548.694
2.3000000000000007,73.187,0.522,515.314,633.425,0.2,5.837,85.275,69.098,79.312,422.585,490.906
2.400000000000001,23.659,1.0,456.634,497.858,0.2,0.601,85.265,83.081,84.41,420.297,446.959
2.500000000000001,3.847,0.435,441.864,446.864,0.2,4.026,85.209,75.453,80.758,435.568,443.403
2.600000000000001,-1,0.0,-1,-1,0.2,0.861,78.529,75.492,77.218,-1,-1
2.700000000000001,-1,0.0,-1,-1,0.2,4.796,79.379,65.345,74.399,-1,-1
2.800000000000001,-1,0.0,-1,-1,0.2,5.749,82.175,63.167,69.616,-1,-1
2.9000000000000012,-1,0.0,-1,-1,0.2,5.625,83.618,62.383,80.309,-1,-1
3.0000000000000013,0.992,0.13,189.352,190.177,0.2,3.03,83.726,75.23,81.328,188.211,189.835
3.1000000000000014,-1,0.0,-1,-1,0.2,3.028,83.637,74.248,79.81,-1,-1
3.2000000000000015,6.929,0.217,746.19,754.588,0.2,3.939,81.378,68.785,73.09,735.268,748.531
3.3000000000000016,16.781,0.261,755.759,777.544,0.2,7.066,72.441,50.107,63.432,739.339,750.791
3.4000000000000017,64.258,0.174,170.025,229.935,0.2,9.672,59.894,23.942,42.89,111.094,169.535
3.5000000000000018,7.476,0.13,121.934,129.424,0.2,22.839,79.451,12.637,43.829,114.473,121.904
3.600000000000002,9.06,0.174,122.901,132.909,0.2,6.927,81.162,59.82,72.332,114.973,121.861
3.700000000000002,-1,0.0,-1,-1,0.2,11.036,81.723,51.903,66.28,-1,-1
3.800000000000002,-1,0.0,-1,-1,0.2,2.438,81.739,74.033,77.993,-1,-1
3.900000000000002,-1,0.0,-1,-1,0.2,9.964,78.113,50.606,67.066,-1,-1
4.000000000000002,24.866,0.435,595.11,616.237,0.2,10.425,85.566,50.994,77.861,537.407,601.775
4.100000000000001,31.694,0.826,579.49,616.255,0.2,0.613,85.694,83.557,84.862,517.803,594.67
4.200000000000001,6.83,0.174,111.855,117.31,0.2,1.036,84.579,81.096,82.76,101.629,114.965
4.300000000000001,-1,0.0,-1,-1,0.2,5.184,84.115,67.819,79.523,-1,-1
4.4,-1,0.0,-1,-1,0.2,9.239,78.722,48.962,60.787,-1,-1
4.5,-1,0.0,-1,-1,0.2,12.07,81.529,48.238,68.403,-1,-1
4.6,-1,0.0,-1,-1,0.2,10.522,79.981,43.15,68.951,-1,-1
4.699999999999999,-1,0.0,-1,-1,0.2,15.982,80.717,38.871,61.955,-1,-1
4.799999999999999,15.17,0.261,518.721,535.232,0.2,2.181,85.473,78.885,82.52,493.021,521.442
4.899999999999999,6.074,0.13,525.99,532.021,0.2,2.593,84.676,77.421,80.385,519.873,526.077
4.999999999999998,-1,0.0,-1,-1,0.2,0.782,79.655,77.387,78.724,-1,-1
5.099999999999998,-1,0.0,-1,-1,0.2,0.821,80.633,77.441,79.702,-1,-1
5.1999999999999975,-1,0.0,-1,-1,0.2,2.759,80.229,72.405,75.413,-1,-1
5.299999999999997,-1,0.0,-1,-1,0.2,1.269,76.738,73.415,75.344,-1,-1
5.399999999999997,8.85,0.391,504.734,512.179,0.2,0.885,77.39,74.357,76.097,485.123,509.172
5.4999999999999964,9.776,0.609,504.697,513.12,0.2,9.768,77.421,52.893,69.627,476.704,508.53
5.599999999999996,178.335,0.217,193.321,512.334,0.2,6.471,60.189,34.814,49.3,112.95,113.441
5.699999999999996,85.339,1.0,489.515,539.335,0.2,5.237,46.941,29.52,35.708,246.82,521.642
5.799999999999995,84.992,1.0,486.065,553.921,0.2,5.469,45.283,24.406,34.789,246.774,516.458
5.899999999999995,14.876,0.609,511.13,541.59,0.2,6.36,34.048,15.611,23.382,488.985,507.546
5.999999999999995,8.412,0.087,495.488,501.437,0.2,1.845,17.131,10.598,14.203,489.539,495.488
6.099999999999994,10.326,0.174,491.698,501.254,0.2,23.663,66.694,8.431,27.379,478.345,494.277
6.199999999999994,10.783,0.174,490.227,500.416,0.2,9.156,80.473,47.171,72.049,479.566,490.464
6.299999999999994,6.198,0.13,744.988,751.494,0.2,5.591,79.68,64.643,71.13,739.152,744.319
6.399999999999993,-1,0.0,-1,-1,0.2,6.024,81.372,64.687,74.537,-1,-1
6.499999999999993,-1,0.0,-1,-1,0.2,1.602,82.812,77.983,80.607,-1,-1
6.5999999999999925,-1,0.0,-1,-1,0.2,1.794,83.576,77.857,80.441,-1,-1
6.699999999999992,-1,0.0,-1,-1,0.2,8.462,83.555,56.204,75.149,-1,-1
6.799999999999992,-1,0.0,-1,-1,0.2,10.638,82.079,54.408,70.046,-1,-1
6.8999999999999915,-1,0.043,101.12,101.12,0.2,2.869,82.236,72.998,78.167,101.12,101.12
6.999999999999991,-1,0.0,-1,-1,0.2,1.6,82.35,77.809,80.313,-1,-1
7.099999999999991,-1,0.0,-1,-1,0.2,0.482,82.367,80.26,81.733,-1,-1
7.19999999999999,-1,0.0,-1,-1,0.2,2.319,82.214,76.189,78.453,-1,-1
7.29999999999999,-1,0.0,-1,-1,0.2,0.996,79.41,76.397,78.087,-1,-1
7.39999999999999,-1,0.0,-1,-1,0.2,1.318,81.78,77.274,78.966,-1,-1
7.499999999999989,-1,0.0,-1,-1,0.2,4.575,79.767,67.22,74.026,-1,-1
7.599999999999989,-1,0.0,-1,-1,0.2,4.431,75.548,63.144,70.508,-1,-1
7.699999999999989,-1,0.0,-1,-1,0.2,2.544,77.66,68.826,74.404,-1,-1
7.799999999999988,-1,0.0,-1,-1,0.2,2.62,77.715,69.817,73.381,-1,-1
7.899999999999988,4.717,0.261,751.379,757.357,0.2,2.333,76.112,68.758,72.642,744.17,752.696
7.999999999999988,5.071,0.304,751.424,757.583,0.2,5.036,80.65,66.52,73.71,743.786,749.773
8.099999999999987,-1,0.0,-1,-1,0.2,6.787,80.621,55.957,73.324,-1,-1
8.199999999999987,-1,0.0,-1,-1,0.2,9.183,76.784,51.5,64.369,-1,-1
8.299999999999986,-1,0.0,-1,-1,0.2,2.941,80.854,69.216,77.943,-1,-1
8.399999999999986,-1,0.0,-1,-1,0.2,1.257,80.894,77.839,79.452,-1,-1
8.499999999999986,-1,0.0,-1,-1,0.2,1.392,77.99,74.499,76.646,-1,-1
8.599999999999985,-1,0.0,-1,-1,0.2,1.338,78.063,74.393,76.51,-1,-1
8.699999999999985,-1,0.0,-1,-1,0.2,1.124,77.717,74.522,75.747,-1,-1
8.799999999999985,-1,0.0,-1,-1,0.2,0.897,77.572,74.496,76.483,-1,-1
8.899999999999984,-1,0.0,-1,-1,0.2,0.514,78.026,76.309,76.958,-1,-1
8.999999999999984,-1,0.0,-1,-1,0.2,5.206,76.911,63.675,71.164,-1,-1
9.099999999999984,-1,0.0,-1,-1,0.2,5.58,77.289,61.806,70.823,-1,-1
9.199999999999983,7.752,0.435,221.327,232.304,0.2,7.611,77.255,54.964,68.044,209.564,222.118
9.299999999999983,141.521,0.565,310.563,526.061,0.2,7.558,77.221,55.065,68.743,206.788,225.117
9.399999999999983,5.197,0.217,505.959,513.302,0.2,3.53,78.497,66.405,70.652,500.691,503.299
9.499999999999982,200.217,0.652,339.674,512.257,0.2,3.821,80.571,66.686,77.175,100.466,483.826
9.599999999999982,1.56,0.478,102.636,104.457,0.2,1.355,81.3,76.85,79.747,100.417,103.294
9.699999999999982,31.93,0.565,192.542,236.008,0.2,3.931,80.637,66.574,75.698,100.681,192.883
9.799999999999981,44.461,0.652,187.99,237.406,0.2,9.474,79.694,47.207,63.716,108.393,195.538
9.89999999999998,44.406,0.304,560.841,609.671,0.2,10.646,84.349,49.696,76.486,484.85,567.7
9.99999999999998,-1,0.0,-1,-1,0.2,12.349,81.893,50.315,64.677,-1,-1
10.09999999999998,4.044,0.435,441.371,446.859,0.2,8.26,56.337,31.703,45.562,433.985,441.876
10.19999999999998,30.829,0.739,720.24,754.152,0.2,1.58,40.684,36.046,38.714,668.99,735.869
10.29999999999998,-1,0.0,-1,-1,0.2,3.146,45.923,34.203,37.192,-1,-1
10.399999999999979,4.239,0.087,113.034,116.032,0.2,15.979,80.037,34.224,58.569,110.037,113.034
10.499999999999979,5.849,0.13,118.865,123.638,0.2,2.926,82.003,70.568,77.611,112.122,121.921
10.599999999999978,-1,0.0,-1,-1,0.2,1.823,82.445,77.583,80.12,-1,-1
10.699999999999978,-1,0.0,-1,-1,0.2,2.311,79.341,70.305,77.582,-1,-1
10.799999999999978,-1,0.0,-1,-1,0.2,8.883,81.548,54.611,71.644,-1,-1
10.899999999999977,-1,0.0,-1,-1,0.2,3.748,81.623,67.051,77.121,-1,-1
10.999999999999977,27.423,0.217,455.307,486.353,0.2,6.004,82.981,62.426,72.134,418.779,458.416
11.099999999999977,24.95,0.565,484.261,503.986,0.2,3.564,84.722,71.575,81.682,425.253,496.965
11.199999999999976,10.294,0.783,484.921,502.425,0.2,1.759,84.542,77.271,82.521,468.707,482.17
11.299999999999976,197.298,0.391,315.606,486.53,0.2,7.729,84.485,60.517,72.134,104.765,474.641
11.399999999999975,2.853,0.174,108.336,111.842,0.2,7.491,81.374,60.401,74.778,104.745,108.402
11.499999999999975,32.178,0.609,484.373,531.076,0.2,1.986,82.038,75.199,79.738,444.483,472.335
11.599999999999975,116.984,0.435,543.181,757.519,0.2,4.145,81.338,65.43,76.307,443.707,513.173
11.699999999999974,12.261,0.174,422.579,440.491,0.2,4.447,76.799,61.329,67.704,410.846,418.371
11.799999999999974,3.966,0.13,633.387,637.153,0.2,3.535,74.915,63.668,71.652,629.044,634.299
11.899999999999974,-1,0.0,-1,-1,0.2,3.085,81.797,74.388,77.821,-1,-1
11.999999999999973,-1,0.0,-1,-1,0.2,2.975,81.784,73.528,77.111,-1,-1
12.099999999999973,-1,0.0,-1,-1,0.2,9.414,74.993,51.281,64.564,-1,-1
12.199999999999973,8.207,0.261,467.024,473.365,0.2,10.385,79.55,51.125,67.174,454.523,471.367
12.299999999999972,8.623,0.304,465.242,475.013,0.2,1.844,79.644,74.218,76.502,452.478,470.747
12.399999999999972,19.481,0.13,427.545,447.83,0.2,1.345,79.214,74.247,76.089,408.982,425.823
12.499999999999972,-1,0.0,-1,-1,0.2,11.321,79.96,46.747,68.718,-1,-1
12.599999999999971,-1,0.0,-1,-1,0.2,12.039,76.854,46.79,62.384,-1,-1
12.69999999999997,-1,0.0,-1,-1,0.2,1.355,78.645,74.145,76.949,-1,-1
12.79999999999997,-1,0.0,-1,-1,0.2,1.718,82.11,76.916,80.151,-1,-1
12.89999999999997,-1,0.0,-1,-1,0.2,12.0,82.107,47.567,71.088,-1,-1
12.99999999999997,-1,0.0,-1,-1,0.2,10.357,78.21,48.263,67.087,-1,-1
13.09999999999997,9.859,0.217,424.022,439.58,0.2,9.902,78.248,51.354,66.343,415.052,419.575
13.199999999999969,31.038,0.565,460.552,492.527,0.2,9.465,81.654,51.795,75.059,415.479,478.503
13.299999999999969,5.5,0.174,487.462,493.809,0.2,14.139,81.61,36.693,62.639,480.52,487.79
13.399999999999968,4.473,0.174,759.597,766.012,0.2,8.902,55.72,27.797,42.275,755.859,758.258
13.499999999999968,3.34,0.217,758.977,763.432,0.2,12.151,51.432,13.971,24.59,754.711,758.385
13.599999999999968,-1,0.0,-1,-1,0.2,1.35,17.659,12.768,15.965,-1,-1
13.699999999999967,-1,0.0,-1,-1,0.2,13.416,49.737,10.377,20.306,-1,-1
13.799999999999967,43.933,0.261,528.959,596.198,0.2,20.206,82.791,15.189,61.813,483.526,525.081
13.899999999999967,245.07,0.348,337.467,609.314,0.2,7.103,82.672,63.792,72.644,108.643,319.272
13.999999999999966,1.555,0.13,109.556,111.119,0.2,8.512,78.251,50.235,66.74,107.932,109.704
14.099999999999966,4.655,0.217,473.005,478.098,0.2,11.307,83.536,50.693,68.786,467.283,475.468
14.199999999999966,4.41,0.217,472.796,478.233,0.2,11.582,83.517,51.542,70.407,466.761,471.685
14.299999999999965,14.731,0.174,119.247,136.894,0.2,11.714,83.052,51.647,70.692,100.908,119.594
14.399999999999965,-1,0.0,-1,-1,0.2,1.888,83.017,76.164,80.541,-1,-1
14.499999999999964,-1,0.0,-1,-1,0.2,0.869,81.527,78.601,79.604,-1,-1
14.599999999999964,-1,0.0,-1,-1,0.2,0.803,81.477,78.779,80.588,-1,-1
14.699999999999964,-1,0.0,-1,-1,0.2,1.06,81.465,78.304,79.863,-1,-1
14.799999999999963,3.56,0.217,520.507,523.978,0.2,1.105,82.535,79.411,80.822,515.131,522.09
14.899999999999963,-1,0.0,-1,-1,0.2,7.408,82.547,59.496,75.411,-1,-1
14.999999999999963,-1,0.0,-1,-1,0.2,8.665,78.167,52.946,66.437,-1,-1
15.099999999999962,-1,0.0,-1,-1,0.2,4.036,78.709,66.683,74.323,-1,-1
15.199999999999962,-1,0.0,-1,-1,0.2,4.121,78.306,66.63,74.682,-1,-1
