t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,4.833,51.616,34.644,43.86,-1,-1
0.1,-1,0.0,-1,-1,0.2,3.102,44.246,33.65,39.321,-1,-1
0.2,-1,0.0,-1,-1,0.2,1.939,45.467,38.728,42.35,-1,-1
0.30000000000000004,3.52,0.13,746.585,750.584,0.2,3.242,46.278,33.759,40.417,743.954,745.217
0.4,-1,0.0,-1,-1,0.2,2.064,42.288,34.134,39.381,-1,-1
0.5,2.177,0.522,151.588,156.133,0.2,15.27,72.421,38.004,58.272,147.268,151.498
0.6,1.621,1.0,150.013,153.263,0.2,4.52,72.397,58.131,66.334,147.295,150.397
0.7,2.213,0.609,149.752,154.481,0.2,8.326,63.468,40.566,50.201,145.811,148.942
0.7999999999999999,4.548,0.261,191.932,200.324,0.2,8.041,62.633,39.715,46.596,187.031,190.546
0.8999999999999999,4.058,0.826,194.606,201.226,0.2,4.616,66.941,48.736,62.37,187.845,194.133
0.9999999999999999,3.653,1.0,198.912,205.355,0.2,1.677,68.423,64.054,66.334,190.173,198.107
1.0999999999999999,11.593,1.0,188.871,204.832,0.2,1.199,68.425,65.468,67.332,169.196,190.748
1.2,9.05,1.0,168.699,186.574,0.2,1.175,67.113,61.794,65.823,152.086,168.579
1.3,5.411,1.0,156.902,166.4,0.2,2.471,67.047,59.766,63.431,146.895,156.612
1.4000000000000001,6.597,0.609,149.811,159.948,0.2,5.953,65.256,50.031,57.573,138.026,150.64
1.5000000000000002,7.853,0.348,174.556,192.993,0.2,6.177,65.931,49.898,55.591,169.123,171.966
1.6000000000000003,6.544,0.957,175.22,193.113,0.2,4.961,67.879,52.612,63.53,168.277,174.069
1.7000000000000004,7.991,1.0,167.792,180.537,0.2,4.547,65.55,52.624,62.305,155.141,168.68
1.8000000000000005,4.179,1.0,156.846,167.863,0.2,0.673,65.226,63.361,64.649,150.836,155.635
1.9000000000000006,2.244,1.0,153.263,155.896,0.2,0.937,64.334,60.244,63.544,148.552,153.834
2.0000000000000004,2.647,0.435,151.856,154.856,0.2,6.532,64.355,46.974,54.363,148.546,151.291
2.1000000000000005,8.655,0.565,187.735,213.012,0.2,8.264,65.755,47.128,58.107,180.198,185.402
2.2000000000000006,6.286,1.0,178.982,186.441,0.2,4.824,65.678,50.494,61.952,165.752,180.606
2.3000000000000007,9.975,0.696,169.583,183.871,0.2,8.171,64.012,43.347,56.478,148.313,169.755
2.400000000000001,373.263,0.174,482.5,809.191,0.2,2.698,50.137,38.67,42.702,158.803,481.003
2.500000000000001,8.446,0.391,173.477,193.253,0.2,11.715,64.266,36.931,49.474,161.209,172.642
2.600000000000001,12.803,0.478,173.207,204.326,0.2,10.217,64.246,40.073,53.443,156.415,171.986
2.700000000000001,5.606,0.174,166.405,174.519,0.2,9.466,66.477,37.976,46.025,161.871,164.614
2.800000000000001,7.243,0.783,159.416,181.123,0.2,5.557,66.663,46.801,63.42,149.834,157.808
2.9000000000000012,3.273,0.435,154.981,158.274,0.2,11.147,65.86,39.646,52.867,148.115,155.678
3.0000000000000013,4.285,0.609,162.46,171.81,0.2,10.411,67.495,39.632,60.104,156.01,161.916
3.1000000000000014,7.947,1.0,153.235,167.025,0.2,0.851,68.579,65.341,67.532,140.4,153.603
3.2000000000000015,8.156,1.0,137.05,150.108,0.2,1.298,68.486,63.811,66.132,124.384,136.045
3.3000000000000016,9.942,0.652,123.324,133.468,0.2,7.435,65.412,46.146,57.348,102.037,125.588
3.4000000000000017,-1,0.043,102.565,102.565,0.2,4.296,50.105,35.301,42.233,102.565,102.565
3.5000000000000018,-1,0.0,-1,-1,0.2,3.888,52.124,35.182,40.101,-1,-1
3.600000000000002,2.52,0.565,148.317,151.74,0.2,9.963,65.115,40.493,57.669,142.121,148.617
3.700000000000002,5.837,1.0,144.131,150.086,0.2,2.192,64.823,56.082,63.568,126.924,145.756
3.800000000000002,15.783,0.522,149.0,173.814,0.2,10.891,66.15,38.472,52.64,126.85,145.111
3.900000000000002,3.798,0.696,177.871,185.045,0.2,6.702,68.214,42.235,64.369,173.277,177.272
4.000000000000002,3.542,1.0,179.326,184.861,0.2,0.387,68.217,66.876,67.515,171.843,180.634
4.100000000000001,4.938,1.0,172.593,185.203,0.2,0.188,67.766,67.18,67.401,167.819,169.789
4.200000000000001,7.673,1.0,162.827,169.785,0.2,1.559,67.723,63.679,66.483,145.99,166.797
4.300000000000001,11.223,1.0,144.137,164.176,0.2,0.738,65.485,63.22,64.167,127.959,142.089
4.4,4.739,1.0,129.656,141.846,0.2,1.119,65.082,61.982,63.954,125.25,127.786
4.5,2.907,0.826,128.069,135.582,0.2,7.159,63.281,40.273,56.658,125.102,127.191
4.6,4.854,0.217,130.416,138.017,0.2,4.423,54.706,38.276,43.208,126.552,127.642
4.699999999999999,-1,0.0,-1,-1,0.2,0.73,44.207,41.153,42.994,-1,-1
4.799999999999999,9.187,0.217,730.752,744.526,0.2,0.945,45.544,42.369,43.773,721.123,727.016
4.899999999999999,-1,0.0,-1,-1,0.2,1.389,43.879,38.87,41.463,-1,-1
4.999999999999998,4.199,0.435,158.379,165.273,0.2,11.306,66.197,40.038,52.943,153.303,157.42
5.099999999999998,4.709,1.0,155.344,165.119,0.2,2.239,66.931,58.166,65.245,144.994,155.321
5.1999999999999975,4.824,0.435,152.808,157.452,0.2,5.432,65.942,48.861,55.915,144.813,155.235
5.299999999999997,5.761,0.261,158.905,169.329,0.2,4.598,64.086,48.713,55.459,154.891,156.06
5.399999999999997,3.414,0.826,157.622,167.04,0.2,2.966,64.105,52.118,62.908,154.301,155.921
5.4999999999999964,12.639,1.0,167.061,201.746,0.2,4.296,64.772,50.386,61.972,155.117,163.028
5.599999999999996,15.864,1.0,190.417,208.264,0.2,5.287,67.869,50.055,63.495,159.394,197.057
5.699999999999996,3.018,1.0,202.878,208.742,0.2,0.679,68.65,66.866,67.747,197.604,202.338
5.799999999999995,6.038,1.0,195.69,204.714,0.2,1.22,69.059,65.299,67.642,187.042,196.279
5.899999999999995,5.356,0.652,186.451,193.93,0.2,8.766,69.058,42.236,61.905,174.575,187.175
5.999999999999995,159.937,0.304,260.281,496.288,0.2,7.56,62.487,41.361,47.752,162.068,166.847
6.099999999999994,7.341,0.783,156.161,170.783,0.2,6.73,65.623,41.431,60.082,138.145,156.157
6.199999999999994,5.366,0.565,152.737,159.82,0.2,9.293,63.154,40.174,50.267,138.618,154.702
6.299999999999994,3.093,0.478,157.181,161.25,0.2,10.516,65.847,40.274,56.051,149.662,157.422
6.399999999999993,12.88,1.0,170.748,185.148,0.2,5.713,67.097,49.782,61.112,151.943,175.657
6.499999999999993,5.049,1.0,178.685,185.021,0.2,1.132,68.438,64.43,67.138,170.438,179.337
6.5999999999999925,9.925,1.0,164.84,176.933,0.2,1.516,68.641,64.149,67.344,142.252,169.034
6.699999999999992,8.872,0.565,151.407,164.493,0.2,9.087,66.675,41.989,55.896,136.856,152.65
6.799999999999992,-1,0.0,-1,-1,0.2,4.778,57.287,38.305,43.27,-1,-1
6.8999999999999915,6.381,0.652,173.581,181.98,0.2,10.538,66.205,38.225,58.673,156.648,175.427
6.999999999999991,3.722,1.0,180.799,185.281,0.2,0.391,66.188,64.933,65.482,173.071,182.396
7.099999999999991,1.254,1.0,183.986,186.882,0.2,0.784,67.027,64.938,66.197,181.302,183.886
7.19999999999999,8.077,0.826,177.596,184.973,0.2,5.975,67.029,47.824,62.717,160.132,181.047
7.29999999999999,10.04,0.435,159.533,174.314,0.2,5.862,62.656,44.693,51.245,147.573,160.218
7.39999999999999,309.402,0.478,369.107,783.839,0.2,4.719,58.243,44.858,50.775,140.842,149.675
7.499999999999989,2.093,0.478,151.931,156.837,0.2,6.819,62.193,46.074,54.127,149.341,151.601
7.599999999999989,3.268,0.913,149.339,154.13,0.2,7.105,62.332,41.24,57.768,139.742,149.697
7.699999999999989,12.706,0.826,161.688,180.796,0.2,8.429,64.185,41.021,54.545,138.363,165.629
7.799999999999988,3.802,1.0,172.584,177.196,0.2,1.175,65.366,61.429,64.106,163.224,173.088
7.899999999999988,5.945,1.0,170.381,177.103,0.2,0.469,64.727,62.762,63.864,158.374,171.994
7.999999999999988,7.798,0.739,159.464,172.103,0.2,7.273,64.115,38.082,57.948,141.97,159.518
8.099999999999987,9.016,0.391,148.045,164.111,0.2,7.304,58.555,36.508,46.916,136.28,149.568
8.199999999999987,7.216,0.87,148.225,163.803,0.2,4.264,61.836,48.25,58.778,137.891,146.525
8.299999999999986,10.856,1.0,162.32,173.022,0.2,1.297,64.248,60.807,62.663,143.641,168.567
8.399999999999986,1.799,1.0,170.321,173.079,0.2,0.45,64.253,63.003,63.489,167.828,170.691
