t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,10.562,41.243,9.181,22.706,-1,-1
0.1,37.437,0.304,175.566,230.576,0.2,4.429,31.173,15.468,19.573,152.943,153.956
0.2,0.647,0.174,153.653,154.39,0.2,8.444,42.004,15.615,27.575,152.862,153.679
0.30000000000000004,-1,0.0,-1,-1,0.2,9.797,46.079,21.865,35.145,-1,-1
0.4,1.224,0.174,103.976,105.201,0.2,12.916,70.647,28.779,43.397,102.296,104.209
0.5,34.928,0.739,174.238,211.467,0.2,11.756,77.078,33.168,65.75,92.535,192.699
0.6,32.42,0.826,216.865,264.225,0.2,9.627,81.301,56.269,70.309,159.506,226.103
0.7,18.103,1.0,256.495,279.515,0.2,1.195,84.129,79.792,81.235,224.047,264.502
0.7999999999999999,15.392,1.0,258.807,278.575,0.2,1.466,84.122,79.481,81.509,227.487,264.512
0.8999999999999999,21.137,1.0,222.871,261.231,0.2,5.26,86.24,66.308,79.936,194.247,219.625
0.9999999999999999,6.29,0.783,202.351,211.112,0.2,8.279,83.963,59.415,69.797,191.855,203.328
1.0999999999999999,10.159,0.826,198.808,237.988,0.2,7.066,86.672,62.814,82.254,191.718,196.562
1.2,6.88,1.0,191.569,201.357,0.2,3.748,86.669,76.176,82.38,177.144,191.639
1.3,8.651,1.0,176.545,189.714,0.2,1.676,81.483,75.889,77.926,164.506,175.951
1.4000000000000001,15.429,1.0,171.233,219.322,0.2,8.132,77.38,56.708,68.234,143.788,167.04
1.5000000000000002,12.752,0.826,190.883,213.95,0.2,10.443,86.016,56.663,74.871,166.557,191.158
1.6000000000000003,7.185,1.0,201.054,209.347,0.2,7.89,85.886,59.445,75.071,188.374,204.423
1.7000000000000004,12.409,1.0,198.241,216.68,0.2,5.802,73.19,56.32,64.437,174.562,204.415
1.8000000000000005,9.575,0.783,185.002,206.903,0.2,9.961,77.271,47.101,61.671,166.651,187.281
1.9000000000000006,8.903,0.783,166.23,189.009,0.2,4.488,77.156,56.901,72.859,149.851,165.182
2.0000000000000004,8.624,0.913,166.242,192.296,0.2,7.364,76.306,54.542,67.308,148.037,165.052
2.1000000000000005,7.998,0.826,179.797,190.484,0.2,8.517,83.679,55.591,76.629,162.959,181.545
2.2000000000000006,9.474,1.0,192.518,212.438,0.2,3.621,83.739,73.253,80.566,179.875,191.156
2.3000000000000007,7.804,1.0,202.751,213.166,0.2,6.309,81.56,60.994,75.955,189.519,205.496
2.400000000000001,17.004,0.87,192.8,207.733,0.2,8.636,79.53,54.882,67.478,163.731,201.484
2.500000000000001,20.196,1.0,167.4,220.666,0.2,2.45,78.171,68.159,73.319,137.005,162.993
2.600000000000001,16.961,1.0,165.127,215.718,0.2,7.903,79.862,56.219,70.21,133.591,162.722
2.700000000000001,12.475,1.0,172.616,214.061,0.2,2.396,79.888,72.874,76.958,165.522,169.3
2.800000000000001,2.622,1.0,171.817,177.138,0.2,0.962,75.368,72.33,73.803,167.585,171.136
2.9000000000000012,6.344,1.0,174.285,193.658,0.2,8.387,75.29,54.141,66.582,158.079,174.033
3.0000000000000013,10.232,1.0,162.345,183.239,0.2,7.92,73.707,54.261,67.508,149.411,161.455
3.1000000000000014,2.035,1.0,151.532,157.296,0.2,0.888,73.707,71.091,72.283,148.175,151.785
3.2000000000000015,5.26,1.0,145.763,154.082,0.2,0.85,73.848,71.105,72.362,138.196,144.463
3.3000000000000016,3.169,0.826,139.411,144.445,0.2,3.122,73.88,63.825,70.133,131.209,140.394
3.4000000000000017,3.018,0.391,138.442,143.142,0.2,12.904,68.949,33.163,53.784,132.024,138.631
3.5000000000000018,49.824,0.696,267.758,299.056,0.2,6.494,42.109,20.216,30.892,140.096,282.645
3.600000000000002,12.414,0.696,283.461,302.901,0.2,8.382,28.06,4.968,16.577,267.515,284.448
3.700000000000002,58.46,0.609,571.947,768.444,0.2,1.653,8.117,1.636,4.393,537.269,557.101
3.800000000000002,7.462,0.13,179.634,187.506,0.2,27.198,77.194,1.594,25.46,172.665,178.73
3.900000000000002,4.366,0.696,173.774,185.421,0.2,9.371,79.494,45.588,73.308,165.643,173.338
4.000000000000002,19.508,1.0,177.985,236.871,0.2,8.335,77.843,56.264,67.574,140.579,173.517
4.100000000000001,19.976,1.0,202.694,230.31,0.2,9.801,82.894,56.308,75.008,164.355,205.85
4.200000000000001,25.849,1.0,238.254,277.682,0.2,1.931,82.784,74.334,79.1,204.131,236.426
4.300000000000001,13.79,1.0,275.579,298.018,0.2,2.308,86.035,78.354,81.756,248.878,276.616
4.4,36.442,0.87,261.797,296.876,0.2,8.994,85.984,60.31,74.917,181.019,278.274
4.5,47.255,1.0,197.082,288.431,0.2,8.236,83.309,59.825,73.511,153.182,175.247
4.6,12.981,1.0,173.963,194.989,0.2,3.088,80.743,70.461,76.793,153.814,170.767
4.699999999999999,5.855,1.0,191.78,196.764,0.2,3.327,86.787,77.092,81.808,175.129,194.894
4.799999999999999,4.414,1.0,192.152,196.762,0.2,4.255,86.794,72.977,82.149,184.754,194.943
4.899999999999999,4.253,1.0,183.517,193.547,0.2,2.314,80.338,72.774,75.122,178.87,181.035
4.999999999999998,5.537,1.0,185.039,194.081,0.2,0.678,77.633,74.807,75.841,178.975,182.206
5.099999999999998,2.788,1.0,192.023,195.276,0.2,2.398,82.591,75.85,79.393,186.614,193.046
5.1999999999999975,5.144,1.0,191.25,195.54,0.2,9.059,82.582,59.004,70.562,169.988,192.706
5.299999999999997,17.416,1.0,172.658,194.4,0.2,7.353,75.138,54.013,64.325,150.946,171.474
5.399999999999997,9.79,1.0,159.305,185.047,0.2,8.193,75.044,53.746,67.706,149.708,154.613
5.4999999999999964,10.79,1.0,152.842,187.032,0.2,6.339,82.078,59.987,72.11,135.494,153.247
5.599999999999996,5.547,0.87,150.862,162.217,0.2,2.47,82.087,71.325,78.159,140.005,150.511
5.699999999999996,10.679,1.0,165.56,181.256,0.2,0.763,77.357,74.725,76.477,150.055,166.176
5.799999999999995,5.136,1.0,181.075,187.841,0.2,1.958,80.428,74.684,77.148,170.216,182.452
5.899999999999995,6.275,0.522,182.504,187.764,0.2,9.712,80.453,52.9,70.726,166.279,184.204
5.999999999999995,162.01,0.609,221.495,607.37,0.2,9.03,77.885,52.904,68.357,149.866,156.915
6.099999999999994,5.717,1.0,160.415,167.676,0.2,1.657,77.881,72.468,74.795,149.562,160.822
6.199999999999994,3.551,1.0,168.719,173.872,0.2,1.037,77.905,74.68,75.619,161.331,169.544
6.299999999999994,3.0,1.0,170.471,173.922,0.2,0.839,77.94,74.798,76.643,163.476,171.486
6.399999999999993,6.083,1.0,163.053,172.858,0.2,0.885,76.584,74.16,75.199,150.129,163.187
6.499999999999993,6.234,1.0,152.765,163.752,0.2,1.214,77.997,74.256,76.396,145.045,153.081
6.5999999999999925,10.307,1.0,157.978,181.765,0.2,1.926,80.261,74.711,77.486,144.99,154.925
6.699999999999992,13.765,1.0,181.031,196.819,0.2,1.576,78.669,71.097,74.977,155.728,186.71
6.799999999999992,7.575,0.652,196.13,214.084,0.2,10.865,82.139,49.893,68.452,183.299,194.991
6.8999999999999915,57.287,0.826,217.392,339.843,0.2,3.577,82.237,68.409,77.019,147.152,195.295
6.999999999999991,58.296,1.0,255.96,338.317,0.2,4.336,75.734,62.072,68.715,146.164,280.634
7.099999999999991,46.752,0.87,217.418,292.178,0.2,3.802,75.121,61.893,67.372,153.789,232.079
7.19999999999999,27.744,1.0,171.058,249.007,0.2,3.865,76.978,66.21,72.089,152.978,160.347
7.29999999999999,15.094,1.0,178.836,205.183,0.2,5.23,80.794,66.266,73.849,148.408,185.905
7.39999999999999,2.791,1.0,191.085,195.469,0.2,2.668,81.69,74.091,78.054,185.863,192.189
7.499999999999989,2.722,1.0,190.604,196.754,0.2,7.843,81.861,56.537,72.476,185.124,191.447
7.599999999999989,11.639,1.0,191.199,229.843,0.2,8.228,80.818,56.074,70.195,176.436,189.717
7.699999999999989,10.838,0.87,181.785,203.793,0.2,6.892,79.565,54.874,67.517,159.358,182.481
7.799999999999988,10.45,0.913,174.455,202.936,0.2,8.406,84.159,56.482,76.613,159.814,171.54
7.899999999999988,3.199,1.0,173.836,179.551,0.2,5.989,84.402,63.344,80.374,168.439,173.872
7.999999999999988,8.939,0.913,170.182,181.923,0.2,9.34,82.123,56.116,73.267,151.348,173.53
8.099999999999987,10.311,1.0,155.74,182.484,0.2,2.214,82.139,72.656,80.149,145.063,151.384
8.199999999999987,1.378,0.609,148.887,151.583,0.2,11.795,80.589,49.328,62.403,146.267,149.357
8.299999999999986,19.799,0.826,138.939,153.328,0.2,9.305,71.545,49.421,64.552,108.665,151.132
8.399999999999986,3.95,1.0,156.52,166.265,0.2,2.9,77.717,70.936,74.142,151.466,156.765
8.499999999999986,7.831,0.957,167.132,180.602,0.2,8.628,77.407,52.752,70.177,156.822,166.52
8.599999999999985,5.404,0.391,173.937,181.796,0.2,7.321,68.235,43.214,54.542,166.722,174.498
8.699999999999985,4.604,0.478,149.804,156.642,0.2,10.549,79.137,43.267,68.332,140.488,150.959
8.799999999999985,4.484,1.0,153.147,157.373,0.2,2.668,78.477,69.348,74.287,141.632,155.159
8.899999999999984,0.669,0.87,156.066,157.032,0.2,10.441,77.921,50.469,68.83,154.607,156.062
8.999999999999984,6.761,0.652,156.288,177.646,0.2,7.471,73.201,49.787,57.074,146.584,155.89
9.099999999999984,8.101,0.87,152.833,173.524,0.2,5.025,75.236,55.712,71.116,143.497,151.788
9.199999999999983,9.44,1.0,161.292,178.002,0.2,3.937,79.257,64.954,75.416,145.551,160.721
9.299999999999983,23.078,0.783,188.427,241.401,0.2,11.34,78.657,48.172,66.953,161.93,176.346
9.399999999999983,14.398,0.565,206.544,233.428,0.2,12.016,78.329,46.062,62.39,181.362,206.371
9.499999999999982,3.78,0.609,203.476,209.881,0.2,11.487,80.705,48.584,71.237,199.123,202.412
9.599999999999982,203.47,0.739,331.411,641.661,0.2,11.663,79.706,44.23,64.085,199.148,206.095
9.699999999999982,194.977,0.913,385.287,727.0,0.2,6.477,57.746,36.001,45.432,199.442,318.361
9.799999999999981,166.638,0.957,576.726,729.53,0.2,3.486,47.856,33.38,39.289,315.721,619.848
9.89999999999998,206.289,0.957,564.943,722.377,0.2,4.776,38.679,25.216,29.964,194.477,686.941
