t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,6.364,76.092,55.179,67.782,-1,-1
0.1,-1,0.0,-1,-1,0.2,3.382,76.828,64.984,73.202,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.466,76.871,75.287,76.398,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,1.44,76.466,71.705,74.359,-1,-1
0.4,-1,0.0,-1,-1,0.2,2.041,73.463,67.083,70.336,-1,-1
0.5,-1,0.0,-1,-1,0.2,6.558,68.892,49.546,61.157,-1,-1
0.6,-1,0.0,-1,-1,0.2,4.448,60.626,46.072,54.687,-1,-1
0.7,-1,0.0,-1,-1,0.2,1.67,64.236,58.845,60.963,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.892,64.372,60.732,63.491,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,0.804,66.161,63.306,64.57,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,1.182,66.299,62.401,65.009,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,3.012,66.279,58.386,62.416,-1,-1
1.2,-1,0.0,-1,-1,0.2,0.727,61.111,58.895,60.14,-1,-1
1.3,52.973,0.087,543.524,580.982,0.2,1.705,60.234,54.835,57.587,506.066,543.524
1.4000000000000001,85.14,0.478,434.432,552.361,0.2,1.765,56.324,50.705,53.516,323.456,376.216
1.5000000000000002,166.841,0.957,570.655,755.002,0.2,1.771,52.192,46.546,49.375,280.34,648.491
1.6000000000000003,59.116,1.0,646.507,746.164,0.2,1.772,48.061,42.41,45.229,539.31,663.141
1.7000000000000004,63.42,0.739,611.813,728.847,0.2,1.775,43.905,38.225,41.075,535.995,591.741
1.8000000000000005,18.306,0.478,198.655,224.199,0.2,18.505,81.473,37.637,57.866,179.466,187.013
1.9000000000000006,13.981,1.0,196.389,225.904,0.2,2.413,81.533,73.068,78.422,180.306,190.926
2.0000000000000004,17.007,1.0,218.026,239.566,0.2,2.232,84.084,77.101,80.185,185.452,220.268
2.1000000000000005,6.007,0.913,231.848,242.62,0.2,8.594,84.032,59.042,70.252,222.027,231.257
2.2000000000000006,12.367,0.913,235.916,271.202,0.2,8.303,78.683,56.086,66.125,224.379,230.757
2.3000000000000007,14.06,0.565,245.338,271.419,0.2,8.506,78.639,54.87,66.425,224.773,243.909
2.400000000000001,21.941,0.696,223.366,262.254,0.2,5.753,81.759,62.623,73.043,189.259,225.108
2.500000000000001,15.404,1.0,197.544,231.891,0.2,2.471,75.529,68.439,73.068,176.722,194.903
2.600000000000001,7.075,1.0,183.163,196.99,0.2,5.101,75.541,57.816,71.811,167.813,183.379
2.700000000000001,30.633,0.739,168.231,194.418,0.2,8.513,75.364,50.144,60.889,90.416,179.595
2.800000000000001,37.86,0.783,190.554,219.775,0.2,6.419,77.299,54.671,73.399,93.633,203.539
2.9000000000000012,7.193,1.0,215.869,230.796,0.2,3.927,78.122,64.026,74.929,202.845,218.427
3.0000000000000013,12.123,0.826,212.96,230.324,0.2,7.107,78.465,58.35,70.825,193.475,214.759
3.1000000000000014,28.128,0.957,176.789,201.251,0.2,1.021,79.7,76.066,77.181,102.795,187.405
3.2000000000000015,8.271,1.0,170.281,190.395,0.2,2.931,82.436,72.126,78.812,163.818,165.704
3.3000000000000016,2.011,0.783,166.005,169.748,0.2,7.566,79.254,58.306,65.933,163.727,165.115
3.4000000000000017,13.06,0.435,164.844,186.877,0.2,5.412,75.581,55.202,61.631,149.323,164.925
3.5000000000000018,2.906,0.696,144.723,150.168,0.2,7.078,78.21,56.045,73.809,140.669,144.629
3.600000000000002,1.776,1.0,142.296,144.905,0.2,1.505,81.186,75.444,77.588,138.308,142.354
3.700000000000002,5.965,1.0,138.518,144.403,0.2,1.681,83.17,77.033,81.218,125.697,140.776
3.800000000000002,248.222,0.826,294.336,714.313,0.2,10.203,82.565,55.567,72.593,120.306,135.261
3.900000000000002,35.866,0.609,671.1,724.519,0.2,4.271,63.377,47.106,53.679,615.044,669.343
