t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,2.977,27.862,18.25,21.075,-1,-1
0.1,-1,0.0,-1,-1,0.2,1.303,21.719,16.28,18.716,-1,-1
0.2,-1,0.0,-1,-1,0.2,4.789,33.726,16.351,24.273,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,1.347,25.855,21.248,23.578,-1,-1
0.4,-1,0.0,-1,-1,0.2,6.421,47.287,22.31,29.305,-1,-1
0.5,-1,0.0,-1,-1,0.2,5.92,51.515,31.479,38.749,-1,-1
0.6,-1,0.0,-1,-1,0.2,10.028,62.511,28.515,42.383,-1,-1
0.7,-1,0.0,-1,-1,0.2,6.552,40.656,21.571,28.276,-1,-1
0.7999999999999999,20.476,0.522,242.982,279.032,0.2,23.156,75.222,22.084,52.419,226.613,232.999
0.8999999999999999,21.831,0.783,238.021,301.432,0.2,10.835,75.202,47.171,61.648,222.4,232.878
0.9999999999999999,77.972,0.783,281.33,345.244,0.2,9.342,75.545,47.59,68.289,115.615,306.778
1.0999999999999999,14.662,1.0,337.522,362.049,0.2,0.831,75.864,73.097,74.521,306.012,342.326
1.2,51.822,1.0,298.861,360.889,0.2,0.778,75.644,72.699,74.047,211.947,316.399
1.3,33.974,0.783,222.016,295.17,0.2,2.531,75.609,66.831,72.531,180.339,212.384
1.4000000000000001,10.136,0.435,190.821,211.385,0.2,4.046,72.995,57.934,67.158,179.227,189.003
1.5000000000000002,9.41,0.783,194.585,210.806,0.2,5.638,76.642,58.0,70.759,183.216,194.167
1.6000000000000003,7.673,1.0,204.738,214.181,0.2,0.898,77.896,74.638,76.833,188.797,206.524
1.7000000000000004,15.593,1.0,191.441,214.135,0.2,2.329,77.202,70.095,74.021,171.773,186.639
1.8000000000000005,4.457,0.913,171.607,179.2,0.2,2.448,73.295,66.567,69.713,163.725,170.102
1.9000000000000006,2.038,0.696,170.067,175.951,0.2,2.506,68.283,59.985,65.199,167.349,169.685
2.0000000000000004,17.387,0.522,208.325,228.951,0.2,6.827,75.54,54.892,66.396,172.214,212.396
2.1000000000000005,10.444,1.0,223.322,243.157,0.2,5.357,75.535,58.704,71.518,209.374,221.204
2.2000000000000006,7.796,0.957,236.002,244.293,0.2,5.321,75.124,58.819,70.479,216.926,239.175
2.3000000000000007,92.998,0.435,284.819,472.588,0.2,8.397,74.525,46.262,60.07,238.698,240.511
2.400000000000001,18.285,0.087,470.487,483.417,0.2,12.502,56.525,24.759,38.597,457.558,470.487
2.500000000000001,8.73,0.304,195.215,206.504,0.2,16.671,70.128,24.428,53.675,184.403,197.339
2.600000000000001,12.027,0.348,193.326,218.238,0.2,12.147,71.697,36.788,53.563,184.378,188.313
2.700000000000001,8.91,0.696,192.813,218.842,0.2,7.623,71.859,44.886,65.122,181.913,191.055
2.800000000000001,23.24,0.652,219.221,244.507,0.2,12.846,79.414,42.635,64.416,184.207,223.083
2.9000000000000012,14.568,1.0,248.101,267.814,0.2,1.485,79.969,73.817,78.214,220.184,246.85
