t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,6.948,0.217,399.679,409.106,0.2,10.425,44.941,14.321,20.223,392.273,398.704
0.1,-1,0.0,-1,-1,0.2,0.508,15.938,14.335,14.989,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.395,15.575,14.229,14.72,-1,-1
0.30000000000000004,0.882,0.304,116.415,117.651,0.2,28.854,78.356,14.319,43.139,114.738,116.49
0.4,2.808,0.696,116.378,121.092,0.2,7.39,78.484,52.263,67.36,110.461,116.429
0.5,23.412,0.522,137.683,175.347,0.2,9.738,70.822,38.747,59.493,117.145,120.178
0.6,10.048,0.783,173.821,191.613,0.2,3.653,75.831,63.491,70.978,154.214,174.317
0.7,11.86,1.0,175.954,192.039,0.2,3.092,76.825,68.629,74.074,147.464,177.914
0.7999999999999999,24.519,1.0,141.52,181.927,0.2,2.394,78.206,70.074,75.274,110.5,137.002
0.8999999999999999,7.308,0.609,114.073,122.813,0.2,5.29,78.639,62.768,71.457,100.337,115.327
0.9999999999999999,4.299,0.261,122.041,129.785,0.2,3.867,73.66,59.187,66.134,118.086,120.137
1.0999999999999999,3.429,0.826,124.348,129.475,0.2,4.432,77.273,60.341,74.157,118.702,124.888
1.2,3.337,1.0,124.817,128.101,0.2,1.984,77.257,72.53,74.965,115.77,126.1
1.3,8.941,1.0,112.747,125.441,0.2,1.98,72.954,68.201,70.686,100.437,111.662
1.4000000000000001,2.356,0.522,103.259,107.653,0.2,4.296,68.35,56.082,64.641,99.807,103.158
1.5000000000000002,6.073,0.304,112.987,119.287,0.2,5.837,74.933,56.139,64.034,100.284,114.491
1.6000000000000003,3.033,0.826,118.697,123.053,0.2,4.093,75.14,62.917,70.811,112.07,119.901
1.7000000000000004,3.515,0.783,118.101,123.129,0.2,4.221,70.759,57.913,66.022,111.187,118.772
1.8000000000000005,5.087,0.391,109.282,115.425,0.2,4.055,70.022,57.622,63.496,101.474,111.596
1.9000000000000006,3.481,0.217,104.678,108.722,0.2,15.005,70.058,29.006,53.834,100.096,104.842
2.0000000000000004,-1,0.043,104.616,104.616,0.2,12.284,63.658,28.196,52.14,104.616,104.616
2.1000000000000005,-1,0.0,-1,-1,0.2,6.147,63.637,39.134,55.688,-1,-1
2.2000000000000006,2.664,0.174,103.871,106.139,0.2,9.308,71.672,41.13,59.709,100.128,104.609
2.3000000000000007,3.364,0.739,109.418,113.626,0.2,3.294,76.085,67.553,73.278,103.57,109.735
2.400000000000001,1.943,0.739,111.673,114.311,0.2,9.215,76.085,46.895,69.034,107.441,112.276
2.500000000000001,2.041,0.217,110.076,112.335,0.2,10.656,69.76,39.817,56.656,107.007,110.769
2.600000000000001,-1,0.0,-1,-1,0.2,6.561,69.798,50.603,59.049,-1,-1
2.700000000000001,1.441,0.174,101.478,103.241,0.2,13.94,72.194,25.733,52.292,100.102,101.286
2.800000000000001,2.39,0.696,105.507,109.091,0.2,4.529,74.047,60.417,69.06,100.982,106.001
2.9000000000000012,2.557,0.957,105.174,109.762,0.2,2.724,69.004,61.466,65.729,100.223,105.392
3.0000000000000013,1.916,0.391,102.85,105.998,0.2,2.383,69.389,60.639,67.603,100.022,103.265
3.1000000000000014,-1,0.0,-1,-1,0.2,4.757,67.767,53.624,58.744,-1,-1
3.2000000000000015,6.708,0.13,646.548,654.128,0.2,4.026,59.101,47.256,54.955,641.195,644.375
