t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.373,15.69,14.409,15.127,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.632,15.834,13.7,14.947,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.504,15.3,13.77,14.371,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.349,15.368,13.983,14.579,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.631,16.306,14.095,15.087,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.71,16.248,13.767,15.046,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.718,16.119,13.715,14.908,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.421,16.313,14.872,15.496,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.556,16.376,14.204,15.522,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,3.628,26.035,14.189,17.563,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,7.5,39.217,15.769,23.08,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,8.22,38.787,14.499,19.045,-1,-1
1.2,-1,0.0,-1,-1,0.2,0.328,15.641,14.383,14.869,-1,-1
1.3,-1,0.0,-1,-1,0.2,5.7,31.83,14.613,19.993,-1,-1
1.4000000000000001,-1,0.0,-1,-1,0.2,6.115,31.853,13.683,18.783,-1,-1
1.5000000000000002,-1,0.0,-1,-1,0.2,0.398,15.059,13.696,14.266,-1,-1
1.6000000000000003,-1,0.0,-1,-1,0.2,0.503,15.685,14.073,14.664,-1,-1
1.7000000000000004,-1,0.0,-1,-1,0.2,0.485,15.653,14.216,15.001,-1,-1
1.8000000000000005,-1,0.0,-1,-1,0.2,0.603,16.153,13.478,14.513,-1,-1
1.9000000000000006,0.345,0.13,754.716,755.11,0.2,3.609,28.504,13.493,16.852,754.421,754.565
2.0000000000000004,-1,0.0,-1,-1,0.2,4.767,29.043,13.613,17.636,-1,-1
2.1000000000000005,1.667,0.087,246.677,247.855,0.2,9.873,51.248,14.931,21.12,245.498,246.677
2.2000000000000006,7.93,0.652,109.319,124.02,0.2,17.163,63.617,16.153,51.945,99.582,107.913
2.3000000000000007,3.706,0.304,105.788,111.176,0.2,3.999,63.475,47.806,60.113,100.098,106.437
2.400000000000001,1.531,0.304,122.96,125.399,0.2,9.986,70.774,42.404,56.837,120.938,122.967
2.500000000000001,4.605,0.87,128.289,133.895,0.2,2.216,74.087,65.916,71.7,120.883,129.492
2.600000000000001,2.259,1.0,130.984,133.703,0.2,3.03,74.085,66.48,69.671,125.531,132.141
2.700000000000001,5.319,0.783,124.376,132.176,0.2,9.0,70.018,45.563,61.332,117.47,125.78
2.800000000000001,5.535,0.565,114.264,120.383,0.2,10.451,68.031,38.732,53.961,100.399,116.173
2.9000000000000012,6.269,1.0,116.16,124.641,0.2,1.374,69.366,63.999,67.003,100.715,115.526
3.0000000000000013,3.227,0.826,121.322,124.882,0.2,10.84,69.375,43.473,58.009,112.845,121.314
3.1000000000000014,7.714,0.739,115.472,125.928,0.2,6.9,63.253,43.271,51.826,100.985,116.518
3.2000000000000015,5.407,0.913,109.382,118.61,0.2,8.773,69.394,43.57,60.052,100.993,109.643
3.3000000000000016,3.247,0.783,103.631,111.015,0.2,2.513,69.412,61.029,66.61,99.769,102.665
3.4000000000000017,46.834,0.261,130.774,192.206,0.2,9.058,65.232,34.425,54.814,99.805,101.24
3.5000000000000018,30.175,0.478,157.276,192.483,0.2,10.94,66.151,31.484,49.62,129.658,135.931
3.600000000000002,2.971,0.826,133.58,139.043,0.2,3.175,68.154,56.613,64.939,129.725,133.723
3.700000000000002,4.953,0.739,133.103,138.862,0.2,10.457,66.731,32.624,54.979,122.024,134.779
3.800000000000002,63.826,0.696,151.748,266.619,0.2,14.051,70.325,32.114,57.343,103.777,121.379
3.900000000000002,6.385,0.696,111.756,124.531,0.2,12.785,70.345,34.696,56.051,102.679,109.928
4.000000000000002,8.551,0.13,227.114,235.293,0.2,13.879,66.579,32.085,52.235,218.234,227.813
4.100000000000001,-1,0.0,-1,-1,0.2,2.167,67.01,60.474,64.458,-1,-1
4.200000000000001,-1,0.0,-1,-1,0.2,4.687,64.076,51.336,58.431,-1,-1
