t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.583,23.164,21.11,22.166,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.887,24.327,21.496,23.085,-1,-1
0.2,-1,0.0,-1,-1,0.2,9.304,57.016,23.024,31.128,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,8.577,63.472,34.739,48.352,-1,-1
0.4,-1,0.0,-1,-1,0.2,5.614,50.401,30.688,36.625,-1,-1
0.5,-1,0.0,-1,-1,0.2,3.317,41.697,30.011,33.962,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.994,31.989,27.965,30.374,-1,-1
0.7,-1,0.0,-1,-1,0.2,1.461,30.753,26.365,28.984,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.773,29.169,26.336,27.59,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,1.55,28.083,23.351,25.881,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,7.918,51.155,21.5,29.384,-1,-1
1.0999999999999999,5.175,0.565,189.72,202.678,0.2,16.26,75.825,34.119,62.53,184.14,187.767
1.2,4.655,0.696,184.657,190.694,0.2,10.284,75.819,47.786,63.867,173.64,185.74
1.3,25.394,0.478,207.992,235.052,0.2,9.497,70.188,37.979,55.711,174.473,225.804
1.4000000000000001,5.002,0.87,232.537,240.994,0.2,3.911,73.076,59.547,69.954,223.516,232.578
1.5000000000000002,3.991,1.0,238.626,247.974,0.2,0.812,73.252,70.36,72.317,232.245,238.73
1.6000000000000003,18.37,1.0,225.104,249.182,0.2,0.469,73.25,71.467,72.226,188.379,231.933
1.7000000000000004,16.694,1.0,190.084,224.498,0.2,2.471,72.359,64.966,69.925,169.933,183.021
1.8000000000000005,7.684,0.696,172.003,183.417,0.2,4.083,72.708,58.903,66.442,158.578,173.153
1.9000000000000006,4.646,0.261,162.195,168.862,0.2,3.726,69.754,54.303,62.38,156.714,161.34
