t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,2.118,1.0,118.648,124.783,0.2,0.311,52.292,51.18,51.583,114.147,118.423
0.1,1.603,1.0,119.185,122.943,0.2,0.313,52.301,51.085,51.621,115.657,119.555
0.2,1.811,1.0,118.766,122.308,0.2,0.148,51.949,51.288,51.665,114.934,118.938
0.30000000000000004,1.699,1.0,118.248,121.734,0.2,0.186,52.033,51.364,51.666,114.971,118.309
0.4,1.783,1.0,118.566,122.827,0.2,0.237,52.049,51.167,51.535,116.053,118.206
0.5,1.876,1.0,119.17,123.299,0.2,0.281,52.051,51.141,51.536,116.753,118.752
0.6,2.105,1.0,119.685,124.275,0.2,0.334,52.123,51.139,51.608,116.518,119.641
0.7,2.269,1.0,119.79,124.265,0.2,0.336,52.101,51.028,51.563,115.961,119.802
0.7999999999999999,2.084,1.0,119.421,123.292,0.2,0.276,52.459,51.314,51.868,114.321,119.418
0.8999999999999999,1.535,1.0,117.957,121.379,0.2,0.168,52.359,51.747,52.01,115.1,118.155
0.9999999999999999,1.982,1.0,118.061,122.307,0.2,0.263,52.005,51.254,51.666,114.076,117.809
1.0999999999999999,-1,0.0,-1,-1,0.2,1.628,56.726,51.26,52.804,-1,-1
1.2,12.044,0.609,232.126,266.13,0.2,12.296,82.651,53.646,70.718,220.517,230.256
1.3,28.239,1.0,255.241,311.032,0.2,1.437,83.179,78.802,80.874,220.597,251.846
1.4000000000000001,53.577,0.826,227.37,304.042,0.2,6.564,80.2,59.035,72.284,170.766,184.936
1.5000000000000002,12.61,0.348,183.054,211.667,0.2,4.915,69.051,53.251,57.994,170.682,181.231
1.6000000000000003,38.848,0.783,201.706,227.851,0.2,9.134,75.789,53.019,63.519,117.14,217.241
1.7000000000000004,5.485,1.0,215.726,229.071,0.2,0.879,76.671,73.922,74.995,209.32,216.174
1.8000000000000005,3.061,1.0,208.585,211.979,0.2,3.949,77.951,63.451,74.041,197.328,209.285
1.9000000000000006,4.059,1.0,203.933,213.767,0.2,4.41,76.604,59.021,67.784,199.3,201.423
2.0000000000000004,49.177,0.913,139.432,213.768,0.2,5.684,70.228,53.078,57.825,87.852,103.967
2.1000000000000005,8.731,0.522,171.196,188.16,0.2,10.278,76.332,53.043,66.352,163.506,167.136
2.2000000000000006,7.42,1.0,161.067,178.791,0.2,4.426,76.305,60.813,71.282,147.461,162.854
2.3000000000000007,5.655,0.783,149.574,157.294,0.2,4.669,70.073,57.265,65.665,142.739,149.651
2.400000000000001,11.12,0.957,140.703,153.237,0.2,7.003,69.835,51.363,62.099,113.882,143.905
2.500000000000001,1.426,0.783,118.118,120.586,0.2,1.488,56.056,49.997,52.164,115.061,117.804
2.600000000000001,4.451,0.087,190.075,193.222,0.2,6.368,72.932,49.868,53.796,186.928,190.075
2.700000000000001,5.384,0.652,184.906,191.855,0.2,8.091,76.121,51.47,66.689,169.519,184.704
2.800000000000001,28.74,0.783,174.346,210.842,0.2,4.822,66.958,53.131,60.248,111.972,184.73
2.9000000000000012,2.412,0.609,206.486,210.525,0.2,7.761,73.955,52.821,66.23,201.658,206.891
3.0000000000000013,2.864,1.0,208.092,214.252,0.2,4.887,75.468,60.498,70.793,201.679,207.934
3.1000000000000014,53.885,0.957,162.148,214.112,0.2,6.987,73.591,53.578,60.002,91.113,208.186
3.2000000000000015,95.015,0.87,206.632,310.931,0.2,8.795,72.915,53.646,64.516,104.194,281.464
3.3000000000000016,22.37,1.0,311.962,365.202,0.2,3.175,74.228,62.762,71.233,281.036,318.552
3.4000000000000017,9.907,1.0,322.303,356.614,0.2,4.92,78.169,62.777,74.646,310.632,321.466
3.5000000000000018,10.326,1.0,330.62,345.498,0.2,6.074,78.181,58.187,72.161,314.602,331.582
3.600000000000002,114.76,0.957,204.25,345.224,0.2,5.936,70.606,52.308,57.468,107.131,116.008
3.700000000000002,4.35,1.0,115.477,124.879,0.2,1.028,53.068,49.553,51.677,107.739,115.893
3.800000000000002,3.431,0.087,118.382,120.808,0.2,2.865,62.346,49.513,52.144,115.956,118.382
3.900000000000002,6.884,0.652,196.013,213.069,0.2,9.408,75.1,50.258,66.266,184.19,195.757
4.000000000000002,5.713,0.696,189.204,196.84,0.2,6.046,72.903,54.457,62.843,182.082,187.0
4.100000000000001,27.058,0.696,176.259,193.281,0.2,5.478,68.035,53.401,60.439,113.185,189.495
4.200000000000001,15.452,0.609,203.814,231.248,0.2,8.804,74.531,50.164,61.122,187.835,197.514
4.300000000000001,4.666,0.826,216.919,228.267,0.2,5.54,76.018,58.896,70.518,209.998,215.319
4.4,15.887,1.0,206.723,225.27,0.2,5.901,73.485,57.322,65.404,167.11,214.139
4.5,18.391,0.826,178.879,216.821,0.2,2.417,73.432,64.255,71.138,158.48,171.846
4.6,7.932,1.0,156.836,172.071,0.2,2.172,72.303,66.447,69.925,144.053,157.014
4.699999999999999,4.983,1.0,146.979,156.814,0.2,1.964,68.854,61.284,66.894,140.667,145.663
4.799999999999999,14.949,1.0,131.753,159.204,0.2,5.782,67.255,50.416,57.005,114.092,124.261
4.899999999999999,26.155,0.826,137.046,171.679,0.2,7.186,68.017,50.413,57.981,114.358,119.429
4.999999999999998,10.787,0.957,182.917,207.177,0.2,2.899,68.048,56.783,63.848,169.376,185.149
5.099999999999998,7.585,1.0,189.806,205.859,0.2,2.866,73.555,63.708,67.626,182.557,186.83
5.1999999999999975,17.424,1.0,211.743,248.519,0.2,2.736,75.556,67.256,72.691,184.77,208.115
5.299999999999997,13.123,0.522,232.865,253.049,0.2,6.95,73.949,54.599,64.122,213.227,233.233
5.399999999999997,192.426,0.391,322.773,597.568,0.2,8.833,76.899,54.547,63.028,184.827,201.176
5.4999999999999964,19.644,0.87,181.942,203.33,0.2,4.703,76.841,63.805,70.978,104.086,183.473
5.599999999999996,3.216,0.87,184.945,193.633,0.2,1.959,66.578,58.39,64.186,178.046,185.379
5.699999999999996,4.178,0.652,186.16,198.319,0.2,6.514,71.248,52.077,63.662,181.418,186.113
5.799999999999995,8.825,0.522,184.446,200.857,0.2,7.375,72.305,53.923,63.441,170.767,185.041
5.899999999999995,5.715,0.391,174.33,186.86,0.2,6.538,72.461,54.632,63.346,168.292,173.111
5.999999999999995,36.391,0.478,147.838,223.066,0.2,3.963,65.173,51.801,55.336,112.747,131.452
6.099999999999994,35.987,0.783,203.183,230.119,0.2,8.64,76.194,52.387,67.477,116.41,215.323
6.199999999999994,43.745,1.0,205.002,247.008,0.2,4.312,72.318,56.132,66.358,110.18,226.069
6.299999999999994,69.409,0.957,181.637,278.988,0.2,7.887,74.465,54.39,65.935,110.544,177.657
6.399999999999993,15.371,1.0,231.076,263.969,0.2,1.92,74.311,68.985,72.401,203.399,233.924
6.499999999999993,5.79,1.0,216.528,228.407,0.2,1.826,74.424,68.47,71.193,202.84,217.526
6.5999999999999925,50.929,1.0,186.948,227.58,0.2,5.543,72.504,53.9,65.633,96.132,216.961
6.699999999999992,58.098,0.913,160.127,254.524,0.2,9.193,75.428,52.491,64.148,109.849,113.462
6.799999999999992,11.804,0.783,223.253,257.632,0.2,8.078,75.434,55.43,65.814,215.997,218.496
6.8999999999999915,14.995,1.0,206.764,232.839,0.2,5.68,71.158,55.891,64.912,189.771,200.684
6.999999999999991,43.338,0.957,138.567,208.523,0.2,3.32,75.993,66.675,72.594,104.681,107.548
7.099999999999991,3.159,1.0,110.665,114.88,0.2,1.42,76.203,71.685,74.178,106.081,111.696
7.19999999999999,2.301,1.0,114.968,120.843,0.2,8.289,76.174,54.612,67.232,112.367,114.045
7.29999999999999,2.009,0.783,115.437,119.212,0.2,2.158,59.36,51.141,54.528,112.558,114.477
7.39999999999999,37.242,0.435,138.422,197.428,0.2,2.523,62.155,51.023,52.996,112.834,116.409
7.499999999999989,10.091,0.696,173.477,202.993,0.2,9.811,76.57,52.173,68.821,162.635,170.603
7.599999999999989,6.68,0.957,163.084,172.591,0.2,3.551,75.527,65.537,70.744,149.469,164.621
7.699999999999989,12.397,0.783,148.916,163.043,0.2,6.451,70.803,53.487,63.699,117.753,151.063
7.799999999999988,16.397,0.609,128.817,155.755,0.2,2.259,57.905,50.4,52.693,114.171,117.805
7.899999999999988,10.242,0.783,118.292,154.011,0.2,3.779,63.69,50.438,52.669,104.15,116.992
7.999999999999988,10.056,0.783,131.863,154.653,0.2,5.043,64.665,51.047,58.903,115.333,131.211
8.099999999999987,7.825,1.0,124.768,135.654,0.2,2.667,60.237,50.973,52.605,111.114,126.715
8.199999999999987,1.959,1.0,118.312,122.359,0.2,0.381,51.751,50.392,51.192,113.974,118.029
8.299999999999986,2.065,1.0,118.689,123.539,0.2,0.696,52.056,49.225,51.181,115.948,118.7
8.399999999999986,1.832,0.739,119.529,122.437,0.2,1.791,56.547,50.464,52.112,116.086,120.492
8.499999999999986,4.953,0.739,118.683,128.219,0.2,1.567,56.655,50.385,52.654,111.961,117.074
8.599999999999985,4.611,1.0,119.555,129.544,0.2,0.178,52.237,51.588,51.874,114.174,117.863
8.699999999999985,4.388,1.0,116.996,130.604,0.2,0.41,52.083,50.734,51.617,111.178,116.509
8.799999999999985,5.004,1.0,119.385,126.862,0.2,0.468,51.893,50.151,51.163,111.132,119.014
8.899999999999984,2.995,1.0,119.895,127.512,0.2,0.612,51.964,50.182,51.019,115.306,119.175
8.999999999999984,2.327,1.0,118.163,124.351,0.2,0.935,52.288,49.273,50.99,113.661,118.102
9.099999999999984,1.955,1.0,118.024,121.792,0.2,0.87,52.244,49.386,51.154,114.001,117.694
9.199999999999983,5.813,0.217,186.305,195.148,0.2,8.817,75.214,50.282,55.917,179.634,185.481
9.299999999999983,6.534,0.783,175.149,190.315,0.2,6.671,76.803,51.532,72.982,170.108,171.403
9.399999999999983,1.371,1.0,169.778,171.525,0.2,0.857,77.553,74.5,76.569,167.32,170.159
9.499999999999982,10.52,1.0,177.145,194.281,0.2,6.169,76.819,57.61,68.371,165.767,169.384
9.599999999999982,38.56,0.783,171.795,199.761,0.2,5.518,79.756,65.472,70.807,101.571,189.556
9.699999999999982,36.631,0.696,153.276,200.413,0.2,2.691,79.949,71.604,77.217,101.568,168.38
9.799999999999981,5.905,0.391,167.221,176.816,0.2,8.024,75.418,53.916,63.871,155.902,168.475
9.89999999999998,14.604,0.391,123.749,143.962,0.2,6.898,70.945,51.532,57.751,110.961,115.8
9.99999999999998,2.984,0.739,145.935,152.33,0.2,5.417,71.007,55.453,64.104,142.455,144.832
10.09999999999998,15.844,1.0,130.052,152.256,0.2,3.208,61.323,50.354,54.004,113.133,118.304
10.19999999999998,3.588,1.0,118.426,126.911,0.2,0.85,52.765,49.994,51.457,112.425,117.889
10.29999999999998,3.068,1.0,119.327,126.548,0.2,0.617,51.87,49.794,50.979,114.339,118.361
10.399999999999979,2.142,1.0,119.043,124.433,0.2,0.905,52.301,49.612,51.035,115.623,118.32
10.499999999999979,1.649,0.435,169.702,172.018,0.2,9.751,73.05,49.583,61.219,166.719,169.96
10.599999999999978,9.405,0.783,172.664,199.369,0.2,6.689,73.058,52.366,64.164,165.747,169.984
10.699999999999978,9.112,0.696,183.645,198.697,0.2,9.485,79.248,52.005,69.749,166.733,184.79
10.799999999999978,2.893,0.913,184.842,190.257,0.2,6.826,77.026,57.595,70.491,180.953,184.393
10.899999999999977,25.62,0.609,206.13,237.956,0.2,8.457,75.95,53.531,62.834,181.823,187.955
10.999999999999977,13.593,0.87,244.693,282.366,0.2,4.155,78.407,63.343,73.636,229.571,239.807
11.099999999999977,56.492,1.0,221.014,282.436,0.2,4.438,79.324,64.691,76.378,112.577,250.459
11.199999999999976,0.646,1.0,128.701,130.485,0.2,8.779,79.185,57.686,67.772,127.763,128.615
11.299999999999976,29.791,1.0,161.353,210.233,0.2,9.874,79.647,57.416,67.499,119.734,179.867
11.399999999999975,2.876,1.0,185.679,189.854,0.2,7.155,79.533,61.127,69.992,179.43,186.691
11.499999999999975,27.835,0.87,175.29,195.762,0.2,8.016,77.733,52.16,63.118,117.264,187.895
11.599999999999975,21.938,0.87,183.837,197.427,0.2,3.923,78.043,61.596,73.666,120.676,189.819
11.699999999999974,44.217,1.0,161.893,223.028,0.2,2.008,75.099,68.044,72.812,95.272,188.937
11.799999999999974,4.73,1.0,113.339,119.028,0.2,0.667,74.612,72.412,73.403,106.349,114.05
11.899999999999974,12.423,1.0,245.521,277.022,0.2,2.451,75.196,64.597,73.093,231.015,239.105
11.999999999999973,114.069,0.826,250.515,534.146,0.2,8.247,74.457,52.094,59.827,118.67,250.739
12.099999999999973,20.11,0.565,132.964,181.163,0.2,3.97,66.399,50.636,53.788,116.522,127.096
12.199999999999973,23.573,0.913,157.161,180.962,0.2,5.861,69.303,50.91,62.636,116.374,169.75
12.299999999999972,3.401,1.0,172.386,176.826,0.2,2.471,68.981,62.315,65.724,163.379,173.899
12.399999999999972,7.23,1.0,169.559,177.462,0.2,0.93,71.299,68.062,69.572,158.611,174.358
12.499999999999972,21.54,1.0,149.931,169.484,0.2,7.394,71.05,53.47,61.491,104.215,159.808
12.599999999999971,23.859,0.652,148.696,171.484,0.2,6.424,69.781,53.082,57.757,104.791,159.408
12.69999999999997,150.278,0.696,197.041,577.064,0.2,6.635,69.65,52.518,59.048,108.586,162.274
12.79999999999997,33.025,0.739,164.898,197.992,0.2,7.767,72.03,52.58,62.728,114.107,178.965
12.89999999999997,7.871,0.739,188.636,197.84,0.2,5.578,71.268,52.54,63.259,175.493,192.574
12.99999999999997,3.425,0.783,191.322,196.685,0.2,7.534,72.122,52.345,63.318,181.028,191.61
13.09999999999997,31.982,0.87,158.783,199.798,0.2,7.591,74.263,53.42,61.918,105.385,174.557
13.199999999999969,25.482,0.87,162.495,200.203,0.2,7.749,74.144,52.774,62.772,112.542,172.903
13.299999999999969,36.433,0.522,149.494,200.551,0.2,6.457,70.686,51.844,56.25,114.369,132.085
13.399999999999968,3.649,0.739,201.044,206.005,0.2,4.903,72.129,52.695,66.77,193.86,199.786
13.499999999999968,48.516,1.0,169.374,206.592,0.2,4.862,66.862,54.523,62.292,89.36,203.868
13.599999999999968,56.815,0.826,167.935,221.735,0.2,9.346,76.314,54.239,68.055,101.873,212.226
13.699999999999967,197.912,0.957,465.914,679.221,0.2,8.2,76.265,56.44,67.223,211.911,566.642
13.799999999999967,37.57,0.957,141.97,198.794,0.2,2.769,62.37,54.411,58.193,106.116,123.404
13.899999999999967,14.589,1.0,200.172,220.62,0.2,6.439,77.554,59.867,66.473,178.21,205.222
13.999999999999966,6.308,1.0,215.338,230.266,0.2,3.751,77.596,66.101,71.613,205.791,214.646
14.099999999999966,4.599,0.783,218.083,229.022,0.2,6.982,75.013,54.713,64.86,211.225,216.876
14.199999999999966,56.108,0.87,163.126,229.049,0.2,8.183,75.071,54.36,63.997,96.93,162.506
14.299999999999965,42.724,1.0,159.329,206.314,0.2,4.789,66.302,54.446,61.208,92.716,176.582
14.399999999999965,9.345,1.0,177.657,201.04,0.2,1.117,67.212,63.801,66.103,169.12,174.056
14.499999999999964,3.42,0.87,168.254,173.017,0.2,1.264,69.313,63.981,67.783,161.14,168.975
14.599999999999964,1.925,0.609,164.888,167.071,0.2,5.703,72.779,56.068,66.906,160.95,165.544
14.699999999999964,3.593,0.913,169.39,173.873,0.2,1.096,72.81,69.069,71.328,162.499,170.864
14.799999999999963,2.157,1.0,172.552,179.827,0.2,6.696,71.28,54.356,63.879,168.452,172.525
14.899999999999963,11.562,1.0,168.815,195.733,0.2,6.261,69.575,54.239,62.714,151.3,170.026
14.999999999999963,8.268,1.0,152.602,171.889,0.2,1.811,71.269,64.575,67.188,139.066,150.863
15.099999999999962,10.977,1.0,141.273,165.152,0.2,6.825,71.578,52.563,61.812,113.28,141.906
15.199999999999962,11.932,1.0,124.614,147.117,0.2,1.388,55.128,50.795,52.161,111.917,121.322
15.299999999999962,11.588,0.913,125.812,150.076,0.2,5.336,65.598,50.389,54.266,113.579,120.615
15.399999999999961,11.161,0.913,129.485,149.916,0.2,5.052,65.683,51.353,56.949,115.222,134.599
15.499999999999961,7.248,1.0,121.229,141.806,0.2,0.727,52.392,50.174,51.331,112.529,118.939
15.59999999999996,2.958,1.0,119.28,128.48,0.2,0.519,51.555,49.996,50.771,114.205,118.572
15.69999999999996,1.771,1.0,118.688,123.814,0.2,0.784,52.039,49.534,50.737,115.455,118.414
15.79999999999996,3.393,1.0,119.386,129.831,0.2,0.924,51.958,49.317,50.76,115.721,118.177
15.89999999999996,4.266,0.739,117.576,124.593,0.2,1.251,53.456,49.308,51.716,111.072,117.95
15.99999999999996,2.719,1.0,117.409,124.561,0.2,0.815,52.98,50.583,51.818,113.125,117.087
16.09999999999996,1.312,0.391,115.994,117.28,0.2,0.947,53.009,50.002,51.576,113.469,116.487
16.19999999999996,3.858,0.478,119.116,125.653,0.2,0.895,52.251,49.9,51.106,113.548,119.814
16.29999999999996,3.888,1.0,118.376,129.943,0.2,1.614,52.56,47.896,50.414,113.204,118.498
16.399999999999963,1.234,0.261,189.333,191.727,0.2,13.72,80.979,48.103,62.027,188.254,188.997
16.499999999999964,2.154,0.826,187.989,191.604,0.2,0.829,81.095,77.996,79.87,182.294,188.673
16.599999999999966,2.383,1.0,190.663,194.032,0.2,2.775,79.672,68.636,77.264,185.3,190.729
16.699999999999967,0.563,0.739,192.854,194.167,0.2,7.837,78.282,55.636,64.613,191.747,192.924
16.79999999999997,15.737,0.783,213.825,243.808,0.2,9.101,75.585,55.186,67.062,191.143,216.038
16.89999999999997,8.768,1.0,226.539,238.743,0.2,0.43,76.07,74.447,75.481,212.187,228.363
16.99999999999997,6.209,1.0,232.216,238.881,0.2,5.347,76.114,62.504,70.393,214.783,234.094
17.099999999999973,6.98,1.0,223.77,236.354,0.2,6.087,76.711,61.91,69.851,213.036,221.56
17.199999999999974,1.868,1.0,221.376,223.862,0.2,0.982,76.707,73.737,75.39,218.078,222.079
17.299999999999976,2.777,0.783,220.285,223.905,0.2,4.964,76.621,58.313,72.826,215.214,221.236
17.399999999999977,5.543,0.609,218.244,226.551,0.2,5.611,76.292,58.18,66.844,209.254,217.965
17.49999999999998,5.82,1.0,223.855,230.466,0.2,4.156,77.943,61.882,70.736,209.695,226.121
