t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.901,41.232,38.057,39.502,-1,-1
0.1,-1,0.0,-1,-1,0.2,1.799,42.657,36.888,39.653,-1,-1
0.2,-1,0.0,-1,-1,0.2,2.387,44.745,36.785,40.093,-1,-1
0.30000000000000004,76.202,0.261,766.899,836.347,0.2,1.754,46.553,40.569,42.57,614.417,798.866
0.4,5.736,0.13,806.666,811.33,0.2,3.221,47.266,37.608,41.541,800.261,808.408
0.5,2.997,0.087,134.133,136.252,0.2,4.553,55.527,37.616,42.025,132.014,134.133
0.6,6.265,0.522,121.484,132.163,0.2,6.832,63.459,43.91,56.526,112.622,122.046
0.7,21.812,0.522,134.641,162.309,0.2,7.676,63.951,40.063,52.951,112.446,122.897
0.7999999999999999,4.4,0.783,164.714,171.778,0.2,4.996,67.854,51.845,63.797,155.431,164.041
0.8999999999999999,7.209,1.0,174.908,186.625,0.2,2.293,71.402,64.272,66.845,163.387,174.403
0.9999999999999999,15.073,1.0,173.668,186.173,0.2,1.117,71.423,66.969,70.281,130.155,180.186
1.0999999999999999,26.889,1.0,133.322,180.914,0.2,2.615,70.438,63.061,67.058,102.887,119.707
1.2,4.664,0.435,110.46,116.383,0.2,5.714,68.985,49.529,59.85,102.521,110.878
1.3,5.875,0.522,123.348,134.395,0.2,7.646,69.233,46.102,59.398,119.13,119.759
1.4000000000000001,2.271,1.0,120.673,127.731,0.2,1.53,70.5,65.588,68.526,117.426,120.014
1.5000000000000002,6.794,0.957,114.13,123.244,0.2,1.727,70.321,64.052,66.456,101.654,115.456
1.6000000000000003,4.783,0.609,104.578,112.607,0.2,1.965,67.847,61.017,63.995,99.834,102.353
1.7000000000000004,0.151,0.13,99.915,100.068,0.2,7.49,65.823,47.727,57.347,99.766,99.91
1.8000000000000005,1.219,0.304,129.353,131.427,0.2,8.174,67.07,44.738,53.508,128.039,128.897
1.9000000000000006,4.153,0.913,132.548,139.736,0.2,1.765,68.344,61.57,66.942,127.871,131.43
2.0000000000000004,5.785,1.0,138.921,157.076,0.2,4.925,68.136,54.161,63.578,131.292,138.179
2.1000000000000005,3.977,0.913,143.856,150.66,0.2,3.045,66.27,54.016,63.267,135.856,143.858
2.2000000000000006,2.939,0.435,145.532,150.929,0.2,7.087,65.287,45.268,55.263,142.206,144.786
2.3000000000000007,-1,0.0,-1,-1,0.2,5.09,50.682,35.593,41.762,-1,-1
2.400000000000001,336.128,0.348,365.822,782.404,0.2,11.611,64.741,37.181,50.016,110.734,134.681
2.500000000000001,281.064,0.522,351.497,677.297,0.2,7.836,64.64,41.712,56.039,110.434,138.276
2.600000000000001,6.392,0.652,112.148,126.356,0.2,6.872,65.417,43.985,59.91,105.992,110.054
2.700000000000001,2.896,0.478,108.052,113.164,0.2,9.653,62.811,37.879,53.659,102.375,108.398
