t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,35.568,0.348,172.222,216.993,0.2,7.591,59.803,39.015,45.493,125.135,168.464
0.1,145.545,0.87,182.12,788.57,0.2,4.171,59.979,46.616,56.102,113.806,142.617
0.2,24.902,0.522,155.547,191.615,0.2,6.184,60.948,43.474,50.716,122.479,143.446
0.30000000000000004,20.141,0.565,203.029,228.088,0.2,5.528,67.167,46.184,60.304,171.51,205.452
0.4,4.98,0.174,223.726,229.161,0.2,2.541,64.873,54.852,58.675,217.557,224.092
0.5,6.276,0.348,213.853,227.21,0.2,4.653,63.004,49.189,58.045,209.479,210.619
0.6,15.296,1.0,212.469,265.681,0.2,1.295,64.14,58.611,62.679,193.824,209.985
0.7,116.865,0.609,249.569,563.173,0.2,5.565,63.328,48.338,54.354,193.991,204.398
0.7999999999999999,123.83,0.304,637.969,809.51,0.2,2.32,50.815,42.765,46.695,478.395,595.648
0.8999999999999999,0.701,0.087,731.696,732.192,0.2,1.779,46.898,40.361,43.67,731.2,731.696
0.9999999999999999,-1,0.0,-1,-1,0.2,3.056,45.937,38.08,41.663,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,2.683,46.434,37.912,41.208,-1,-1
1.2,-1,0.0,-1,-1,0.2,2.378,45.821,37.286,40.743,-1,-1
1.3,0.758,0.217,172.566,173.237,0.2,12.014,68.228,38.29,49.645,171.316,172.635
1.4000000000000001,7.013,0.696,176.705,185.225,0.2,3.87,70.052,55.814,66.097,163.916,175.31
1.5000000000000002,7.91,0.348,179.73,185.27,0.2,10.46,69.568,38.999,49.49,164.18,183.547
1.6000000000000003,1.016,0.304,230.639,231.889,0.2,10.324,66.255,39.089,52.894,228.732,230.634
1.7000000000000004,7.662,0.87,238.072,250.153,0.2,1.517,68.174,62.182,65.33,228.327,237.187
1.8000000000000005,7.321,1.0,251.686,264.468,0.2,2.469,68.203,61.479,63.72,236.834,253.329
1.9000000000000006,5.679,1.0,263.573,271.058,0.2,4.308,71.398,61.476,67.978,254.039,264.766
2.0000000000000004,8.65,0.783,264.984,271.007,0.2,4.668,71.123,56.138,67.727,237.04,267.822
2.1000000000000005,42.527,0.478,208.792,265.226,0.2,6.07,66.881,46.024,54.418,168.412,176.706
2.2000000000000006,5.161,0.826,170.764,176.719,0.2,7.082,69.812,51.723,62.639,159.464,172.064
2.3000000000000007,6.386,1.0,163.024,175.531,0.2,2.764,75.183,66.507,70.239,151.527,161.52
2.400000000000001,3.021,0.609,156.824,160.657,0.2,6.752,75.185,56.547,65.858,151.732,156.772
2.500000000000001,11.479,0.261,177.4,183.377,0.2,2.805,62.159,52.619,58.829,154.021,181.681
2.600000000000001,9.689,0.783,193.031,208.775,0.2,4.703,69.984,52.733,63.67,181.311,192.042
2.700000000000001,8.269,1.0,208.934,217.149,0.2,1.536,71.818,66.91,70.314,191.79,211.213
2.800000000000001,10.813,1.0,206.855,217.22,0.2,1.999,71.422,65.107,69.274,185.904,211.337
2.9000000000000012,13.205,1.0,183.485,206.636,0.2,0.813,68.247,64.871,66.155,162.835,183.538
3.0000000000000013,7.905,1.0,164.169,182.775,0.2,1.692,66.646,62.443,64.298,155.829,161.961
3.1000000000000014,2.787,0.739,158.106,166.963,0.2,4.507,66.773,54.168,61.635,154.825,157.82
3.2000000000000015,27.579,0.217,176.753,209.686,0.2,4.064,66.745,51.036,55.205,155.133,159.582
3.3000000000000016,4.294,0.696,207.695,214.398,0.2,5.572,70.247,54.477,66.052,202.098,207.767
3.4000000000000017,7.018,1.0,213.67,226.349,0.2,3.701,71.207,58.381,66.616,203.887,212.82
3.5000000000000018,7.33,0.783,219.163,226.41,0.2,8.499,71.816,47.504,63.806,205.627,222.759
3.600000000000002,121.605,0.304,288.451,467.608,0.2,6.329,63.682,39.611,46.438,211.312,221.068
3.700000000000002,120.126,0.478,277.037,466.714,0.2,10.197,67.049,40.11,54.621,181.833,211.773
3.800000000000002,15.499,0.304,203.974,219.248,0.2,10.409,67.018,37.6,50.147,178.583,208.985
3.900000000000002,3.775,0.478,173.004,181.426,0.2,11.84,66.956,37.592,55.342,168.341,172.043
4.000000000000002,6.072,0.696,167.983,176.193,0.2,7.038,65.633,42.031,57.719,155.098,169.335
4.100000000000001,11.788,0.174,162.952,179.945,0.2,6.938,60.903,37.85,45.068,152.84,159.512
4.200000000000001,6.322,0.609,191.363,200.262,0.2,9.634,72.362,39.028,60.806,180.427,190.617
4.300000000000001,8.928,1.0,203.343,215.468,0.2,2.519,72.76,64.25,70.763,187.91,203.767
4.4,3.99,1.0,210.888,215.503,0.2,1.366,71.913,66.722,68.956,198.95,212.041
4.5,13.299,0.565,201.963,213.174,0.2,11.507,69.186,40.438,54.428,172.591,207.86
4.6,3.495,0.565,160.271,166.937,0.2,11.735,69.905,40.746,60.221,156.047,158.654
4.699999999999999,3.6,0.87,156.302,162.487,0.2,5.604,69.311,47.575,60.958,144.149,156.215
4.799999999999999,9.575,0.391,160.702,174.202,0.2,8.668,63.389,39.755,49.826,149.154,155.855
4.899999999999999,3.441,0.696,178.093,182.046,0.2,6.448,68.577,44.102,62.548,172.21,178.88
4.999999999999998,3.909,1.0,184.513,190.608,0.2,2.822,68.557,60.936,65.133,178.267,184.208
5.099999999999998,1.623,1.0,190.026,191.983,0.2,2.166,67.428,61.081,63.578,187.056,190.693
5.1999999999999975,5.834,0.696,189.075,192.876,0.2,6.38,67.694,49.321,62.96,172.363,191.469
5.299999999999997,7.019,0.13,177.095,185.085,0.2,5.303,62.582,41.684,50.973,171.918,174.283
5.399999999999997,6.314,0.565,144.687,149.223,0.2,5.975,63.545,46.744,59.054,125.561,146.412
5.4999999999999964,3.223,1.0,143.88,148.862,0.2,1.434,63.321,59.59,60.766,138.146,143.668
5.599999999999996,4.367,1.0,137.762,144.59,0.2,0.618,61.316,59.632,60.418,129.527,137.794
5.699999999999996,4.666,1.0,137.813,147.172,0.2,0.715,61.874,59.32,60.696,129.954,136.908
5.799999999999995,4.285,0.522,139.696,150.25,0.2,1.366,62.031,57.215,60.609,133.704,138.303
5.899999999999995,4.667,0.174,174.756,179.173,0.2,7.013,60.392,40.589,51.038,169.242,175.069
5.999999999999995,-1,0.0,-1,-1,0.2,3.358,48.013,37.623,42.767,-1,-1
6.099999999999994,-1,0.0,-1,-1,0.2,3.036,46.812,37.677,41.152,-1,-1
6.199999999999994,-1,0.0,-1,-1,0.2,1.854,46.682,39.912,42.516,-1,-1
6.299999999999994,-1,0.0,-1,-1,0.2,1.5,44.352,38.692,41.148,-1,-1
6.399999999999993,-1,0.043,848.705,848.705,0.2,1.276,44.337,39.713,41.67,848.705,848.705
6.499999999999993,3.382,0.348,176.059,184.362,0.2,11.146,66.376,39.755,53.264,173.201,174.844
6.5999999999999925,10.169,0.696,177.237,212.153,0.2,6.282,66.377,50.235,60.519,168.728,174.759
6.699999999999992,29.388,0.435,196.655,252.314,0.2,4.912,65.587,50.216,56.046,167.566,189.184
6.799999999999992,1.253,0.652,188.463,190.979,0.2,4.504,66.578,52.238,63.254,186.516,188.03
6.8999999999999915,57.146,0.826,244.294,353.797,0.2,6.471,70.471,49.584,63.57,186.616,230.44
6.999999999999991,22.062,0.957,240.57,338.025,0.2,3.936,70.566,60.912,65.428,229.266,236.515
7.099999999999991,5.348,1.0,240.265,248.817,0.2,4.934,71.603,59.112,64.748,231.258,239.954
7.19999999999999,11.61,0.783,236.352,248.845,0.2,10.393,71.62,41.794,60.086,205.114,236.362
7.29999999999999,20.769,0.478,207.325,238.708,0.2,7.881,64.425,38.027,45.64,182.299,207.723
7.39999999999999,9.659,0.739,175.269,186.061,0.2,8.832,68.828,39.149,62.175,154.004,178.71
7.499999999999989,8.265,1.0,165.336,179.09,0.2,4.233,68.619,54.685,62.938,150.304,164.39
7.599999999999989,4.354,1.0,158.444,166.956,0.2,2.27,71.896,65.048,67.714,151.496,157.537
7.699999999999989,2.076,1.0,153.996,160.712,0.2,0.891,71.899,68.9,69.87,151.456,153.523
7.799999999999988,1.398,1.0,152.586,154.122,0.2,0.585,70.314,68.558,69.438,149.409,153.167
7.899999999999988,4.443,0.609,149.092,153.135,0.2,9.879,69.096,40.45,62.198,136.41,150.534
7.999999999999988,-1,0.043,136.528,136.528,0.2,6.631,63.471,39.687,44.162,136.528,136.528
8.099999999999987,9.506,0.565,189.25,209.806,0.2,10.283,65.431,40.406,54.671,174.684,189.567
8.199999999999987,8.903,1.0,197.395,206.311,0.2,0.739,65.515,62.461,64.924,177.217,199.773
8.299999999999986,1.473,1.0,204.873,207.068,0.2,0.434,65.955,64.471,65.223,202.53,204.95
8.399999999999986,2.93,1.0,203.074,206.683,0.2,1.229,68.797,65.225,66.618,193.109,203.709
8.499999999999986,4.709,0.435,201.164,204.739,0.2,6.077,68.795,53.957,59.376,192.701,203.769
8.599999999999985,5.681,0.304,159.362,169.108,0.2,3.85,63.907,53.929,57.971,154.124,157.319
8.699999999999985,8.79,0.391,158.273,179.451,0.2,3.233,63.005,54.029,57.467,150.6,155.721
8.799999999999985,10.614,0.783,157.106,196.143,0.2,2.048,62.934,54.955,60.249,144.038,155.625
8.899999999999984,21.632,0.478,164.099,206.412,0.2,7.998,66.011,41.097,53.321,139.135,155.449
8.999999999999984,2.728,0.217,147.444,151.922,0.2,5.463,67.112,47.324,63.951,145.115,147.249
9.099999999999984,8.109,0.826,157.705,173.727,0.2,1.382,66.361,62.462,63.903,145.033,155.85
9.199999999999983,14.846,1.0,178.956,197.15,0.2,0.925,63.19,60.427,62.189,156.082,180.204
9.299999999999983,4.547,1.0,198.072,204.975,0.2,1.021,66.15,62.608,63.753,188.041,198.96
9.399999999999983,6.252,1.0,201.492,215.39,0.2,1.369,67.402,63.075,66.045,181.602,202.025
9.499999999999982,5.0,0.304,197.842,201.874,0.2,11.592,67.138,37.781,51.741,187.974,200.069
9.599999999999982,34.306,0.391,197.645,251.226,0.2,7.777,61.258,38.272,47.65,167.49,182.795
