t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.953,32.186,28.619,30.579,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.547,32.929,31.132,32.19,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.408,33.628,32.19,32.89,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.657,35.074,33.098,33.973,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.355,35.173,33.908,34.475,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.364,35.322,33.943,34.776,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.344,35.143,33.849,34.546,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.396,35.631,33.885,34.512,-1,-1
0.7999999999999999,4.713,0.522,144.649,153.794,0.2,19.324,77.946,34.245,60.612,138.114,143.183
0.8999999999999999,4.63,0.739,139.779,148.061,0.2,12.308,76.815,40.107,66.154,131.5,140.088
0.9999999999999999,15.49,0.478,156.515,172.14,0.2,15.501,80.24,37.882,60.006,136.133,163.964
1.0999999999999999,6.386,0.87,174.412,187.681,0.2,3.935,80.484,69.994,77.061,163.575,174.278
1.2,5.682,1.0,181.997,193.501,0.2,2.754,77.769,70.034,73.934,172.677,181.145
1.3,8.229,1.0,173.71,187.003,0.2,0.628,77.772,76.127,77.044,160.497,172.804
1.4000000000000001,8.994,1.0,157.103,170.536,0.2,4.323,77.943,63.173,74.242,140.005,157.675
1.5000000000000002,6.572,0.391,150.213,160.302,0.2,6.001,72.867,50.764,61.772,140.355,150.881
1.6000000000000003,3.075,0.652,159.348,163.256,0.2,10.432,79.997,49.538,70.776,153.787,160.363
1.7000000000000004,2.509,1.0,162.547,166.561,0.2,0.777,79.991,77.388,78.782,156.748,162.125
1.8000000000000005,2.109,1.0,162.263,166.574,0.2,0.962,79.051,76.099,77.731,157.901,161.774
1.9000000000000006,6.501,1.0,155.287,162.595,0.2,2.197,79.038,73.937,75.934,141.335,156.956
2.0000000000000004,231.334,0.957,232.156,857.259,0.2,5.793,74.35,58.249,69.204,131.09,143.69
2.1000000000000005,304.972,0.696,375.288,847.468,0.2,7.27,76.909,50.595,62.328,131.348,160.618
2.2000000000000006,3.636,0.826,163.792,173.148,0.2,6.917,79.51,52.142,74.997,158.868,164.193
2.3000000000000007,3.831,1.0,169.055,173.253,0.2,2.412,79.473,70.17,75.428,160.68,171.618
2.400000000000001,1.644,0.522,171.43,173.08,0.2,11.278,76.349,47.848,62.875,168.349,171.998
2.500000000000001,-1,0.0,-1,-1,0.2,6.685,52.001,35.116,42.031,-1,-1
2.600000000000001,2.546,0.391,148.19,152.481,0.2,18.12,76.07,35.098,55.738,143.863,148.828
2.700000000000001,5.52,0.565,145.405,152.033,0.2,15.453,75.861,35.818,55.343,135.535,147.697
2.800000000000001,11.099,0.261,158.881,176.996,0.2,16.459,77.835,35.729,47.625,148.304,154.85
2.9000000000000012,9.983,0.826,145.215,175.659,0.2,4.899,78.035,56.305,72.693,136.488,141.341
3.0000000000000013,3.711,1.0,135.499,141.062,0.2,2.644,72.435,62.089,70.915,127.252,136.444
3.1000000000000014,9.822,0.609,137.167,159.201,0.2,11.254,72.648,40.27,57.61,126.626,133.769
3.2000000000000015,13.293,0.783,150.95,163.792,0.2,11.926,79.545,40.405,71.884,101.505,153.56
3.3000000000000016,4.311,1.0,160.945,165.718,0.2,0.851,79.543,76.662,77.602,152.381,162.486
3.4000000000000017,2.678,0.87,163.027,165.699,0.2,9.425,77.404,48.742,71.113,156.91,163.997
3.5000000000000018,9.331,0.435,154.273,162.819,0.2,13.129,75.49,38.065,54.107,138.892,159.033
3.600000000000002,7.217,0.783,136.533,159.906,0.2,7.101,75.408,46.078,70.387,129.142,134.636
3.700000000000002,2.849,1.0,129.869,134.755,0.2,5.541,71.988,57.857,64.716,123.663,129.82
3.800000000000002,3.269,0.565,125.991,130.325,0.2,9.042,59.393,36.146,49.152,119.528,126.826
3.900000000000002,3.076,0.565,146.455,151.138,0.2,18.571,80.474,36.786,64.178,142.368,145.584
4.000000000000002,3.643,1.0,150.239,156.096,0.2,1.572,79.459,72.789,76.16,142.787,151.716
4.100000000000001,4.211,1.0,156.211,165.036,0.2,0.949,75.452,72.073,73.757,149.804,156.362
4.200000000000001,7.154,0.522,155.238,163.616,0.2,13.184,74.657,38.45,62.453,140.392,158.266
4.300000000000001,3.063,0.217,136.242,140.051,0.2,14.565,75.386,35.072,51.271,132.918,136.413
4.4,4.936,0.783,134.423,140.315,0.2,3.76,77.066,63.207,74.416,125.469,135.137
4.5,6.52,1.0,125.404,138.266,0.2,2.04,77.059,70.457,72.966,115.742,124.779
4.6,3.96,1.0,115.732,123.4,0.2,4.649,71.506,54.952,66.915,109.608,114.809
4.699999999999999,8.161,0.957,116.272,135.141,0.2,6.941,66.17,45.115,51.988,109.827,113.065
4.799999999999999,9.559,0.348,121.315,136.703,0.2,4.643,48.645,36.318,40.347,112.707,116.247
4.899999999999999,-1,0.0,-1,-1,0.2,0.378,36.816,35.404,36.434,-1,-1
4.999999999999998,-1,0.0,-1,-1,0.2,0.62,36.836,34.523,35.769,-1,-1
5.099999999999998,-1,0.0,-1,-1,0.2,0.513,36.727,34.582,35.738,-1,-1
5.1999999999999975,-1,0.0,-1,-1,0.2,0.612,37.623,35.446,36.152,-1,-1
5.299999999999997,1.897,0.435,146.938,149.602,0.2,18.247,76.905,35.481,56.318,144.702,147.363
5.399999999999997,3.955,1.0,143.081,149.434,0.2,2.106,76.912,68.484,73.691,136.646,142.978
5.4999999999999964,8.923,0.826,144.154,163.994,0.2,7.742,75.784,50.701,66.057,136.099,140.127
5.599999999999996,3.355,0.826,152.746,163.526,0.2,6.109,79.684,55.309,75.513,150.198,151.622
5.699999999999996,6.951,1.0,157.398,171.782,0.2,2.942,79.68,72.524,76.507,149.913,154.378
5.799999999999995,10.567,1.0,174.409,188.54,0.2,0.945,74.38,71.287,73.002,151.488,175.372
5.899999999999995,5.507,1.0,182.837,192.387,0.2,1.285,74.451,70.874,72.664,172.059,184.129
5.999999999999995,9.271,0.652,172.441,185.363,0.2,11.694,74.503,43.829,60.842,158.28,176.239
6.099999999999994,3.924,0.652,156.128,161.485,0.2,13.077,77.455,44.193,66.572,148.655,157.002
6.199999999999994,6.038,1.0,160.833,168.295,0.2,0.582,76.074,73.734,75.249,148.055,161.555
6.299999999999994,3.544,1.0,163.273,168.304,0.2,4.186,76.286,62.485,73.518,156.052,163.178
6.399999999999993,4.243,1.0,163.884,171.256,0.2,3.87,74.847,62.357,69.049,155.756,164.391
6.499999999999993,3.601,1.0,168.173,174.815,0.2,2.752,75.844,67.194,72.748,162.356,167.525
6.5999999999999925,7.581,1.0,159.583,172.183,0.2,6.092,76.379,56.928,72.182,147.516,159.856
6.699999999999992,8.898,0.826,157.073,185.609,0.2,7.947,72.876,49.03,61.872,147.34,154.908
6.799999999999992,6.853,0.913,165.271,185.218,0.2,3.378,72.514,60.671,65.288,156.451,164.445
6.8999999999999915,3.222,0.565,162.835,170.394,0.2,6.377,65.064,46.294,55.708,158.298,162.931
6.999999999999991,0.33,0.087,648.152,648.385,0.2,3.339,56.166,45.977,49.796,647.919,648.152
7.099999999999991,177.173,0.609,222.08,640.588,0.2,10.53,74.428,47.161,63.306,145.793,150.636
7.19999999999999,4.367,1.0,146.966,154.983,0.2,5.753,74.49,55.488,65.763,135.1,147.634
7.29999999999999,4.508,0.826,141.683,147.997,0.2,9.513,76.028,50.206,64.904,134.986,140.231
