t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.043,515.27,515.27,0.2,1.609,42.045,36.059,38.323,515.27,515.27
0.1,4.188,0.087,188.458,191.419,0.2,1.036,38.685,34.48,35.911,185.497,188.458
0.2,-1,0.0,-1,-1,0.2,0.444,35.91,34.487,35.175,-1,-1
0.30000000000000004,0.226,0.087,839.019,839.18,0.2,1.663,40.375,34.42,36.053,838.859,839.019
0.4,0.59,0.087,838.727,839.144,0.2,1.241,39.988,34.799,35.982,838.31,838.727
0.5,-1,0.0,-1,-1,0.2,0.438,36.006,34.581,35.34,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.315,36.052,34.748,35.395,-1,-1
0.7,-1,0.0,-1,-1,0.2,13.666,68.021,34.999,50.415,-1,-1
0.7999999999999999,5.252,0.435,110.808,118.067,0.2,7.73,82.929,62.564,71.151,102.827,110.338
0.8999999999999999,15.302,0.957,124.065,151.811,0.2,1.928,85.563,78.969,83.423,104.063,119.479
0.9999999999999999,8.382,1.0,134.565,152.025,0.2,8.212,84.532,63.589,73.151,122.865,132.184
1.0999999999999999,9.42,1.0,121.386,135.594,0.2,4.412,77.091,65.357,72.674,106.361,124.729
1.2,4.822,1.0,108.164,120.995,0.2,1.487,76.25,69.995,73.99,101.686,107.367
1.3,2.576,0.435,104.61,108.975,0.2,4.492,73.377,58.962,69.73,101.686,105.247
1.4000000000000001,-1,0.0,-1,-1,0.2,6.155,78.583,58.77,71.997,-1,-1
1.5000000000000002,1.991,0.174,209.409,211.058,0.2,2.336,77.284,70.601,74.316,206.545,210.016
1.6000000000000003,7.661,0.13,129.49,136.163,0.2,5.457,72.283,54.945,65.425,121.123,131.184
1.7000000000000004,-1,0.0,-1,-1,0.2,6.688,65.025,43.879,55.272,-1,-1
1.8000000000000005,-1,0.0,-1,-1,0.2,8.781,58.536,34.777,48.722,-1,-1
1.9000000000000006,-1,0.0,-1,-1,0.2,1.882,42.926,34.555,35.837,-1,-1
2.0000000000000004,2.557,0.13,701.129,703.73,0.2,2.622,43.703,34.998,36.88,698.619,701.039
