t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,6.667,54.825,34.485,39.957,-1,-1
0.1,-1,0.0,-1,-1,0.2,7.212,54.812,34.084,38.869,-1,-1
0.2,3.889,0.348,202.758,210.622,0.2,21.832,85.688,34.135,54.762,199.022,202.565
0.30000000000000004,10.012,0.826,193.427,206.184,0.2,8.241,86.216,58.283,78.274,175.133,194.887
0.4,25.673,0.565,202.676,238.174,0.2,14.587,78.519,36.102,60.105,175.58,193.136
0.5,46.317,0.739,225.675,268.202,0.2,6.414,85.034,61.764,78.867,131.561,233.934
0.6,4.412,1.0,135.748,143.403,0.2,1.626,87.224,81.987,84.87,126.165,134.661
0.7,28.451,1.0,249.514,289.055,0.2,1.625,86.734,80.019,82.441,202.034,253.082
0.7999999999999999,24.451,0.913,217.6,270.288,0.2,2.97,88.917,77.648,83.442,195.001,202.711
0.8999999999999999,50.525,0.522,199.57,270.186,0.2,11.667,88.898,55.378,75.864,128.477,198.224
0.9999999999999999,35.401,0.913,188.358,228.155,0.2,6.037,74.081,54.872,67.283,126.853,207.018
1.0999999999999999,4.254,1.0,211.409,217.43,0.2,2.386,78.798,72.13,75.895,205.645,211.297
1.2,6.026,1.0,209.638,217.426,0.2,0.876,80.721,77.333,78.615,197.002,210.093
1.3,9.791,1.0,193.834,207.974,0.2,1.246,80.761,77.036,79.069,179.632,193.008
1.4000000000000001,12.086,0.739,178.035,188.737,0.2,3.608,84.372,71.281,77.824,137.511,179.722
1.5000000000000002,41.235,0.522,182.177,238.305,0.2,4.734,86.356,69.971,80.394,122.587,193.589
1.6000000000000003,7.261,0.826,219.71,235.313,0.2,1.57,86.446,80.285,82.882,211.95,217.2
1.7000000000000004,8.152,1.0,227.933,239.52,0.2,3.686,82.247,69.869,78.017,216.195,229.366
1.8000000000000005,41.202,0.913,207.014,237.983,0.2,3.509,81.245,69.746,77.412,131.261,227.739
1.9000000000000006,113.814,0.783,190.734,461.008,0.2,9.342,81.267,51.367,67.531,113.554,139.67
2.0000000000000004,124.633,0.652,232.044,464.396,0.2,11.576,72.64,36.7,62.328,128.448,181.607
2.1000000000000005,25.62,0.261,169.915,194.501,0.2,12.715,75.944,34.702,47.2,140.043,176.437
2.2000000000000006,4.881,0.696,185.329,193.257,0.2,10.625,80.572,45.136,70.112,173.945,185.767
2.3000000000000007,15.651,0.565,184.086,229.675,0.2,11.746,73.977,37.758,56.524,164.453,183.051
2.400000000000001,8.253,0.609,196.294,222.272,0.2,17.358,83.713,37.289,68.765,189.95,194.123
2.500000000000001,9.567,1.0,202.164,220.983,0.2,1.465,85.198,80.713,83.457,189.991,202.94
2.600000000000001,8.048,0.957,216.513,226.98,0.2,3.438,84.719,69.434,80.857,204.073,217.849
2.700000000000001,16.432,0.565,208.435,226.358,0.2,15.74,82.061,38.07,62.748,183.117,212.729
2.800000000000001,5.466,0.739,177.317,189.122,0.2,9.401,81.82,48.226,75.872,170.565,175.876
2.9000000000000012,4.307,0.739,172.796,177.389,0.2,12.238,79.451,44.91,69.782,162.594,173.608
3.0000000000000013,13.15,0.652,188.786,213.82,0.2,14.792,83.781,44.463,68.672,163.227,190.695
3.1000000000000014,3.352,1.0,192.453,200.057,0.2,1.811,83.792,77.791,81.824,188.172,191.481
3.2000000000000015,18.1,1.0,189.06,202.208,0.2,4.358,82.905,65.465,78.75,123.724,194.732
3.3000000000000016,29.89,1.0,165.09,198.626,0.2,8.528,81.184,57.591,67.633,114.841,179.675
3.4000000000000017,14.44,1.0,165.951,184.224,0.2,6.691,82.887,62.465,75.212,125.185,165.363
3.5000000000000018,3.728,1.0,160.677,170.994,0.2,4.688,80.857,67.93,75.94,155.257,159.802
3.600000000000002,5.668,1.0,155.442,169.61,0.2,2.195,80.255,72.265,77.736,145.715,154.826
3.700000000000002,2.702,0.913,152.644,156.83,0.2,8.075,80.26,54.409,71.051,144.356,153.249
3.800000000000002,2.055,0.391,152.755,155.134,0.2,10.557,66.834,36.823,46.146,148.365,152.945
3.900000000000002,0.747,0.087,150.299,150.827,0.2,0.377,37.822,36.174,36.809,149.771,150.299
4.000000000000002,-1,0.0,-1,-1,0.2,0.644,38.532,36.265,37.58,-1,-1
4.100000000000001,-1,0.0,-1,-1,0.2,1.061,38.528,35.39,37.426,-1,-1
4.200000000000001,-1,0.0,-1,-1,0.2,0.652,37.095,34.66,35.85,-1,-1
4.300000000000001,-1,0.0,-1,-1,0.2,0.627,37.021,34.759,35.786,-1,-1
4.4,5.275,0.304,198.422,209.813,0.2,17.674,80.04,34.649,54.756,194.876,196.09
4.5,5.385,0.87,192.772,204.05,0.2,3.059,80.014,68.773,77.386,179.356,194.465
4.6,18.714,0.522,192.329,248.947,0.2,10.331,78.435,51.555,62.446,176.117,190.308
4.699999999999999,14.922,0.652,216.073,245.454,0.2,10.168,77.235,51.408,68.371,200.398,212.355
4.799999999999999,8.819,1.0,210.165,230.415,0.2,3.449,83.731,73.997,78.235,200.425,208.54
4.899999999999999,19.089,1.0,234.206,263.582,0.2,1.889,83.72,77.607,80.897,204.225,237.186
4.999999999999998,7.948,1.0,250.653,263.272,0.2,0.876,80.869,77.685,79.258,237.509,249.993
5.099999999999998,18.245,0.826,233.124,253.643,0.2,10.473,80.938,50.063,71.072,199.281,239.354
