t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.626,-1.233,-3.433,-2.191,-1,-1
0.1,15.356,0.13,489.979,507.592,0.2,22.894,57.505,-3.626,12.518,477.01,482.937
0.2,186.717,0.391,553.266,831.424,0.2,8.332,58.578,24.244,51.026,377.263,481.614
0.30000000000000004,135.542,0.13,708.81,822.263,0.2,1.963,55.155,47.788,50.535,553.077,773.187
0.4,9.547,0.087,251.736,258.487,0.2,2.845,57.204,46.388,51.568,244.986,251.736
0.5,23.33,0.783,221.786,271.964,0.2,10.454,76.341,46.8,65.304,198.297,209.78
0.6,39.801,1.0,240.13,308.81,0.2,3.436,75.681,64.749,70.156,198.102,226.522
0.7,23.343,1.0,301.534,325.281,0.2,1.666,77.113,70.666,73.934,242.874,306.857
0.7999999999999999,41.117,1.0,271.865,321.742,0.2,1.542,77.282,72.733,74.491,218.241,272.785
0.8999999999999999,14.973,1.0,215.369,249.03,0.2,2.881,74.652,63.119,71.684,191.973,213.795
0.9999999999999999,13.276,0.609,209.226,241.208,0.2,4.32,73.443,59.675,64.797,194.397,205.847
1.0999999999999999,6.411,0.739,217.812,232.693,0.2,6.082,76.8,59.155,72.124,208.116,219.385
1.2,5.193,1.0,217.39,222.867,0.2,1.919,76.812,69.727,74.383,206.242,218.92
1.3,8.235,1.0,207.767,222.274,0.2,2.094,73.227,67.293,69.678,196.445,208.699
1.4000000000000001,17.556,0.565,210.613,249.868,0.2,4.563,70.424,55.982,64.566,196.178,201.254
1.5000000000000002,6.281,0.739,231.752,245.906,0.2,5.872,73.695,55.602,68.534,226.284,229.102
1.6000000000000003,6.652,0.87,232.107,243.507,0.2,5.985,77.507,58.599,69.543,219.243,229.966
1.7000000000000004,12.538,0.696,217.413,232.71,0.2,5.431,71.86,55.55,62.972,194.578,223.566
1.8000000000000005,13.871,0.609,212.947,242.212,0.2,7.384,71.851,49.947,59.279,195.89,208.165
1.9000000000000006,11.577,0.696,193.722,230.371,0.2,5.974,69.694,49.848,64.09,184.267,190.494
2.0000000000000004,10.557,0.826,197.37,215.888,0.2,4.947,70.759,54.151,64.581,184.46,195.944
2.1000000000000005,7.319,1.0,213.803,223.885,0.2,1.112,72.276,68.072,70.916,204.509,212.375
2.2000000000000006,5.411,0.826,217.419,224.044,0.2,8.97,72.002,48.839,62.533,206.138,218.007
2.3000000000000007,15.746,0.87,192.952,220.422,0.2,7.437,68.726,48.418,62.083,176.484,185.781
2.400000000000001,9.898,0.87,184.144,209.867,0.2,3.521,67.969,56.468,63.715,175.482,180.929
2.500000000000001,8.086,0.913,191.897,212.685,0.2,5.984,73.201,56.586,67.697,173.624,191.763
2.600000000000001,0.95,1.0,191.363,192.833,0.2,2.394,73.203,65.88,69.446,189.143,191.453
2.700000000000001,5.298,1.0,186.017,192.807,0.2,1.31,67.451,62.925,65.322,177.239,187.305
2.800000000000001,7.581,0.826,174.879,185.272,0.2,1.499,65.702,61.225,63.591,157.652,176.571
2.9000000000000012,12.921,0.522,179.934,198.184,0.2,1.444,62.089,57.481,60.522,160.901,178.478
3.0000000000000013,34.067,0.435,168.271,198.471,0.2,3.877,60.567,47.8,54.985,118.578,184.765
3.1000000000000014,1.29,0.174,118.561,119.235,0.2,1.532,52.803,47.79,50.769,116.627,119.192
