t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,16.171,71.925,20.244,46.32,-1,-1
0.1,-1,0.0,-1,-1,0.2,26.176,81.566,15.478,54.733,-1,-1
0.2,-1,0.0,-1,-1,0.2,2.896,81.572,72.864,78.228,-1,-1
0.30000000000000004,4.986,0.217,130.132,137.427,0.2,3.671,76.138,64.836,70.107,125.958,127.825
0.4,5.578,0.348,129.866,138.773,0.2,3.012,66.791,58.333,62.323,125.116,126.67
0.5,5.371,0.348,187.774,195.074,0.2,1.806,59.159,53.725,56.375,180.764,186.341
0.6,5.833,0.913,187.285,194.985,0.2,2.452,58.357,50.129,55.056,177.083,186.129
0.7,16.089,1.0,168.845,192.322,0.2,1.944,56.225,50.215,53.953,143.171,172.514
0.7999999999999999,11.219,0.783,144.014,166.049,0.2,3.823,55.286,43.448,51.646,127.95,143.246
0.8999999999999999,295.919,0.435,363.555,720.859,0.2,2.302,50.961,42.505,46.035,123.664,143.665
0.9999999999999999,241.08,0.783,273.234,728.425,0.2,3.715,55.153,43.025,51.236,143.967,148.909
1.0999999999999999,9.201,1.0,138.281,148.853,0.2,1.254,54.306,50.034,52.495,123.303,140.7
1.2,5.403,0.522,127.144,136.732,0.2,1.916,53.213,46.76,50.673,118.113,126.32
1.3,291.162,0.435,328.409,771.802,0.2,2.411,54.502,46.433,49.371,117.297,160.612
1.4000000000000001,208.702,0.913,243.969,746.96,0.2,1.734,54.454,49.277,52.259,154.032,162.305
1.5000000000000002,204.419,0.87,257.412,684.973,0.2,3.313,54.448,44.43,50.285,144.403,162.046
1.6000000000000003,1.512,0.087,148.85,149.919,0.2,2.06,48.081,41.562,45.614,147.781,148.85
1.7000000000000004,357.323,0.348,381.901,820.595,0.2,2.8,49.211,38.81,44.215,116.991,129.538
1.8000000000000005,282.59,0.696,248.905,832.04,0.2,2.767,49.217,38.573,46.648,115.252,117.706
1.9000000000000006,9.02,0.348,120.802,136.063,0.2,2.419,49.286,41.191,44.943,114.499,116.279
2.0000000000000004,6.723,0.696,145.085,153.691,0.2,3.429,53.181,42.564,49.803,130.486,145.629
2.1000000000000005,5.375,1.0,154.453,161.627,0.2,0.623,54.287,52.127,52.883,144.965,154.498
2.2000000000000006,3.804,0.739,157.594,161.686,0.2,3.059,52.919,44.799,50.762,147.804,158.74
2.3000000000000007,3.634,0.174,150.957,154.711,0.2,2.866,50.3,39.584,45.036,146.203,151.458
2.400000000000001,-1,0.0,-1,-1,0.2,1.396,49.185,44.22,46.814,-1,-1
2.500000000000001,8.777,0.261,125.321,132.006,0.2,2.088,52.276,44.36,47.513,110.845,129.552
2.600000000000001,4.709,0.696,137.909,142.64,0.2,2.454,53.322,44.254,50.082,129.016,139.471
2.700000000000001,3.386,0.913,144.736,149.806,0.2,0.825,50.009,47.045,48.382,139.278,144.735
2.800000000000001,2.928,0.348,146.363,149.436,0.2,4.739,49.023,36.994,42.79,140.74,146.571
2.9000000000000012,4.205,0.348,113.042,118.986,0.2,4.581,48.875,36.468,42.074,106.615,113.889
3.0000000000000013,4.172,0.348,112.526,118.44,0.2,1.169,48.865,44.923,46.858,106.036,113.345
3.1000000000000014,41.172,0.13,570.463,605.518,0.2,3.332,47.876,36.826,44.374,525.124,580.748
3.2000000000000015,49.158,0.174,570.799,622.706,0.2,2.791,46.187,36.585,43.266,527.957,566.266
3.3000000000000016,-1,0.0,-1,-1,0.2,3.137,44.046,35.897,40.039,-1,-1
3.4000000000000017,-1,0.0,-1,-1,0.2,2.387,44.828,36.273,41.884,-1,-1
3.5000000000000018,-1,0.0,-1,-1,0.2,2.496,44.748,37.836,41.451,-1,-1
3.600000000000002,-1,0.0,-1,-1,0.2,2.927,45.736,35.733,41.845,-1,-1
3.700000000000002,1.003,0.391,125.345,126.422,0.2,5.763,54.478,39.213,47.437,123.232,125.387
3.800000000000002,257.361,0.957,243.589,820.915,0.2,2.88,54.468,45.237,50.937,123.337,125.327
3.900000000000002,328.165,0.435,503.646,841.255,0.2,2.242,49.382,40.69,46.541,124.91,706.77
4.000000000000002,1.875,0.565,129.355,133.267,0.2,4.07,53.174,41.079,49.358,127.148,128.679
4.100000000000001,11.784,1.0,139.835,160.127,0.2,1.402,53.091,47.725,51.242,127.167,135.596
4.200000000000001,6.443,1.0,159.12,166.076,0.2,1.637,52.061,47.63,49.819,147.755,160.284
4.300000000000001,8.256,0.826,159.544,166.143,0.2,2.223,53.429,47.65,50.627,141.097,163.829
4.4,166.323,0.522,209.577,565.478,0.2,5.12,54.705,37.354,46.922,119.075,143.603
4.5,104.297,0.783,151.05,568.884,0.2,3.248,56.177,45.064,52.478,119.513,126.796
4.6,2.399,1.0,125.891,129.009,0.2,0.541,52.322,49.83,50.927,120.789,126.356
4.699999999999999,4.504,1.0,119.171,126.666,0.2,0.821,53.036,50.438,51.526,113.151,118.265
4.799999999999999,1.716,1.0,113.341,116.835,0.2,1.723,53.032,47.905,49.638,110.805,113.161
4.899999999999999,0.703,0.478,111.714,112.691,0.2,1.194,50.008,45.424,48.106,110.458,111.946
4.999999999999998,-1,0.0,-1,-1,0.2,1.744,51.967,45.827,49.677,-1,-1
5.099999999999998,1.711,0.565,132.011,133.993,0.2,1.01,51.765,48.385,49.971,129.328,132.722
5.1999999999999975,2.524,0.913,129.328,133.554,0.2,1.499,53.18,48.671,51.688,124.337,129.316
5.299999999999997,8.137,0.696,134.166,147.478,0.2,4.097,54.175,42.564,49.824,124.14,131.735
5.399999999999997,6.18,0.783,136.363,146.505,0.2,2.39,54.149,46.183,50.441,128.291,136.997
5.4999999999999964,344.439,0.609,376.526,851.942,0.2,2.589,50.679,42.655,46.777,128.723,130.084
5.599999999999996,341.419,0.391,573.114,845.441,0.2,1.914,49.661,43.093,46.742,120.322,766.908
5.699999999999996,2.113,0.478,119.934,123.533,0.2,4.89,49.572,35.494,44.765,117.164,119.815
5.799999999999995,2.383,0.652,118.86,122.389,0.2,5.338,50.092,35.67,45.119,115.135,119.177
5.899999999999995,4.787,1.0,113.549,121.496,0.2,1.561,51.0,46.16,48.718,105.936,111.598
5.999999999999995,1.168,1.0,109.608,111.376,0.2,1.043,48.458,44.951,46.298,106.059,109.767
6.099999999999994,2.743,0.478,110.862,118.941,0.2,1.407,48.511,44.018,46.407,108.959,110.321
6.199999999999994,2.682,0.652,125.221,127.755,0.2,0.81,49.845,46.858,48.345,119.071,126.064
6.299999999999994,0.63,0.87,127.044,127.954,0.2,1.752,51.997,47.069,49.753,125.445,127.184
6.399999999999993,299.162,0.957,326.765,785.468,0.2,3.462,52.017,41.727,48.902,126.226,127.499
6.499999999999993,313.411,0.739,419.51,782.816,0.2,3.646,51.759,40.696,46.371,126.932,142.682
6.5999999999999925,288.826,0.652,273.136,833.89,0.2,1.731,52.606,45.737,49.643,129.168,133.606
