t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,16.166,71.871,20.248,46.269,-1,-1
0.1,-1,0.0,-1,-1,0.2,25.831,81.485,18.541,55.567,-1,-1
0.2,-1,0.0,-1,-1,0.2,2.967,81.494,72.97,78.129,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,4.423,75.875,62.371,69.609,-1,-1
0.4,-1,0.0,-1,-1,0.2,3.453,66.568,54.558,61.194,-1,-1
0.5,1.759,0.348,187.351,191.451,0.2,1.436,59.9,54.703,57.227,185.843,187.036
0.6,10.857,0.957,197.013,215.625,0.2,0.869,58.3,54.665,56.438,185.868,191.516
0.7,209.355,0.87,295.514,788.002,0.2,2.915,56.926,47.03,54.793,197.737,214.27
0.7999999999999999,243.877,0.522,375.341,782.455,0.2,3.873,55.919,43.869,49.379,202.974,265.114
0.8999999999999999,173.168,0.348,317.77,744.899,0.2,5.168,55.943,41.414,47.599,234.534,260.823
0.9999999999999999,215.921,0.522,323.696,811.317,0.2,7.864,60.503,41.204,51.169,222.021,231.756
1.0999999999999999,165.107,0.652,331.928,579.807,0.2,6.271,60.548,40.196,51.062,199.55,229.959
1.2,136.387,0.87,246.415,594.639,0.2,4.093,58.954,43.964,55.909,175.15,191.538
1.3,7.994,1.0,177.688,192.739,0.2,0.794,58.936,56.127,57.624,165.425,175.395
1.4000000000000001,303.805,0.957,415.441,836.994,0.2,3.968,57.704,46.001,52.611,161.094,174.892
1.5000000000000002,299.922,0.957,481.702,849.069,0.2,3.369,57.821,48.978,53.176,182.248,477.188
1.6000000000000003,4.951,1.0,182.837,196.655,0.2,0.575,57.785,56.048,57.286,174.253,182.137
1.7000000000000004,4.504,1.0,174.715,181.506,0.2,1.026,57.287,53.836,55.856,167.142,173.962
1.8000000000000005,4.251,1.0,167.025,174.498,0.2,0.48,56.744,55.512,56.206,160.966,165.835
1.9000000000000006,315.029,0.957,394.073,839.279,0.2,3.664,55.821,45.716,52.236,153.518,164.942
2.0000000000000004,281.343,0.87,634.921,832.953,0.2,3.111,54.015,40.765,47.495,152.446,782.327
2.1000000000000005,235.718,0.826,252.01,789.889,0.2,3.71,53.905,40.898,51.002,149.111,153.688
2.2000000000000006,3.015,1.0,153.992,159.48,0.2,1.628,54.008,47.297,51.527,149.3,154.526
2.3000000000000007,232.986,0.957,259.062,763.617,0.2,2.823,54.084,44.12,50.76,145.126,151.679
2.400000000000001,310.732,0.783,634.94,849.437,0.2,3.372,50.685,39.843,45.001,145.478,813.808
2.500000000000001,129.465,0.217,684.109,826.328,0.2,3.867,52.779,40.036,45.728,569.864,616.302
2.600000000000001,39.966,0.522,779.308,822.659,0.2,2.894,49.523,38.619,45.127,673.839,789.204
2.700000000000001,37.624,0.696,778.999,830.143,0.2,2.907,47.702,38.525,43.898,662.118,787.422
2.800000000000001,-1,0.0,-1,-1,0.2,3.43,51.67,40.026,46.86,-1,-1
2.9000000000000012,7.055,0.261,169.928,183.93,0.2,5.769,60.161,42.011,49.898,165.054,167.476
3.0000000000000013,4.021,0.783,167.845,171.041,0.2,2.84,60.172,49.478,57.194,155.353,169.737
