t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,14.156,0.217,244.736,260.832,0.2,3.376,85.894,75.552,80.244,229.778,245.723
0.1,24.824,0.826,272.412,304.985,0.2,1.617,77.563,71.998,75.111,226.373,273.302
0.2,16.396,1.0,305.628,337.921,0.2,1.662,73.844,69.268,70.799,274.793,305.254
0.30000000000000004,12.679,0.87,316.365,339.505,0.2,0.953,69.603,67.086,68.374,287.142,318.079
0.4,23.883,0.478,264.272,310.092,0.2,1.339,70.513,66.599,67.918,240.604,256.373
0.5,16.293,0.696,250.733,278.222,0.2,1.431,70.505,66.47,67.744,216.644,251.338
0.6,3.717,0.652,220.143,225.104,0.2,1.514,70.312,66.474,68.678,213.31,220.052
0.7,30.645,1.0,241.038,304.462,0.2,0.348,70.515,69.152,69.82,212.24,223.957
0.7999999999999999,85.876,0.739,204.134,305.191,0.2,1.386,70.252,66.309,67.93,105.192,240.327
0.8999999999999999,113.753,0.696,268.143,371.625,0.2,1.324,70.502,66.292,67.311,105.382,329.6
0.9999999999999999,36.128,1.0,300.542,361.552,0.2,2.477,73.054,66.243,68.543,247.667,296.534
1.0999999999999999,24.239,1.0,251.075,299.745,0.2,2.232,73.081,66.994,69.487,206.617,255.673
1.2,21.066,1.0,217.967,259.956,0.2,1.89,72.667,67.017,71.023,195.246,209.788
1.3,3.339,1.0,201.958,208.706,0.2,1.26,71.988,68.355,70.339,195.319,202.115
1.4000000000000001,1.638,0.913,200.007,202.897,0.2,2.023,71.448,66.355,68.399,197.104,199.858
1.5000000000000002,6.653,0.783,207.225,219.577,0.2,1.303,69.45,66.149,67.473,197.321,208.875
1.6000000000000003,3.377,1.0,210.471,213.666,0.2,0.956,71.935,68.866,70.275,201.759,211.967
1.7000000000000004,9.757,1.0,199.655,212.954,0.2,1.245,71.941,67.56,70.426,179.142,200.36
1.8000000000000005,5.9,1.0,187.138,200.315,0.2,1.028,70.685,66.811,67.949,177.55,185.462
1.9000000000000006,3.36,1.0,181.884,187.676,0.2,0.373,68.141,66.798,67.469,175.934,182.064
2.0000000000000004,3.395,0.87,176.323,181.889,0.2,0.608,68.149,66.227,67.057,169.638,176.744
2.1000000000000005,7.683,0.609,164.862,174.426,0.2,0.483,67.887,66.222,66.867,156.442,163.457
2.2000000000000006,2.144,0.913,156.504,162.885,0.2,0.271,67.907,66.843,67.289,153.482,156.152
2.3000000000000007,1.771,0.565,154.814,156.891,0.2,0.332,67.403,66.243,66.77,149.817,154.925
2.400000000000001,12.855,0.261,126.556,141.646,0.2,0.311,67.076,66.114,66.585,110.269,126.661
2.500000000000001,11.265,0.739,122.798,146.073,0.2,0.14,66.463,65.951,66.224,100.993,120.241
2.600000000000001,5.612,0.609,117.351,126.887,0.2,0.095,66.455,66.063,66.194,106.016,117.807
2.700000000000001,4.287,0.478,119.271,124.727,0.2,0.179,66.614,65.903,66.179,109.692,118.793
2.800000000000001,3.547,0.217,194.035,199.057,0.2,2.288,72.517,65.894,67.478,190.453,193.355
2.9000000000000012,5.167,0.826,200.104,209.987,0.2,1.812,72.897,66.768,71.214,190.582,201.406
3.0000000000000013,5.429,1.0,206.847,217.271,0.2,0.966,72.164,68.701,70.041,199.509,205.636
3.1000000000000014,23.546,1.0,227.249,293.045,0.2,0.745,71.527,68.887,70.155,201.836,221.677
3.2000000000000015,62.618,1.0,311.816,387.992,0.2,1.18,72.095,68.587,70.593,223.567,320.442
3.3000000000000016,34.507,1.0,356.858,386.846,0.2,0.92,71.759,68.877,70.325,266.998,374.39
3.4000000000000017,64.631,1.0,264.986,373.54,0.2,0.669,70.515,68.497,69.551,189.997,243.59
3.5000000000000018,8.68,0.522,206.017,223.833,0.2,1.302,70.546,66.498,67.769,189.767,204.094
3.600000000000002,52.543,0.217,151.422,208.717,0.2,0.193,67.086,66.26,66.554,104.427,117.919
3.700000000000002,48.383,0.609,186.714,258.055,0.2,1.048,70.087,66.282,67.095,108.109,182.986
3.800000000000002,67.95,1.0,278.93,361.129,0.2,1.111,70.692,67.012,69.506,174.62,291.148
3.900000000000002,12.974,0.913,346.696,361.537,0.2,0.88,70.598,67.044,68.903,314.022,346.667
4.000000000000002,13.469,0.522,341.532,355.948,0.2,0.974,69.217,66.418,67.158,310.916,346.098
4.100000000000001,48.979,0.565,161.887,231.451,0.2,1.17,69.226,66.411,68.051,99.472,126.293
4.200000000000001,34.046,1.0,180.306,229.103,0.2,0.596,69.441,67.384,68.634,99.265,190.07
4.300000000000001,13.702,1.0,168.362,199.829,0.2,0.55,69.272,67.426,68.395,151.63,164.589
4.4,2.06,1.0,155.989,160.526,0.2,0.464,68.626,67.121,67.809,151.749,156.265
4.5,11.206,1.0,150.813,157.3,0.2,0.43,67.661,66.469,67.118,115.547,155.077
