t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.726,54.957,52.505,53.767,-1,-1
0.1,4.632,0.478,140.335,146.573,0.2,5.666,65.903,52.415,59.31,133.163,138.561
0.2,9.254,1.0,149.493,162.464,0.2,2.113,65.946,59.307,63.134,134.859,146.745
0.30000000000000004,2.901,0.609,160.298,163.748,0.2,3.3,66.135,56.016,61.536,154.639,160.988
0.4,3.662,0.391,187.353,193.731,0.2,3.866,66.494,55.426,60.058,182.877,186.154
0.5,14.63,1.0,201.934,222.273,0.2,1.101,66.511,63.088,64.988,183.487,199.717
0.6,29.984,1.0,189.512,222.293,0.2,1.135,67.267,64.047,65.721,139.037,199.73
0.7,19.857,1.0,139.241,184.583,0.2,1.92,65.704,59.891,63.609,118.906,131.978
0.7999999999999999,4.839,0.739,119.574,128.546,0.2,2.11,62.994,56.428,59.969,110.696,119.348
0.8999999999999999,14.521,0.435,130.855,143.471,0.2,3.546,65.919,55.222,58.376,112.748,140.865
0.9999999999999999,5.743,0.826,148.332,155.96,0.2,2.176,66.975,58.112,64.772,140.573,147.147
1.0999999999999999,3.114,1.0,154.229,158.566,0.2,1.655,64.97,59.43,63.14,147.638,155.179
1.2,3.044,1.0,156.916,159.718,0.2,3.393,66.058,55.355,62.595,148.411,158.091
1.3,1.678,0.304,158.08,159.486,0.2,2.447,63.467,54.779,56.747,155.234,159.161
1.4000000000000001,-1,0.0,-1,-1,0.2,1.968,57.491,51.001,54.348,-1,-1
1.5000000000000002,3.584,0.348,119.042,122.906,0.2,3.644,60.793,51.062,56.021,112.008,119.282
1.6000000000000003,8.308,1.0,121.638,141.318,0.2,1.225,60.819,56.239,59.033,104.877,120.244
1.7000000000000004,20.085,1.0,147.276,176.971,0.2,1.858,62.42,56.208,60.048,118.929,146.145
1.8000000000000005,12.131,0.87,162.497,176.695,0.2,2.294,63.738,55.373,61.101,133.927,166.685
1.9000000000000006,22.011,0.522,133.079,165.41,0.2,2.644,63.008,54.156,57.353,105.724,127.462
2.0000000000000004,11.353,0.304,118.826,140.42,0.2,1.475,59.456,54.631,56.457,104.748,117.65
2.1000000000000005,6.845,0.348,127.067,141.271,0.2,3.133,62.044,54.142,58.009,120.823,124.878
2.2000000000000006,2.87,0.739,122.723,127.751,0.2,2.986,62.372,52.475,59.627,118.264,122.445
2.3000000000000007,3.608,1.0,125.137,130.159,0.2,1.202,62.401,59.135,60.606,118.228,126.118
2.400000000000001,5.035,0.652,123.969,131.561,0.2,3.188,62.372,53.981,59.353,113.969,125.48
2.500000000000001,4.654,0.522,114.923,123.411,0.2,2.964,62.06,52.793,57.272,108.155,114.464
2.600000000000001,3.019,0.565,112.56,120.396,0.2,2.727,60.933,52.729,57.149,108.015,112.902
2.700000000000001,3.199,0.348,112.807,120.397,0.2,3.194,60.112,51.934,56.439,110.252,111.713
2.800000000000001,5.984,0.522,118.637,134.444,0.2,3.102,60.533,52.231,56.196,110.239,118.089
2.9000000000000012,3.217,1.0,114.353,119.016,0.2,0.898,61.557,58.168,60.353,109.745,113.576
3.0000000000000013,1.396,1.0,110.223,113.062,0.2,0.731,60.721,58.437,59.797,107.671,109.913
3.1000000000000014,162.994,0.826,177.185,552.039,0.2,2.331,60.303,53.03,57.001,103.94,109.703
3.2000000000000015,319.032,0.217,454.056,738.793,0.2,1.21,57.08,52.454,54.423,104.77,655.923
3.3000000000000016,9.721,0.304,141.97,153.02,0.2,2.932,62.256,52.441,56.573,128.787,146.477
3.4000000000000017,9.401,0.783,149.892,164.662,0.2,2.538,62.856,54.493,59.631,137.124,148.614
3.5000000000000018,15.633,1.0,131.841,161.714,0.2,1.602,62.031,55.68,59.182,111.082,134.375
3.600000000000002,5.151,1.0,112.908,127.775,0.2,1.719,62.318,55.608,61.149,107.972,111.339
3.700000000000002,2.613,1.0,112.759,116.406,0.2,0.55,62.522,60.661,61.717,108.294,112.927
3.800000000000002,1.85,0.609,116.382,119.846,0.2,2.85,61.858,54.756,58.357,114.156,115.613
3.900000000000002,353.367,0.174,647.987,828.723,0.2,1.559,57.671,51.681,54.955,117.955,822.635
4.000000000000002,90.185,0.087,758.771,822.542,0.2,2.685,57.713,49.64,53.284,695.001,758.771
4.100000000000001,65.857,0.13,619.28,695.309,0.2,1.945,56.991,50.466,54.078,579.893,582.638
4.200000000000001,5.072,0.391,112.971,125.241,0.2,3.062,58.49,50.509,54.897,106.334,112.886
4.300000000000001,4.114,0.913,115.671,123.632,0.2,1.578,61.854,57.177,59.268,108.074,116.229
4.4,14.264,1.0,132.808,155.765,0.2,1.729,65.653,60.981,62.77,116.4,129.755
4.5,226.237,0.826,290.874,819.864,0.2,4.506,65.67,53.702,61.015,137.8,156.746
4.6,2.647,0.348,111.254,115.44,0.2,3.838,61.572,51.012,56.186,108.532,110.326
4.699999999999999,3.383,0.913,114.092,118.229,0.2,0.72,62.458,59.956,61.173,108.354,114.584
4.799999999999999,3.764,0.783,119.736,128.393,0.2,3.214,62.466,52.581,58.004,115.308,118.042
4.899999999999999,4.347,0.435,121.477,128.46,0.2,3.078,61.624,52.57,57.579,114.666,121.418
4.999999999999998,1.548,0.087,114.951,116.046,0.2,1.502,57.685,52.31,55.363,113.857,114.951
5.099999999999998,2.409,0.087,102.018,103.721,0.2,1.486,58.247,52.524,55.714,100.314,102.018
5.1999999999999975,2.039,0.391,130.044,133.024,0.2,3.136,61.932,53.198,57.841,127.595,129.606
5.299999999999997,5.495,0.957,135.064,143.646,0.2,1.477,61.936,56.551,59.744,127.45,133.951
5.399999999999997,12.444,0.609,150.427,178.933,0.2,4.985,64.28,48.271,56.328,137.264,143.064
5.4999999999999964,4.916,0.565,163.73,177.339,0.2,4.205,64.28,52.87,59.656,158.823,162.757
5.599999999999996,1.517,0.174,166.044,168.231,0.2,2.16,58.584,50.014,54.009,164.996,165.475
5.699999999999996,-1,0.0,-1,-1,0.2,1.348,55.567,50.13,53.825,-1,-1
5.799999999999995,2.964,0.217,137.359,141.238,0.2,3.73,63.721,49.992,55.67,133.297,137.343
5.899999999999995,9.404,0.826,148.315,161.348,0.2,2.207,63.694,55.362,60.998,132.603,150.291
5.999999999999995,10.891,0.652,151.053,161.256,0.2,3.361,64.001,53.068,57.905,126.431,153.718
6.099999999999994,6.157,0.696,119.609,133.909,0.2,3.272,64.639,53.533,59.402,111.037,118.82
6.199999999999994,3.433,1.0,119.554,125.055,0.2,2.659,64.083,57.322,60.273,111.293,120.148
6.299999999999994,3.011,1.0,120.16,124.017,0.2,2.135,64.074,57.376,62.038,114.263,120.97
6.399999999999993,4.421,1.0,113.83,121.622,0.2,1.31,61.628,56.261,58.101,106.662,115.141
6.499999999999993,3.907,0.783,107.797,117.117,0.2,0.541,59.468,57.143,58.38,102.102,107.205
6.5999999999999925,318.782,0.391,265.671,830.997,0.2,2.316,58.782,51.918,55.408,102.029,106.603
6.699999999999992,3.091,0.087,826.343,828.529,0.2,1.142,55.405,51.728,53.691,824.158,826.343
6.799999999999992,-1,0.0,-1,-1,0.2,2.305,57.525,50.381,54.253,-1,-1
6.8999999999999915,-1,0.0,-1,-1,0.2,1.704,55.634,50.496,53.242,-1,-1
6.999999999999991,-1,0.0,-1,-1,0.2,1.233,55.829,51.28,54.542,-1,-1
7.099999999999991,-1,0.0,-1,-1,0.2,1.969,56.543,50.16,52.557,-1,-1
7.19999999999999,-1,0.0,-1,-1,0.2,1.9,57.929,51.089,55.109,-1,-1
7.29999999999999,2.643,0.304,106.266,108.887,0.2,3.424,60.1,50.521,55.259,101.884,107.049
7.39999999999999,2.977,0.957,104.982,112.996,0.2,0.841,60.313,57.708,59.006,101.844,103.59
7.499999999999989,13.212,1.0,115.946,139.388,0.2,1.116,61.785,57.62,59.19,101.267,110.183
7.599999999999989,7.163,1.0,132.81,141.442,0.2,2.596,65.674,58.451,62.978,118.362,134.951
7.699999999999989,237.409,0.652,267.389,755.939,0.2,4.289,65.574,52.782,57.797,120.104,136.344
7.799999999999988,275.04,0.609,321.477,762.015,0.2,3.793,62.074,51.771,57.412,123.648,129.106
7.899999999999988,104.619,0.652,178.219,381.695,0.2,2.919,62.084,55.054,57.987,123.355,127.894
7.999999999999988,43.067,0.217,410.124,472.919,0.2,0.584,56.161,54.199,55.173,371.936,381.41
8.099999999999987,-1,0.0,-1,-1,0.2,1.803,55.454,49.013,53.208,-1,-1
8.199999999999987,3.055,0.087,569.881,572.041,0.2,2.033,56.142,49.054,53.503,567.721,569.881
8.299999999999986,190.557,0.435,207.062,569.328,0.2,2.265,60.091,54.076,56.707,109.136,119.29
8.399999999999986,5.129,0.609,119.977,126.725,0.2,3.78,61.716,50.657,56.594,110.461,120.469
8.499999999999986,4.898,0.739,126.96,133.522,0.2,1.763,63.246,56.67,61.011,114.809,127.472
8.599999999999985,21.793,0.522,151.711,178.158,0.2,3.293,62.964,54.04,58.175,129.67,148.378
8.699999999999985,7.908,0.826,170.361,179.711,0.2,2.766,64.748,55.451,60.911,151.433,172.311
8.799999999999985,18.51,1.0,148.641,179.235,0.2,0.756,65.19,62.105,64.223,126.32,143.015
8.899999999999984,5.958,1.0,131.629,146.933,0.2,2.206,65.072,58.587,63.1,125.158,130.115
8.999999999999984,26.383,1.0,160.502,197.906,0.2,0.957,62.251,58.527,60.396,126.375,157.585
9.099999999999984,7.678,0.739,188.464,197.572,0.2,2.688,61.111,52.91,57.524,174.288,190.472
9.199999999999983,29.23,0.565,140.81,189.646,0.2,3.91,62.829,53.012,57.966,116.178,126.631
9.299999999999983,7.468,0.87,117.679,135.944,0.2,2.178,62.838,54.808,60.296,107.307,116.409
9.399999999999983,5.414,0.739,106.336,119.542,0.2,1.834,61.444,54.825,59.032,100.331,105.226
9.499999999999982,208.267,0.435,263.083,507.918,0.2,1.715,59.543,54.113,57.226,100.1,102.941
9.599999999999982,115.233,0.652,691.678,781.188,0.2,1.778,56.74,51.044,54.866,496.87,749.357
9.699999999999982,51.789,0.696,722.534,754.282,0.2,1.597,56.797,52.526,54.783,594.084,746.487
9.799999999999981,71.913,0.217,683.619,747.301,0.2,1.325,56.716,51.579,53.322,596.466,728.897
9.89999999999998,4.617,0.609,112.338,120.971,0.2,1.603,57.871,52.459,56.65,106.069,112.999
9.99999999999998,6.619,1.0,113.926,125.83,0.2,1.95,63.07,56.985,58.753,106.085,112.187
10.09999999999998,6.75,1.0,118.882,126.618,0.2,1.347,63.695,59.412,62.239,105.696,119.554
10.19999999999998,306.003,0.696,377.322,720.401,0.2,3.398,63.256,53.222,57.361,107.017,123.644
10.29999999999998,53.467,0.522,744.266,854.292,0.2,1.022,57.136,53.725,55.494,706.37,718.37
10.399999999999979,77.343,0.217,791.221,849.181,0.2,1.35,57.011,52.329,54.621,688.226,844.804
10.499999999999979,4.791,0.348,120.657,131.874,0.2,1.867,60.119,54.407,57.105,117.494,118.531
10.599999999999978,4.628,0.609,121.0,132.447,0.2,2.173,60.061,53.334,56.77,115.569,120.223
10.699999999999978,1.583,0.304,118.728,120.808,0.2,2.582,61.055,53.459,57.199,116.137,119.282
10.799999999999978,2.185,0.304,126.178,128.94,0.2,1.756,60.171,54.867,57.34,122.086,126.043
10.899999999999977,1.965,0.391,128.149,131.092,0.2,1.561,59.921,53.41,56.062,125.619,128.086
10.999999999999977,11.864,0.565,155.972,186.771,0.2,2.9,62.001,54.303,58.796,144.33,152.265
11.099999999999977,4.983,0.783,146.997,157.807,0.2,2.112,61.7,54.347,58.312,140.72,144.887
11.199999999999976,6.18,0.609,149.273,160.069,0.2,3.278,62.407,53.829,58.066,140.01,150.787
11.299999999999976,139.552,0.565,227.476,474.178,0.2,3.547,62.369,51.338,57.939,150.428,154.295
11.399999999999975,4.427,0.087,473.398,476.528,0.2,1.477,56.22,51.248,53.799,470.267,473.398
11.499999999999975,7.821,0.391,140.254,149.873,0.2,3.79,63.355,53.242,57.701,125.123,141.708
11.599999999999975,9.578,0.957,152.132,164.279,0.2,2.046,63.349,56.653,60.791,131.561,154.723
11.699999999999974,6.791,0.652,156.788,163.816,0.2,2.649,61.333,52.473,56.839,143.443,159.218
11.799999999999974,9.128,0.826,140.991,160.261,0.2,1.473,61.306,55.223,57.89,121.417,140.214
11.899999999999974,2.575,1.0,137.379,144.5,0.2,1.029,59.963,56.795,58.449,131.867,137.398
11.999999999999973,9.027,0.913,128.353,138.403,0.2,1.377,62.747,59.115,61.081,114.392,130.109
12.099999999999973,3.001,0.826,115.832,122.6,0.2,2.493,62.742,53.528,60.179,111.517,115.688
12.199999999999973,1.221,1.0,114.667,116.338,0.2,1.298,61.912,57.631,60.492,112.326,114.715
12.299999999999972,1.774,1.0,114.945,119.282,0.2,1.74,60.106,54.539,56.786,111.702,114.696
12.399999999999972,4.323,1.0,115.563,123.968,0.2,1.652,61.635,55.754,58.348,104.678,116.33
12.499999999999972,139.593,0.739,176.24,473.7,0.2,3.507,61.595,50.442,57.052,99.031,117.078
12.599999999999971,1.95,0.087,466.793,468.172,0.2,1.381,55.922,50.489,53.855,465.414,466.793
12.69999999999997,6.143,0.087,673.57,677.915,0.2,1.41,58.073,52.795,54.836,669.226,673.57
12.79999999999997,30.411,0.087,451.23,472.733,0.2,2.059,55.858,49.919,53.187,429.726,451.23
12.89999999999997,-1,0.0,-1,-1,0.2,2.188,56.892,49.742,53.97,-1,-1
12.99999999999997,34.617,0.174,758.47,790.435,0.2,1.784,55.208,49.704,52.521,720.683,761.381
13.09999999999997,33.825,0.174,815.685,848.273,0.2,0.967,56.748,52.575,54.45,786.242,814.112
13.199999999999969,175.567,0.478,623.878,849.52,0.2,0.738,55.203,52.378,53.669,435.798,585.332
13.299999999999969,10.036,0.087,586.707,593.804,0.2,0.831,55.615,52.845,54.217,579.611,586.707
13.399999999999968,1.102,0.217,126.593,128.128,0.2,2.669,61.615,51.927,55.249,125.54,126.228
13.499999999999968,3.095,0.783,122.86,127.963,0.2,2.565,63.189,54.704,60.936,117.635,123.072
13.599999999999968,18.587,1.0,136.076,177.014,0.2,2.016,63.209,58.028,61.098,117.557,129.364
13.699999999999967,17.725,1.0,170.789,186.146,0.2,1.985,63.471,57.972,61.149,132.576,178.43
13.799999999999967,26.047,1.0,157.148,185.904,0.2,0.75,64.167,61.426,62.889,113.95,162.219
13.899999999999967,12.65,0.696,123.228,148.343,0.2,2.77,63.003,55.341,59.696,111.813,116.406
13.999999999999966,8.725,0.391,124.536,131.037,0.2,1.595,60.055,54.289,57.366,110.959,129.97
14.099999999999966,153.102,0.913,181.698,643.515,0.2,1.43,61.654,56.05,60.258,129.707,134.247
14.199999999999966,2.277,0.696,136.654,141.083,0.2,2.854,61.612,53.853,58.675,133.921,135.95
14.299999999999965,181.517,0.478,418.747,577.683,0.2,2.215,57.589,48.554,54.866,139.899,503.647
14.399999999999965,152.368,0.652,750.505,858.187,0.2,2.96,57.39,47.862,53.421,457.718,821.232
14.499999999999964,369.527,0.565,560.363,850.244,0.2,2.192,59.062,51.322,56.237,110.71,830.814
14.599999999999964,13.689,0.261,123.842,139.413,0.2,3.003,60.483,48.918,53.159,110.041,121.97
14.699999999999964,9.83,0.696,117.982,139.197,0.2,2.896,61.501,53.215,58.604,101.625,118.276
14.799999999999963,6.066,0.913,106.686,119.854,0.2,1.384,59.87,55.0,56.962,99.902,104.524
14.899999999999963,12.14,0.913,111.901,139.365,0.2,1.393,59.787,54.944,57.193,100.065,105.159
14.999999999999963,21.164,1.0,143.168,170.325,0.2,1.002,61.204,57.826,59.465,108.754,144.473
15.099999999999962,20.131,1.0,150.076,170.421,0.2,0.95,61.203,58.529,59.964,110.528,160.286
15.199999999999962,346.316,0.87,401.667,829.818,0.2,3.612,61.203,51.162,56.742,107.354,148.463
15.299999999999962,11.726,0.478,819.776,840.745,0.2,1.258,56.094,51.043,53.86,802.084,817.446
15.399999999999961,7.142,0.391,136.725,142.628,0.2,1.566,57.886,53.424,56.397,119.021,137.517
15.499999999999961,6.214,0.783,136.964,143.45,0.2,1.494,61.161,56.886,58.68,116.819,138.094
15.59999999999996,9.927,0.609,122.991,139.119,0.2,1.707,61.124,56.01,58.4,111.905,119.016
15.69999999999996,4.493,0.609,115.005,123.229,0.2,2.758,60.0,50.04,55.317,108.542,114.003
15.79999999999996,5.511,0.652,110.561,129.473,0.2,3.641,61.695,50.095,58.169,105.524,109.486
15.89999999999996,12.506,0.391,114.908,139.782,0.2,5.952,61.621,45.397,53.12,107.595,108.636
15.99999999999996,5.177,0.478,134.973,144.842,0.2,4.287,61.633,46.254,56.701,125.615,135.376
16.09999999999996,10.671,0.87,122.279,144.819,0.2,1.504,61.759,57.085,59.835,112.502,117.879
16.19999999999996,3.737,1.0,109.945,116.291,0.2,0.479,59.4,57.792,58.624,104.67,109.97
16.29999999999996,1.289,0.87,105.19,107.318,0.2,2.719,59.364,51.367,56.543,102.613,105.091
16.399999999999963,10.07,0.435,111.928,126.667,0.2,2.146,57.253,50.692,54.32,102.036,105.287
16.499999999999964,14.54,0.739,137.157,164.147,0.2,1.057,59.623,54.821,56.82,122.112,133.909
16.599999999999966,13.844,1.0,143.178,165.166,0.2,1.947,60.848,54.55,57.349,126.484,140.61
16.699999999999967,10.069,0.783,125.589,149.877,0.2,2.467,61.712,54.213,57.169,114.282,126.74
16.79999999999997,1.56,0.87,117.052,119.029,0.2,0.979,61.949,57.911,61.048,114.341,117.419
16.89999999999997,1.378,0.913,119.267,123.154,0.2,1.583,61.739,56.938,60.263,117.416,119.014
16.99999999999997,283.779,0.478,286.482,729.015,0.2,1.111,59.862,55.781,57.005,119.696,120.752
17.099999999999973,7.252,0.13,732.001,740.305,0.2,1.972,56.505,50.936,53.997,725.828,728.781
17.199999999999974,104.285,0.609,146.501,508.766,0.2,1.17,56.686,52.505,55.637,115.143,119.176
17.299999999999976,5.032,1.0,113.287,122.243,0.2,1.001,59.07,55.924,57.519,105.628,113.233
17.399999999999977,1.82,1.0,109.145,113.559,0.2,1.25,61.338,57.548,59.069,105.775,108.962
17.49999999999998,6.494,0.739,114.506,129.23,0.2,2.77,61.36,52.036,58.381,108.743,112.238
17.59999999999998,329.125,0.348,424.409,833.027,0.2,3.005,56.783,47.754,52.376,116.617,351.203
17.69999999999998,36.626,0.609,816.467,860.382,0.2,1.34,56.901,51.735,55.275,735.474,831.274
