t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,2.736,0.174,120.558,123.712,0.2,8.624,67.277,37.377,50.108,117.084,120.709
0.1,6.371,0.783,125.602,139.378,0.2,7.918,72.434,42.232,66.895,117.147,123.615
0.2,16.085,1.0,145.765,166.432,0.2,1.814,72.579,65.156,70.303,120.916,145.279
0.30000000000000004,3.313,0.565,162.753,165.736,0.2,11.768,71.637,41.461,57.18,154.578,163.986
0.4,8.06,0.739,159.4,173.281,0.2,8.771,70.182,43.366,59.545,138.994,159.157
0.5,14.492,0.783,147.488,173.781,0.2,9.013,74.237,46.616,63.555,117.196,151.672
0.6,9.541,0.826,123.349,145.682,0.2,7.583,70.126,47.64,60.245,114.071,119.895
0.7,1.719,1.0,116.99,120.308,0.2,2.453,73.725,65.359,71.24,114.105,117.155
0.7999999999999999,4.052,1.0,113.914,117.959,0.2,1.295,74.515,70.273,72.94,107.147,116.353
0.8999999999999999,2.413,0.957,107.7,113.832,0.2,2.362,72.395,65.27,68.749,104.221,107.668
0.9999999999999999,2.389,0.609,104.687,109.211,0.2,9.44,66.903,41.619,58.992,99.992,105.058
1.0999999999999999,1.308,0.391,129.81,131.984,0.2,14.059,73.06,39.119,55.679,127.799,130.123
1.2,5.004,0.957,133.65,141.844,0.2,4.126,73.055,56.64,69.732,127.843,131.398
1.3,3.813,1.0,140.42,146.212,0.2,4.071,70.31,56.872,65.195,129.953,141.391
1.4000000000000001,1.813,0.435,141.868,143.869,0.2,10.978,66.931,38.804,48.349,137.613,142.196
1.5000000000000002,2.26,0.13,130.518,131.901,0.2,0.885,40.347,37.18,39.047,127.91,131.741
1.6000000000000003,3.392,0.087,130.683,133.082,0.2,1.66,41.869,36.243,38.576,128.285,130.683
1.7000000000000004,6.45,0.522,106.058,117.942,0.2,9.227,62.558,36.769,50.891,99.622,103.873
1.8000000000000005,11.518,0.957,118.44,136.042,0.2,3.516,67.476,57.107,64.173,99.636,120.155
1.9000000000000006,5.94,1.0,134.551,142.455,0.2,0.755,66.592,63.688,65.301,122.276,137.346
2.0000000000000004,1.733,0.652,139.385,143.898,0.2,11.815,65.808,35.819,53.087,137.425,139.02
2.1000000000000005,2.502,0.087,143.755,145.523,0.2,1.224,40.457,35.486,37.015,141.986,143.755
2.2000000000000006,-1,0.0,-1,-1,0.2,1.221,38.587,34.228,36.561,-1,-1
2.3000000000000007,3.47,0.261,107.854,110.511,0.2,13.705,67.51,33.656,45.496,101.113,109.291
2.400000000000001,27.129,0.652,119.161,175.815,0.2,6.81,67.54,43.976,62.05,101.808,108.556
2.500000000000001,157.313,0.696,395.859,527.77,0.2,8.271,71.275,45.707,63.493,100.483,471.317
2.600000000000001,3.149,0.087,230.848,233.074,0.2,12.933,69.232,37.7,58.537,228.621,230.848
2.700000000000001,5.708,0.435,137.64,145.128,0.2,12.62,66.687,37.2,52.087,128.621,137.428
2.800000000000001,7.183,1.0,143.981,154.001,0.2,2.425,67.871,58.859,65.445,130.576,146.624
2.9000000000000012,2.175,0.739,149.363,153.883,0.2,11.612,67.909,37.551,56.983,146.388,148.873
3.0000000000000013,5.445,0.739,150.685,163.203,0.2,3.139,49.133,35.781,38.248,140.778,149.504
3.1000000000000014,3.863,0.087,103.254,105.985,0.2,4.51,51.371,35.723,39.317,100.522,103.254
3.2000000000000015,43.255,0.609,135.563,195.641,0.2,9.367,66.237,39.058,57.608,101.14,106.784
3.3000000000000016,39.226,0.565,156.67,196.122,0.2,8.759,66.083,40.467,53.588,101.643,174.848
3.4000000000000017,33.488,0.174,153.624,179.583,0.2,7.648,62.274,35.989,47.567,105.396,164.759
3.5000000000000018,2.786,0.522,105.801,110.318,0.2,11.031,69.335,36.69,59.296,101.549,104.805
3.600000000000002,2.608,0.739,104.416,110.078,0.2,3.456,68.511,55.59,61.446,99.848,103.851
3.700000000000002,1.971,0.13,102.374,104.21,0.2,2.368,66.976,60.138,63.659,100.292,102.619
3.800000000000002,9.918,0.522,468.808,488.828,0.2,3.314,62.222,50.556,58.04,451.146,468.469
3.900000000000002,10.258,0.435,469.721,486.81,0.2,9.36,61.094,36.55,46.507,451.428,468.617
4.000000000000002,-1,0.0,-1,-1,0.2,1.304,40.092,34.867,37.244,-1,-1
4.100000000000001,-1,0.0,-1,-1,0.2,0.742,37.535,34.99,36.082,-1,-1
4.200000000000001,-1,0.0,-1,-1,0.2,0.89,36.637,33.47,35.08,-1,-1
4.300000000000001,25.222,0.261,124.812,154.815,0.2,1.284,37.486,32.753,34.748,100.883,123.817
4.4,7.423,0.174,148.725,159.481,0.2,1.129,36.172,32.639,34.135,143.184,145.919
4.5,0.396,0.174,102.202,102.639,0.2,12.807,64.657,32.647,45.94,101.735,102.205
4.6,0.628,0.478,101.784,102.736,0.2,1.887,66.392,58.567,65.024,100.464,101.749
4.699999999999999,1.227,0.348,101.964,103.663,0.2,1.644,70.981,65.44,66.888,99.868,101.911
4.799999999999999,7.992,0.826,111.191,124.771,0.2,1.187,71.025,66.527,69.689,100.269,110.788
4.899999999999999,8.834,1.0,125.632,145.623,0.2,6.326,70.771,52.061,64.122,111.546,124.878
4.999999999999998,7.558,0.522,135.322,149.787,0.2,6.973,60.373,38.948,48.028,126.339,134.367
5.099999999999998,-1,0.0,-1,-1,0.2,1.226,42.319,37.286,39.541,-1,-1
5.1999999999999975,-1,0.0,-1,-1,0.2,5.121,53.564,37.117,40.35,-1,-1
5.299999999999997,0.65,0.217,101.97,102.846,0.2,11.91,71.351,37.272,59.763,101.105,101.958
5.399999999999997,0.571,0.348,101.359,102.039,0.2,1.949,70.911,64.008,66.821,100.306,101.431
5.4999999999999964,38.626,0.826,121.231,210.697,0.2,3.012,70.158,59.215,64.714,88.275,101.555
5.599999999999996,47.972,0.522,149.352,206.65,0.2,7.801,70.198,44.082,61.749,91.531,146.573
5.699999999999996,43.077,0.304,131.584,197.761,0.2,7.691,68.277,44.253,58.629,102.449,108.79
5.799999999999995,14.116,0.478,124.24,139.585,0.2,6.724,66.083,46.21,56.399,104.108,129.935
5.899999999999995,13.513,0.739,121.965,140.704,0.2,1.646,66.176,60.599,64.516,99.767,121.926
5.999999999999995,40.388,0.478,149.229,192.759,0.2,9.049,63.637,41.091,54.11,103.158,176.538
6.099999999999994,-1,0.0,-1,-1,0.2,6.803,59.47,40.154,49.983,-1,-1
6.199999999999994,-1,0.0,-1,-1,0.2,6.578,54.154,35.007,40.295,-1,-1
