t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.101,48.164,43.991,45.8,-1,-1
0.1,-1,0.0,-1,-1,0.2,1.705,49.485,43.601,46.17,-1,-1
0.2,-1,0.0,-1,-1,0.2,1.056,46.644,43.229,45.04,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.872,46.411,42.977,44.538,-1,-1
0.4,6.213,0.217,198.756,203.445,0.2,8.424,68.194,43.027,50.139,190.374,203.115
0.5,6.733,0.783,201.126,211.088,0.2,6.827,71.694,45.425,65.202,187.923,203.365
0.6,21.139,0.913,212.328,250.792,0.2,6.365,67.954,48.036,59.427,184.619,207.36
0.7,32.465,1.0,259.254,296.175,0.2,4.733,73.575,57.001,69.142,188.907,254.808
0.7999999999999999,17.688,1.0,306.776,335.31,0.2,1.176,76.275,72.754,74.573,280.367,303.692
0.8999999999999999,38.327,1.0,287.956,335.059,0.2,1.75,76.199,71.214,72.925,219.044,295.543
0.9999999999999999,33.394,1.0,214.077,278.416,0.2,2.852,72.428,64.46,69.459,175.899,203.625
1.0999999999999999,9.228,0.565,179.615,194.957,0.2,10.898,72.417,45.914,59.156,165.993,180.695
1.2,5.106,0.565,200.278,209.885,0.2,10.636,72.501,46.09,61.68,194.16,198.824
1.3,10.853,1.0,211.634,222.707,0.2,1.075,73.689,70.11,72.304,194.366,216.534
1.4000000000000001,15.181,1.0,209.47,222.724,0.2,1.298,72.741,68.747,70.288,177.146,217.23
1.5000000000000002,13.95,1.0,181.439,212.069,0.2,0.893,71.273,68.387,69.442,167.418,174.4
1.6000000000000003,4.323,0.696,168.762,174.745,0.2,8.217,69.324,45.422,63.111,162.372,170.388
1.7000000000000004,14.786,0.391,182.871,197.67,0.2,10.364,70.473,41.362,52.047,162.691,190.624
1.8000000000000005,5.991,0.87,197.842,206.311,0.2,5.044,73.093,52.84,69.286,190.313,197.792
1.9000000000000006,7.95,1.0,208.832,218.259,0.2,7.248,73.102,49.205,67.196,194.415,206.368
2.0000000000000004,3.508,0.652,217.536,225.262,0.2,13.17,72.036,41.683,58.878,210.487,217.046
2.1000000000000005,188.258,0.174,370.767,535.013,0.2,3.238,48.017,35.961,40.915,203.888,372.083
2.2000000000000006,150.227,0.435,247.925,533.773,0.2,8.883,63.359,36.972,49.255,167.552,181.019
2.3000000000000007,7.594,0.348,178.156,189.455,0.2,9.306,66.843,36.381,44.121,167.513,178.399
2.400000000000001,7.073,0.783,174.375,192.035,0.2,8.911,69.284,38.933,62.104,164.866,172.74
2.500000000000001,10.216,0.696,174.85,196.619,0.2,11.375,69.254,36.704,54.982,156.796,173.035
2.600000000000001,6.316,0.783,193.55,203.578,0.2,11.096,74.389,37.628,66.307,184.068,194.451
2.700000000000001,9.689,1.0,207.231,223.438,0.2,1.49,74.423,70.193,72.583,192.667,206.893
2.800000000000001,6.002,0.826,217.573,224.624,0.2,8.718,72.272,42.048,67.003,203.159,218.364
2.9000000000000012,24.885,0.609,186.204,222.309,0.2,13.291,69.686,37.348,55.608,163.308,169.088
3.0000000000000013,4.121,0.826,163.758,169.381,0.2,6.612,69.745,46.207,63.601,154.315,164.057
3.1000000000000014,9.702,0.565,170.287,180.318,0.2,12.74,70.976,36.445,52.991,152.032,167.62
3.2000000000000015,2.11,0.826,179.109,183.407,0.2,3.75,72.54,57.787,69.496,173.108,179.487
3.3000000000000016,4.995,1.0,175.884,182.859,0.2,3.919,71.509,61.738,68.02,167.015,178.427
3.4000000000000017,5.484,1.0,166.198,179.63,0.2,2.643,71.459,63.736,69.076,159.472,165.578
3.5000000000000018,3.043,1.0,158.518,163.354,0.2,3.437,68.079,57.344,62.833,153.048,159.464
3.600000000000002,2.157,1.0,156.895,161.244,0.2,1.896,63.54,57.255,59.334,152.396,156.244
3.700000000000002,1.825,1.0,157.647,161.52,0.2,1.965,58.811,53.259,56.023,153.032,157.832
3.800000000000002,3.622,1.0,153.437,158.706,0.2,3.251,54.108,44.613,50.967,146.15,153.096
3.900000000000002,3.782,0.478,151.712,158.014,0.2,4.952,48.928,34.076,40.701,145.583,152.633
4.000000000000002,-1,0.0,-1,-1,0.2,1.765,39.799,34.251,37.048,-1,-1
4.100000000000001,-1,0.0,-1,-1,0.2,0.997,37.982,34.498,36.284,-1,-1
4.200000000000001,-1,0.0,-1,-1,0.2,1.048,37.965,34.356,36.164,-1,-1
4.300000000000001,-1,0.0,-1,-1,0.2,1.295,39.521,35.297,37.384,-1,-1
4.4,4.261,0.13,202.174,206.946,0.2,10.789,69.671,33.423,42.351,198.751,200.826
4.5,5.919,0.739,196.335,213.086,0.2,9.947,73.14,37.549,65.727,185.268,195.229
4.6,10.654,0.696,199.142,221.354,0.2,8.83,71.397,43.492,61.145,184.193,196.549
4.699999999999999,5.825,0.783,206.568,221.534,0.2,5.014,73.664,58.474,70.102,198.965,206.396
4.799999999999999,20.382,1.0,226.008,260.659,0.2,3.588,73.528,61.991,70.26,196.62,227.773
4.899999999999999,13.885,1.0,260.779,278.619,0.2,1.267,73.313,68.522,70.527,238.742,266.039
4.999999999999998,20.594,0.957,259.137,277.678,0.2,4.416,70.559,55.247,67.504,215.978,268.124
5.099999999999998,25.934,0.652,223.379,266.728,0.2,11.435,72.895,39.698,58.068,195.149,217.904
5.1999999999999975,9.261,0.913,196.198,222.042,0.2,3.363,73.103,62.965,69.737,182.158,196.631
5.299999999999997,4.79,1.0,195.809,200.009,0.2,1.35,75.409,70.021,72.876,182.924,197.74
5.399999999999997,11.195,1.0,186.037,199.984,0.2,1.356,75.382,70.85,72.559,167.613,188.517
5.4999999999999964,6.091,1.0,168.859,183.116,0.2,0.685,71.804,69.308,70.8,162.273,166.638
5.599999999999996,7.498,0.783,159.362,166.891,0.2,6.893,71.039,45.59,64.265,141.435,162.283
5.699999999999996,16.384,0.478,167.422,185.923,0.2,9.822,66.7,38.741,55.349,140.914,169.157
5.799999999999995,21.873,0.913,186.167,204.141,0.2,2.184,70.296,62.709,67.89,102.388,189.293
5.899999999999995,5.517,1.0,204.718,211.288,0.2,1.182,70.289,66.651,68.515,193.78,206.697
5.999999999999995,1.838,1.0,208.203,211.535,0.2,0.561,67.446,65.528,66.605,205.589,208.363
6.099999999999994,1.818,1.0,208.081,210.687,0.2,2.294,71.657,65.513,68.641,205.37,208.076
6.199999999999994,4.86,0.783,206.913,210.799,0.2,11.11,71.678,42.373,62.436,196.822,209.221
6.299999999999994,12.547,0.652,193.134,209.306,0.2,8.978,67.728,42.673,57.347,165.411,197.293
6.399999999999993,11.175,0.652,188.264,216.229,0.2,7.649,69.27,49.335,60.192,169.296,185.403
6.499999999999993,12.012,0.783,182.982,212.382,0.2,9.833,69.265,39.68,61.457,164.259,182.465
6.5999999999999925,7.779,0.783,181.656,189.376,0.2,10.427,71.188,39.863,62.423,164.753,183.784
6.699999999999992,7.547,1.0,176.824,186.76,0.2,1.07,71.469,68.102,70.187,164.074,178.81
6.799999999999992,5.22,1.0,163.839,174.036,0.2,1.231,70.112,66.453,68.361,156.608,162.94
6.8999999999999915,5.485,1.0,163.831,172.563,0.2,1.097,70.087,66.403,68.05,156.724,160.922
6.999999999999991,7.069,1.0,177.097,187.784,0.2,0.986,70.135,67.149,68.303,163.945,178.212
7.099999999999991,1.733,1.0,184.96,187.513,0.2,0.982,70.379,67.586,69.328,180.466,185.588
