t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.836,55.155,49.359,52.535,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.988,55.851,52.479,53.97,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.763,55.88,53.213,54.833,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.795,56.037,53.297,54.785,-1,-1
0.4,297.726,0.261,499.713,777.473,0.2,4.042,70.816,54.631,56.924,226.721,498.32
0.5,234.85,0.87,324.299,814.591,0.2,8.416,79.155,55.224,71.573,171.764,217.967
0.6,236.016,0.522,311.31,819.419,0.2,8.649,79.19,54.751,65.273,191.156,207.906
0.7,11.36,0.696,244.982,256.112,0.2,8.414,79.131,54.817,71.055,226.904,251.423
0.7999999999999999,19.264,1.0,270.163,299.565,0.2,1.967,80.492,74.044,78.141,249.412,262.428
0.8999999999999999,22.84,1.0,277.707,299.762,0.2,2.099,78.834,71.648,74.524,214.303,285.163
0.9999999999999999,33.311,1.0,231.061,285.017,0.2,2.047,77.009,69.462,74.181,184.842,222.466
1.0999999999999999,18.866,0.652,202.097,232.42,0.2,5.074,75.574,61.015,69.348,183.441,187.738
1.2,244.744,0.478,330.016,715.484,0.2,3.887,72.338,60.405,64.319,176.218,186.626
1.3,184.803,0.957,256.563,713.685,0.2,3.771,76.399,61.21,72.659,176.372,183.571
1.4000000000000001,4.38,1.0,186.157,196.064,0.2,1.222,76.417,72.741,75.123,181.865,184.362
1.5000000000000002,8.055,1.0,183.375,196.086,0.2,1.123,75.527,72.233,73.823,171.271,184.126
1.6000000000000003,10.05,1.0,171.038,180.043,0.2,2.0,75.169,68.538,73.432,140.887,175.053
1.7000000000000004,8.173,1.0,165.389,177.654,0.2,2.497,77.173,68.52,73.69,144.276,166.327
1.8000000000000005,273.976,0.565,310.649,794.895,0.2,3.961,76.051,63.957,68.948,162.406,168.448
1.9000000000000006,319.525,0.739,520.904,843.361,0.2,4.942,74.481,57.488,66.515,183.443,785.869
2.0000000000000004,132.636,0.957,222.18,814.991,0.2,1.017,74.521,70.714,72.719,183.268,195.195
2.1000000000000005,11.461,1.0,208.337,227.395,0.2,1.078,75.759,71.804,73.706,191.244,207.679
2.2000000000000006,8.925,0.87,217.809,227.275,0.2,5.555,73.959,56.522,69.369,199.037,219.167
2.3000000000000007,245.703,0.826,340.924,771.201,0.2,6.962,74.27,55.734,65.712,174.205,207.951
2.400000000000001,9.991,0.348,185.854,201.472,0.2,8.626,74.165,51.317,60.609,174.267,183.284
2.500000000000001,10.536,0.522,171.547,196.589,0.2,10.412,75.8,51.221,65.167,155.018,169.485
2.600000000000001,5.797,0.826,165.543,175.548,0.2,7.541,75.775,53.534,69.754,153.161,167.24
2.700000000000001,14.868,0.522,173.594,200.394,0.2,7.147,72.799,53.254,62.472,153.816,171.738
