t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.34,-0.077,-1.167,-0.693,-1,-1
0.1,-1,0.0,-1,-1,0.2,2.21,8.555,-2.306,-0.215,-1,-1
0.2,-1,0.0,-1,-1,0.2,17.992,40.201,-1.247,26.233,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,2.213,39.172,32.991,35.559,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.83,34.426,31.574,33.104,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.62,33.649,31.419,32.468,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.595,33.198,31.363,32.335,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.95,34.752,31.417,32.658,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,3.521,43.447,32.334,36.982,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,1.107,38.52,34.474,36.282,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,2.855,43.609,33.905,36.818,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,1.614,39.976,34.35,37.544,-1,-1
1.2,-1,0.0,-1,-1,0.2,8.76,65.214,32.262,39.606,-1,-1
1.3,8.993,0.609,216.34,231.279,0.2,14.394,76.631,34.762,65.549,192.323,218.981
1.4000000000000001,14.266,1.0,234.989,254.104,0.2,3.254,81.323,71.617,76.605,214.36,239.486
1.5000000000000002,14.768,1.0,258.524,299.379,0.2,2.851,81.362,73.356,76.494,238.256,254.476
1.6000000000000003,31.77,1.0,304.242,348.912,0.2,5.979,79.607,58.735,73.115,258.649,318.48
1.7000000000000004,21.455,0.913,343.607,408.275,0.2,7.702,77.756,55.996,67.132,314.405,340.708
1.8000000000000005,40.729,0.783,318.378,395.402,0.2,9.938,86.896,55.841,73.569,251.569,318.522
1.9000000000000006,40.921,1.0,247.364,327.875,0.2,2.651,86.873,78.713,81.654,195.68,236.211
2.0000000000000004,8.862,0.87,205.554,224.971,0.2,9.647,83.593,58.929,73.226,194.367,202.14
2.1000000000000005,3.925,0.652,206.65,212.686,0.2,9.325,81.459,58.133,68.023,200.707,207.122
2.2000000000000006,9.925,1.0,218.002,235.464,0.2,1.79,84.123,77.281,81.991,205.573,214.701
2.3000000000000007,5.479,1.0,227.747,235.727,0.2,1.33,83.585,79.738,81.936,218.796,227.833
2.400000000000001,7.592,1.0,217.546,231.006,0.2,0.796,81.251,78.57,80.143,203.784,216.407
2.500000000000001,10.134,1.0,200.823,216.178,0.2,3.214,79.96,71.827,76.098,185.028,199.559
2.600000000000001,5.072,0.826,187.697,197.695,0.2,7.31,74.744,52.524,67.241,180.436,185.141
2.700000000000001,17.122,0.391,202.152,219.576,0.2,11.564,83.67,52.106,61.56,183.659,213.876
2.800000000000001,6.944,0.783,221.4,235.549,0.2,5.037,83.591,63.241,80.621,213.692,219.277
2.9000000000000012,8.494,1.0,230.81,241.691,0.2,3.606,87.048,72.528,81.756,213.899,234.888
3.0000000000000013,6.647,0.957,235.367,241.786,0.2,10.575,87.219,58.18,72.402,213.156,236.787
3.1000000000000014,26.952,0.826,210.525,240.183,0.2,11.772,83.249,51.337,69.136,170.401,195.16
3.2000000000000015,5.789,1.0,181.969,195.293,0.2,3.975,83.245,70.012,77.269,170.448,180.548
