t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.215,-0.692,-1.537,-1.173,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.232,-0.687,-1.563,-1.147,-1,-1
0.2,-1,0.0,-1,-1,0.2,19.957,42.277,-1.43,15.673,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,2.89,42.286,33.662,38.705,-1,-1
0.4,-1,0.0,-1,-1,0.2,1.585,37.149,31.363,33.798,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.775,34.004,31.25,33.15,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.727,34.263,32.002,32.946,-1,-1
0.7,0.842,0.087,249.356,249.951,0.2,8.01,62.555,31.922,35.558,248.76,249.356
0.7999999999999999,52.221,0.478,170.383,246.567,0.2,20.303,85.885,31.292,69.093,119.942,134.604
0.8999999999999999,52.359,0.826,182.025,268.564,0.2,8.031,85.851,59.615,75.047,117.073,154.942
0.9999999999999999,17.672,0.87,162.333,196.532,0.2,4.011,86.582,75.182,80.819,135.399,157.65
1.0999999999999999,20.957,1.0,196.911,217.143,0.2,3.472,85.743,75.479,82.267,158.133,208.186
1.2,7.061,0.783,213.343,230.391,0.2,12.887,84.768,51.84,70.885,198.44,213.696
1.3,17.158,0.696,207.401,236.089,0.2,10.57,81.669,51.291,68.092,180.525,209.674
1.4000000000000001,18.012,0.478,197.298,234.668,0.2,10.172,81.646,50.259,68.271,176.599,198.323
1.5000000000000002,7.164,0.609,197.135,215.721,0.2,11.493,88.754,49.946,78.865,187.34,195.581
1.6000000000000003,21.678,1.0,171.899,198.271,0.2,3.666,87.237,76.711,83.928,135.776,172.435
1.7000000000000004,15.852,1.0,133.233,162.18,0.2,2.394,86.524,79.056,83.238,113.777,129.041
1.8000000000000005,3.442,0.696,116.492,121.836,0.2,7.036,84.844,63.424,77.388,112.767,115.678
1.9000000000000006,359.878,0.522,477.403,840.543,0.2,5.55,84.188,63.331,73.822,113.258,480.473
2.0000000000000004,243.246,0.913,233.492,815.472,0.2,5.357,87.797,69.166,83.852,133.322,136.617
2.1000000000000005,10.22,1.0,127.043,137.532,0.2,0.859,86.459,83.834,85.581,111.485,130.73
2.2000000000000006,6.516,0.957,110.739,124.836,0.2,2.166,86.49,79.367,84.045,102.309,111.594
2.3000000000000007,3.2,0.957,104.595,113.843,0.2,1.608,84.451,76.96,80.18,100.712,103.732
2.400000000000001,4.432,0.435,106.094,114.002,0.2,6.136,79.847,63.788,70.758,101.945,105.257
2.500000000000001,8.268,0.391,130.043,141.838,0.2,8.995,84.97,63.691,76.041,118.154,128.383
2.600000000000001,12.605,0.957,141.512,153.748,0.2,3.464,84.943,69.929,81.671,118.113,147.931
2.700000000000001,4.691,0.957,153.004,158.957,0.2,5.147,85.285,68.223,80.928,133.385,153.45
2.800000000000001,3.556,0.609,153.962,165.251,0.2,15.056,85.349,44.372,67.483,149.963,153.613
2.9000000000000012,21.453,0.304,116.591,164.399,0.2,17.589,86.141,43.806,59.188,103.059,109.581
3.0000000000000013,3.059,0.739,105.882,113.977,0.2,3.737,86.197,74.108,82.389,102.348,104.851
3.1000000000000014,1.805,0.87,104.949,109.611,0.2,4.143,84.822,74.199,79.8,102.428,104.811
3.2000000000000015,10.156,0.913,114.515,130.091,0.2,2.246,81.036,74.095,77.629,102.28,109.439
3.3000000000000016,5.072,1.0,125.322,136.137,0.2,2.231,85.748,79.242,82.956,117.422,126.476
3.4000000000000017,6.347,1.0,120.527,131.945,0.2,3.91,85.7,76.013,81.241,108.465,119.66
3.5000000000000018,18.806,1.0,138.806,168.094,0.2,1.611,80.599,76.121,78.979,112.453,139.464
3.600000000000002,5.296,1.0,161.401,168.157,0.2,1.299,81.469,78.006,79.783,146.742,162.706
3.700000000000002,2.093,0.739,162.721,168.234,0.2,7.034,81.472,64.968,75.613,158.96,162.642
3.800000000000002,1.561,0.13,160.202,161.994,0.2,1.296,68.354,64.217,66.633,158.891,159.47
3.900000000000002,6.685,0.565,111.438,123.034,0.2,8.354,84.969,63.519,76.005,101.803,109.435
4.000000000000002,33.775,0.87,126.171,211.42,0.2,3.707,84.941,72.469,80.608,108.281,113.103
4.100000000000001,1.816,0.348,113.641,117.082,0.2,5.192,82.378,65.494,72.43,111.103,113.47
4.200000000000001,10.637,0.565,108.613,142.088,0.2,5.971,85.34,67.303,77.0,101.096,105.457
4.300000000000001,5.232,1.0,107.835,122.788,0.2,3.741,85.558,75.562,80.225,101.34,106.455
4.4,22.205,1.0,131.855,168.065,0.2,1.307,85.707,81.513,84.199,105.925,124.187
4.5,10.114,1.0,164.596,172.525,0.2,0.889,87.052,84.28,85.314,140.045,169.735
4.6,6.213,1.0,169.559,188.312,0.2,4.417,84.916,71.194,81.491,159.125,170.985
4.699999999999999,9.138,0.478,168.036,186.61,0.2,10.966,80.113,45.548,65.547,158.975,164.694
4.799999999999999,6.631,0.609,114.103,131.986,0.2,8.433,84.543,51.172,76.914,104.818,112.895
4.899999999999999,39.539,0.696,132.1,218.044,0.2,8.973,85.795,56.085,74.8,95.676,112.513
4.999999999999998,32.782,0.609,118.187,207.997,0.2,6.207,86.135,59.883,79.892,90.09,106.073
5.099999999999998,41.907,0.87,126.84,212.8,0.2,3.882,86.181,73.692,80.918,90.257,104.163
5.1999999999999975,35.708,0.826,117.318,203.577,0.2,2.894,85.581,74.329,83.437,100.002,102.57
5.299999999999997,44.393,0.739,151.863,204.419,0.2,6.379,85.219,64.465,75.363,102.206,133.273
5.399999999999997,10.294,0.913,129.515,144.409,0.2,3.649,83.117,70.878,78.405,101.921,132.012
5.4999999999999964,7.456,1.0,125.955,145.185,0.2,5.641,85.167,69.054,78.091,113.973,125.73
5.599999999999996,8.821,0.913,113.7,126.685,0.2,6.137,83.441,66.879,75.597,99.876,114.157
5.699999999999996,3.335,0.87,103.334,113.083,0.2,1.059,83.389,79.714,81.261,99.976,102.458
5.799999999999995,37.388,0.87,120.139,206.127,0.2,5.954,80.972,59.475,76.687,88.459,102.186
5.899999999999995,46.032,0.696,159.636,204.008,0.2,7.124,77.633,56.793,70.314,89.92,187.547
5.999999999999995,44.5,0.348,134.966,194.666,0.2,11.019,77.636,45.021,64.241,102.198,103.089
6.099999999999994,6.312,0.478,127.112,138.611,0.2,12.792,84.853,46.231,74.27,118.867,126.587
6.199999999999994,7.024,0.913,124.559,137.764,0.2,9.342,84.385,61.069,74.656,111.517,126.094
6.299999999999994,4.764,1.0,115.558,126.819,0.2,8.604,81.999,60.262,70.354,108.966,115.051
6.399999999999993,12.961,1.0,125.941,147.949,0.2,3.822,86.32,74.227,82.103,108.66,127.216
6.499999999999993,15.109,1.0,154.419,174.566,0.2,0.583,86.661,84.654,85.836,131.296,154.425
6.5999999999999925,4.16,1.0,173.158,179.147,0.2,1.691,86.628,80.931,83.659,161.95,174.806
6.699999999999992,7.46,1.0,172.229,179.839,0.2,5.21,82.77,65.05,77.111,155.968,175.164
6.799999999999992,8.285,0.609,169.469,178.115,0.2,11.51,74.392,38.598,58.095,152.769,173.468
6.8999999999999915,17.239,0.174,198.308,216.998,0.2,3.438,50.481,37.85,40.407,183.376,198.27
6.999999999999991,-1,0.0,-1,-1,0.2,2.178,40.112,33.457,36.719,-1,-1
7.099999999999991,-1,0.0,-1,-1,0.2,2.785,45.367,33.163,35.173,-1,-1
7.19999999999999,2.776,0.565,115.313,119.254,0.2,21.901,84.675,33.267,66.631,109.504,115.42
7.29999999999999,4.199,1.0,112.233,119.167,0.2,1.017,84.693,81.012,82.901,104.689,113.33
7.39999999999999,7.554,1.0,113.689,129.39,0.2,0.661,84.284,82.508,83.604,104.718,112.373
7.499999999999989,6.867,0.826,122.775,132.472,0.2,6.878,84.263,66.51,78.281,108.974,123.585
7.599999999999989,7.834,0.261,119.405,126.162,0.2,8.22,74.277,48.679,65.156,104.909,121.843
7.699999999999989,3.41,0.565,109.222,116.24,0.2,10.711,86.99,48.504,78.211,105.418,107.952
7.799999999999988,8.844,1.0,117.812,130.427,0.2,2.736,86.434,77.369,81.507,105.187,118.392
7.899999999999988,8.269,0.913,118.578,130.827,0.2,4.195,86.393,74.012,79.728,105.542,117.127
7.999999999999988,109.357,0.783,186.192,468.301,0.2,7.651,86.383,64.746,77.363,104.104,178.576
8.099999999999987,169.643,0.652,310.667,502.249,0.2,6.424,84.877,65.022,76.544,106.957,195.356
8.199999999999987,4.398,0.087,110.404,113.514,0.2,6.528,79.075,57.322,67.635,107.294,110.404
8.299999999999986,4.457,0.435,145.163,151.083,0.2,7.756,80.585,59.566,72.312,138.5,144.464
8.399999999999986,10.759,1.0,156.548,168.71,0.2,2.047,80.224,74.472,77.043,138.262,162.172
8.499999999999986,6.606,0.696,164.379,174.462,0.2,9.181,76.174,48.934,65.471,149.715,165.998
8.599999999999985,1.659,0.565,169.036,170.957,0.2,11.905,82.433,48.944,73.278,166.511,169.391
8.699999999999985,16.23,0.913,174.539,216.895,0.2,6.263,82.393,62.374,74.605,149.04,169.863
8.799999999999985,26.015,0.348,183.152,213.219,0.2,12.547,71.777,37.464,49.695,147.318,183.98
8.899999999999984,3.137,0.304,169.971,174.51,0.2,2.131,38.571,32.571,35.298,166.539,168.89
8.999999999999984,2.539,0.217,116.667,120.403,0.2,18.146,78.906,32.719,46.838,113.779,116.206
9.099999999999984,4.716,0.826,112.326,120.732,0.2,4.954,80.927,60.684,76.089,106.296,111.869
9.199999999999983,11.322,1.0,121.158,136.884,0.2,2.697,81.984,74.711,79.047,106.22,118.886
9.299999999999983,6.77,0.826,133.776,143.418,0.2,5.948,81.956,61.689,75.841,117.351,133.903
9.399999999999983,9.856,0.652,122.073,141.653,0.2,11.088,87.013,55.293,74.444,111.746,120.708
9.499999999999982,3.356,1.0,116.292,123.922,0.2,3.358,87.006,76.49,81.846,111.709,115.873
9.599999999999982,3.04,1.0,119.936,123.786,0.2,2.413,87.578,79.879,84.465,114.468,120.215
9.699999999999982,7.793,1.0,114.358,123.815,0.2,1.704,87.208,80.438,84.964,102.524,116.215
9.799999999999981,3.811,0.739,104.063,112.784,0.2,1.331,84.305,79.95,82.371,99.69,103.972
9.89999999999998,1.73,0.348,101.014,104.75,0.2,1.843,83.111,75.563,81.601,99.722,100.523
9.99999999999998,1.021,0.174,101.395,102.529,0.2,13.487,83.044,44.731,63.803,100.294,101.318
10.09999999999998,-1,0.0,-1,-1,0.2,8.145,63.327,38.222,47.805,-1,-1
10.19999999999998,-1,0.0,-1,-1,0.2,7.0,63.28,38.868,51.879,-1,-1
10.29999999999998,3.915,0.13,189.594,193.235,0.2,5.178,56.701,36.363,42.954,185.354,190.092
10.399999999999979,-1,0.0,-1,-1,0.2,3.646,46.681,33.146,40.609,-1,-1
10.499999999999979,-1,0.0,-1,-1,0.2,0.737,43.517,40.992,42.604,-1,-1
10.599999999999978,-1,0.0,-1,-1,0.2,2.037,43.27,37.412,40.217,-1,-1
10.699999999999978,-1,0.0,-1,-1,0.2,5.391,51.543,33.327,40.827,-1,-1
10.799999999999978,2.791,0.478,103.893,110.837,0.2,22.001,85.359,32.538,65.465,100.459,103.423
10.899999999999977,1.383,0.913,104.002,106.299,0.2,3.075,85.278,75.754,82.836,101.383,103.956
