t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,81.764,0.739,645.597,768.928,0.2,0.34,57.761,56.509,57.307,491.214,654.127
0.1,72.304,0.522,581.566,703.123,0.2,0.247,58.103,57.265,57.714,463.201,576.467
0.2,-1,0.043,698.295,698.295,0.2,0.457,58.11,56.65,57.515,698.295,698.295
0.30000000000000004,1.046,0.087,103.473,104.213,0.2,3.365,68.953,56.657,60.18,102.733,103.473
0.4,5.634,0.652,121.45,128.252,0.2,5.529,73.748,57.976,69.447,103.221,121.734
0.5,3.843,1.0,127.76,131.493,0.2,1.411,76.393,71.889,74.478,120.599,130.311
0.6,7.362,1.0,125.132,131.498,0.2,1.968,75.149,68.318,73.004,109.729,128.813
0.7,5.093,1.0,115.809,127.745,0.2,1.391,72.84,67.745,69.707,109.631,115.08
0.7999999999999999,5.632,0.826,110.028,117.288,0.2,1.568,70.409,65.219,68.255,99.691,109.189
0.8999999999999999,308.581,0.609,502.429,753.357,0.2,3.503,74.531,63.608,67.944,101.549,708.148
0.9999999999999999,14.077,0.217,731.318,750.476,0.2,2.549,73.032,63.765,66.78,718.161,729.418
1.0999999999999999,-1,0.0,-1,-1,0.2,1.632,67.95,62.134,65.623,-1,-1
1.2,-1,0.0,-1,-1,0.2,1.677,64.503,59.237,61.761,-1,-1
1.3,-1,0.0,-1,-1,0.2,2.437,61.889,55.372,58.659,-1,-1
1.4000000000000001,0.677,0.087,103.457,103.936,0.2,2.255,61.119,53.579,57.599,102.978,103.457
1.5000000000000002,9.957,0.696,116.935,127.081,0.2,4.407,70.139,57.901,63.857,99.841,120.815
1.6000000000000003,3.224,1.0,126.66,130.991,0.2,2.655,70.143,62.862,67.514,117.465,127.213
1.7000000000000004,1.653,1.0,128.336,131.184,0.2,1.368,66.77,62.724,64.401,122.874,128.431
1.8000000000000005,2.563,0.783,126.785,129.13,0.2,2.736,65.695,57.408,62.353,119.977,127.926
1.9000000000000006,3.207,0.174,124.311,128.463,0.2,2.391,62.13,53.257,56.906,120.654,124.065
2.0000000000000004,74.323,0.348,511.833,614.447,0.2,0.658,54.903,52.782,53.797,411.715,542.064
2.1000000000000005,-1,0.0,-1,-1,0.2,4.269,63.333,52.558,55.952,-1,-1
2.2000000000000006,8.656,0.261,105.779,123.166,0.2,3.789,70.332,59.412,64.426,99.895,103.193
2.3000000000000007,185.679,0.348,241.257,466.887,0.2,1.593,70.328,65.18,67.705,101.009,113.915
2.400000000000001,57.543,0.522,523.864,603.037,0.2,0.658,68.443,65.644,67.702,462.479,517.062
2.500000000000001,16.763,0.174,582.359,597.075,0.2,1.439,67.858,63.998,65.775,559.657,586.353
2.600000000000001,-1,0.0,-1,-1,0.2,3.354,64.852,56.738,61.634,-1,-1
2.700000000000001,-1,0.0,-1,-1,0.2,4.524,67.012,56.149,60.92,-1,-1
2.800000000000001,-1,0.0,-1,-1,0.2,4.508,67.023,55.899,61.159,-1,-1
2.9000000000000012,-1,0.0,-1,-1,0.2,4.14,67.546,55.879,61.3,-1,-1
3.0000000000000013,-1,0.0,-1,-1,0.2,4.788,68.889,55.457,63.021,-1,-1
3.1000000000000014,0.604,0.174,111.729,112.307,0.2,5.339,70.11,55.243,59.783,111.046,111.727
3.2000000000000015,2.046,0.739,113.619,117.753,0.2,2.572,70.643,62.173,68.467,109.851,113.685
3.3000000000000016,5.559,1.0,118.899,132.157,0.2,1.523,69.768,64.664,67.106,109.772,117.594
3.4000000000000017,5.577,0.87,127.242,136.272,0.2,2.696,65.817,57.964,62.015,119.448,126.066
3.5000000000000018,159.14,0.391,207.57,489.552,0.2,1.044,59.594,56.566,57.575,124.126,128.488
3.600000000000002,86.105,0.391,628.976,838.33,0.2,0.655,56.98,55.185,56.11,571.443,604.895
3.700000000000002,52.256,0.87,553.022,691.643,0.2,0.309,55.484,54.445,54.953,485.072,542.444
3.800000000000002,16.76,1.0,518.906,549.437,0.2,0.423,55.778,53.973,54.723,484.868,517.395
3.900000000000002,14.074,0.609,526.077,554.861,0.2,0.44,55.95,54.611,55.415,505.651,525.877
4.000000000000002,115.971,0.087,679.523,761.527,0.2,0.455,55.667,54.066,54.681,597.519,679.523
4.100000000000001,0.927,0.13,111.484,112.268,0.2,2.62,64.575,54.041,56.373,110.421,111.906
4.200000000000001,2.962,0.609,108.568,113.369,0.2,4.671,70.066,56.771,65.03,102.568,108.548
4.300000000000001,2.222,0.348,106.251,108.688,0.2,4.15,67.73,56.572,60.172,102.166,107.12
4.4,6.83,0.261,172.19,185.48,0.2,1.568,61.007,56.084,57.8,165.104,169.678
4.5,1.649,0.087,101.503,102.669,0.2,4.258,67.407,55.821,59.2,100.337,101.503
4.6,1.143,0.261,101.577,103.052,0.2,2.854,67.469,59.368,64.468,99.934,101.652
4.699999999999999,12.83,0.609,117.918,138.96,0.2,1.685,64.006,58.099,60.056,99.811,118.937
4.799999999999999,8.682,0.261,126.044,138.914,0.2,1.5,62.824,58.292,61.352,117.148,123.078
4.899999999999999,-1,0.0,-1,-1,0.2,0.864,62.416,60.145,61.054,-1,-1
