t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,16.97,0.13,794.299,804.909,0.2,0.216,57.218,56.413,56.828,774.727,803.261
0.1,14.305,0.087,765.23,775.345,0.2,0.202,57.157,56.36,56.667,755.115,765.23
0.2,90.214,0.174,661.283,757.134,0.2,0.238,56.771,55.908,56.27,559.392,664.304
0.30000000000000004,78.387,0.435,602.784,769.143,0.2,0.388,57.086,55.967,56.471,527.382,590.284
0.4,95.169,0.783,610.626,808.939,0.2,0.126,57.225,56.721,56.99,495.041,594.179
0.5,91.498,0.652,628.189,802.743,0.2,0.275,57.445,56.442,57.017,494.09,612.872
0.6,18.433,0.565,269.175,321.327,0.2,2.265,62.602,56.411,58.426,258.355,260.447
0.7,8.737,0.783,256.528,268.299,0.2,2.054,62.748,57.381,60.177,237.088,258.988
0.7999999999999999,16.697,0.391,260.565,275.845,0.2,0.711,59.007,56.572,57.547,232.974,271.23
0.8999999999999999,33.187,0.783,310.89,356.17,0.2,2.767,64.653,57.537,61.03,271.494,328.185
0.9999999999999999,20.915,1.0,360.033,391.81,0.2,1.165,66.443,62.611,63.96,328.139,360.273
1.0999999999999999,37.838,1.0,345.623,391.209,0.2,1.082,66.486,62.813,65.361,272.946,356.686
1.2,40.712,1.0,265.197,339.182,0.2,1.95,66.109,59.572,63.757,218.312,258.343
1.3,79.075,0.739,259.526,425.881,0.2,2.688,65.268,57.83,61.61,207.057,226.607
1.4000000000000001,85.868,0.565,272.828,425.045,0.2,1.921,63.809,57.337,59.949,223.445,228.265
1.5000000000000002,7.414,1.0,234.45,246.318,0.2,1.995,66.882,60.084,64.303,223.669,233.919
1.6000000000000003,4.824,1.0,245.371,254.446,0.2,2.391,66.886,59.349,63.079,236.143,245.27
1.7000000000000004,14.782,1.0,233.643,254.512,0.2,1.76,64.209,59.32,62.257,210.293,236.116
1.8000000000000005,9.317,1.0,209.07,223.05,0.2,0.89,62.045,59.5,60.419,195.001,207.101
1.9000000000000006,4.528,0.739,197.536,205.52,0.2,0.854,61.056,57.631,59.622,189.692,196.58
2.0000000000000004,34.395,0.391,227.584,261.86,0.2,1.689,62.786,57.436,59.704,189.283,253.861
2.1000000000000005,7.085,0.783,246.88,258.445,0.2,3.296,66.702,57.415,63.631,237.133,245.183
2.2000000000000006,7.533,1.0,237.915,245.348,0.2,2.565,66.191,57.594,62.564,216.07,241.046
2.3000000000000007,9.182,0.913,239.033,249.727,0.2,1.751,63.108,57.623,60.976,216.958,241.313
2.400000000000001,3.408,0.348,245.829,249.746,0.2,2.041,62.119,56.203,58.568,240.178,246.55
2.500000000000001,67.177,0.522,703.61,816.041,0.2,0.535,56.857,55.08,56.347,594.095,691.088
2.600000000000001,54.614,0.652,764.852,815.463,0.2,0.123,57.04,56.578,56.812,633.335,785.883
2.700000000000001,-1,0.0,-1,-1,0.2,0.59,57.042,55.357,56.446,-1,-1
2.800000000000001,9.865,0.348,288.345,303.058,0.2,4.379,66.676,55.361,61.021,276.803,287.61
2.9000000000000012,14.059,0.348,286.748,301.246,0.2,3.535,66.065,56.293,58.953,259.896,289.635
