t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.156,56.761,56.166,56.455,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.15,56.709,56.204,56.526,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.138,56.795,56.241,56.611,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.233,56.758,55.927,56.238,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.169,56.668,55.896,56.229,-1,-1
0.5,-1,0.043,739.328,739.328,0.2,0.283,57.032,56.161,56.684,739.328,739.328
0.6,-1,0.0,-1,-1,0.2,0.125,57.256,56.785,57.022,-1,-1
0.7,6.592,0.13,790.529,796.976,0.2,0.34,57.758,56.472,56.977,783.8,790.811
0.7999999999999999,16.039,0.174,785.451,801.65,0.2,0.418,57.785,56.378,57.188,764.717,787.718
0.8999999999999999,-1,0.0,-1,-1,0.2,0.309,57.215,56.059,56.499,-1,-1
0.9999999999999999,-1,0.043,675.924,675.924,0.2,1.637,56.708,52.237,55.015,675.924,675.924
1.0999999999999999,-1,0.0,-1,-1,0.2,0.733,54.248,52.049,53.0,-1,-1
1.2,-1,0.0,-1,-1,0.2,0.65,55.442,53.465,54.682,-1,-1
1.3,-1,0.043,100.465,100.465,0.2,0.786,57.174,54.778,55.791,100.465,100.465
1.4000000000000001,43.486,0.565,142.752,209.504,0.2,4.369,68.145,56.262,60.576,96.768,110.587
1.5000000000000002,3.27,0.957,111.828,115.472,0.2,2.098,68.711,62.962,66.091,100.467,111.877
1.6000000000000003,2.839,0.565,112.98,115.579,0.2,2.588,66.254,59.343,62.488,106.122,113.939
1.7000000000000004,10.344,0.435,115.88,132.163,0.2,3.67,68.16,59.099,62.896,100.663,116.655
1.8000000000000005,10.592,0.391,114.278,132.192,0.2,1.488,68.158,63.59,65.98,101.471,114.041
1.9000000000000006,-1,0.0,-1,-1,0.2,1.603,64.724,59.792,62.068,-1,-1
2.0000000000000004,-1,0.0,-1,-1,0.2,2.569,61.932,53.974,59.134,-1,-1
2.1000000000000005,8.981,0.174,757.017,766.282,0.2,1.141,58.919,54.199,57.938,744.888,758.449
2.2000000000000006,10.979,0.217,758.165,771.726,0.2,1.542,58.819,54.437,56.395,742.673,760.1
2.3000000000000007,0.04,0.087,804.292,804.32,0.2,0.535,55.958,54.41,55.096,804.263,804.292
2.400000000000001,33.531,0.391,796.481,842.511,0.2,0.373,56.824,55.461,55.927,725.394,802.753
2.500000000000001,17.435,0.391,803.477,833.219,0.2,0.458,57.538,56.188,56.986,776.885,796.89
2.600000000000001,16.978,0.217,798.859,821.03,0.2,0.37,57.557,56.309,56.856,773.987,797.899
2.700000000000001,2.996,0.217,105.797,109.511,0.2,2.474,64.695,56.5,58.222,102.016,105.009
2.800000000000001,6.624,0.783,115.112,122.152,0.2,4.736,72.31,57.994,67.043,102.102,117.798
2.9000000000000012,8.069,0.913,114.186,125.11,0.2,3.03,72.305,63.443,68.578,99.746,116.617
3.0000000000000013,4.99,0.348,105.002,112.024,0.2,1.373,66.959,61.223,63.285,99.694,102.962
3.1000000000000014,-1,0.0,-1,-1,0.2,2.819,62.581,54.331,58.904,-1,-1
3.2000000000000015,8.455,0.217,762.657,771.974,0.2,1.209,58.341,54.417,57.33,753.368,760.964
3.3000000000000016,25.324,0.304,753.717,807.285,0.2,0.208,58.28,57.547,57.966,732.699,749.833
3.4000000000000017,27.304,0.087,788.012,807.319,0.2,0.447,57.925,56.441,57.361,768.705,788.012
3.5000000000000018,-1,0.0,-1,-1,0.2,0.269,57.345,56.471,56.947,-1,-1
3.600000000000002,-1,0.0,-1,-1,0.2,0.145,57.325,56.762,56.957,-1,-1
3.700000000000002,-1,0.0,-1,-1,0.2,0.33,56.912,55.97,56.446,-1,-1
