t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.025,66.923,66.836,66.884,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.023,66.932,66.849,66.888,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.027,66.937,66.841,66.885,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.029,66.94,66.837,66.888,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.017,66.925,66.854,66.886,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.095,67.214,66.793,66.908,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.039,66.977,66.814,66.877,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.042,66.975,66.812,66.875,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.03,66.926,66.809,66.871,-1,-1
0.8999999999999999,1.615,0.304,183.322,185.283,0.2,1.371,70.342,66.839,67.78,181.037,183.959
0.9999999999999999,9.344,0.957,184.007,220.52,0.2,1.084,70.344,67.044,69.037,173.397,182.282
1.0999999999999999,12.773,0.478,183.194,220.283,0.2,0.606,69.093,66.805,67.158,173.54,179.495
1.2,8.07,0.609,231.658,242.29,0.2,1.655,71.451,66.808,68.356,221.16,230.804
1.3,7.099,1.0,238.638,244.524,0.2,0.903,71.492,68.666,70.27,221.092,241.246
1.4000000000000001,3.965,1.0,241.243,246.767,0.2,0.954,72.017,69.383,70.824,231.523,241.579
1.5000000000000002,18.09,1.0,221.934,245.405,0.2,0.677,71.629,68.925,70.917,191.076,225.003
1.6000000000000003,13.857,1.0,190.367,218.782,0.2,1.116,71.898,68.704,70.268,174.546,187.943
1.7000000000000004,4.104,0.609,176.719,183.479,0.2,1.864,71.853,66.485,69.985,168.639,175.926
1.8000000000000005,9.44,0.261,189.036,200.161,0.2,0.945,69.687,66.333,67.603,173.594,189.289
1.9000000000000006,5.836,0.87,184.449,201.093,0.2,1.75,71.499,66.948,70.135,173.734,182.748
2.0000000000000004,0.959,1.0,180.809,182.815,0.2,0.25,72.106,71.386,71.676,179.76,180.502
2.1000000000000005,1.088,1.0,180.986,183.041,0.2,0.792,72.106,69.272,71.228,179.094,180.638
2.2000000000000006,4.796,1.0,185.339,196.539,0.2,1.113,70.866,67.575,68.774,178.261,183.647
2.3000000000000007,5.124,0.696,190.076,197.453,0.2,0.948,69.47,67.007,68.226,183.824,188.833
2.400000000000001,27.576,0.261,210.389,239.415,0.2,0.548,69.305,66.716,67.277,184.409,208.686
2.500000000000001,8.645,0.739,220.523,236.912,0.2,2.475,73.401,66.802,71.143,210.422,218.576
2.600000000000001,5.155,1.0,209.386,219.587,0.2,0.774,72.994,70.534,71.269,197.953,208.074
2.700000000000001,5.288,1.0,207.787,215.425,0.2,1.559,72.354,67.726,70.588,195.796,206.311
2.800000000000001,3.854,0.652,212.062,215.743,0.2,1.69,72.435,67.949,70.783,200.034,212.967
2.9000000000000012,8.477,0.435,194.499,206.513,0.2,1.131,70.893,66.875,69.131,181.479,194.09
3.0000000000000013,8.667,0.391,193.117,206.033,0.2,1.671,70.952,66.692,68.482,180.005,193.481
3.1000000000000014,4.236,0.304,178.897,185.412,0.2,1.911,71.237,66.75,68.336,172.988,178.987
3.2000000000000015,4.496,0.913,176.194,186.436,0.2,1.591,71.249,67.158,68.811,168.806,176.489
3.3000000000000016,3.304,0.478,174.506,178.433,0.2,0.332,67.741,66.816,67.18,168.875,175.011
3.4000000000000017,4.743,0.565,188.304,195.162,0.2,2.111,73.148,66.834,69.897,180.635,187.123
3.5000000000000018,8.383,1.0,198.11,212.552,0.2,0.788,73.462,70.332,72.724,184.435,197.502
3.600000000000002,7.898,1.0,214.476,224.185,0.2,0.894,72.869,70.55,71.397,200.584,215.733
3.700000000000002,7.88,0.696,218.96,224.248,0.2,1.827,71.016,66.904,69.376,191.311,221.483
3.800000000000002,3.49,0.087,213.416,215.884,0.2,2.327,72.848,66.836,68.317,210.949,213.416
3.900000000000002,4.059,0.565,165.557,169.088,0.2,2.223,72.937,67.363,69.56,153.756,166.44
4.000000000000002,3.553,0.609,168.804,175.453,0.2,1.388,71.608,66.852,67.923,163.256,168.236
4.100000000000001,1.569,0.739,175.856,178.336,0.2,1.699,73.573,67.761,71.584,172.796,175.951
4.200000000000001,0.891,1.0,177.108,178.805,0.2,1.917,72.347,67.747,69.383,174.893,177.134
4.300000000000001,4.426,1.0,174.257,178.702,0.2,0.622,69.351,67.758,68.603,163.324,176.39
4.4,7.254,1.0,162.631,175.487,0.2,0.556,70.602,69.079,69.804,154.193,160.128
4.5,6.586,0.783,151.571,158.085,0.2,1.525,70.505,66.892,68.856,137.503,154.266
4.6,11.132,0.348,148.801,167.939,0.2,0.102,67.185,66.86,67.015,135.948,146.953
4.699999999999999,-1,0.0,-1,-1,0.2,0.126,67.201,66.785,67.039,-1,-1
4.799999999999999,6.44,0.261,160.689,169.563,0.2,0.131,67.187,66.77,66.971,149.128,161.142
4.899999999999999,3.526,0.217,163.277,168.217,0.2,0.121,67.189,66.805,66.963,159.976,162.036
4.999999999999998,-1,0.0,-1,-1,0.2,0.046,66.962,66.813,66.88,-1,-1
5.099999999999998,-1,0.0,-1,-1,0.2,0.067,67.017,66.744,66.871,-1,-1
5.1999999999999975,-1,0.0,-1,-1,0.2,0.079,67.016,66.75,66.878,-1,-1
5.299999999999997,-1,0.0,-1,-1,0.2,0.105,67.051,66.719,66.869,-1,-1
5.399999999999997,79.641,0.087,776.303,832.618,0.2,0.084,67.043,66.751,66.88,719.988,776.303
5.4999999999999964,-1,0.0,-1,-1,0.2,0.082,67.044,66.765,66.873,-1,-1
5.599999999999996,-1,0.0,-1,-1,0.2,0.082,67.032,66.753,66.877,-1,-1
5.699999999999996,4.77,0.391,188.633,191.472,0.2,1.829,70.966,66.77,68.835,176.263,189.901
5.799999999999995,6.507,0.609,185.634,191.437,0.2,1.55,70.885,67.029,68.782,173.145,188.561
5.899999999999995,5.161,0.435,210.366,221.463,0.2,2.895,74.131,67.03,69.639,204.099,208.93
5.999999999999995,4.219,1.0,208.188,220.25,0.2,1.21,74.07,69.734,72.048,203.355,207.195
6.099999999999994,5.443,1.0,108.761,118.719,0.2,1.214,72.097,67.56,70.586,101.914,108.319
6.199999999999994,6.869,1.0,234.949,241.697,0.2,0.761,71.223,69.285,70.294,220.082,238.081
6.299999999999994,5.022,1.0,239.269,249.503,0.2,0.93,71.781,69.052,69.95,227.072,239.598
6.399999999999993,19.855,0.87,221.842,249.55,0.2,1.837,71.772,66.916,69.753,190.046,223.766
6.499999999999993,7.131,0.261,198.571,207.921,0.2,0.598,69.014,66.807,67.151,187.785,197.429
6.5999999999999925,4.869,0.522,170.73,176.671,0.2,2.61,73.481,66.814,69.32,163.747,170.792
6.699999999999992,6.967,0.913,175.598,195.289,0.2,1.773,71.04,66.851,69.378,164.294,174.971
6.799999999999992,6.009,1.0,169.654,178.316,0.2,0.534,72.489,70.919,71.489,159.218,170.444
6.8999999999999915,5.562,1.0,158.288,168.618,0.2,0.9,72.08,68.204,70.67,148.247,157.182
6.999999999999991,7.766,1.0,158.763,181.721,0.2,1.255,70.329,66.922,68.015,147.905,157.252
7.099999999999991,8.045,1.0,170.289,182.926,0.2,0.658,69.002,67.394,68.315,156.743,170.592
7.19999999999999,6.044,1.0,183.837,190.693,0.2,0.614,70.069,67.991,68.715,172.962,183.915
7.29999999999999,2.224,1.0,189.513,190.941,0.2,0.59,70.379,68.248,69.923,180.702,190.436
7.39999999999999,4.737,0.565,186.612,190.924,0.2,1.397,70.298,66.842,68.229,179.664,188.921
7.499999999999989,7.318,0.348,170.582,180.831,0.2,0.513,68.576,66.717,67.415,161.894,169.457
7.599999999999989,10.836,0.348,171.749,194.196,0.2,0.546,69.043,66.713,67.24,162.155,167.722
7.699999999999989,173.163,0.826,222.955,723.777,0.2,0.86,69.75,67.06,67.947,158.899,163.409
7.799999999999988,7.822,0.783,163.472,181.381,0.2,0.261,67.592,66.816,67.221,149.121,162.373
7.899999999999988,7.843,0.783,169.121,181.835,0.2,1.166,69.562,66.835,68.602,146.137,170.873
7.999999999999988,1.83,1.0,169.937,171.939,0.2,0.66,69.561,67.767,69.05,165.394,170.515
8.099999999999987,4.836,1.0,164.478,170.67,0.2,0.465,68.909,67.665,68.22,153.123,166.217
8.199999999999987,2.816,1.0,158.661,165.424,0.2,0.589,68.83,67.302,67.795,153.408,157.293
8.299999999999986,2.107,1.0,159.489,163.146,0.2,0.414,68.422,67.312,67.946,157.005,159.059
8.399999999999986,3.305,1.0,164.127,170.464,0.2,0.34,68.856,67.597,68.031,158.698,163.298
8.499999999999986,1.283,1.0,168.208,170.065,0.2,0.551,69.201,67.611,68.766,165.115,168.613
8.599999999999985,1.466,1.0,169.478,171.424,0.2,0.618,69.129,67.546,68.323,164.971,169.22
