t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,12.914,0.87,763.852,794.192,0.2,0.065,67.017,66.728,66.896,735.965,762.068
0.1,11.522,0.391,768.166,786.653,0.2,0.144,67.078,66.468,66.87,753.753,767.039
0.2,-1,0.043,770.33,770.33,0.2,0.153,67.142,66.463,66.873,770.33,770.33
0.30000000000000004,-1,0.0,-1,-1,0.2,0.072,67.035,66.757,66.868,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.059,66.983,66.776,66.871,-1,-1
0.5,8.771,0.13,718.904,727.876,0.2,0.037,66.904,66.773,66.855,710.348,718.49
0.6,-1,0.0,-1,-1,0.2,0.041,66.934,66.757,66.86,-1,-1
0.7,3.392,0.217,141.04,143.637,0.2,1.915,73.097,66.81,68.511,135.195,142.362
0.7999999999999999,1.832,0.217,142.793,145.873,0.2,3.588,77.538,65.979,70.143,141.039,142.163
0.8999999999999999,4.36,0.739,149.718,157.808,0.2,2.759,77.512,68.208,70.571,141.891,148.309
0.9999999999999999,3.963,1.0,155.972,160.55,0.2,0.656,69.516,67.62,68.445,148.341,157.739
1.0999999999999999,3.498,1.0,159.69,165.663,0.2,0.37,68.471,67.464,68.048,153.88,159.351
1.2,2.662,0.565,162.713,165.453,0.2,0.646,68.475,66.576,67.629,158.141,164.012
1.3,12.974,0.348,131.714,161.452,0.2,0.45,67.899,66.401,67.279,121.896,127.326
1.4000000000000001,14.645,0.957,122.092,161.351,0.2,0.4,68.796,67.236,67.789,109.657,116.712
1.5000000000000002,2.745,0.609,110.672,114.23,0.2,0.542,68.803,67.112,67.716,106.064,110.861
1.6000000000000003,3.023,0.478,118.909,125.119,0.2,0.874,69.865,67.031,67.914,117.176,117.614
1.7000000000000004,1.707,1.0,117.622,119.807,0.2,0.702,70.526,68.384,69.734,113.362,117.679
1.8000000000000005,2.763,1.0,114.762,119.769,0.2,0.8,70.089,67.744,68.521,111.516,113.725
1.9000000000000006,1.103,1.0,112.912,114.818,0.2,0.377,68.283,66.959,67.768,110.51,112.819
2.0000000000000004,15.258,0.478,118.924,159.253,0.2,0.262,67.863,66.929,67.205,110.404,112.828
2.1000000000000005,3.016,0.609,136.17,139.978,0.2,1.178,70.088,66.987,68.736,128.246,136.108
2.2000000000000006,4.633,1.0,140.904,147.558,0.2,0.869,69.802,67.076,68.598,131.058,139.999
2.3000000000000007,13.645,1.0,132.667,147.63,0.2,0.925,69.508,67.013,67.994,106.805,138.578
2.400000000000001,7.403,1.0,110.338,126.102,0.2,0.318,67.999,67.024,67.574,100.982,107.854
2.500000000000001,5.022,0.652,105.7,119.037,0.2,0.353,67.929,66.864,67.229,100.927,104.477
2.600000000000001,5.625,0.478,108.707,118.958,0.2,0.259,67.641,66.884,67.135,100.61,107.741
2.700000000000001,4.554,0.87,104.532,117.338,0.2,0.265,67.786,66.899,67.386,100.101,102.822
2.800000000000001,1.094,0.957,101.665,103.279,0.2,0.152,67.843,67.328,67.559,99.818,101.539
2.9000000000000012,36.511,0.565,124.188,182.121,0.2,0.397,67.837,66.844,67.291,99.712,101.111
3.0000000000000013,5.038,0.217,176.796,181.586,0.2,0.253,67.621,66.849,67.12,170.611,177.809
3.1000000000000014,8.82,0.13,179.834,185.278,0.2,0.269,67.705,66.832,67.082,169.658,184.566
3.2000000000000015,51.529,0.174,145.113,190.948,0.2,0.364,67.976,66.869,67.467,100.478,144.512
3.3000000000000016,9.702,0.13,109.094,119.665,0.2,0.398,67.964,66.793,67.139,100.596,107.02
3.4000000000000017,5.635,0.609,106.608,119.895,0.2,0.335,68.037,66.829,67.374,101.871,104.984
3.5000000000000018,1.323,0.609,102.52,104.571,0.2,0.399,68.516,67.234,68.004,100.736,102.527
3.600000000000002,0.554,0.217,100.581,101.205,0.2,0.421,68.128,66.996,67.485,99.709,100.74
3.700000000000002,41.074,0.304,133.391,180.834,0.2,0.082,67.094,66.808,66.975,99.716,101.222
3.800000000000002,37.475,0.522,146.676,183.82,0.2,0.177,67.344,66.804,66.988,101.021,166.214
3.900000000000002,30.337,0.522,119.395,179.039,0.2,0.477,68.105,66.794,67.207,100.221,104.02
