t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,3.923,48.38,37.582,42.186,-1,-1
0.1,-1,0.0,-1,-1,0.2,3.627,48.649,38.487,44.092,-1,-1
0.2,-1,0.0,-1,-1,0.2,2.106,44.625,37.666,40.112,-1,-1
0.30000000000000004,13.295,0.13,653.087,663.753,0.2,1.793,42.416,36.835,39.928,637.739,660.476
0.4,39.679,0.304,684.103,743.249,0.2,2.73,47.616,37.828,43.322,630.437,675.3
0.5,11.556,0.565,206.191,224.256,0.2,16.834,83.346,40.737,63.359,182.743,206.878
0.6,35.241,1.0,168.18,218.083,0.2,5.581,83.492,69.392,77.89,124.934,167.406
0.7,6.624,0.609,131.831,149.638,0.2,6.027,71.596,54.293,66.194,124.715,130.837
0.7999999999999999,4.423,0.087,765.788,768.916,0.2,3.818,63.361,48.317,55.882,762.66,765.788
0.8999999999999999,2.158,0.478,203.377,208.211,0.2,10.544,78.681,50.686,66.851,199.869,203.584
0.9999999999999999,5.161,1.0,206.284,224.496,0.2,2.762,78.63,69.253,75.748,199.815,204.495
1.0999999999999999,28.678,0.87,237.427,267.84,0.2,6.215,88.25,69.351,79.228,200.822,245.692
1.2,4.523,1.0,264.055,268.885,0.2,1.784,85.02,79.156,82.065,251.429,265.13
1.3,13.041,1.0,248.435,267.862,0.2,1.719,86.68,80.548,84.356,227.951,247.543
1.4000000000000001,9.897,1.0,226.117,242.934,0.2,1.282,84.993,81.054,82.497,211.695,226.162
1.5000000000000002,6.462,1.0,209.992,222.934,0.2,0.619,81.467,79.398,80.541,202.58,208.849
1.6000000000000003,7.23,1.0,207.501,225.522,0.2,3.932,80.365,69.143,76.452,202.178,204.182
1.7000000000000004,37.006,1.0,245.952,303.001,0.2,3.147,78.063,69.057,72.356,201.719,232.98
1.8000000000000005,15.881,1.0,295.386,308.769,0.2,2.187,82.188,74.683,79.191,242.277,301.191
1.9000000000000006,6.394,1.0,297.365,308.539,0.2,1.123,82.939,79.684,81.025,288.331,297.091
2.0000000000000004,9.056,1.0,299.936,321.718,0.2,0.986,82.985,79.83,81.305,288.999,296.723
2.1000000000000005,242.093,0.957,487.701,831.674,0.2,3.163,81.443,70.504,78.458,292.401,321.064
2.2000000000000006,34.691,0.522,794.97,838.72,0.2,6.512,81.697,62.951,71.924,698.477,800.869
2.3000000000000007,22.849,0.13,813.874,840.252,0.2,5.616,66.383,48.929,57.58,800.185,801.186
2.400000000000001,59.303,0.565,692.624,822.568,0.2,6.555,56.673,38.073,49.974,605.113,678.261
2.500000000000001,63.799,0.174,732.77,815.148,0.2,4.104,52.079,37.837,43.216,664.384,719.746
2.600000000000001,12.47,0.087,686.948,695.765,0.2,3.386,53.025,41.625,49.471,678.13,686.948
2.700000000000001,7.424,0.522,174.362,185.061,0.2,12.534,75.726,45.567,63.156,165.764,171.718
2.800000000000001,4.945,1.0,167.273,180.877,0.2,0.705,76.178,74.06,74.753,163.01,165.581
2.9000000000000012,3.001,1.0,162.003,167.636,0.2,1.905,76.209,70.634,73.684,155.898,162.762
3.0000000000000013,5.627,1.0,165.088,173.425,0.2,4.379,81.813,70.353,73.716,156.138,165.239
3.1000000000000014,274.934,0.652,327.141,773.652,0.2,3.046,81.805,70.032,77.596,163.036,168.04
3.2000000000000015,230.183,0.652,318.618,768.755,0.2,3.135,79.193,68.553,74.019,201.94,209.328
3.3000000000000016,11.679,1.0,218.574,231.953,0.2,3.388,83.348,74.356,80.093,202.074,223.734
3.4000000000000017,13.331,1.0,216.857,232.101,0.2,2.52,83.353,76.234,80.201,195.374,220.168
3.5000000000000018,8.367,1.0,194.451,211.772,0.2,4.847,81.559,68.491,76.073,183.839,192.029
3.600000000000002,5.78,0.87,184.726,190.819,0.2,1.811,73.65,68.508,70.896,170.687,186.976
3.700000000000002,6.535,0.304,178.612,186.879,0.2,7.206,89.198,68.7,78.238,169.747,179.244
3.800000000000002,1.945,0.522,230.258,233.489,0.2,2.605,86.479,76.523,80.047,227.505,230.09
3.900000000000002,6.278,1.0,235.509,245.188,0.2,2.294,79.94,72.862,75.927,227.551,233.835
4.000000000000002,8.609,1.0,246.909,263.788,0.2,1.679,79.701,72.787,75.37,235.195,244.926
4.100000000000001,13.225,1.0,264.874,282.054,0.2,2.625,81.309,72.741,78.33,236.403,266.37
4.200000000000001,223.055,0.87,387.423,834.57,0.2,2.568,78.594,70.551,75.638,269.286,280.249
4.300000000000001,262.368,0.304,664.311,836.026,0.2,2.63,75.14,66.307,71.603,277.714,812.451
4.4,103.918,0.13,687.11,807.104,0.2,9.575,70.706,42.005,58.219,626.809,627.417
4.5,4.357,0.565,181.117,185.962,0.2,11.96,74.729,41.987,62.638,170.94,181.71
4.6,6.382,1.0,185.396,194.557,0.2,2.784,77.663,66.312,71.436,170.93,184.808
4.699999999999999,7.919,1.0,197.002,206.654,0.2,5.801,85.245,66.305,77.593,183.204,194.585
4.799999999999999,3.742,1.0,205.017,212.709,0.2,6.515,85.342,67.954,76.285,192.691,205.093
4.899999999999999,5.241,1.0,211.872,219.418,0.2,4.964,80.947,67.691,75.363,204.007,212.835
4.999999999999998,2.269,0.478,216.295,219.477,0.2,4.446,80.911,67.59,72.505,212.405,216.625
5.099999999999998,-1,0.0,-1,-1,0.2,9.981,70.107,43.358,60.272,-1,-1
5.1999999999999975,102.382,0.435,282.206,395.719,0.2,8.195,68.258,42.628,52.317,151.475,339.633
5.299999999999997,69.993,0.913,215.019,368.958,0.2,4.774,72.436,56.463,68.889,154.142,186.701
5.399999999999997,5.03,1.0,184.462,191.39,0.2,1.47,72.451,66.576,71.305,173.509,185.357
5.4999999999999964,13.283,1.0,190.918,207.721,0.2,5.421,78.174,61.486,70.815,172.005,186.612
5.599999999999996,3.181,1.0,205.877,210.839,0.2,0.946,78.574,75.368,77.111,195.162,205.647
5.699999999999996,1.946,1.0,209.047,212.617,0.2,2.763,84.532,76.549,80.808,204.631,209.11
5.799999999999995,7.802,1.0,216.471,230.89,0.2,1.129,84.489,79.959,82.453,207.734,213.459
5.899999999999995,87.403,0.522,261.918,455.887,0.2,13.284,82.319,47.575,67.3,216.936,226.788
5.999999999999995,6.443,0.13,451.512,458.558,0.2,7.85,71.906,43.781,53.027,445.664,450.454
6.099999999999994,-1,0.0,-1,-1,0.2,7.496,73.851,47.858,68.641,-1,-1
6.199999999999994,2.436,0.478,179.208,184.842,0.2,4.462,77.722,63.36,72.764,174.317,178.859
6.299999999999994,14.919,1.0,189.679,222.576,0.2,3.61,77.712,67.862,72.686,174.709,181.677
6.399999999999993,19.571,1.0,223.351,243.112,0.2,4.781,84.5,68.122,77.856,190.152,231.301
6.499999999999993,5.044,1.0,235.952,242.916,0.2,1.14,84.454,80.862,82.532,226.049,236.074
6.5999999999999925,6.405,1.0,232.331,248.168,0.2,2.174,82.327,75.763,79.496,225.414,230.882
6.699999999999992,8.655,0.696,240.901,251.053,0.2,11.897,81.432,50.185,71.337,226.687,243.647
6.799999999999992,22.857,0.609,204.064,246.581,0.2,11.001,80.612,50.394,68.513,188.807,192.628
6.8999999999999915,8.546,1.0,199.596,212.129,0.2,1.903,79.718,71.872,74.669,188.863,196.927
6.999999999999991,2.321,0.87,208.545,212.501,0.2,9.838,81.256,51.982,71.322,202.635,208.584
7.099999999999991,13.478,0.739,192.771,208.707,0.2,9.315,76.626,51.767,66.695,172.192,188.617
7.19999999999999,143.066,0.739,243.023,557.569,0.2,6.042,77.619,60.402,68.712,165.456,183.449
7.29999999999999,125.866,0.739,217.314,559.91,0.2,5.839,80.79,62.592,73.834,158.138,171.524
7.39999999999999,3.521,0.565,170.225,174.538,0.2,4.354,80.815,66.766,75.671,161.225,170.458
7.499999999999989,2.208,0.435,209.043,212.216,0.2,3.857,84.333,69.614,77.239,206.386,208.603
7.599999999999989,3.005,1.0,211.46,215.471,0.2,3.365,85.334,75.518,80.785,206.403,211.782
7.699999999999989,15.219,1.0,198.763,215.335,0.2,3.106,85.296,76.731,80.548,174.122,201.648
7.799999999999988,9.095,1.0,174.652,195.655,0.2,0.944,79.749,76.835,78.471,162.513,172.91
7.899999999999988,5.739,0.957,162.469,173.109,0.2,4.172,79.438,65.735,74.129,152.672,162.374
7.999999999999988,4.713,0.652,159.813,166.399,0.2,6.754,71.243,52.384,64.066,150.123,160.605
8.099999999999987,3.962,0.565,161.61,167.051,0.2,6.769,71.276,53.441,62.799,154.525,162.17
8.199999999999987,2.268,0.304,194.735,197.407,0.2,9.575,81.252,53.449,66.22,191.529,195.425
8.299999999999986,6.582,0.913,202.0,213.65,0.2,1.525,81.234,74.861,77.941,190.837,203.096
8.399999999999986,5.178,0.913,211.961,219.9,0.2,1.609,78.667,72.788,77.355,203.205,212.682
8.499999999999986,288.863,0.609,494.322,840.705,0.2,3.067,84.477,73.157,77.936,209.123,487.351
8.599999999999985,272.27,0.652,323.606,763.475,0.2,5.753,84.433,64.484,74.546,155.01,164.785
8.699999999999985,19.16,0.87,188.053,218.737,0.2,5.79,83.432,65.006,75.425,155.923,186.746
8.799999999999985,12.974,1.0,214.468,228.401,0.2,2.451,83.409,73.732,80.639,186.965,217.04
8.899999999999984,9.025,1.0,213.399,228.377,0.2,1.493,81.453,75.655,79.495,196.689,213.967
8.999999999999984,5.507,1.0,204.856,214.804,0.2,2.381,79.17,71.002,75.956,196.379,204.701
9.099999999999984,17.134,0.913,222.335,251.274,0.2,1.545,78.021,71.377,76.945,201.57,217.787
9.199999999999983,7.001,0.348,241.69,250.762,0.2,7.124,77.962,56.659,67.376,230.583,241.29
9.299999999999983,-1,0.0,-1,-1,0.2,3.124,61.92,52.299,58.5,-1,-1
9.399999999999983,-1,0.0,-1,-1,0.2,1.744,58.678,52.21,55.28,-1,-1
9.499999999999982,-1,0.0,-1,-1,0.2,1.585,56.731,51.691,54.449,-1,-1
9.599999999999982,84.95,0.391,663.117,755.802,0.2,2.007,55.773,48.095,52.197,545.35,679.085
9.699999999999982,8.775,0.348,188.923,202.028,0.2,11.64,78.572,43.212,58.848,176.587,187.676
9.799999999999981,7.897,0.87,189.438,203.104,0.2,3.372,78.556,65.747,73.361,174.573,189.305
9.89999999999998,6.79,1.0,201.399,210.539,0.2,4.887,83.135,70.54,75.723,188.032,203.303
9.99999999999998,6.415,1.0,200.937,210.82,0.2,4.931,83.14,71.295,78.389,189.696,202.012
10.09999999999998,4.422,1.0,190.375,199.164,0.2,3.89,80.417,71.352,75.43,183.93,189.705
10.19999999999998,5.749,1.0,190.424,201.328,0.2,1.976,83.371,77.126,80.571,182.793,188.403
10.29999999999998,4.573,1.0,194.896,201.635,0.2,6.149,83.405,65.982,77.161,184.881,194.944
10.399999999999979,8.801,1.0,184.643,197.065,0.2,3.134,75.413,65.86,71.345,166.029,187.239
10.499999999999979,10.551,0.696,167.982,184.785,0.2,4.042,72.988,57.424,67.326,152.09,167.094
10.599999999999978,9.427,0.261,166.438,172.629,0.2,8.51,78.42,51.325,62.197,152.232,172.322
10.699999999999978,10.614,0.87,176.749,209.42,0.2,5.689,82.899,61.54,77.684,168.143,172.515
10.799999999999978,11.89,1.0,188.166,201.928,0.2,2.862,82.267,72.149,77.53,170.388,193.237
10.899999999999977,5.68,0.783,196.468,202.054,0.2,7.514,77.802,54.76,69.025,181.418,198.535
10.999999999999977,7.486,0.435,183.553,196.629,0.2,8.75,78.504,54.83,67.047,173.832,182.946
11.099999999999977,208.831,0.522,406.742,671.251,0.2,10.877,84.269,53.152,65.861,174.565,480.991
11.199999999999976,215.86,0.609,538.965,714.504,0.2,8.237,85.293,59.96,73.869,152.378,624.193
11.299999999999976,96.235,0.217,222.983,332.599,0.2,2.093,70.255,63.773,67.986,151.624,153.479
11.399999999999975,6.486,0.435,254.749,263.845,0.2,6.06,81.649,65.719,73.211,243.74,254.672
11.499999999999975,18.046,1.0,237.39,265.103,0.2,2.345,84.495,75.529,81.23,204.166,237.322
11.599999999999975,15.276,0.957,205.968,234.901,0.2,4.268,81.116,64.529,73.532,180.058,200.655
