t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,23.808,0.261,676.126,721.387,0.2,5.77,55.071,37.013,46.342,654.871,670.239
0.1,-1,0.0,-1,-1,0.2,3.712,52.727,40.581,48.43,-1,-1
0.2,-1,0.0,-1,-1,0.2,3.759,52.778,41.508,48.235,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,3.124,48.802,38.533,44.808,-1,-1
0.4,23.233,0.348,809.195,838.379,0.2,8.397,61.787,38.597,49.496,769.584,807.67
0.5,26.203,0.478,789.636,831.836,0.2,3.113,61.722,50.783,57.207,758.926,785.112
0.6,89.293,0.261,672.002,750.884,0.2,6.327,58.802,39.42,53.213,529.023,694.261
0.7,1.681,0.174,222.096,224.141,0.2,15.193,78.834,35.999,50.92,220.231,221.966
0.7999999999999999,4.229,0.739,225.316,233.101,0.2,5.832,80.946,55.812,75.567,219.013,224.597
0.8999999999999999,9.871,0.522,223.734,233.236,0.2,8.074,76.78,55.434,67.176,196.01,225.74
0.9999999999999999,29.474,0.522,305.817,339.989,0.2,6.4,78.508,56.398,68.023,255.729,300.415
1.0999999999999999,19.453,1.0,320.194,341.236,0.2,4.198,79.465,65.969,73.821,278.224,331.033
1.2,22.126,1.0,309.848,335.206,0.2,4.304,80.931,66.755,76.997,265.063,313.18
1.3,34.679,1.0,257.036,317.338,0.2,2.954,81.076,70.99,79.434,202.706,253.9
1.4000000000000001,18.209,1.0,208.787,244.343,0.2,3.607,82.144,70.919,77.473,185.198,206.398
1.5000000000000002,288.671,0.87,473.663,779.921,0.2,3.832,89.988,75.388,82.057,185.64,461.756
1.6000000000000003,257.684,0.957,577.018,795.125,0.2,5.955,84.296,65.508,73.919,209.279,754.397
1.7000000000000004,159.003,0.957,264.537,758.794,0.2,2.214,81.236,72.286,77.287,209.158,215.216
1.8000000000000005,6.995,1.0,226.374,233.125,0.2,1.08,82.251,78.505,81.304,213.114,230.181
1.9000000000000006,7.76,1.0,225.652,233.071,0.2,0.554,81.934,79.724,81.097,206.867,227.753
2.0000000000000004,14.832,1.0,203.509,226.42,0.2,1.241,81.371,77.83,78.987,181.256,200.349
2.1000000000000005,7.428,1.0,182.425,197.848,0.2,3.453,78.182,70.223,73.833,172.14,180.549
2.2000000000000006,3.941,0.826,175.574,180.432,0.2,2.071,75.833,70.276,73.331,163.886,176.44
2.3000000000000007,287.876,0.609,486.995,835.129,0.2,2.596,74.669,66.325,70.017,160.31,655.84
2.400000000000001,5.117,0.565,227.162,236.885,0.2,7.147,82.997,66.149,76.145,221.117,225.265
2.500000000000001,13.17,0.957,240.446,256.786,0.2,1.837,82.997,75.795,80.483,221.155,241.46
2.600000000000001,11.513,0.826,243.242,256.548,0.2,2.56,80.586,71.87,77.861,218.388,246.853
2.700000000000001,222.861,0.652,409.569,698.883,0.2,3.846,86.869,71.77,79.351,220.63,243.264
2.800000000000001,191.512,0.565,343.165,579.121,0.2,4.013,88.31,73.6,83.85,188.133,202.133
2.9000000000000012,5.831,0.304,198.481,203.905,0.2,8.134,86.775,62.164,76.014,187.704,200.324
3.0000000000000013,4.948,0.304,183.868,189.112,0.2,4.787,79.336,62.773,73.165,176.126,184.57
3.1000000000000014,8.009,0.87,174.81,188.698,0.2,3.136,79.345,71.484,75.263,160.159,172.412
3.2000000000000015,2.982,0.609,171.792,179.28,0.2,10.306,72.723,45.935,62.969,167.342,171.056
3.3000000000000016,1.833,0.391,209.438,213.769,0.2,14.9,87.341,46.104,69.427,207.221,209.077
3.4000000000000017,5.867,1.0,214.859,224.934,0.2,1.869,80.708,74.729,78.582,207.41,214.295
3.5000000000000018,5.521,1.0,225.44,236.426,0.2,1.253,80.831,77.594,79.434,214.579,226.332
3.600000000000002,4.566,1.0,234.622,239.565,0.2,2.081,83.958,77.581,80.063,227.514,235.035
3.700000000000002,4.802,0.478,235.944,239.599,0.2,12.336,81.575,47.356,69.174,224.601,238.482
3.800000000000002,-1,0.043,175.491,175.491,0.2,15.326,90.322,47.858,65.337,175.491,175.491
3.900000000000002,2.574,0.478,174.165,180.882,0.2,7.243,90.296,67.314,77.437,172.01,173.029
4.000000000000002,3.85,0.652,177.287,181.717,0.2,3.732,71.403,60.374,65.62,171.209,178.787
4.100000000000001,4.165,0.391,180.736,185.926,0.2,8.981,82.423,57.693,68.455,173.879,180.479
4.200000000000001,3.565,0.696,187.984,194.427,0.2,2.396,82.613,74.651,77.693,184.322,186.316
4.300000000000001,6.982,1.0,196.104,208.015,0.2,1.734,76.489,70.708,73.444,184.59,194.534
4.4,9.679,1.0,193.369,205.963,0.2,1.752,77.15,72.024,75.562,175.45,195.24
4.5,9.853,1.0,174.042,192.205,0.2,0.3,77.392,76.449,76.815,160.007,172.332
4.6,6.122,1.0,158.556,169.812,0.2,2.628,77.713,69.636,75.874,151.905,156.761
4.699999999999999,1.729,1.0,151.484,154.529,0.2,1.97,76.037,69.005,70.833,147.408,152.169
4.799999999999999,2.879,1.0,151.796,156.684,0.2,1.044,72.522,69.465,70.542,147.062,151.183
4.899999999999999,3.484,0.739,156.441,164.652,0.2,1.024,71.904,68.276,70.401,152.228,155.12
4.999999999999998,2.043,0.217,154.266,157.315,0.2,3.657,78.535,68.15,72.55,151.922,153.613
5.099999999999998,-1,0.0,-1,-1,0.2,3.482,77.159,65.407,71.041,-1,-1
5.1999999999999975,31.874,0.174,789.235,817.403,0.2,9.999,74.601,46.883,62.733,756.214,791.662
5.299999999999997,127.201,0.304,636.508,823.162,0.2,5.049,62.808,46.66,56.122,540.185,583.134
5.399999999999997,2.2,0.087,638.934,640.489,0.2,1.962,66.573,60.113,62.865,637.379,638.934
