t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,45.99,0.348,794.643,848.212,0.2,4.677,61.494,47.587,56.696,740.593,803.305
0.1,81.014,0.348,768.171,833.648,0.2,5.498,71.366,53.76,63.802,577.011,784.577
0.2,142.462,0.783,697.46,849.158,0.2,6.224,71.131,49.543,60.679,397.39,758.97
0.30000000000000004,76.651,0.957,740.543,856.85,0.2,2.437,66.614,57.486,62.903,567.89,761.958
0.4,45.189,0.739,774.497,863.938,0.2,8.187,65.461,41.421,51.423,686.078,773.436
0.5,85.698,0.652,754.361,853.394,0.2,5.971,59.665,41.53,48.498,608.62,796.281
0.6,71.643,0.522,752.312,855.977,0.2,3.412,59.916,49.073,54.995,594.015,767.661
0.7,72.021,0.348,750.801,839.196,0.2,3.685,56.886,45.55,51.532,647.457,757.727
0.7999999999999999,249.929,0.217,214.045,661.131,0.2,7.984,68.446,45.456,57.477,101.543,102.5
0.8999999999999999,322.58,0.739,486.579,781.444,0.2,5.185,76.434,59.622,67.88,101.474,662.098
0.9999999999999999,262.077,0.87,260.321,780.805,0.2,4.104,76.9,63.843,70.127,125.547,135.957
1.0999999999999999,5.154,0.87,133.074,137.384,0.2,2.494,70.323,61.01,68.259,117.976,135.472
1.2,7.691,0.348,127.389,134.337,0.2,3.365,69.802,59.545,64.679,113.333,130.404
1.3,4.25,0.522,104.361,113.185,0.2,4.081,77.264,64.755,71.0,100.047,103.342
1.4000000000000001,1.781,0.348,101.556,104.737,0.2,6.774,74.878,52.776,62.083,99.655,100.924
1.5000000000000002,200.314,0.478,199.416,604.988,0.2,5.996,69.106,52.673,64.059,103.237,111.006
1.6000000000000003,197.286,0.826,211.291,593.078,0.2,7.412,69.382,47.764,62.947,102.976,116.545
1.7000000000000004,245.083,0.522,352.284,600.251,0.2,5.752,66.368,48.129,58.454,114.717,343.31
1.8000000000000005,309.946,0.652,478.983,836.125,0.2,3.075,66.412,57.299,62.19,113.074,668.082
