t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,42.769,0.522,738.976,837.625,0.2,3.983,60.229,47.385,55.292,668.736,739.293
0.1,123.101,0.13,629.699,769.977,0.2,2.948,54.483,43.774,48.478,539.674,579.448
0.2,104.871,0.565,751.087,843.371,0.2,3.422,55.209,43.752,49.761,539.219,805.574
0.30000000000000004,95.375,0.304,754.13,840.567,0.2,3.427,57.849,47.456,53.561,615.576,806.411
0.4,32.444,0.174,585.845,608.383,0.2,2.098,54.639,46.865,49.356,537.693,598.652
0.5,93.177,0.478,733.108,846.133,0.2,3.273,56.738,44.689,50.773,594.435,755.893
0.6,52.612,0.522,746.565,839.187,0.2,2.635,57.354,48.661,53.914,664.533,753.231
0.7,15.809,0.304,689.259,713.023,0.2,6.173,68.226,48.655,58.715,668.329,689.908
0.7999999999999999,6.389,0.13,804.084,809.587,0.2,9.965,89.955,63.063,73.808,796.788,806.781
0.8999999999999999,1.015,0.391,127.633,128.515,0.2,3.1,90.094,78.184,84.411,125.167,128.023
0.9999999999999999,3.676,1.0,125.078,128.445,0.2,3.903,84.501,74.88,78.543,116.831,126.433
1.0999999999999999,286.724,0.609,295.539,806.309,0.2,4.964,89.769,74.761,80.392,116.243,124.199
1.2,303.291,0.391,310.912,758.041,0.2,3.913,87.051,71.535,78.611,107.001,110.063
1.3,366.381,0.391,353.235,846.041,0.2,5.31,90.14,72.106,78.838,106.796,110.072
1.4000000000000001,156.82,0.652,631.202,862.867,0.2,3.423,78.255,66.667,74.292,491.781,529.912
1.5000000000000002,-1,0.0,-1,-1,0.2,5.215,76.114,62.882,69.658,-1,-1
1.6000000000000003,-1,0.0,-1,-1,0.2,2.122,68.675,60.546,64.047,-1,-1
1.7000000000000004,-1,0.0,-1,-1,0.2,5.137,68.667,53.415,62.488,-1,-1
1.8000000000000005,4.802,0.304,608.469,615.615,0.2,2.913,62.435,53.386,59.166,601.753,607.107
1.9000000000000006,-1,0.0,-1,-1,0.2,1.09,62.574,59.369,61.031,-1,-1
2.0000000000000004,-1,0.0,-1,-1,0.2,8.178,79.368,49.303,62.705,-1,-1
2.1000000000000005,59.551,0.174,732.487,798.483,0.2,10.363,79.333,50.677,65.389,659.536,735.965
2.2000000000000006,89.865,0.652,712.011,838.857,0.2,2.685,60.855,51.018,57.477,544.66,673.38
2.3000000000000007,270.186,0.478,446.342,666.467,0.2,5.374,70.069,50.408,57.405,104.034,628.159
2.400000000000001,5.346,0.696,109.963,125.008,0.2,8.3,81.422,50.44,71.192,103.763,108.879
2.500000000000001,6.02,0.391,111.503,121.04,0.2,4.912,89.995,75.067,84.164,100.642,109.941
2.600000000000001,3.685,0.13,349.772,353.972,0.2,2.927,89.774,79.3,86.372,346.579,348.258
2.700000000000001,77.108,0.217,387.023,524.423,0.2,6.022,88.144,65.94,77.162,344.045,357.478
2.800000000000001,18.32,0.304,602.431,625.487,0.2,1.772,81.623,75.875,79.343,578.237,601.633
2.9000000000000012,-1,0.0,-1,-1,0.2,3.241,80.696,70.782,76.411,-1,-1
3.0000000000000013,21.691,0.522,774.445,832.101,0.2,2.75,77.691,69.134,74.137,746.024,773.086
3.1000000000000014,347.132,0.739,427.699,841.745,0.2,4.181,87.248,75.474,82.276,106.474,116.32
3.2000000000000015,4.017,0.957,109.746,118.255,0.2,3.224,87.296,78.009,81.919,101.444,109.166
3.3000000000000016,247.993,0.826,361.67,610.911,0.2,1.302,81.075,76.614,79.499,101.903,528.335
3.4000000000000017,7.558,0.304,603.203,610.408,0.2,5.306,89.426,72.349,78.648,590.988,608.283
3.5000000000000018,-1,0.0,-1,-1,0.2,4.368,89.439,72.824,80.492,-1,-1
3.600000000000002,-1,0.0,-1,-1,0.2,3.202,86.496,77.106,81.436,-1,-1
3.700000000000002,-1,0.0,-1,-1,0.2,7.747,87.263,63.612,79.568,-1,-1
3.800000000000002,-1,0.043,849.782,849.782,0.2,5.155,81.257,64.013,74.714,849.782,849.782
3.900000000000002,-1,0.0,-1,-1,0.2,3.354,80.254,68.597,75.56,-1,-1
4.000000000000002,0.066,0.087,100.09,100.136,0.2,6.599,90.613,68.977,78.425,100.043,100.09
4.100000000000001,0.085,0.13,100.013,100.1,0.2,6.478,78.175,52.322,70.647,99.93,100.008
4.200000000000001,-1,0.0,-1,-1,0.2,13.961,88.77,49.706,69.395,-1,-1
4.300000000000001,3.26,0.174,144.277,148.234,0.2,7.256,88.76,66.285,77.743,140.283,144.296
4.4,3.565,0.739,142.374,147.101,0.2,4.425,79.601,66.492,75.292,136.894,142.868
4.5,3.836,0.391,143.275,147.037,0.2,0.828,79.614,76.604,78.62,137.057,144.564
4.6,-1,0.043,581.669,581.669,0.2,6.798,88.971,66.254,76.575,581.669,581.669
4.699999999999999,-1,0.0,-1,-1,0.2,7.754,88.943,63.878,74.956,-1,-1
4.799999999999999,2.12,0.174,101.759,104.784,0.2,2.62,69.568,60.097,64.862,99.863,101.195
4.899999999999999,1.887,0.261,102.28,105.08,0.2,7.041,75.152,51.9,62.843,100.2,101.486
4.999999999999998,3.25,0.609,104.691,109.387,0.2,6.38,75.423,51.168,70.906,100.136,103.975
5.099999999999998,3.185,0.87,106.597,110.749,0.2,2.078,78.17,71.922,74.84,100.937,107.81
5.1999999999999975,3.1,0.826,106.078,110.634,0.2,2.374,81.336,72.535,77.779,101.832,106.016
5.299999999999997,6.654,0.522,106.312,126.178,0.2,3.764,90.105,78.579,83.232,101.748,104.502
5.399999999999997,74.404,0.174,683.554,730.529,0.2,4.795,91.589,76.272,85.218,573.902,714.893
5.4999999999999964,21.768,0.087,713.297,728.69,0.2,4.237,85.356,70.88,75.876,697.905,713.297
5.599999999999996,5.817,0.261,164.759,173.916,0.2,1.658,78.661,72.739,76.262,159.038,162.774
5.699999999999996,169.556,0.348,222.81,642.255,0.2,2.594,78.597,71.692,74.589,158.091,162.254
5.799999999999995,-1,0.0,-1,-1,0.2,0.436,73.054,71.701,72.352,-1,-1
5.899999999999995,46.721,0.174,558.274,605.135,0.2,3.612,82.446,71.878,74.222,507.461,560.365
5.999999999999995,33.438,0.174,555.412,587.059,0.2,5.347,90.21,72.962,82.542,512.147,561.832
6.099999999999994,9.138,0.261,660.671,674.051,0.2,8.786,90.434,60.317,80.181,648.07,658.858
6.199999999999994,391.695,0.087,377.339,654.309,0.2,5.195,77.996,60.136,72.116,100.369,377.339
6.299999999999994,9.735,0.13,105.679,116.915,0.2,2.546,79.367,69.528,75.794,99.781,100.341
6.399999999999993,0.416,0.087,100.306,100.6,0.2,1.879,78.375,69.806,75.302,100.011,100.306
6.499999999999993,4.036,0.652,105.355,114.793,0.2,2.47,83.101,75.748,80.053,100.236,104.275
6.5999999999999925,5.251,0.522,109.195,118.433,0.2,6.045,82.965,66.783,74.134,103.278,107.463
6.699999999999992,-1,0.0,-1,-1,0.2,8.53,84.687,58.11,72.129,-1,-1
6.799999999999992,69.009,0.348,589.648,740.937,0.2,2.651,87.055,77.613,83.577,505.594,585.804
6.8999999999999915,200.174,0.435,472.828,625.794,0.2,3.582,84.746,72.06,79.439,99.822,562.794
6.999999999999991,0.054,0.087,100.007,100.046,0.2,4.776,79.093,64.337,71.179,99.969,100.007
7.099999999999991,-1,0.0,-1,-1,0.2,5.709,80.515,64.559,72.645,-1,-1
7.19999999999999,-1,0.0,-1,-1,0.2,9.594,91.561,66.562,80.042,-1,-1
7.29999999999999,140.964,0.522,726.712,847.176,0.2,7.408,87.122,64.458,76.702,425.651,767.095
7.39999999999999,35.878,0.391,788.65,839.088,0.2,5.548,82.039,64.56,77.06,728.641,788.554
7.499999999999989,-1,0.0,-1,-1,0.2,3.618,82.039,71.272,78.252,-1,-1
7.599999999999989,-1,0.0,-1,-1,0.2,3.881,75.928,63.539,68.679,-1,-1
7.699999999999989,19.935,0.087,547.949,562.045,0.2,8.268,87.251,63.835,74.683,533.853,547.949
7.799999999999988,22.346,0.087,524.817,540.617,0.2,2.531,87.556,78.87,83.469,509.016,524.817
7.899999999999988,-1,0.0,-1,-1,0.2,5.967,87.541,68.215,80.194,-1,-1
7.999999999999988,-1,0.0,-1,-1,0.2,9.888,89.325,58.517,72.178,-1,-1
8.099999999999987,1.0,0.304,103.328,105.319,0.2,8.177,89.304,59.212,75.048,101.913,103.391
8.199999999999987,0.012,0.087,103.431,103.439,0.2,11.531,89.0,54.62,67.672,103.422,103.431
8.299999999999986,-1,0.0,-1,-1,0.2,4.663,89.03,68.29,79.236,-1,-1
8.399999999999986,-1,0.0,-1,-1,0.2,4.038,79.536,68.002,72.75,-1,-1
8.499999999999986,-1,0.0,-1,-1,0.2,5.79,86.856,68.006,77.101,-1,-1
8.599999999999985,-1,0.0,-1,-1,0.2,2.986,84.361,72.967,78.247,-1,-1
8.699999999999985,-1,0.0,-1,-1,0.2,2.993,79.912,69.421,74.828,-1,-1
8.799999999999985,-1,0.0,-1,-1,0.2,1.611,74.573,69.338,72.277,-1,-1
8.899999999999984,31.846,0.217,648.739,672.357,0.2,4.239,78.499,61.905,72.802,592.108,659.516
8.999999999999984,91.008,0.13,699.675,772.159,0.2,6.459,78.365,54.88,66.279,594.591,751.595
9.099999999999984,-1,0.0,-1,-1,0.2,3.194,75.745,63.793,68.054,-1,-1
9.199999999999983,225.56,0.304,604.222,769.186,0.2,4.652,69.066,51.784,61.958,101.524,666.732
9.299999999999983,91.087,0.609,708.504,802.799,0.2,3.794,61.936,49.252,57.111,504.3,739.337
9.399999999999983,24.599,0.87,747.714,805.43,0.2,4.777,58.642,43.995,52.209,685.078,742.703
9.499999999999982,58.493,0.783,755.856,846.387,0.2,3.241,53.199,43.613,48.456,644.908,748.481
9.599999999999982,63.2,0.261,767.198,844.902,0.2,6.527,68.023,48.935,55.172,669.543,771.779
9.699999999999982,33.975,0.565,125.791,176.129,0.2,7.59,82.016,56.181,71.827,99.892,106.899
9.799999999999981,4.696,1.0,107.36,116.968,0.2,2.46,85.911,77.877,83.045,99.858,107.562
9.89999999999998,215.754,0.913,192.25,717.753,0.2,4.958,85.662,72.093,80.181,100.793,106.466
9.99999999999998,301.646,0.478,416.188,718.39,0.2,3.3,84.634,73.456,79.788,100.266,618.618
10.09999999999998,-1,0.0,-1,-1,0.2,8.589,80.024,58.06,66.689,-1,-1
10.19999999999998,-1,0.0,-1,-1,0.2,7.261,79.475,58.487,68.948,-1,-1
10.29999999999998,6.279,0.087,748.674,753.114,0.2,2.629,75.724,66.156,70.096,744.234,748.674
10.399999999999979,3.152,0.13,749.235,752.615,0.2,5.677,69.884,51.751,64.08,746.154,748.713
10.499999999999979,46.87,0.217,762.591,833.922,0.2,5.288,61.501,44.546,53.775,698.212,759.118
10.599999999999978,147.583,0.217,594.659,765.764,0.2,2.917,55.177,44.138,47.171,437.671,537.757
10.699999999999978,19.785,0.087,759.605,773.595,0.2,1.363,49.77,44.651,47.305,745.615,759.605
10.799999999999978,163.715,0.565,551.938,841.025,0.2,4.606,60.022,46.173,53.457,425.672,446.753
10.899999999999977,143.961,0.478,636.845,833.906,0.2,2.308,64.33,55.572,60.902,436.987,616.669
10.999999999999977,15.015,0.13,642.112,654.065,0.2,12.012,90.597,58.183,71.052,625.26,647.013
11.099999999999977,55.309,0.217,649.707,742.1,0.2,7.089,90.505,70.94,79.395,599.931,642.706
