t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,2.102,64.69,58.877,61.387,-1,-1
0.1,-1,0.043,765.148,765.148,0.2,2.253,60.384,52.398,57.303,765.148,765.148
0.2,-1,0.0,-1,-1,0.2,1.681,56.98,50.494,52.953,-1,-1
0.30000000000000004,7.729,0.087,727.333,732.798,0.2,2.909,53.778,44.796,49.197,721.867,727.333
0.4,1.361,0.087,834.548,835.51,0.2,4.543,47.754,32.461,43.294,833.586,834.548
0.5,-1,0.0,-1,-1,0.2,3.102,42.546,31.417,35.97,-1,-1
0.6,-1,0.0,-1,-1,0.2,2.153,39.773,32.781,36.279,-1,-1
0.7,12.63,0.13,715.378,727.742,0.2,1.636,39.711,33.632,36.736,702.499,715.892
0.7999999999999999,15.457,0.522,133.903,168.295,0.2,9.458,59.936,33.043,48.744,118.611,128.095
0.8999999999999999,3.108,1.0,128.547,134.68,0.2,0.707,59.923,57.314,58.359,119.465,128.788
0.9999999999999999,275.791,0.739,253.139,836.822,0.2,6.985,78.047,57.335,63.334,127.685,129.295
1.0999999999999999,329.859,0.478,481.711,838.94,0.2,6.179,77.603,56.256,64.95,129.219,722.548
1.2,233.188,0.957,250.827,744.713,0.2,2.1,62.757,55.977,60.547,137.838,144.175
1.3,11.444,1.0,156.738,169.558,0.2,0.717,62.769,60.593,61.545,141.297,159.084
1.4000000000000001,10.738,1.0,158.486,169.398,0.2,1.448,61.608,57.366,59.834,140.841,162.615
1.5000000000000002,8.249,1.0,139.813,160.401,0.2,1.862,61.827,56.981,59.391,131.105,137.511
1.6000000000000003,314.192,0.913,353.758,857.781,0.2,4.297,70.597,57.004,60.672,131.151,145.252
1.7000000000000004,294.424,0.826,558.141,860.261,0.2,3.519,70.577,57.894,62.565,140.88,722.192
1.8000000000000005,132.835,0.957,169.602,763.051,0.2,0.908,63.46,60.575,62.101,135.312,137.043
1.9000000000000006,7.255,1.0,136.74,155.21,0.2,4.123,61.861,50.454,58.236,124.664,136.004
2.0000000000000004,253.607,0.652,265.109,764.556,0.2,5.466,74.372,54.543,63.141,128.355,147.158
