t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,5.781,67.103,48.916,58.646,-1,-1
0.1,-1,0.0,-1,-1,0.2,1.794,57.483,49.237,54.37,-1,-1
0.2,-1,0.0,-1,-1,0.2,6.122,56.288,38.644,50.467,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,3.765,52.419,38.456,46.242,-1,-1
0.4,50.113,0.435,552.467,651.054,0.2,1.684,54.41,49.494,51.872,495.03,532.576
0.5,118.618,0.87,722.781,858.469,0.2,4.061,52.04,39.041,47.001,488.298,762.112
0.6,88.626,0.609,732.85,849.457,0.2,2.081,45.398,39.188,42.729,629.214,692.482
0.7,43.574,0.739,698.129,761.049,0.2,3.591,44.638,32.931,38.178,627.309,705.099
0.7999999999999999,65.551,0.304,708.118,773.716,0.2,1.605,36.813,31.175,34.669,562.731,730.055
0.8999999999999999,-1,0.0,-1,-1,0.2,2.683,39.847,31.253,36.189,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,2.774,44.191,35.066,38.637,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,2.187,40.764,33.558,36.573,-1,-1
1.2,200.259,0.348,567.612,744.768,0.2,5.282,47.675,31.555,37.697,298.724,653.934
1.3,55.55,0.522,185.782,312.074,0.2,5.212,56.492,41.299,50.423,158.209,161.765
1.4000000000000001,6.225,0.957,167.595,175.526,0.2,3.365,63.639,54.747,59.343,157.413,167.726
1.5000000000000002,304.709,0.565,371.421,839.614,0.2,4.978,77.388,62.002,69.36,172.432,175.194
1.6000000000000003,156.541,0.696,234.594,821.519,0.2,2.694,71.674,64.054,66.758,188.969,196.029
1.7000000000000004,4.228,1.0,193.707,197.246,0.2,0.715,66.542,64.046,65.71,180.311,195.307
1.8000000000000005,9.643,1.0,180.419,195.783,0.2,2.814,66.533,58.535,62.81,170.267,175.288
1.9000000000000006,2.694,1.0,170.674,175.296,0.2,1.81,63.139,57.632,60.252,167.098,170.08
2.0000000000000004,4.1,0.609,166.286,169.55,0.2,2.437,60.598,53.478,57.846,157.003,167.754
2.1000000000000005,6.057,0.304,146.44,156.851,0.2,5.15,67.21,53.616,58.685,139.758,144.123
2.2000000000000006,156.347,0.913,168.215,849.115,0.2,1.509,66.998,61.452,63.914,121.785,134.054
2.3000000000000007,6.997,0.957,122.102,140.112,0.2,2.79,62.87,53.797,59.738,108.179,121.799
2.400000000000001,190.984,0.739,189.87,698.239,0.2,2.558,62.354,53.92,58.468,104.362,123.662
2.500000000000001,226.289,0.478,274.59,628.968,0.2,3.79,62.265,50.203,56.46,132.604,143.571
2.600000000000001,4.997,0.696,143.552,153.142,0.2,2.683,62.201,52.603,58.606,134.97,143.069
2.700000000000001,14.798,0.826,163.013,183.725,0.2,2.876,66.209,55.343,60.357,138.12,163.367
2.800000000000001,12.723,1.0,187.597,204.782,0.2,2.12,66.688,60.839,62.79,164.322,187.536
2.9000000000000012,3.441,1.0,201.83,204.927,0.2,0.442,60.941,59.762,60.3,191.136,202.898
3.0000000000000013,1.413,1.0,202.281,204.471,0.2,1.047,62.724,59.904,61.45,199.547,202.784
3.1000000000000014,5.647,0.783,197.588,203.18,0.2,3.371,62.7,51.949,60.429,183.941,199.733
3.2000000000000015,21.157,0.522,167.093,196.762,0.2,5.398,65.555,51.006,57.076,138.817,166.842
3.3000000000000016,9.035,0.87,142.598,169.435,0.2,1.98,65.69,58.971,63.565,134.024,139.938
3.4000000000000017,3.083,0.739,139.408,143.39,0.2,2.375,64.246,56.083,60.926,134.288,140.386
3.5000000000000018,344.251,0.652,450.876,839.555,0.2,5.191,73.41,55.844,63.716,137.017,142.151
3.600000000000002,303.026,0.696,294.919,822.908,0.2,2.586,67.537,58.59,63.249,101.911,136.352
3.700000000000002,13.584,0.826,110.487,145.047,0.2,2.799,65.017,56.808,61.032,100.63,103.811
3.800000000000002,1.514,0.348,102.522,104.645,0.2,4.494,58.723,44.841,52.795,100.741,102.619
3.900000000000002,2.593,0.304,120.381,125.004,0.2,6.15,59.229,43.417,50.563,116.866,119.836
4.000000000000002,6.584,0.652,117.621,125.152,0.2,6.077,59.179,40.048,55.013,101.036,119.488
4.100000000000001,9.746,0.609,119.316,131.431,0.2,6.649,61.724,39.833,55.515,99.762,118.64
4.200000000000001,3.639,0.391,120.83,128.667,0.2,9.933,62.367,36.667,51.483,116.748,120.009
4.300000000000001,-1,0.0,-1,-1,0.2,8.413,59.027,36.275,49.392,-1,-1
4.4,5.158,0.565,153.347,159.166,0.2,2.172,61.143,52.621,58.839,143.341,154.324
4.5,12.115,1.0,139.822,158.529,0.2,0.595,60.287,58.265,59.348,121.469,133.209
4.6,3.59,0.739,128.263,132.713,0.2,7.958,59.652,36.423,54.51,120.595,129.8
4.699999999999999,6.088,0.391,119.873,127.886,0.2,7.197,57.929,35.742,49.118,110.006,119.465
4.799999999999999,6.77,0.304,114.918,126.579,0.2,9.507,59.862,33.101,47.23,106.333,113.996
4.899999999999999,5.801,0.478,116.849,123.823,0.2,4.488,60.632,46.784,55.469,106.184,119.465
4.999999999999998,7.727,1.0,121.654,138.372,0.2,1.879,60.479,53.982,57.561,110.795,119.807
5.099999999999998,10.755,1.0,134.445,143.843,0.2,3.398,64.849,54.316,61.763,112.722,139.417
5.1999999999999975,5.194,0.609,139.208,143.87,0.2,2.387,64.859,57.944,62.158,126.448,141.019
5.299999999999997,-1,0.0,-1,-1,0.2,1.962,60.647,53.943,56.892,-1,-1
5.399999999999997,7.605,0.174,118.208,126.589,0.2,1.317,55.526,50.338,53.717,110.044,117.621
5.4999999999999964,7.767,0.217,119.474,128.205,0.2,4.233,53.536,41.625,46.544,110.994,123.01
5.599999999999996,3.822,0.391,132.8,135.074,0.2,5.659,57.913,42.659,50.577,123.074,134.275
5.699999999999996,5.864,0.957,129.498,135.305,0.2,0.542,58.254,56.273,57.677,117.263,131.487
5.799999999999995,6.317,1.0,127.128,137.763,0.2,0.876,58.266,54.752,57.466,117.204,128.064
5.899999999999995,11.409,1.0,139.681,156.147,0.2,5.491,66.278,50.951,58.438,120.092,137.46
5.999999999999995,9.58,1.0,161.176,177.515,0.2,1.052,67.365,63.583,66.149,147.494,159.951
