t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,2.682,45.213,37.161,41.938,-1,-1
0.1,-1,0.0,-1,-1,0.2,2.197,50.517,43.441,46.414,-1,-1
0.2,-1,0.0,-1,-1,0.2,1.177,48.688,45.056,46.627,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,1.434,50.78,46.125,48.129,-1,-1
0.4,-1,0.0,-1,-1,0.2,3.128,53.974,43.778,48.916,-1,-1
0.5,15.614,0.13,196.83,214.15,0.2,4.018,53.91,41.257,46.03,183.834,192.505
0.6,25.264,0.174,212.573,244.136,0.2,2.161,48.491,41.434,44.923,183.575,211.291
0.7,0.036,0.087,134.306,134.331,0.2,2.608,47.424,38.202,43.875,134.28,134.306
0.7999999999999999,-1,0.043,135.588,135.588,0.2,5.153,42.942,25.414,37.601,135.588,135.588
0.8999999999999999,22.003,0.304,159.164,179.636,0.2,20.19,86.588,27.631,51.444,119.765,162.252
0.9999999999999999,22.187,0.739,136.194,179.089,0.2,8.088,89.414,63.58,81.98,116.232,124.908
1.0999999999999999,10.418,0.522,128.792,143.71,0.2,11.353,87.068,54.193,72.729,115.684,126.622
1.2,9.056,0.87,149.192,175.427,0.2,4.082,88.943,74.5,84.664,136.961,148.863
1.3,5.182,1.0,151.172,157.127,0.2,3.479,88.144,79.668,83.854,140.095,151.575
1.4000000000000001,11.662,1.0,135.84,152.316,0.2,0.379,88.074,86.873,87.261,118.221,135.906
1.5000000000000002,6.384,1.0,117.911,131.005,0.2,3.936,87.87,76.6,83.959,108.193,115.768
1.6000000000000003,6.019,0.652,115.026,136.524,0.2,5.627,86.349,69.244,79.845,112.585,113.172
1.7000000000000004,8.002,0.348,119.973,138.823,0.2,7.82,84.589,59.609,72.641,114.929,116.453
1.8000000000000005,2.631,0.826,119.213,124.61,0.2,2.596,86.197,75.279,84.332,115.864,119.139
1.9000000000000006,2.319,1.0,122.754,126.267,0.2,0.286,86.536,85.445,86.202,118.743,122.854
2.0000000000000004,4.324,1.0,118.769,125.969,0.2,2.659,86.545,80.16,84.344,113.333,117.192
2.1000000000000005,2.035,1.0,113.44,115.752,0.2,2.222,82.971,76.535,80.097,106.86,113.693
2.2000000000000006,1.76,0.913,111.804,113.955,0.2,2.921,82.49,71.701,78.798,106.415,112.298
2.3000000000000007,14.035,0.609,118.15,155.638,0.2,5.767,84.049,66.501,73.719,108.721,110.926
2.400000000000001,7.764,0.783,132.907,155.33,0.2,5.533,85.629,69.64,81.127,124.916,130.249
2.500000000000001,3.724,0.783,131.27,138.059,0.2,6.298,85.648,67.043,79.181,124.076,130.661
2.600000000000001,12.111,0.478,127.461,155.9,0.2,7.469,83.187,60.123,72.79,113.728,128.993
2.700000000000001,18.099,0.304,130.453,159.129,0.2,16.911,83.122,35.286,62.197,115.314,121.073
