t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,71.689,0.217,758.17,835.864,0.2,2.285,43.659,35.813,39.205,676.843,800.103
0.1,71.477,0.217,728.699,816.26,0.2,3.926,43.542,31.37,36.215,659.534,689.066
0.2,32.109,0.174,428.538,463.571,0.2,3.29,43.337,28.102,32.948,386.114,432.234
0.30000000000000004,64.648,0.304,487.542,575.833,0.2,6.756,45.922,26.704,33.253,407.38,480.805
0.4,-1,0.0,-1,-1,0.2,5.029,38.814,26.598,33.026,-1,-1
0.5,-1,0.0,-1,-1,0.2,7.348,58.504,25.711,35.369,-1,-1
0.6,7.031,0.609,191.142,210.948,0.2,20.651,81.784,26.76,66.266,177.565,190.88
0.7,4.368,0.609,189.34,194.554,0.2,17.588,81.816,38.801,65.154,177.647,190.433
0.7999999999999999,16.627,0.478,240.308,257.388,0.2,17.6,79.335,38.402,59.193,193.288,242.336
0.8999999999999999,21.479,1.0,265.961,304.239,0.2,0.783,81.196,78.464,79.567,238.031,262.71
0.9999999999999999,22.81,1.0,276.471,302.912,0.2,1.151,80.899,77.268,78.927,219.239,283.528
1.0999999999999999,43.031,1.0,214.652,287.426,0.2,1.673,81.898,77.264,79.726,156.597,201.61
1.2,11.726,0.435,174.598,192.578,0.2,9.287,81.877,57.329,72.011,156.046,175.559
1.3,267.888,0.565,306.687,785.815,0.2,9.026,83.62,57.603,74.369,161.669,167.028
1.4000000000000001,6.927,1.0,170.195,183.384,0.2,2.397,82.894,75.468,77.918,161.827,167.585
1.5000000000000002,5.338,1.0,181.326,186.285,0.2,1.307,79.886,75.476,77.483,168.032,183.144
1.6000000000000003,5.113,1.0,179.949,186.247,0.2,0.948,80.86,77.865,79.739,169.467,181.232
1.7000000000000004,4.099,1.0,172.766,180.242,0.2,1.509,80.837,76.08,77.973,166.375,172.529
1.8000000000000005,3.327,0.478,172.481,177.221,0.2,13.222,78.628,46.779,62.589,166.466,173.137
1.9000000000000006,14.859,0.522,178.325,205.505,0.2,10.482,74.338,46.754,63.69,163.026,173.765
2.0000000000000004,11.706,1.0,161.423,186.133,0.2,0.907,73.721,70.105,71.934,142.053,159.99
2.1000000000000005,6.464,1.0,153.673,163.684,0.2,3.006,74.461,64.415,71.15,140.05,155.52
2.2000000000000006,3.327,0.522,158.703,163.775,0.2,12.103,74.86,45.904,62.814,153.157,159.399
2.3000000000000007,-1,0.0,-1,-1,0.2,9.41,55.348,29.973,42.963,-1,-1
2.400000000000001,2.759,0.174,229.952,233.678,0.2,14.933,75.406,30.05,40.534,227.148,229.466
2.500000000000001,4.44,0.391,233.433,240.232,0.2,14.446,80.579,37.621,66.784,227.714,233.676
2.600000000000001,10.75,0.348,241.812,259.684,0.2,15.18,80.972,37.418,61.697,230.874,238.791
2.700000000000001,15.176,0.826,225.004,258.108,0.2,2.374,82.592,73.822,80.45,201.19,221.65
2.800000000000001,18.265,0.826,199.369,220.747,0.2,7.879,81.647,53.511,72.47,167.658,204.894
2.9000000000000012,11.105,0.913,172.603,206.932,0.2,1.646,78.019,72.689,74.264,165.113,168.529
3.0000000000000013,2.62,0.739,169.791,174.507,0.2,5.008,79.512,62.643,75.523,165.889,170.024
3.1000000000000014,13.616,0.565,179.454,218.076,0.2,7.784,78.036,56.211,70.169,166.467,174.58
