t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,4.842,55.623,38.234,46.6,-1,-1
0.1,-1,0.0,-1,-1,0.2,5.007,55.644,40.891,48.647,-1,-1
0.2,105.991,0.087,607.183,682.13,0.2,5.352,56.886,41.341,47.874,532.236,607.183
0.30000000000000004,-1,0.0,-1,-1,0.2,6.224,56.881,35.544,43.023,-1,-1
0.4,-1,0.0,-1,-1,0.2,3.053,46.886,36.379,42.006,-1,-1
0.5,-1,0.0,-1,-1,0.2,5.978,62.291,42.01,49.274,-1,-1
0.6,-1,0.0,-1,-1,0.2,6.531,62.291,40.697,52.074,-1,-1
0.7,7.641,0.391,129.49,137.792,0.2,6.395,71.494,53.121,61.893,113.666,130.927
0.7999999999999999,9.399,0.913,136.206,145.262,0.2,2.981,78.997,67.331,72.44,112.966,139.947
0.8999999999999999,7.635,0.783,138.379,145.272,0.2,4.788,75.576,59.47,67.154,117.222,140.322
0.9999999999999999,8.724,0.304,130.77,139.492,0.2,4.629,63.763,49.055,56.15,116.167,133.883
1.0999999999999999,1.228,0.087,653.733,654.602,0.2,4.768,63.916,48.52,55.557,652.865,653.733
1.2,4.549,0.13,842.64,846.419,0.2,6.844,59.046,36.961,46.0,837.539,843.909
1.3,-1,0.0,-1,-1,0.2,1.679,46.163,39.893,42.745,-1,-1
1.4000000000000001,-1,0.0,-1,-1,0.2,7.977,63.595,40.024,47.927,-1,-1
1.5000000000000002,15.225,0.087,546.991,557.757,0.2,8.073,63.611,38.205,48.766,536.225,546.991
1.6000000000000003,11.138,0.087,826.996,834.871,0.2,4.476,51.3,38.142,42.704,819.12,826.996
1.7000000000000004,-1,0.0,-1,-1,0.2,3.764,47.881,34.266,41.089,-1,-1
1.8000000000000005,34.919,0.217,139.851,174.636,0.2,3.616,45.409,31.64,36.955,100.978,157.407
1.9000000000000006,-1,0.0,-1,-1,0.2,2.713,42.322,31.519,35.535,-1,-1
2.0000000000000004,5.847,0.348,115.731,121.661,0.2,13.373,68.779,32.388,54.311,105.067,117.139
2.1000000000000005,3.803,0.957,114.268,122.799,0.2,1.695,70.193,64.587,68.932,104.965,114.075
2.2000000000000006,1.245,1.0,111.755,114.228,0.2,0.903,69.997,67.521,68.68,110.417,111.631
2.3000000000000007,0.644,1.0,110.525,112.353,0.2,0.644,67.818,65.633,67.214,109.046,110.489
2.400000000000001,2.371,1.0,109.754,112.55,0.2,1.461,67.492,61.837,66.271,103.939,110.051
