t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,52.3,0.652,772.037,848.86,0.2,3.35,46.384,34.425,42.075,660.197,780.56
0.1,76.412,0.522,725.983,783.761,0.2,4.122,46.471,32.606,40.167,573.338,765.073
0.2,57.498,0.565,739.047,837.69,0.2,2.456,41.408,32.241,36.155,649.86,732.248
0.30000000000000004,256.695,0.826,381.848,832.098,0.2,6.339,51.495,33.729,46.246,194.818,222.681
0.4,16.412,0.565,214.996,233.464,0.2,6.565,58.712,37.939,47.468,196.784,206.945
0.5,9.521,0.87,238.383,260.432,0.2,3.702,58.955,44.569,56.423,227.942,234.376
0.6,11.325,1.0,257.089,272.951,0.2,1.499,60.561,55.449,57.469,237.642,257.248
0.7,22.374,1.0,243.53,273.031,0.2,4.148,68.727,56.723,60.428,203.621,249.448
0.7999999999999999,14.902,0.522,215.36,238.553,0.2,7.118,68.785,50.199,57.906,188.442,218.15
0.8999999999999999,2.606,0.391,208.847,215.568,0.2,3.188,58.224,50.165,53.622,207.043,208.214
0.9999999999999999,5.1,1.0,213.499,220.747,0.2,5.54,71.076,57.173,64.041,207.134,212.147
1.0999999999999999,5.122,1.0,215.169,220.803,0.2,2.943,71.045,63.281,66.596,202.72,216.257
1.2,11.714,1.0,198.054,215.83,0.2,3.021,64.212,55.293,61.115,180.626,194.475
1.3,142.684,0.739,230.992,609.457,0.2,4.832,61.228,45.712,54.567,157.097,185.567
1.4000000000000001,223.737,0.304,341.896,667.855,0.2,5.179,65.786,46.196,53.135,163.679,223.74
1.5000000000000002,6.92,0.783,229.008,238.954,0.2,6.066,68.973,48.121,62.498,221.873,224.358
1.6000000000000003,8.32,1.0,236.575,248.82,0.2,3.269,63.146,51.903,59.418,217.663,237.722
1.7000000000000004,129.947,0.609,331.418,574.395,0.2,6.46,63.178,43.907,51.413,235.163,247.024
1.8000000000000005,145.778,0.348,350.492,567.678,0.2,6.524,59.959,35.378,45.126,212.898,322.807
1.9000000000000006,20.988,0.261,209.33,235.432,0.2,11.181,76.78,38.423,59.608,186.01,209.481
2.0000000000000004,5.314,0.391,205.67,213.279,0.2,10.823,74.833,37.026,53.876,198.801,204.117
2.1000000000000005,10.73,0.783,201.863,233.468,0.2,6.461,59.762,38.169,50.606,183.222,199.938
2.2000000000000006,180.261,0.522,230.563,801.622,0.2,8.598,64.024,38.342,50.919,165.852,174.677
2.3000000000000007,6.579,0.913,162.996,178.77,0.2,2.887,62.699,54.189,59.923,155.621,161.297
2.400000000000001,2.016,1.0,156.448,159.736,0.2,2.456,61.82,54.381,58.479,152.264,156.946
2.500000000000001,177.956,0.652,204.995,848.133,0.2,4.361,59.636,43.606,55.175,153.29,157.843
2.600000000000001,5.293,0.087,830.149,833.891,0.2,8.849,57.138,30.323,39.917,826.406,830.149
2.700000000000001,2.874,0.478,173.248,176.443,0.2,13.306,65.844,31.133,52.615,167.335,174.461
2.800000000000001,4.211,0.739,174.753,179.942,0.2,7.778,65.784,40.987,51.552,165.849,175.006
2.9000000000000012,316.918,0.174,343.09,818.327,0.2,13.2,70.298,34.458,48.807,178.56,187.736
3.0000000000000013,4.524,0.652,204.941,210.104,0.2,4.5,70.405,55.189,61.759,193.853,205.271
3.1000000000000014,2.06,0.522,207.174,210.383,0.2,8.995,62.3,37.806,52.512,204.398,207.476
3.2000000000000015,21.968,0.652,461.325,496.357,0.2,2.281,44.61,36.828,40.734,418.188,459.419
3.3000000000000016,0.212,0.087,479.732,479.882,0.2,5.121,53.087,31.698,38.295,479.583,479.732
3.4000000000000017,2.699,0.348,179.394,184.355,0.2,9.541,61.008,34.292,53.269,175.355,179.206
3.5000000000000018,10.38,0.261,192.305,201.528,0.2,9.834,73.996,44.603,58.352,178.018,197.492
3.600000000000002,152.886,0.783,234.296,846.868,0.2,5.365,73.943,55.812,65.591,194.493,198.319
3.700000000000002,4.08,1.0,195.01,200.762,0.2,3.634,65.519,55.662,61.708,185.423,195.426
3.800000000000002,11.583,1.0,179.365,195.164,0.2,1.219,65.542,62.031,63.673,164.299,178.87
3.900000000000002,1.961,1.0,166.544,171.81,0.2,4.729,63.222,51.054,57.887,163.142,166.154
4.000000000000002,4.132,1.0,162.556,168.393,0.2,1.89,57.654,51.031,53.25,154.8,162.772
4.100000000000001,2.985,1.0,157.837,162.774,0.2,3.964,63.576,52.129,59.618,154.169,157.91
4.200000000000001,2.301,0.609,154.55,158.849,0.2,10.391,63.833,35.685,55.451,150.068,154.915
4.300000000000001,-1,0.043,150.672,150.672,0.2,3.552,50.08,34.872,38.981,150.672,150.672
4.4,-1,0.0,-1,-1,0.2,1.355,42.411,37.776,41.254,-1,-1
4.5,-1,0.0,-1,-1,0.2,1.182,42.703,38.631,41.288,-1,-1
4.6,68.244,0.348,624.16,732.79,0.2,2.837,41.42,31.492,36.449,566.35,595.146
4.699999999999999,-1,0.0,-1,-1,0.2,6.572,54.706,30.776,36.526,-1,-1
4.799999999999999,1.57,0.609,190.222,192.559,0.2,10.838,66.228,33.314,56.536,185.657,190.272
4.899999999999999,226.937,0.826,285.443,827.55,0.2,5.384,64.717,48.031,56.652,184.244,191.136
4.999999999999998,316.65,0.739,521.75,846.422,0.2,4.96,63.926,47.947,54.707,179.186,729.312
5.099999999999998,216.863,0.957,277.833,850.227,0.2,1.823,63.994,57.194,60.952,185.782,192.091
