t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.627,50.032,47.79,48.661,-1,-1
0.1,4.571,0.13,110.796,115.285,0.2,2.626,55.841,48.411,50.926,106.147,110.956
0.2,3.732,0.391,110.901,115.869,0.2,2.495,57.352,49.951,54.357,104.913,112.044
0.30000000000000004,8.724,0.478,126.017,136.284,0.2,5.485,64.798,49.988,55.736,109.123,125.986
0.4,7.855,1.0,137.69,146.318,0.2,2.897,69.419,60.989,66.786,125.314,140.405
0.5,5.115,1.0,141.668,146.389,0.2,1.162,69.63,64.788,68.365,128.583,143.351
0.6,13.915,1.0,123.169,143.463,0.2,1.993,69.387,62.856,65.093,104.246,121.906
0.7,3.918,0.652,107.142,114.841,0.2,2.479,64.617,56.524,61.811,100.201,106.75
0.7999999999999999,263.403,0.478,516.629,689.886,0.2,3.643,62.307,49.5,54.583,100.012,655.691
0.8999999999999999,309.839,0.783,274.487,846.535,0.2,5.904,66.545,49.646,58.999,111.553,113.645
0.9999999999999999,3.337,1.0,110.711,113.777,0.2,0.931,66.859,63.578,65.973,103.611,112.243
1.0999999999999999,3.275,1.0,104.794,112.075,0.2,1.393,66.514,61.82,63.859,101.0,103.675
1.2,1.19,0.522,101.847,103.547,0.2,0.688,63.71,61.43,62.445,99.733,101.787
1.3,84.343,0.391,764.651,864.929,0.2,3.075,62.258,53.078,58.942,647.231,824.204
1.4000000000000001,311.237,0.87,462.158,856.091,0.2,3.894,62.102,50.227,57.447,129.428,653.054
1.5000000000000002,3.708,1.0,131.663,137.964,0.2,0.724,62.958,60.025,61.888,121.947,132.563
1.6000000000000003,7.554,0.522,126.373,133.986,0.2,4.017,62.497,51.215,56.395,111.322,128.202
1.7000000000000004,4.552,0.304,106.464,112.336,0.2,4.311,61.767,49.52,55.394,100.729,105.61
1.8000000000000005,3.776,0.304,103.506,108.799,0.2,5.107,62.323,49.489,54.715,99.952,101.121
1.9000000000000006,3.662,0.174,105.149,109.21,0.2,4.227,62.304,49.037,58.537,100.761,105.313
2.0000000000000004,15.156,0.174,572.211,589.83,0.2,4.866,62.899,48.814,55.735,553.809,572.603
2.1000000000000005,27.032,0.739,611.027,641.724,0.2,1.051,63.12,59.286,61.934,560.505,623.267
2.2000000000000006,73.066,1.0,547.672,641.404,0.2,2.555,62.281,55.5,58.775,457.546,544.861
2.3000000000000007,11.313,0.478,472.812,495.481,0.2,1.933,56.449,49.494,54.168,456.176,472.705
2.400000000000001,-1,0.0,-1,-1,0.2,2.223,53.911,45.336,49.968,-1,-1
2.500000000000001,-1,0.0,-1,-1,0.2,0.568,50.041,47.753,48.974,-1,-1
2.600000000000001,-1,0.0,-1,-1,0.2,0.537,49.927,47.87,48.814,-1,-1
2.700000000000001,-1,0.0,-1,-1,0.2,0.315,49.163,48.043,48.67,-1,-1
2.800000000000001,-1,0.0,-1,-1,0.2,1.301,53.828,47.679,49.232,-1,-1
2.9000000000000012,51.16,0.348,696.041,758.16,0.2,6.003,64.149,47.773,58.096,621.569,700.608
3.0000000000000013,9.1,0.13,739.427,747.908,0.2,4.855,62.503,48.828,55.919,729.814,740.559
3.1000000000000014,19.675,0.174,596.307,620.107,0.2,5.931,63.206,48.948,58.319,572.672,596.224
3.2000000000000015,67.493,0.652,667.574,748.999,0.2,2.264,63.223,56.225,60.927,561.857,658.381
3.3000000000000016,13.209,0.261,731.771,748.479,0.2,1.862,60.2,52.888,55.878,713.963,734.672
3.4000000000000017,-1,0.0,-1,-1,0.2,2.555,56.17,49.117,53.052,-1,-1
3.5000000000000018,-1,0.0,-1,-1,0.2,0.651,50.157,48.077,48.973,-1,-1
3.600000000000002,-1,0.0,-1,-1,0.2,0.495,49.697,47.925,48.744,-1,-1
3.700000000000002,2.382,0.087,116.265,117.949,0.2,2.654,58.097,47.66,49.777,114.581,116.265
3.800000000000002,6.247,0.609,110.245,117.854,0.2,4.889,63.184,48.941,58.543,100.286,111.885
3.900000000000002,4.444,0.478,106.395,113.604,0.2,1.396,64.029,59.359,61.504,100.072,105.167
4.000000000000002,-1,0.0,-1,-1,0.2,2.804,61.097,51.12,57.004,-1,-1
4.100000000000001,-1,0.0,-1,-1,0.2,1.798,56.656,48.839,52.254,-1,-1
4.200000000000001,-1,0.043,101.649,101.649,0.2,1.502,53.499,48.053,49.654,101.649,101.649
4.300000000000001,-1,0.0,-1,-1,0.2,0.463,49.652,47.505,48.215,-1,-1
4.4,-1,0.0,-1,-1,0.2,0.558,49.326,47.284,48.473,-1,-1
4.5,-1,0.0,-1,-1,0.2,0.571,49.315,47.435,48.291,-1,-1
4.6,-1,0.0,-1,-1,0.2,0.485,49.605,47.889,48.614,-1,-1
4.699999999999999,-1,0.0,-1,-1,0.2,0.379,49.245,47.769,48.603,-1,-1
4.799999999999999,-1,0.0,-1,-1,0.2,0.546,49.248,47.215,48.604,-1,-1
4.899999999999999,-1,0.0,-1,-1,0.2,0.665,49.41,47.047,48.136,-1,-1
4.999999999999998,-1,0.0,-1,-1,0.2,0.837,50.35,47.242,48.758,-1,-1
5.099999999999998,-1,0.0,-1,-1,0.2,0.71,50.426,47.55,48.796,-1,-1
5.1999999999999975,-1,0.0,-1,-1,0.2,0.649,50.309,47.324,48.79,-1,-1
5.299999999999997,-1,0.0,-1,-1,0.2,0.643,50.285,48.331,49.325,-1,-1
5.399999999999997,46.398,0.13,511.993,565.562,0.2,4.161,59.96,48.819,53.834,484.448,485.971
5.4999999999999964,223.638,0.435,737.086,860.923,0.2,3.343,59.943,50.204,55.236,114.126,829.972
5.599999999999996,290.085,0.913,306.18,756.087,0.2,5.313,63.492,49.938,58.661,102.916,107.993
5.699999999999996,6.179,1.0,110.804,124.732,0.2,1.416,66.427,61.171,63.747,102.93,109.408
5.799999999999995,8.903,1.0,126.496,139.092,0.2,1.76,66.971,60.675,65.205,113.856,129.266
