t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.837,40.76,37.672,39.115,-1,-1
0.1,-1,0.0,-1,-1,0.2,1.698,43.11,37.78,40.69,-1,-1
0.2,1.731,0.087,774.241,775.466,0.2,2.611,46.586,37.4,41.105,773.017,774.241
0.30000000000000004,51.271,0.217,710.25,801.815,0.2,2.566,46.736,39.136,42.7,683.602,689.812
0.4,15.228,0.087,813.2,823.967,0.2,0.956,42.669,39.299,41.081,802.432,813.2
0.5,-1,0.0,-1,-1,0.2,1.277,43.962,39.504,41.995,-1,-1
0.6,-1,0.0,-1,-1,0.2,1.05,42.764,38.858,40.889,-1,-1
0.7,8.893,0.435,222.986,247.99,0.2,7.447,58.167,38.692,48.398,218.307,220.497
0.7999999999999999,6.573,1.0,221.27,240.981,0.2,5.132,59.063,44.987,54.38,212.337,220.322
0.8999999999999999,34.464,1.0,258.214,310.008,0.2,5.886,60.18,44.821,54.502,212.16,267.78
0.9999999999999999,20.849,1.0,311.734,342.25,0.2,3.957,60.241,49.598,54.008,270.957,315.35
1.0999999999999999,22.101,1.0,312.392,342.172,0.2,4.01,61.121,49.742,55.887,271.477,318.219
1.2,29.523,1.0,260.838,311.159,0.2,2.643,62.821,55.004,59.941,222.291,260.546
1.3,5.68,1.0,231.894,250.762,0.2,5.197,66.49,50.276,59.142,223.163,231.05
1.4000000000000001,16.596,0.783,242.698,268.094,0.2,6.626,63.296,43.889,51.87,224.22,233.22
1.5000000000000002,4.437,0.826,260.12,268.148,0.2,5.326,63.703,43.787,60.097,251.768,259.279
1.6000000000000003,7.161,1.0,249.436,258.934,0.2,0.922,64.245,61.148,62.387,237.824,250.127
1.7000000000000004,5.55,1.0,238.524,247.47,0.2,0.956,64.736,61.502,63.129,227.665,238.504
1.8000000000000005,4.34,1.0,233.246,240.548,0.2,2.132,62.983,56.809,60.076,226.601,233.328
1.9000000000000006,4.864,0.565,234.665,240.292,0.2,6.595,61.3,45.654,53.137,226.467,235.742
2.0000000000000004,16.046,0.565,234.049,262.989,0.2,8.112,63.752,43.669,54.093,212.372,233.139
2.1000000000000005,12.518,1.0,215.134,244.456,0.2,2.45,63.796,56.648,60.177,202.785,208.199
2.2000000000000006,7.346,1.0,204.881,218.07,0.2,3.769,60.595,50.115,56.407,186.054,206.004
2.3000000000000007,14.734,1.0,218.278,233.007,0.2,4.919,60.487,47.54,54.966,187.945,224.511
2.400000000000001,7.847,0.783,232.261,256.144,0.2,4.154,56.376,39.665,45.473,217.508,231.518
2.500000000000001,10.104,0.739,232.68,256.07,0.2,6.701,59.857,39.747,49.832,216.018,232.313
2.600000000000001,9.257,0.348,229.181,241.713,0.2,4.376,53.144,38.383,44.907,214.832,229.805
2.700000000000001,5.383,0.652,229.259,240.293,0.2,8.24,63.724,39.778,55.787,222.272,228.519
2.800000000000001,3.937,1.0,224.485,231.519,0.2,5.187,59.901,47.131,55.615,215.561,224.819
2.9000000000000012,7.45,1.0,228.872,254.928,0.2,7.197,63.436,45.98,53.487,217.507,226.779
3.0000000000000013,10.989,1.0,219.322,248.939,0.2,1.609,66.651,61.903,64.66,207.775,215.165
3.1000000000000014,7.587,1.0,204.61,212.248,0.2,2.657,65.803,57.905,61.601,185.274,208.278
3.2000000000000015,7.898,0.783,193.293,208.518,0.2,7.214,62.937,43.774,54.951,181.779,191.217
3.3000000000000016,2.657,0.739,187.119,192.044,0.2,7.375,63.061,43.802,55.002,182.678,187.378
3.4000000000000017,2.611,1.0,187.459,192.037,0.2,4.836,61.596,45.241,53.729,182.444,187.604
3.5000000000000018,2.017,0.435,188.522,191.842,0.2,3.111,52.279,40.532,44.116,185.588,188.305
3.600000000000002,9.499,0.391,244.928,269.484,0.2,10.537,63.393,37.721,49.344,237.674,242.248
3.700000000000002,9.413,0.957,251.39,267.59,0.2,0.872,64.601,61.289,63.017,238.194,249.642
3.800000000000002,9.105,1.0,268.5,283.229,0.2,2.017,64.589,58.362,61.681,251.352,269.655
3.900000000000002,11.024,1.0,287.95,300.866,0.2,1.415,60.512,55.746,58.69,269.744,287.927
4.000000000000002,23.527,1.0,282.855,305.65,0.2,5.416,61.899,44.423,56.385,230.402,289.23
4.100000000000001,28.625,0.348,260.552,297.644,0.2,5.077,56.813,37.797,43.318,231.448,259.331
4.200000000000001,15.465,0.609,210.28,235.207,0.2,10.943,64.947,38.113,54.675,190.848,207.551
4.300000000000001,17.448,1.0,184.631,217.067,0.2,1.897,63.647,56.159,60.776,156.637,182.955
4.4,13.326,1.0,154.472,179.937,0.2,3.683,60.53,48.1,55.216,137.476,149.809
4.5,5.29,1.0,143.351,154.122,0.2,1.427,52.326,47.856,49.948,135.865,142.571
4.6,4.514,0.435,140.822,147.849,0.2,4.126,50.466,37.456,44.708,135.364,140.579
4.699999999999999,-1,0.0,-1,-1,0.2,2.296,45.253,36.132,40.091,-1,-1
4.799999999999999,-1,0.0,-1,-1,0.2,2.083,44.423,36.172,40.648,-1,-1
4.899999999999999,-1,0.0,-1,-1,0.2,1.654,43.287,37.52,40.897,-1,-1
