t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,17.23,0.087,769.984,782.168,0.2,0.205,82.685,81.876,82.261,757.801,769.984
0.1,-1,0.0,-1,-1,0.2,0.279,82.852,81.862,82.201,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.226,82.703,81.943,82.356,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.549,83.513,81.659,82.567,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.494,83.492,81.63,82.49,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.229,82.857,82.138,82.473,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.557,83.617,82.037,82.809,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.367,83.608,82.369,82.944,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.307,82.903,81.793,82.427,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,0.177,82.641,81.931,82.259,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,0.215,82.644,81.863,82.371,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,0.253,83.199,82.371,82.756,-1,-1
1.2,-1,0.0,-1,-1,0.2,0.497,83.196,81.492,82.334,-1,-1
1.3,-1,0.0,-1,-1,0.2,0.321,82.835,81.836,82.344,-1,-1
1.4000000000000001,-1,0.0,-1,-1,0.2,0.476,83.596,81.866,82.692,-1,-1
1.5000000000000002,7.303,0.217,114.371,121.678,0.2,0.818,85.088,82.17,83.341,103.086,115.873
1.6000000000000003,5.732,0.826,116.57,123.864,0.2,1.699,86.808,82.197,84.564,101.43,118.231
1.7000000000000004,25.164,0.696,124.741,218.444,0.2,0.751,84.67,81.564,82.633,111.284,118.284
1.8000000000000005,6.438,0.609,198.322,205.919,0.2,1.758,86.964,82.323,85.206,189.92,202.505
1.9000000000000006,8.465,1.0,193.758,204.154,0.2,0.47,87.502,85.903,86.744,179.941,193.229
2.0000000000000004,12.991,1.0,174.346,195.239,0.2,0.728,89.087,86.703,87.62,147.379,176.339
2.1000000000000005,15.558,1.0,146.077,172.158,0.2,1.086,90.039,86.442,88.173,124.632,141.046
2.2000000000000006,6.535,0.522,129.36,137.22,0.2,1.703,90.037,84.767,86.794,120.104,129.275
2.3000000000000007,5.189,0.435,151.523,162.538,0.2,1.148,87.06,82.839,85.136,144.911,151.151
2.400000000000001,4.4,1.0,151.786,161.918,0.2,0.528,85.926,84.328,84.916,143.294,152.244
