t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,21.199,0.696,615.404,670.334,0.2,1.281,84.669,79.958,82.453,588.427,610.423
0.1,14.916,0.87,609.831,635.197,0.2,0.803,83.81,80.699,82.628,580.652,608.227
0.2,15.329,0.913,610.967,650.15,0.2,1.074,84.378,80.276,82.533,579.98,608.153
0.30000000000000004,13.495,0.739,617.216,638.046,0.2,1.362,85.078,80.197,82.559,588.802,616.958
0.4,20.994,0.826,627.021,676.857,0.2,1.074,84.447,80.434,82.617,594.289,621.218
0.5,19.857,0.826,619.953,663.453,0.2,1.143,85.264,80.346,82.801,589.651,616.294
0.6,39.942,0.87,637.391,748.539,0.2,0.738,85.259,82.166,83.231,595.09,624.964
0.7,49.383,0.957,648.59,739.859,0.2,0.703,84.38,81.344,83.035,593.265,624.739
0.7999999999999999,19.731,0.957,614.688,668.816,0.2,1.015,84.95,81.312,83.277,588.538,608.456
0.8999999999999999,18.231,0.957,610.186,665.802,0.2,0.937,85.082,81.846,83.31,587.473,606.707
0.9999999999999999,22.676,0.739,627.395,657.435,0.2,2.043,86.952,79.377,83.192,592.581,632.484
1.0999999999999999,209.867,0.783,406.108,747.511,0.2,2.591,88.533,80.805,85.615,270.625,279.165
1.2,25.283,1.0,300.16,337.082,0.2,1.708,91.75,87.097,89.818,270.537,301.033
1.3,10.403,1.0,326.68,337.81,0.2,0.776,91.903,89.109,91.113,302.017,328.489
1.4000000000000001,29.411,1.0,294.575,336.236,0.2,1.476,91.355,86.164,89.096,246.955,294.506
1.5000000000000002,18.633,0.913,249.5,288.762,0.2,1.248,90.696,85.986,88.18,228.779,243.73
1.6000000000000003,9.737,0.522,228.734,236.409,0.2,2.457,89.501,81.408,85.351,203.111,231.113
1.7000000000000004,17.7,0.739,189.463,233.844,0.2,2.391,89.862,81.069,86.797,174.622,181.873
1.8000000000000005,3.094,0.696,179.455,184.632,0.2,1.085,86.926,83.447,85.394,174.224,179.7
1.9000000000000006,280.312,0.609,321.13,843.256,0.2,0.907,86.375,83.514,84.95,176.218,180.925
2.0000000000000004,224.038,0.696,680.181,857.533,0.2,1.315,86.365,81.571,84.188,176.014,819.816
2.1000000000000005,14.607,0.565,611.903,638.478,0.2,1.11,85.346,81.741,83.524,590.555,605.348
2.2000000000000006,176.089,0.609,363.966,646.085,0.2,1.826,87.403,82.009,84.742,246.386,262.211
2.3000000000000007,22.364,1.0,235.426,276.958,0.2,2.026,92.398,86.534,89.309,199.019,237.096
2.400000000000001,13.377,1.0,200.052,227.319,0.2,2.074,91.464,84.896,87.197,186.177,193.995
2.500000000000001,212.409,0.957,396.907,647.459,0.2,1.458,85.976,80.991,84.166,186.559,387.132
2.600000000000001,21.653,0.913,606.384,655.195,0.2,1.998,86.189,79.051,83.081,575.698,600.473
2.700000000000001,11.49,0.739,604.436,635.814,0.2,2.091,86.231,79.174,83.069,583.739,602.266
2.800000000000001,165.544,0.913,497.064,615.003,0.2,2.78,90.259,80.724,84.71,235.64,592.42
2.9000000000000012,104.983,0.957,269.86,603.359,0.2,1.774,90.508,84.896,87.832,230.026,236.579
3.0000000000000013,15.396,1.0,221.936,239.653,0.2,1.952,90.944,84.959,88.777,193.709,226.723
3.1000000000000014,14.764,1.0,191.638,222.078,0.2,1.665,90.97,86.852,88.773,175.601,188.27
3.2000000000000015,133.485,0.826,223.115,610.766,0.2,1.622,87.763,82.216,86.076,174.438,178.689
3.3000000000000016,207.09,0.652,509.946,718.141,0.2,0.886,84.864,81.928,83.647,179.433,611.52
3.4000000000000017,21.24,0.609,618.328,654.609,0.2,1.85,85.387,78.966,83.249,587.14,615.225
3.5000000000000018,193.375,0.783,332.329,608.163,0.2,0.86,86.272,83.048,84.934,183.484,203.997
3.600000000000002,9.146,0.696,201.222,218.128,0.2,1.94,87.398,81.614,84.878,184.293,202.37
3.700000000000002,4.179,0.913,203.505,216.14,0.2,2.319,90.231,82.504,87.542,197.354,202.447
3.800000000000002,178.05,0.913,309.759,631.482,0.2,3.28,90.229,81.994,86.064,200.343,203.785
3.900000000000002,152.234,0.913,354.504,631.17,0.2,1.716,87.413,81.529,84.774,235.772,278.494
4.000000000000002,15.234,1.0,289.287,303.864,0.2,3.488,91.922,81.372,88.923,240.692,294.125
4.100000000000001,23.261,1.0,289.63,305.778,0.2,3.536,91.92,82.775,87.872,234.746,298.804
4.200000000000001,39.192,1.0,236.696,301.669,0.2,1.83,88.126,82.673,85.129,199.199,214.823
4.300000000000001,169.926,0.87,282.512,625.084,0.2,1.762,88.199,83.046,85.523,183.178,202.293
4.4,213.034,0.783,425.21,647.648,0.2,1.336,85.569,80.272,83.872,179.579,588.938
4.5,191.355,0.696,331.066,625.31,0.2,2.202,88.517,80.618,85.366,178.787,216.454
4.6,10.975,0.87,212.816,245.764,0.2,1.802,88.563,83.097,85.22,194.303,212.462
4.699999999999999,14.725,0.826,190.092,215.588,0.2,1.699,88.428,83.398,86.308,173.345,185.38
4.799999999999999,3.784,1.0,177.938,190.411,0.2,1.494,88.403,82.706,85.587,173.288,176.971
4.899999999999999,214.584,0.826,339.468,630.462,0.2,1.254,85.604,81.114,83.872,176.808,181.767
4.999999999999998,20.306,0.783,611.063,662.35,0.2,1.031,84.548,80.719,82.844,578.412,608.395
5.099999999999998,21.509,0.783,612.424,659.635,0.2,0.806,84.076,81.109,82.801,582.881,608.023
5.1999999999999975,196.531,0.913,338.385,629.253,0.2,1.393,86.087,82.195,84.131,191.101,206.857
5.299999999999997,4.833,1.0,197.511,210.477,0.2,0.87,87.926,85.2,86.281,189.621,197.292
5.399999999999997,11.817,1.0,203.375,229.637,0.2,1.645,89.959,84.239,87.527,189.987,199.604
5.4999999999999964,24.768,0.913,237.969,275.264,0.2,2.355,91.656,83.88,88.995,204.919,235.592
5.599999999999996,188.132,0.609,443.532,724.719,0.2,1.616,88.945,83.132,84.589,250.892,433.379
5.699999999999996,38.037,0.87,632.328,702.716,0.2,0.506,84.379,82.53,83.56,582.881,625.37
5.799999999999995,28.511,0.826,633.235,718.798,0.2,0.662,84.576,82.228,83.316,608.86,621.426
5.899999999999995,191.623,0.87,493.145,688.075,0.2,2.806,89.796,82.13,85.537,205.976,597.481
5.999999999999995,12.606,1.0,208.366,239.325,0.2,1.277,89.658,85.133,87.885,197.189,204.644
6.099999999999994,3.043,0.957,201.363,204.909,0.2,1.08,88.155,84.741,86.42,192.288,202.058
6.199999999999994,161.738,0.783,271.566,625.444,0.2,1.664,89.418,83.351,86.217,188.259,203.483
6.299999999999994,212.074,0.87,399.792,628.393,0.2,2.714,91.604,83.407,86.565,175.383,396.53
6.399999999999993,133.612,0.348,685.491,848.76,0.2,2.806,91.645,82.5,85.575,577.641,592.923
6.499999999999993,284.752,0.652,417.747,848.776,0.2,1.075,86.47,82.384,84.372,167.441,186.54
6.5999999999999925,138.3,0.826,221.78,627.731,0.2,1.425,86.47,81.173,84.237,167.272,171.001
6.699999999999992,217.188,0.391,458.959,607.447,0.2,1.314,86.542,82.066,84.197,167.497,603.665
6.799999999999992,15.116,0.826,606.361,659.374,0.2,1.241,86.532,81.923,83.576,584.94,605.423
6.8999999999999915,17.398,0.739,608.538,641.305,0.2,0.958,85.221,82.228,83.398,574.531,606.826
6.999999999999991,21.811,0.739,610.748,678.903,0.2,1.178,85.215,80.72,83.368,565.409,609.02
7.099999999999991,10.794,0.87,602.456,623.153,0.2,1.046,85.073,80.865,83.192,580.953,601.855
7.19999999999999,160.609,0.87,512.999,621.415,0.2,2.12,88.569,81.167,83.616,240.082,599.233
7.29999999999999,164.453,0.696,313.19,692.414,0.2,2.261,89.831,83.155,86.341,221.815,240.427
7.39999999999999,8.751,0.652,227.942,245.709,0.2,2.283,90.215,83.493,86.225,215.797,226.842
7.499999999999989,11.864,0.826,229.647,245.444,0.2,2.592,90.295,82.774,86.647,203.021,234.137
7.599999999999989,15.145,1.0,254.33,276.656,0.2,0.521,91.25,89.198,90.491,235.249,252.211
7.699999999999989,16.17,1.0,257.43,276.795,0.2,2.611,91.238,83.309,88.141,231.612,264.744
7.799999999999988,23.782,1.0,218.134,257.146,0.2,1.661,89.173,83.673,87.219,180.447,228.474
7.899999999999988,125.616,0.87,226.988,595.29,0.2,2.162,88.186,80.909,85.738,172.179,182.279
7.999999999999988,199.102,0.826,496.308,698.419,0.2,1.604,85.799,80.329,83.168,171.464,595.909
8.099999999999987,214.137,0.696,477.682,669.367,0.2,1.869,87.195,80.336,83.448,168.624,597.911
8.199999999999987,228.737,0.609,425.819,651.129,0.2,1.052,86.197,81.605,83.521,168.662,592.139
8.299999999999986,17.633,0.739,612.841,650.214,0.2,0.711,84.62,81.953,83.41,589.297,612.809
8.399999999999986,16.888,0.783,608.242,649.434,0.2,1.468,84.998,79.933,83.071,586.484,603.26
8.499999999999986,11.466,0.826,608.544,634.326,0.2,1.638,86.129,79.205,83.632,592.587,606.342
8.599999999999985,11.066,0.913,607.22,634.551,0.2,0.94,84.777,81.415,83.299,590.763,605.888
8.699999999999985,184.927,0.739,478.383,655.907,0.2,1.922,88.485,81.033,83.975,231.134,598.579
8.799999999999985,10.984,0.696,224.223,238.13,0.2,3.742,92.645,81.093,89.188,204.468,225.356
8.899999999999984,207.544,0.783,460.718,747.941,0.2,2.983,92.385,83.819,86.487,203.895,588.837
8.999999999999984,220.497,0.87,392.934,726.67,0.2,0.95,86.687,82.953,85.071,175.284,380.089
9.099999999999984,209.264,0.913,415.06,614.183,0.2,1.392,86.748,81.833,84.772,175.019,561.858
9.199999999999983,30.768,0.739,605.848,703.676,0.2,1.383,86.764,82.221,84.035,559.09,597.97
9.299999999999983,25.579,0.739,628.948,698.896,0.2,0.926,85.686,82.059,83.347,591.315,625.897
9.399999999999983,198.114,0.652,490.86,655.28,0.2,2.979,91.014,82.273,85.676,212.971,620.317
9.499999999999982,35.026,0.348,244.556,295.665,0.2,2.087,90.743,82.817,84.852,211.878,225.653
9.599999999999982,5.412,0.696,276.867,293.334,0.2,2.345,90.148,82.992,86.885,270.637,276.211
9.699999999999982,2.991,1.0,271.406,276.874,0.2,0.817,88.882,86.246,87.354,267.415,270.74
9.799999999999981,120.914,0.957,311.714,629.677,0.2,1.615,88.911,83.669,86.6,239.191,268.802
9.89999999999998,14.46,0.826,253.506,283.284,0.2,1.986,89.395,83.697,86.325,230.332,253.386
9.99999999999998,21.454,1.0,225.322,264.24,0.2,1.208,88.658,84.688,87.095,195.547,221.259
10.09999999999998,13.206,1.0,192.605,215.791,0.2,1.193,88.458,84.602,86.072,173.152,195.915
10.19999999999998,179.076,0.957,270.371,597.64,0.2,2.284,90.342,84.095,87.197,167.723,176.134
10.29999999999998,28.938,0.913,605.238,727.963,0.2,0.896,86.329,82.11,84.003,590.536,598.762
10.399999999999979,17.412,0.652,607.953,644.223,0.2,0.994,84.507,81.08,83.319,583.995,604.759
10.499999999999979,9.618,0.957,599.869,619.792,0.2,0.828,84.302,81.604,83.041,581.378,602.804
10.599999999999978,7.987,1.0,600.909,618.409,0.2,0.795,84.271,81.749,82.972,582.629,600.518
10.699999999999978,31.37,0.783,616.931,723.79,0.2,0.928,84.118,80.313,82.912,595.012,605.337
10.799999999999978,214.128,0.783,336.548,715.546,0.2,1.647,87.419,81.124,84.487,174.507,199.474
10.899999999999977,8.535,0.826,193.681,202.756,0.2,2.03,89.175,82.153,85.251,174.836,197.673
10.999999999999977,1.749,1.0,197.726,202.254,0.2,2.873,90.712,82.056,87.701,195.026,197.653
11.099999999999977,133.732,0.913,278.161,607.25,0.2,2.391,89.712,81.864,85.213,195.733,244.952
11.199999999999976,12.853,1.0,261.674,276.791,0.2,2.444,91.632,84.106,87.684,234.63,259.939
11.299999999999976,4.607,0.957,278.211,285.66,0.2,1.829,92.026,86.091,90.555,272.301,277.117
11.399999999999975,168.648,0.652,413.551,659.59,0.2,2.205,91.076,83.605,85.865,270.138,285.38
11.499999999999975,23.04,0.348,617.444,649.198,0.2,1.009,85.664,82.33,84.297,572.543,623.897
11.599999999999975,3.108,0.435,199.423,204.303,0.2,2.01,88.049,81.771,84.761,194.137,199.156
11.699999999999974,5.298,1.0,203.485,214.301,0.2,1.658,88.415,83.239,86.329,194.121,201.597
11.799999999999974,6.515,0.87,206.281,221.272,0.2,1.592,87.789,82.759,85.326,199.459,204.683
11.899999999999974,14.822,0.783,195.028,220.253,0.2,1.541,90.121,84.221,86.585,171.167,199.427
