t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,7.186,0.087,503.081,508.162,0.2,0.521,82.787,81.013,82.061,497.999,503.081
0.1,14.092,0.174,521.283,533.065,0.2,0.811,83.126,80.294,81.783,501.165,525.391
0.2,10.304,0.087,586.276,593.562,0.2,0.447,82.394,80.814,81.537,578.99,586.276
0.30000000000000004,-1,0.0,-1,-1,0.2,0.346,82.564,81.246,81.832,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.413,82.664,81.317,81.954,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.437,82.478,80.539,81.721,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.481,82.052,80.361,81.471,-1,-1
0.7,-1,0.043,532.498,532.498,0.2,0.331,82.335,81.072,81.731,532.498,532.498
0.7999999999999999,20.014,0.13,552.734,575.466,0.2,0.23,82.282,81.509,81.849,537.267,545.595
0.8999999999999999,1.543,0.348,125.33,128.012,0.2,0.693,83.802,81.627,82.492,122.782,125.233
0.9999999999999999,1.61,0.435,125.415,128.964,0.2,0.791,83.795,81.361,82.567,122.747,125.264
1.0999999999999999,4.771,0.478,154.55,161.687,0.2,1.571,86.37,81.351,83.103,143.207,154.384
1.2,3.783,1.0,157.439,162.752,0.2,0.845,86.571,83.521,84.699,149.611,157.933
1.3,11.907,0.826,149.523,162.167,0.2,0.604,85.577,83.521,84.817,129.458,144.921
1.4000000000000001,11.846,1.0,127.187,145.48,0.2,0.568,85.283,83.638,84.581,108.394,125.697
1.5000000000000002,6.465,0.739,110.221,121.252,0.2,0.98,85.811,82.686,84.056,100.196,109.041
1.6000000000000003,11.379,0.348,110.516,133.653,0.2,0.402,83.868,82.626,83.201,100.09,109.566
1.7000000000000004,2.733,0.696,118.036,122.226,0.2,0.634,84.732,82.619,83.762,114.221,118.108
1.8000000000000005,3.822,1.0,117.826,123.214,0.2,0.465,84.726,83.055,83.886,107.95,118.371
1.9000000000000006,6.576,0.826,109.349,119.361,0.2,0.656,84.038,81.906,83.045,100.531,109.83
2.0000000000000004,1.215,0.304,101.114,103.729,0.2,0.428,83.198,81.424,82.469,100.038,100.713
2.1000000000000005,-1,0.0,-1,-1,0.2,1.2,85.552,81.271,82.976,-1,-1
2.2000000000000006,4.077,0.391,122.761,130.662,0.2,0.595,84.514,82.706,83.515,118.067,121.418
2.3000000000000007,4.409,0.957,126.92,135.908,0.2,0.505,84.406,82.643,83.311,118.252,127.055
2.400000000000001,3.793,0.783,133.202,138.205,0.2,0.606,84.801,82.644,83.453,125.547,134.642
2.500000000000001,0.948,0.217,135.406,136.929,0.2,0.776,83.524,81.246,82.367,134.468,135.026
2.600000000000001,2.489,0.13,117.186,120.041,0.2,0.447,82.805,81.28,81.783,115.473,116.043
2.700000000000001,7.663,0.261,112.772,122.097,0.2,0.503,83.065,81.165,82.074,104.212,112.342
2.800000000000001,-1,0.0,-1,-1,0.2,1.256,84.844,81.219,82.453,-1,-1
2.9000000000000012,0.06,0.13,99.97,100.022,0.2,0.777,84.905,82.561,83.298,99.902,99.995
3.0000000000000013,0.015,0.087,99.756,99.767,0.2,0.337,83.217,82.072,82.603,99.746,99.756
3.1000000000000014,5.261,0.609,125.021,131.027,0.2,0.993,85.621,82.811,84.338,115.174,125.923
3.2000000000000015,250.227,0.957,371.555,668.839,0.2,0.466,86.44,84.897,85.656,123.103,344.209
3.3000000000000016,250.607,0.522,420.898,654.745,0.2,1.188,86.398,82.546,84.621,135.138,596.209
3.4000000000000017,2.467,0.174,138.774,142.308,0.2,0.595,83.604,81.684,82.4,136.587,138.1
3.5000000000000018,-1,0.043,100.042,100.042,0.2,1.652,85.655,81.041,82.669,100.042,100.042
3.600000000000002,-1,0.043,100.07,100.07,0.2,1.323,85.691,81.475,83.412,100.07,100.07
3.700000000000002,1.325,0.087,105.684,106.62,0.2,0.59,82.72,80.999,81.644,104.747,105.684
3.800000000000002,2.913,0.652,109.408,114.144,0.2,1.657,85.658,81.001,83.468,104.804,109.776
3.900000000000002,3.079,1.0,108.647,112.681,0.2,0.986,85.648,83.148,84.465,103.019,109.002
4.000000000000002,3.779,0.565,105.244,111.428,0.2,0.363,85.345,84.163,84.852,99.666,104.383
4.100000000000001,-1,0.0,-1,-1,0.2,0.68,84.684,82.524,83.735,-1,-1
4.200000000000001,-1,0.0,-1,-1,0.2,0.384,83.623,82.555,82.97,-1,-1
4.300000000000001,0.346,0.13,101.001,101.381,0.2,0.588,83.654,81.681,82.489,100.705,100.917
4.4,0.28,0.13,100.84,101.161,0.2,0.506,82.482,80.769,81.598,100.647,100.712
4.5,-1,0.0,-1,-1,0.2,0.621,82.629,80.777,81.991,-1,-1
4.6,-1,0.0,-1,-1,0.2,0.402,82.643,81.273,81.949,-1,-1
4.699999999999999,-1,0.0,-1,-1,0.2,0.166,81.998,81.47,81.717,-1,-1
4.799999999999999,9.574,0.217,815.173,830.353,0.2,0.52,82.341,80.466,81.594,803.29,813.743
4.899999999999999,15.941,0.087,442.071,453.343,0.2,0.423,82.266,80.398,80.973,430.799,442.071
4.999999999999998,159.002,0.565,188.393,488.068,0.2,1.233,84.446,80.758,82.912,103.098,104.479
5.099999999999998,2.272,0.565,103.886,110.116,0.2,0.92,85.982,82.87,84.018,100.878,103.878
5.1999999999999975,0.875,0.348,112.26,113.356,0.2,1.06,85.971,82.32,84.253,110.989,112.327
5.299999999999997,3.41,0.913,113.891,120.613,0.2,1.159,84.705,81.535,83.312,109.186,113.13
5.399999999999997,10.684,1.0,126.034,145.782,0.2,0.614,83.918,81.711,83.161,111.885,123.806
5.4999999999999964,6.874,1.0,142.524,149.965,0.2,0.435,83.925,82.509,83.238,126.042,145.029
5.599999999999996,10.336,1.0,138.02,149.999,0.2,0.805,84.867,82.528,83.758,118.654,139.922
5.699999999999996,6.725,0.435,127.473,137.054,0.2,1.516,84.732,80.796,82.498,118.764,126.662
5.799999999999995,0.754,0.304,101.958,103.179,0.2,1.212,84.393,80.78,82.585,101.133,101.555
5.899999999999995,0.885,0.652,100.651,103.173,0.2,0.495,84.396,82.937,83.657,99.829,100.221
5.999999999999995,0.245,0.348,100.215,100.707,0.2,0.799,84.223,81.841,83.213,99.886,100.162
6.099999999999994,-1,0.0,-1,-1,0.2,0.33,83.161,81.87,82.259,-1,-1
6.199999999999994,-1,0.0,-1,-1,0.2,0.548,84.358,82.295,83.04,-1,-1
6.299999999999994,5.611,0.565,109.175,115.647,0.2,0.732,84.689,82.338,83.487,99.99,109.885
6.399999999999993,3.95,1.0,115.183,119.051,0.2,0.789,83.429,80.981,81.929,105.295,116.779
6.499999999999993,1.816,1.0,118.479,124.045,0.2,1.084,85.017,81.206,82.242,113.589,118.674
6.5999999999999925,3.646,1.0,115.837,120.493,0.2,1.292,86.203,82.624,84.692,108.202,116.56
6.699999999999992,5.756,0.478,109.722,115.999,0.2,0.726,85.544,82.731,83.673,100.13,110.195
6.799999999999992,3.236,0.217,102.718,107.01,0.2,0.973,84.987,81.104,83.564,100.014,100.863
6.8999999999999915,-1,0.0,-1,-1,0.2,1.068,84.917,81.048,82.514,-1,-1
6.999999999999991,-1,0.0,-1,-1,0.2,0.491,82.771,81.065,82.062,-1,-1
7.099999999999991,7.707,0.304,105.239,118.466,0.2,0.94,84.462,81.666,83.14,99.841,100.85
7.19999999999999,0.875,0.13,100.77,101.637,0.2,0.265,84.489,83.478,83.892,99.887,100.785
7.29999999999999,-1,0.0,-1,-1,0.2,2.068,84.85,78.561,82.444,-1,-1
7.39999999999999,-1,0.0,-1,-1,0.2,1.492,82.431,77.498,79.684,-1,-1
7.499999999999989,1.722,0.391,103.487,104.913,0.2,0.984,83.423,80.548,82.549,100.177,104.433
7.599999999999989,2.71,1.0,105.638,109.602,0.2,0.786,84.571,81.941,83.01,99.861,105.614
7.699999999999989,1.984,1.0,108.016,110.801,0.2,0.616,85.187,82.941,84.619,103.346,108.614
7.799999999999988,3.358,0.565,105.623,109.958,0.2,0.564,85.248,83.579,84.663,100.32,105.603
7.899999999999988,-1,0.0,-1,-1,0.2,0.338,84.487,83.355,83.816,-1,-1
7.999999999999988,7.095,0.435,111.656,120.414,0.2,0.229,84.06,83.181,83.466,99.769,113.264
8.099999999999987,7.822,1.0,119.337,127.212,0.2,0.521,84.983,83.471,84.188,99.914,120.402
8.199999999999987,2.346,0.652,124.943,127.79,0.2,1.025,84.98,82.271,83.343,120.056,125.797
8.299999999999986,-1,0.043,126.606,126.606,0.2,0.886,85.093,82.26,83.576,126.606,126.606
8.399999999999986,-1,0.0,-1,-1,0.2,1.149,84.984,81.632,82.65,-1,-1
8.499999999999986,-1,0.0,-1,-1,0.2,0.281,82.578,81.613,82.043,-1,-1
8.599999999999985,-1,0.0,-1,-1,0.2,0.28,82.43,81.431,82.148,-1,-1
8.699999999999985,-1,0.0,-1,-1,0.2,0.363,82.408,81.249,81.655,-1,-1
8.799999999999985,5.531,0.174,118.388,124.746,0.2,0.988,84.092,81.467,82.406,113.426,117.689
8.899999999999984,9.769,0.609,106.804,128.594,0.2,0.855,84.529,81.924,83.605,99.697,101.89
8.999999999999984,7.417,0.957,108.966,119.71,0.2,1.143,85.755,81.912,83.645,99.818,108.677
9.099999999999984,2.97,1.0,118.324,123.616,0.2,1.286,85.742,81.591,83.877,111.546,118.305
9.199999999999983,2.426,1.0,119.182,126.328,0.2,1.08,84.644,81.629,82.931,114.834,118.764
9.299999999999983,3.33,0.87,118.201,126.106,0.2,0.62,84.676,82.665,83.914,109.531,118.612
9.399999999999983,6.541,0.565,111.084,119.494,0.2,1.345,86.074,81.84,83.553,100.227,111.007
9.499999999999982,4.93,0.261,104.763,110.992,0.2,1.362,86.063,81.838,83.6,99.745,103.505
9.599999999999982,2.75,0.348,108.456,111.702,0.2,0.853,84.166,81.726,82.56,104.736,109.4
9.699999999999982,2.925,0.913,111.893,114.914,0.2,0.819,85.775,83.225,84.689,105.292,113.124
9.799999999999981,2.925,0.783,112.154,115.121,0.2,1.328,85.625,81.626,84.701,105.069,113.618
9.89999999999998,2.412,0.174,108.421,110.861,0.2,1.106,85.045,81.129,82.672,105.218,108.802
9.99999999999998,-1,0.0,-1,-1,0.2,0.507,83.543,81.591,82.2,-1,-1
10.09999999999998,-1,0.0,-1,-1,0.2,0.427,82.954,81.618,82.217,-1,-1
10.19999999999998,0.084,0.087,841.006,841.065,0.2,0.177,83.103,82.479,82.812,840.946,841.006
10.29999999999998,0.837,0.087,111.344,111.936,0.2,0.403,83.596,82.057,82.823,110.752,111.344
10.399999999999979,1.702,0.391,101.457,103.612,0.2,1.155,86.163,82.339,83.625,99.721,100.828
10.499999999999979,4.231,0.913,105.534,113.388,0.2,0.967,86.417,83.567,85.028,99.804,104.636
10.599999999999978,3.945,0.609,106.97,113.398,0.2,2.714,92.149,82.2,84.868,100.528,106.901
10.699999999999978,-1,0.0,-1,-1,0.2,7.255,92.186,69.257,80.266,-1,-1
10.799999999999978,-1,0.0,-1,-1,0.2,5.324,86.483,69.436,80.104,-1,-1
10.899999999999977,0.934,0.261,101.545,102.403,0.2,1.14,83.898,79.912,81.683,99.78,101.818
10.999999999999977,0.535,0.522,101.565,102.352,0.2,1.056,85.638,81.956,84.127,100.699,101.593
11.099999999999977,0.3,0.13,101.029,101.265,0.2,0.772,85.638,82.841,84.012,100.691,101.131
11.199999999999976,-1,0.0,-1,-1,0.2,0.795,84.767,81.614,82.809,-1,-1
11.299999999999976,-1,0.043,102.082,102.082,0.2,0.534,84.512,82.37,83.396,102.082,102.082
11.399999999999975,5.947,0.522,113.404,119.735,0.2,0.902,85.263,82.735,84.172,102.178,115.35
11.499999999999975,2.061,0.348,117.139,119.942,0.2,0.723,85.182,82.644,83.322,113.345,117.525
11.599999999999975,13.036,0.348,132.123,152.363,0.2,0.519,84.19,82.499,83.224,118.964,123.437
11.699999999999974,8.151,0.565,129.623,148.659,0.2,0.419,84.034,82.492,82.995,121.525,125.892
11.799999999999974,1.514,0.391,125.982,129.566,0.2,0.885,83.378,80.424,82.22,123.67,125.755
11.899999999999974,-1,0.0,-1,-1,0.2,0.743,82.193,79.692,80.682,-1,-1
11.999999999999973,-1,0.0,-1,-1,0.2,0.637,82.777,80.49,81.931,-1,-1
12.099999999999973,-1,0.0,-1,-1,0.2,0.433,83.266,81.623,82.219,-1,-1
12.199999999999973,2.282,0.13,571.597,574.211,0.2,1.927,87.401,81.865,84.169,569.96,570.628
12.299999999999972,-1,0.0,-1,-1,0.2,1.553,85.338,80.869,83.052,-1,-1
12.399999999999972,3.158,0.087,111.115,113.349,0.2,1.113,85.378,82.024,83.544,108.882,111.115
12.499999999999972,-1,0.0,-1,-1,0.2,1.351,85.752,81.512,83.076,-1,-1
12.599999999999971,-1,0.0,-1,-1,0.2,1.142,84.996,81.635,83.225,-1,-1
12.69999999999997,0.643,0.13,118.991,119.64,0.2,1.196,85.975,81.968,83.2,118.354,118.98
12.79999999999997,8.347,0.696,118.174,139.988,0.2,1.227,86.707,82.5,84.724,107.208,117.504
12.89999999999997,3.865,1.0,112.918,119.163,0.2,1.171,85.438,82.074,83.418,105.772,112.169
12.99999999999997,6.596,1.0,119.803,127.427,0.2,0.321,84.032,82.795,83.398,108.881,120.859
13.09999999999997,0.973,1.0,126.554,127.65,0.2,0.485,84.968,83.473,84.303,123.823,126.739
13.199999999999969,1.032,1.0,126.825,128.292,0.2,0.435,85.258,83.655,84.42,123.87,126.921
13.299999999999969,1.276,0.348,126.734,128.089,0.2,1.16,85.265,81.962,83.0,124.145,126.864
13.399999999999968,2.674,0.304,105.009,107.927,0.2,0.699,84.124,81.948,82.912,99.692,105.841
13.499999999999968,2.186,0.913,103.015,107.961,0.2,0.737,84.164,81.984,82.824,99.763,102.451
13.599999999999968,1.271,0.739,101.428,103.396,0.2,0.527,84.119,82.17,83.204,99.845,101.218
13.699999999999967,0.896,0.478,100.538,103.047,0.2,0.418,83.469,82.127,82.904,99.793,100.265
13.799999999999967,0.082,0.087,100.502,100.56,0.2,0.619,84.01,82.127,82.861,100.444,100.502
13.899999999999967,0.606,0.174,100.28,100.823,0.2,0.785,85.155,82.472,83.253,99.624,100.273
13.999999999999966,0.863,0.087,124.412,125.023,0.2,1.209,85.222,81.399,83.49,123.802,124.412
14.099999999999966,3.9,0.652,127.242,139.508,0.2,1.382,85.16,81.317,83.157,121.937,127.164
14.199999999999966,4.531,0.522,124.298,131.588,0.2,1.097,85.221,81.892,82.888,115.83,124.31
