t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.077,77.807,77.504,77.664,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.068,77.79,77.545,77.682,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.064,77.793,77.58,77.67,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.075,77.83,77.526,77.685,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.235,78.138,77.132,77.66,-1,-1
0.5,6.436,0.391,723.589,731.896,0.2,0.307,78.171,77.151,77.617,711.08,724.021
0.6,274.209,0.957,365.931,727.371,0.2,0.517,79.174,77.627,78.151,157.207,167.874
0.7,14.218,1.0,180.194,197.402,0.2,0.3,79.256,78.359,78.815,157.225,180.645
0.7999999999999999,8.12,1.0,188.436,197.417,0.2,0.204,78.644,77.964,78.299,172.602,191.479
0.8999999999999999,10.307,1.0,170.751,189.021,0.2,0.152,78.419,77.852,78.093,154.304,171.043
0.9999999999999999,6.886,1.0,154.678,167.844,0.2,0.197,78.403,77.675,77.954,144.023,154.8
1.0999999999999999,2.099,0.435,148.183,151.982,0.2,0.159,78.169,77.523,77.886,144.118,147.762
1.2,10.312,0.478,142.045,158.449,0.2,0.438,78.728,77.183,78.044,131.159,138.018
1.3,9.48,1.0,130.479,154.906,0.2,0.202,78.724,77.989,78.334,118.511,129.047
1.4000000000000001,3.14,0.652,121.384,126.836,0.2,0.301,78.661,77.644,77.982,115.202,120.779
1.5000000000000002,222.911,0.565,350.9,555.984,0.2,0.167,78.042,77.487,77.763,115.24,541.553
1.6000000000000003,94.432,0.87,689.495,761.754,0.2,0.106,77.812,77.474,77.652,542.971,745.68
1.7000000000000004,89.063,0.739,718.12,764.498,0.2,0.082,77.831,77.508,77.685,482.257,748.046
1.8000000000000005,87.004,0.174,558.123,635.857,0.2,0.095,77.859,77.509,77.685,474.478,561.08
1.9000000000000006,1.688,0.261,168.71,170.397,0.2,0.142,77.932,77.382,77.692,166.304,169.049
2.0000000000000004,14.432,0.826,179.307,209.124,0.2,0.436,78.886,77.65,78.099,163.52,174.674
2.1000000000000005,22.259,1.0,213.775,242.17,0.2,0.329,79.03,77.889,78.619,175.853,218.705
