t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.114,77.831,77.428,77.643,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.095,77.905,77.518,77.675,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.149,77.886,77.293,77.65,-1,-1
0.30000000000000004,109.446,0.435,720.346,850.122,0.2,0.184,77.802,77.19,77.599,571.43,764.873
0.4,57.065,0.913,741.518,845.456,0.2,0.247,78.062,77.289,77.619,608.018,749.48
0.5,72.739,0.783,659.643,754.917,0.2,0.251,78.096,77.355,77.71,554.458,633.463
0.6,61.515,0.435,567.725,670.276,0.2,0.496,78.393,76.656,77.6,502.762,539.563
0.7,4.752,0.435,273.627,283.06,0.2,3.57,88.267,77.971,81.159,265.369,274.627
0.7999999999999999,3.746,1.0,270.095,279.451,0.2,1.756,89.638,84.145,87.703,264.841,268.568
0.8999999999999999,3.323,1.0,265.418,268.879,0.2,2.243,89.627,83.271,87.174,259.23,266.657
0.9999999999999999,4.744,1.0,257.507,266.097,0.2,1.84,85.339,79.634,82.464,252.202,257.771
1.0999999999999999,3.151,0.87,252.201,257.644,0.2,1.237,81.872,77.244,80.493,243.737,252.365
1.2,22.34,0.348,259.607,313.392,0.2,1.242,81.323,77.396,79.18,242.704,254.299
1.3,9.292,0.652,296.32,324.018,0.2,3.442,86.498,77.824,82.891,288.017,292.381
1.4000000000000001,13.764,1.0,304.248,324.349,0.2,1.993,86.472,79.163,83.205,285.964,300.495
1.5000000000000002,15.925,1.0,325.151,351.124,0.2,1.419,83.543,79.157,81.841,285.476,324.257
1.6000000000000003,8.76,0.609,341.361,352.122,0.2,2.098,83.538,77.971,80.832,327.635,344.278
1.7000000000000004,8.426,0.217,277.906,284.138,0.2,0.684,79.569,77.176,78.002,263.247,280.18
1.8000000000000005,6.232,0.609,270.195,279.803,0.2,1.4,82.033,77.152,79.004,262.452,269.396
1.9000000000000006,10.063,1.0,278.174,294.633,0.2,1.039,82.691,79.568,81.693,261.959,277.366
2.0000000000000004,13.709,0.957,297.981,318.665,0.2,1.255,83.211,78.102,81.875,279.135,294.319
2.1000000000000005,218.402,0.478,436.327,805.387,0.2,2.986,83.385,74.884,79.368,286.893,316.668
2.2000000000000006,22.837,0.609,263.86,307.989,0.2,1.929,82.065,76.241,78.755,241.995,251.387
2.3000000000000007,16.687,0.913,242.316,275.415,0.2,1.651,82.464,76.998,79.225,210.874,244.905
2.400000000000001,11.565,0.913,235.664,267.22,0.2,1.485,82.788,78.081,81.105,210.702,235.676
2.500000000000001,18.352,0.739,236.749,282.764,0.2,2.214,82.785,77.534,79.748,211.487,235.064
2.600000000000001,17.116,0.739,268.759,282.343,0.2,1.808,82.558,77.546,79.853,221.053,271.404
2.700000000000001,9.442,1.0,267.971,281.834,0.2,1.006,83.427,79.936,82.098,251.549,268.265
2.800000000000001,10.682,1.0,248.799,267.588,0.2,0.988,82.552,79.022,80.45,232.642,247.474
2.9000000000000012,13.343,0.87,231.354,245.155,0.2,0.657,79.919,77.962,78.817,198.669,235.015
3.0000000000000013,15.415,0.565,223.372,245.203,0.2,0.718,79.819,77.548,78.39,200.786,229.03
