t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.548,51.424,49.519,50.415,-1,-1
0.1,-1,0.043,735.015,735.015,0.2,0.532,51.776,49.647,50.533,735.015,735.015
0.2,-1,0.043,725.229,725.229,0.2,0.556,51.647,49.812,50.528,725.229,725.229
0.30000000000000004,-1,0.0,-1,-1,0.2,0.388,51.366,49.77,50.483,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.524,51.607,49.644,50.565,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.682,52.429,49.594,50.438,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.383,51.012,49.819,50.489,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.491,51.579,49.785,50.455,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.517,51.707,49.743,50.427,-1,-1
0.8999999999999999,4.361,0.261,187.952,191.877,0.2,7.187,70.067,49.69,54.927,181.486,189.436
0.9999999999999999,5.54,0.826,186.772,191.789,0.2,4.322,71.377,55.335,68.045,169.301,187.843
1.0999999999999999,251.735,0.522,325.964,751.738,0.2,8.029,70.431,49.871,56.739,177.388,188.687
1.2,235.925,0.652,378.612,777.664,0.2,7.088,67.531,49.882,58.407,218.881,248.625
1.3,9.979,1.0,253.813,265.341,0.2,1.495,68.357,63.474,66.757,229.65,256.456
1.4000000000000001,13.811,1.0,248.881,264.874,0.2,2.169,70.673,63.545,66.863,226.149,254.662
1.5000000000000002,11.362,1.0,223.148,245.376,0.2,0.908,71.831,68.591,70.811,205.948,221.618
1.6000000000000003,7.747,1.0,204.667,219.453,0.2,1.652,71.839,67.262,70.067,196.214,202.675
1.7000000000000004,4.297,0.826,195.449,200.139,0.2,3.973,73.327,60.556,68.749,184.13,197.238
1.8000000000000005,228.393,0.826,402.923,647.052,0.2,4.329,70.007,53.247,60.56,177.4,203.688
1.9000000000000006,193.812,0.957,293.332,651.12,0.2,4.757,67.267,53.15,62.94,180.026,194.989
2.0000000000000004,13.054,1.0,204.437,219.427,0.2,2.944,74.237,65.585,69.781,180.094,207.044
2.1000000000000005,3.947,1.0,220.176,225.121,0.2,1.483,75.711,70.718,73.8,211.448,219.888
2.2000000000000006,9.564,1.0,213.927,225.141,0.2,1.656,74.196,68.792,70.356,197.474,213.737
2.3000000000000007,10.768,1.0,193.045,209.739,0.2,1.42,70.006,65.972,67.919,177.492,191.739
2.400000000000001,7.409,1.0,176.274,188.897,0.2,1.905,66.294,59.243,64.6,159.37,177.288
2.500000000000001,5.8,0.435,169.629,175.207,0.2,4.436,64.222,51.866,56.2,159.427,172.18
2.600000000000001,1.534,0.391,211.01,212.41,0.2,8.209,72.558,49.445,58.798,207.109,211.271
2.700000000000001,5.768,1.0,215.88,222.709,0.2,2.266,75.135,66.678,72.456,205.44,213.18
2.800000000000001,4.795,1.0,218.643,222.712,0.2,3.612,73.578,62.929,70.091,207.994,220.754
2.9000000000000012,3.278,1.0,215.417,220.159,0.2,3.183,72.22,62.997,69.416,207.79,215.464
3.0000000000000013,4.574,0.652,216.398,224.512,0.2,10.114,72.178,45.993,60.868,207.556,215.335
3.1000000000000014,209.471,0.348,547.282,665.739,0.2,9.896,51.396,26.211,39.842,207.265,658.219
3.2000000000000015,8.163,0.261,208.937,218.567,0.2,17.936,71.634,25.497,38.875,196.01,209.056
3.3000000000000016,10.413,0.609,221.459,238.307,0.2,5.394,73.115,51.694,67.29,204.954,222.047
3.4000000000000017,7.543,0.217,230.698,237.947,0.2,13.52,67.684,28.403,51.803,219.335,232.251
3.5000000000000018,3.818,0.478,193.967,200.593,0.2,15.975,71.132,28.415,56.75,188.479,193.938
3.600000000000002,14.647,0.739,186.228,197.81,0.2,11.431,69.61,33.976,58.305,144.722,190.954
3.700000000000002,22.815,0.304,176.98,197.883,0.2,15.633,70.657,30.067,46.836,143.967,183.089
3.800000000000002,2.274,0.739,197.245,201.745,0.2,3.331,75.636,59.353,69.073,194.67,196.52
3.900000000000002,3.69,1.0,201.267,208.0,0.2,2.505,76.742,68.787,74.777,194.78,201.966
4.000000000000002,5.411,1.0,210.102,216.856,0.2,1.311,76.035,71.408,74.069,201.769,210.818
4.100000000000001,1.362,1.0,215.552,216.921,0.2,0.71,73.968,71.362,72.334,212.534,216.282
4.200000000000001,6.052,0.696,211.423,216.85,0.2,9.99,72.641,43.265,64.907,198.018,213.549
4.300000000000001,21.122,0.261,218.27,243.519,0.2,13.457,61.531,19.992,34.824,198.297,212.813
4.4,-1,0.0,-1,-1,0.2,10.631,58.955,20.026,26.782,-1,-1
4.5,1.447,0.565,171.93,174.908,0.2,19.047,75.905,23.923,62.56,169.522,171.943
4.6,5.401,0.783,168.195,172.97,0.2,10.089,75.854,43.859,64.497,150.003,169.715
4.699999999999999,8.264,0.348,159.664,166.932,0.2,13.379,69.987,22.569,43.969,145.799,162.978
4.799999999999999,3.232,0.609,199.075,203.475,0.2,15.987,74.273,23.727,64.257,193.444,198.919
4.899999999999999,1.725,1.0,201.704,204.081,0.2,2.529,75.693,67.835,72.915,197.831,202.164
4.999999999999998,2.354,1.0,203.381,209.427,0.2,2.299,74.55,67.535,69.96,199.857,203.323
5.099999999999998,5.615,0.609,200.914,209.948,0.2,11.993,72.59,33.732,64.865,187.584,201.167
5.1999999999999975,-1,0.0,-1,-1,0.2,13.877,64.672,23.173,32.784,-1,-1
5.299999999999997,8.794,0.174,202.572,210.567,0.2,19.214,73.33,18.04,33.469,190.7,204.511
5.399999999999997,7.345,0.739,205.28,213.818,0.2,11.502,77.685,34.477,71.578,191.995,206.954
5.4999999999999964,15.598,1.0,187.11,212.291,0.2,5.025,77.669,64.298,71.689,164.189,186.693
5.599999999999996,9.602,1.0,162.122,179.941,0.2,0.772,67.092,64.216,66.172,149.549,162.777
5.699999999999996,4.845,1.0,147.94,156.394,0.2,0.838,67.089,64.63,65.505,140.453,148.095
5.799999999999995,4.95,0.913,138.545,146.411,0.2,6.233,65.67,46.725,60.269,131.526,139.447
5.899999999999995,2.096,0.391,133.945,138.725,0.2,16.747,56.769,12.817,30.573,131.637,133.295
5.999999999999995,19.23,0.696,725.126,744.71,0.2,4.649,25.664,12.882,18.681,692.035,730.405
6.099999999999994,259.939,0.957,506.899,764.734,0.2,1.609,21.425,15.659,18.459,226.545,720.352
6.199999999999994,68.757,1.0,302.904,406.105,0.2,2.232,23.105,15.418,18.594,219.735,314.296
6.299999999999994,238.466,0.957,693.064,810.722,0.2,3.661,26.954,15.011,20.194,104.467,790.2
6.399999999999993,19.544,0.609,767.29,798.299,0.2,8.939,26.233,-0.344,8.992,742.848,757.503
6.499999999999993,-1,0.0,-1,-1,0.2,19.199,55.034,-0.785,9.652,-1,-1
6.5999999999999925,2.459,0.478,182.318,185.908,0.2,21.724,74.543,-0.036,57.071,178.26,182.561
6.699999999999992,7.307,0.87,180.298,185.752,0.2,6.093,74.527,54.785,69.379,156.73,183.061
6.799999999999992,11.893,0.304,173.163,183.288,0.2,3.874,68.469,54.445,58.896,156.63,177.966
6.8999999999999915,2.107,0.609,206.57,211.664,0.2,5.256,70.191,56.042,64.28,203.437,206.28
6.999999999999991,3.039,1.0,203.201,206.665,0.2,1.768,74.039,68.185,71.43,198.911,203.932
7.099999999999991,4.81,1.0,205.881,212.146,0.2,2.501,74.63,64.155,72.661,198.938,206.78
7.19999999999999,20.414,1.0,229.761,262.024,0.2,4.766,77.25,61.556,72.232,200.394,229.401
7.29999999999999,11.987,1.0,263.152,276.734,0.2,4.419,77.153,66.274,71.952,240.547,266.983
7.39999999999999,12.863,1.0,262.577,276.39,0.2,3.151,73.861,62.923,67.419,243.045,268.813
7.499999999999989,20.949,0.957,234.128,264.009,0.2,5.799,73.805,54.863,68.143,171.185,239.956
7.599999999999989,23.777,0.391,215.503,239.723,0.2,15.935,67.212,15.724,46.847,173.544,224.314
7.699999999999989,3.134,0.609,198.997,204.696,0.2,16.419,71.13,16.651,61.479,193.287,199.448
7.799999999999988,10.534,1.0,206.586,223.324,0.2,2.716,71.596,62.513,68.208,192.81,199.686
7.899999999999988,5.361,1.0,223.223,228.81,0.2,2.322,75.86,68.309,72.701,212.802,225.693
7.999999999999988,8.18,1.0,220.75,228.792,0.2,0.422,73.585,71.669,73.016,203.21,223.533
8.099999999999987,7.296,1.0,205.517,220.217,0.2,3.215,73.114,65.427,68.307,197.383,202.417
8.199999999999987,6.844,1.0,207.321,217.233,0.2,2.28,70.845,65.423,67.787,197.356,208.735
8.299999999999986,2.099,1.0,216.01,218.234,0.2,1.185,70.834,67.439,68.711,211.355,216.93
8.399999999999986,1.202,1.0,216.64,218.847,0.2,2.065,72.706,67.956,69.951,214.476,216.223
8.499999999999986,0.824,1.0,215.711,216.774,0.2,0.127,72.713,72.195,72.549,213.633,215.971
8.599999999999985,9.901,0.87,209.159,216.451,0.2,5.162,72.534,56.028,69.208,179.985,213.187
8.699999999999985,11.425,0.435,193.639,209.221,0.2,5.573,68.977,49.361,56.553,178.926,193.368
8.799999999999985,5.569,0.348,180.429,185.43,0.2,3.581,63.58,52.781,57.854,169.396,182.258
8.899999999999984,5.701,0.348,178.062,183.948,0.2,4.104,65.1,49.684,56.337,169.018,178.701
8.999999999999984,5.776,0.87,174.416,187.221,0.2,3.613,65.093,50.902,62.98,164.352,171.92
9.099999999999984,192.421,0.609,265.507,648.414,0.2,13.893,64.89,25.371,50.933,154.631,171.743
