t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,2.237,7.179,-0.438,1.031,-1,-1
0.1,-1,0.0,-1,-1,0.2,3.353,8.801,-0.489,2.91,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.313,0.36,-0.783,-0.199,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,1.835,4.652,-0.69,1.208,-1,-1
0.4,-1,0.0,-1,-1,0.2,1.214,3.456,-0.544,0.425,-1,-1
0.5,10.301,0.391,781.817,796.974,0.2,14.504,36.98,-0.542,11.706,765.107,783.837
0.6,11.415,0.391,780.59,795.486,0.2,6.545,44.951,24.868,39.501,760.366,781.153
0.7,-1,0.0,-1,-1,0.2,1.226,47.98,44.395,45.956,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.818,49.393,46.543,48.242,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,2.353,49.431,40.839,46.867,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,17.175,47.971,1.149,25.793,-1,-1
1.0999999999999999,40.36,0.348,545.423,582.474,0.2,32.048,78.442,1.757,44.879,475.713,562.212
1.2,23.662,0.304,556.621,582.36,0.2,2.005,83.082,76.548,79.899,519.46,567.869
1.3,-1,0.0,-1,-1,0.2,4.463,83.059,69.691,78.996,-1,-1
1.4000000000000001,4.434,0.261,108.807,114.307,0.2,2.718,79.535,69.287,73.689,102.256,108.497
1.5000000000000002,3.72,0.826,110.817,114.555,0.2,3.745,83.561,72.654,80.498,102.372,111.901
1.6000000000000003,5.139,0.609,107.873,114.098,0.2,1.76,83.536,77.968,81.783,99.956,108.933
1.7000000000000004,-1,0.0,-1,-1,0.2,2.467,80.549,72.163,76.515,-1,-1
1.8000000000000005,-1,0.0,-1,-1,0.2,4.244,76.465,63.951,69.506,-1,-1
1.9000000000000006,35.532,0.391,527.426,558.164,0.2,2.157,72.167,65.327,69.109,468.367,546.031
2.0000000000000004,36.886,0.435,524.121,558.167,0.2,3.287,71.828,59.578,67.077,465.39,547.279
2.1000000000000005,16.892,0.435,374.819,403.335,0.2,3.72,65.634,53.531,59.41,348.568,373.634
2.2000000000000006,-1,0.0,-1,-1,0.2,3.086,63.124,53.587,57.924,-1,-1
2.3000000000000007,-1,0.0,-1,-1,0.2,1.52,66.087,60.772,63.25,-1,-1
2.400000000000001,9.838,0.217,760.033,773.928,0.2,3.037,66.116,58.063,61.654,748.6,756.126
2.500000000000001,4.019,0.348,109.864,118.595,0.2,5.91,58.99,39.843,53.627,106.196,108.704
2.600000000000001,5.901,0.826,116.559,122.697,0.2,10.61,80.803,52.589,69.249,106.494,119.309
2.700000000000001,7.158,1.0,114.203,122.648,0.2,1.508,83.428,78.319,81.437,102.144,115.45
2.800000000000001,125.805,0.913,202.029,378.43,0.2,3.183,83.352,74.484,78.055,100.809,109.578
2.9000000000000012,15.952,0.739,368.107,391.2,0.2,2.542,76.822,69.202,73.899,341.475,371.072
3.0000000000000013,14.546,0.435,395.196,420.632,0.2,5.601,72.716,56.746,66.859,380.009,388.545
3.1000000000000014,-1,0.043,415.4,415.4,0.2,3.502,66.973,56.747,62.425,415.4,415.4
3.2000000000000015,-1,0.0,-1,-1,0.2,7.182,67.045,46.999,59.761,-1,-1
3.3000000000000016,-1,0.0,-1,-1,0.2,9.678,74.648,47.265,62.296,-1,-1
3.4000000000000017,3.46,0.565,109.772,115.111,0.2,4.024,81.295,69.83,76.496,101.398,109.937
3.5000000000000018,2.856,1.0,108.778,112.522,0.2,3.274,81.298,72.36,78.308,100.701,109.567
3.600000000000002,251.908,0.826,253.321,671.425,0.2,1.446,84.549,79.762,82.261,99.847,109.499
3.700000000000002,51.555,0.696,610.345,672.036,0.2,3.915,83.916,73.347,78.623,522.178,625.777
3.800000000000002,-1,0.0,-1,-1,0.2,6.393,75.121,51.746,69.025,-1,-1
3.900000000000002,0.412,0.087,101.888,102.18,0.2,13.682,72.611,26.56,52.652,101.597,101.888
4.000000000000002,0.924,0.261,101.702,102.906,0.2,8.012,75.68,46.965,65.88,100.097,101.764
4.100000000000001,0.325,0.261,103.716,104.133,0.2,10.204,79.107,50.016,63.323,103.216,103.737
4.200000000000001,0.942,0.739,104.181,105.627,0.2,3.013,81.063,70.545,77.442,101.789,104.284
4.300000000000001,0.482,0.391,104.818,105.599,0.2,16.634,81.032,34.364,63.004,104.155,104.762
4.4,1.737,0.391,137.043,139.378,0.2,18.697,81.376,32.872,59.875,134.577,137.434
4.5,8.315,0.957,129.156,139.313,0.2,3.256,84.62,72.369,80.419,113.404,128.592
4.6,7.591,1.0,113.689,126.869,0.2,1.603,84.557,79.842,82.25,106.783,109.947
4.699999999999999,1.786,0.826,106.266,107.955,0.2,3.995,80.861,69.201,76.696,101.309,106.929
4.799999999999999,2.094,0.391,103.829,106.588,0.2,6.462,74.01,54.566,65.08,100.257,104.291
4.899999999999999,35.663,0.652,127.464,184.597,0.2,6.339,73.087,55.213,64.678,100.83,104.608
4.999999999999998,32.002,0.913,125.606,185.424,0.2,8.091,78.711,55.417,69.397,101.822,109.548
5.099999999999998,3.407,0.478,107.876,112.434,0.2,1.721,78.738,73.19,76.569,101.383,108.371
5.1999999999999975,55.272,0.609,598.451,663.312,0.2,1.531,78.036,73.143,76.438,530.126,627.287
5.299999999999997,56.8,1.0,579.83,664.569,0.2,3.363,77.958,69.265,73.864,494.385,573.323
5.399999999999997,27.674,0.522,515.89,572.366,0.2,6.497,70.234,52.141,63.543,477.121,512.471
5.4999999999999964,-1,0.0,-1,-1,0.2,1.886,60.056,52.302,56.979,-1,-1
5.599999999999996,36.894,0.435,350.263,415.813,0.2,4.848,66.982,51.031,58.806,310.714,340.583
5.699999999999996,119.975,0.783,264.391,381.698,0.2,4.65,76.586,61.092,70.169,99.76,330.85
5.799999999999995,9.824,0.826,112.682,126.638,0.2,3.087,84.183,74.07,78.684,99.821,111.826
5.899999999999995,6.081,0.739,120.126,126.702,0.2,11.702,84.244,53.413,73.212,106.16,121.157
5.999999999999995,5.521,0.565,110.318,120.731,0.2,10.55,83.02,53.074,69.057,100.334,111.304
6.099999999999994,7.598,1.0,117.745,130.021,0.2,2.714,83.014,74.227,78.568,99.147,117.192
6.199999999999994,8.405,0.783,117.338,126.216,0.2,8.251,77.614,51.528,68.321,102.972,119.834
6.299999999999994,2.83,0.348,104.308,110.564,0.2,9.46,78.974,52.452,67.941,100.595,104.039
6.399999999999993,21.503,0.087,597.387,612.592,0.2,6.761,77.13,56.868,67.684,582.182,597.387
6.499999999999993,183.948,0.391,669.535,831.918,0.2,6.907,75.357,53.496,62.372,447.899,819.613
6.5999999999999925,361.804,0.609,427.143,848.778,0.2,7.861,74.923,48.796,64.151,119.913,131.751
6.699999999999992,5.295,0.565,120.745,128.901,0.2,10.406,74.903,42.916,64.881,110.283,120.739
6.799999999999992,1.1,0.391,113.215,114.719,0.2,15.65,76.636,29.032,54.324,110.828,113.43
6.8999999999999915,1.921,0.478,112.006,114.634,0.2,18.962,76.585,21.578,60.987,108.799,112.646
6.999999999999991,-1,0.043,108.925,108.925,0.2,10.124,54.989,16.987,26.781,108.925,108.925
7.099999999999991,38.025,0.696,581.927,649.711,0.2,7.695,43.9,21.827,36.812,549.736,561.228
7.19999999999999,65.538,0.217,491.296,563.906,0.2,2.159,48.991,43.016,45.991,441.09,445.703
7.29999999999999,4.634,0.304,448.339,452.078,0.2,2.234,48.033,41.455,45.533,439.04,449.331
7.39999999999999,7.695,0.522,447.662,461.516,0.2,11.789,43.617,7.985,30.81,432.683,448.941
7.499999999999989,31.408,0.261,147.931,179.051,0.2,20.896,72.46,9.354,45.654,109.007,158.699
7.599999999999989,24.386,0.957,131.594,182.932,0.2,8.541,82.556,59.858,75.386,108.253,118.69
7.699999999999989,4.736,1.0,116.534,121.392,0.2,4.95,82.569,66.756,76.894,104.913,118.245
7.799999999999988,7.139,0.522,111.164,121.39,0.2,9.01,78.096,50.526,63.689,101.184,110.442
7.899999999999988,158.76,0.565,330.897,446.121,0.2,7.729,80.368,54.013,74.646,100.793,421.281
7.999999999999988,122.47,0.87,160.727,446.509,0.2,2.772,82.454,74.766,79.641,100.947,105.899
8.099999999999987,12.326,0.348,111.015,134.421,0.2,1.427,82.196,77.285,79.607,100.388,104.795
8.199999999999987,3.918,0.304,426.17,429.981,0.2,0.739,79.262,76.721,77.667,418.923,428.349
8.299999999999986,12.959,0.652,416.58,429.644,0.2,4.096,78.409,67.111,73.341,391.849,419.678
8.399999999999986,15.108,0.391,403.662,424.818,0.2,8.187,74.188,53.037,66.429,381.699,403.923
8.499999999999986,8.382,0.13,623.864,633.332,0.2,10.876,62.631,30.669,43.722,617.393,620.867
8.599999999999985,13.791,0.217,388.859,413.364,0.2,11.49,64.516,30.878,48.32,377.484,383.243
8.699999999999985,14.175,0.652,388.084,421.804,0.2,7.729,64.051,37.577,49.255,371.324,383.101
8.799999999999985,51.886,0.565,418.38,579.287,0.2,11.731,42.67,13.494,26.147,367.438,414.446
8.899999999999984,8.245,0.652,432.098,439.324,0.2,9.152,41.822,13.687,24.077,409.042,435.046
8.999999999999984,117.698,0.696,307.393,438.197,0.2,4.032,44.442,32.58,40.335,150.971,342.883
9.099999999999984,250.61,0.652,400.576,843.475,0.2,11.236,44.455,10.751,35.03,143.432,579.467
9.199999999999983,1.979,0.13,102.985,104.411,0.2,26.242,76.705,7.027,41.033,100.726,103.818
9.299999999999983,3.495,0.696,107.911,114.066,0.2,3.879,80.35,65.705,76.2,100.767,107.48
9.399999999999983,3.681,1.0,112.988,118.656,0.2,3.984,86.177,75.525,79.128,106.629,113.616
9.499999999999982,6.153,0.609,111.5,117.955,0.2,5.353,86.254,70.521,81.493,99.998,113.548
9.599999999999982,-1,0.043,99.748,99.748,0.2,12.815,80.112,39.216,60.727,99.748,99.748
9.699999999999982,15.336,0.435,391.557,419.217,0.2,12.131,70.707,37.949,57.597,376.093,383.735
9.799999999999981,14.234,0.522,391.848,415.469,0.2,5.126,70.696,55.817,64.564,376.197,386.369
9.89999999999998,12.022,0.522,754.476,773.749,0.2,4.305,65.074,50.151,59.051,740.023,749.954
9.99999999999998,11.23,0.391,757.044,774.588,0.2,6.794,70.24,50.199,58.386,745.92,749.974
10.09999999999998,1.322,0.348,105.721,107.75,0.2,4.824,80.04,63.297,72.502,103.528,105.765
10.19999999999998,5.63,0.913,111.329,121.699,0.2,1.501,80.175,74.443,78.486,103.696,109.215
10.29999999999998,12.021,1.0,129.645,144.865,0.2,3.371,86.515,76.649,82.11,111.305,132.153
10.399999999999979,4.226,1.0,138.931,144.93,0.2,1.269,87.17,82.932,85.423,130.894,139.916
10.499999999999979,11.469,0.913,125.563,139.978,0.2,7.995,86.392,65.157,79.81,101.924,128.848
10.599999999999978,6.664,0.957,108.904,123.293,0.2,7.498,83.546,64.167,75.055,99.091,108.981
10.699999999999978,4.122,0.435,107.394,113.233,0.2,6.721,83.459,64.947,73.549,101.545,107.544
10.799999999999978,195.921,0.609,167.783,848.435,0.2,5.961,80.888,65.058,73.658,113.374,115.457
10.899999999999977,4.172,1.0,118.888,124.966,0.2,2.174,80.271,74.395,77.15,113.369,119.674
10.999999999999977,8.19,0.87,116.652,124.666,0.2,7.09,80.021,58.824,73.272,100.155,120.208
11.099999999999977,4.276,0.609,104.473,113.785,0.2,8.505,79.181,56.569,68.174,100.133,103.03
11.199999999999976,1.046,0.957,102.322,104.132,0.2,2.348,79.195,72.486,76.395,99.682,102.412
11.299999999999976,11.298,1.0,112.142,133.485,0.2,0.777,79.377,76.655,77.867,101.416,106.376
11.399999999999975,8.762,1.0,131.858,140.755,0.2,2.223,83.759,77.547,81.685,111.527,133.823
11.499999999999975,5.357,1.0,132.109,140.811,0.2,1.341,83.585,79.609,81.708,125.362,129.079
11.599999999999975,4.495,0.826,123.662,128.163,0.2,9.482,80.353,51.269,71.686,116.304,124.743
11.699999999999974,5.373,0.348,121.582,130.885,0.2,22.886,67.428,4.244,31.108,116.476,119.33
11.799999999999974,68.818,0.609,386.517,469.147,0.2,12.075,37.453,4.501,21.875,284.688,348.981
11.899999999999974,24.661,0.478,331.086,358.602,0.2,5.477,45.348,30.536,40.501,285.092,343.021
11.999999999999973,4.451,0.217,347.788,353.496,0.2,9.888,44.255,17.605,32.668,342.271,346.891
12.099999999999973,-1,0.0,-1,-1,0.2,21.603,73.41,13.685,36.367,-1,-1
12.199999999999973,-1,0.0,-1,-1,0.2,6.004,76.568,55.292,70.681,-1,-1
12.299999999999972,1.373,0.261,102.321,103.628,0.2,8.181,80.565,53.98,65.979,100.228,102.477
12.399999999999972,1.213,0.609,101.417,103.538,0.2,5.592,81.537,60.935,76.558,100.217,101.013
12.499999999999972,0.242,0.348,100.524,101.042,0.2,12.426,81.528,48.975,68.508,100.324,100.437
12.599999999999971,4.674,0.522,124.851,130.579,0.2,13.037,82.274,48.724,67.944,117.605,125.641
12.69999999999997,7.273,1.0,117.377,130.438,0.2,2.138,84.388,77.592,82.27,109.403,117.391
12.79999999999997,7.685,1.0,117.635,131.292,0.2,1.313,84.394,80.652,82.692,109.353,115.115
12.89999999999997,4.985,1.0,129.181,135.006,0.2,2.274,83.126,75.232,79.82,117.685,130.281
12.99999999999997,10.392,0.739,123.538,134.92,0.2,12.06,79.132,37.209,66.368,100.238,125.975
13.09999999999997,6.7,0.348,113.118,125.496,0.2,16.134,77.357,25.109,49.829,104.685,114.486
13.199999999999969,4.324,0.783,113.614,126.402,0.2,7.449,78.298,53.366,74.477,111.0,111.836
13.299999999999969,4.312,1.0,114.48,124.839,0.2,1.503,80.196,75.527,77.957,110.778,111.925
13.399999999999968,5.185,1.0,124.024,128.714,0.2,1.489,83.2,78.876,81.595,113.623,127.385
13.499999999999968,1.884,1.0,126.15,128.186,0.2,0.403,83.001,81.873,82.455,122.84,126.794
13.599999999999968,5.194,1.0,119.694,125.637,0.2,5.863,82.975,64.918,78.174,109.627,121.459
13.699999999999967,309.907,0.783,416.245,724.61,0.2,5.533,77.091,56.926,63.598,109.973,413.468
13.799999999999967,47.651,0.391,675.036,722.619,0.2,5.712,59.907,41.879,53.152,621.536,705.692
13.899999999999967,5.396,0.217,623.605,630.778,0.2,8.285,49.591,26.65,34.918,616.382,623.355
13.999999999999966,172.854,0.565,552.099,705.053,0.2,4.152,36.897,24.737,28.781,341.157,667.634
14.099999999999966,74.327,0.913,419.883,608.243,0.2,2.948,41.577,28.522,36.698,341.072,434.127
14.199999999999966,-1,0.0,-1,-1,0.2,14.757,71.572,18.11,36.061,-1,-1
