t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,32.897,74.139,-4.255,50.698,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.196,74.219,73.664,73.923,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.202,74.158,73.583,73.876,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.219,74.178,73.474,73.855,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.209,74.124,73.421,73.771,-1,-1
0.5,0.933,0.217,221.183,222.418,0.2,2.177,79.307,73.526,75.348,219.992,221.097
0.6,2.313,0.826,218.19,222.873,0.2,2.116,79.123,72.535,75.688,215.516,217.4
0.7,9.381,0.739,581.789,600.034,0.2,0.604,74.997,72.751,73.567,568.066,581.53
0.7999999999999999,83.577,0.696,673.913,813.04,0.2,0.791,75.433,72.559,73.812,567.666,711.064
0.8999999999999999,247.476,0.739,514.295,848.794,0.2,0.462,75.364,73.656,74.314,270.736,318.436
0.9999999999999999,34.704,1.0,331.455,371.875,0.2,0.337,74.734,73.605,74.094,274.794,334.064
1.0999999999999999,41.264,1.0,336.083,372.041,0.2,0.211,74.818,74.01,74.454,246.754,353.97
1.2,192.146,0.783,413.375,753.51,0.2,0.431,74.772,73.309,74.057,236.312,324.7
1.3,88.759,0.348,648.747,765.311,0.2,0.314,74.489,73.293,73.967,500.772,644.462
1.4000000000000001,203.237,0.391,586.997,761.046,0.2,0.384,74.374,72.861,73.81,233.602,680.394
1.5000000000000002,229.835,0.826,355.285,799.458,0.2,0.615,75.224,73.048,74.332,230.159,240.869
1.6000000000000003,19.411,0.87,259.591,311.23,0.2,0.361,74.782,73.321,73.934,233.35,259.22
1.7000000000000004,128.042,0.826,351.292,600.532,0.2,0.507,75.002,73.206,73.992,283.333,285.804
1.8000000000000005,149.125,0.696,346.936,773.669,0.2,0.434,75.0,73.032,73.674,285.353,292.439
1.9000000000000006,52.05,0.087,496.949,533.754,0.2,0.41,74.61,73.104,73.761,460.144,496.949
2.0000000000000004,11.705,0.261,581.307,597.397,0.2,0.254,74.535,73.634,74.025,565.819,583.941
2.1000000000000005,47.261,0.435,533.755,603.872,0.2,0.261,74.352,73.352,73.961,482.186,533.578
2.2000000000000006,41.784,0.652,509.186,589.955,0.2,0.38,74.791,73.361,74.007,471.937,496.689
2.3000000000000007,42.841,1.0,550.376,596.348,0.2,0.381,74.719,73.26,74.161,458.671,558.625
2.400000000000001,35.674,0.739,575.755,636.834,0.2,0.271,74.3,73.26,73.775,526.647,570.052
2.500000000000001,151.861,0.652,339.15,636.197,0.2,0.294,74.588,73.61,74.076,245.41,257.518
2.600000000000001,4.296,0.304,252.97,257.794,0.2,0.692,74.789,72.575,74.024,246.214,253.389
2.700000000000001,-1,0.0,-1,-1,0.2,0.328,74.739,73.588,74.167,-1,-1
2.800000000000001,-1,0.0,-1,-1,0.2,0.504,74.569,72.231,73.91,-1,-1
2.9000000000000012,-1,0.0,-1,-1,0.2,1.326,77.661,72.618,74.547,-1,-1
3.0000000000000013,0.396,0.348,217.965,218.614,0.2,0.511,75.105,73.233,74.063,217.445,217.859
3.1000000000000014,181.084,0.913,357.658,700.704,0.2,0.269,75.077,73.968,74.337,189.915,218.269
3.2000000000000015,110.588,0.957,290.172,486.104,0.2,0.275,74.88,73.746,74.308,223.431,224.955
3.3000000000000016,0.878,0.522,224.59,225.95,0.2,0.296,74.502,73.44,74.009,223.531,224.29
3.4000000000000017,-1,0.0,-1,-1,0.2,0.209,74.146,73.52,73.855,-1,-1
3.5000000000000018,22.864,0.217,602.477,631.38,0.2,0.221,74.102,73.376,73.777,579.495,600.487
3.600000000000002,11.743,0.087,630.154,638.458,0.2,0.356,74.712,73.443,73.924,621.851,630.154
3.700000000000002,-1,0.0,-1,-1,0.2,1.019,75.351,71.379,73.911,-1,-1
3.800000000000002,-1,0.0,-1,-1,0.2,0.999,76.348,72.513,74.21,-1,-1
3.900000000000002,12.522,0.217,488.649,509.434,0.2,1.304,76.868,72.49,74.382,476.692,483.916
4.000000000000002,-1,0.0,-1,-1,0.2,2.939,77.047,68.184,73.767,-1,-1
4.100000000000001,-1,0.0,-1,-1,0.2,2.463,75.021,68.278,71.975,-1,-1
4.200000000000001,85.11,0.522,695.625,839.7,0.2,0.507,75.246,73.3,74.435,626.142,657.432
4.300000000000001,2.137,1.0,208.642,213.317,0.2,0.231,75.183,74.253,74.626,205.643,208.249
4.4,6.309,1.0,216.09,227.572,0.2,0.254,74.805,73.928,74.415,208.07,214.098
4.5,7.022,1.0,228.668,243.811,0.2,0.203,74.615,73.949,74.326,216.408,228.721
4.6,69.951,0.652,619.66,837.337,0.2,0.308,74.476,73.344,73.967,568.761,584.523
4.699999999999999,96.497,0.261,771.202,841.157,0.2,0.224,74.086,73.425,73.753,577.571,798.34
4.799999999999999,-1,0.0,-1,-1,0.2,0.253,74.324,73.441,73.913,-1,-1
4.899999999999999,22.367,0.261,440.961,474.13,0.2,1.28,76.327,70.63,74.051,416.029,432.337
4.999999999999998,119.355,0.435,527.274,737.97,0.2,1.402,76.407,70.9,74.124,403.479,468.585
5.099999999999998,43.47,0.13,671.3,700.536,0.2,0.929,75.68,71.628,73.709,621.287,692.017
5.1999999999999975,13.523,0.261,564.693,590.194,0.2,0.511,74.292,72.402,73.435,553.589,560.451
5.299999999999997,80.686,0.478,601.052,833.711,0.2,0.549,74.602,72.676,73.793,553.467,577.182
5.399999999999997,-1,0.043,824.296,824.296,0.2,0.326,74.479,73.245,73.817,824.296,824.296
5.4999999999999964,7.774,0.13,630.205,637.029,0.2,0.314,74.588,73.336,74.05,621.743,631.844
5.599999999999996,7.814,0.13,639.832,647.64,0.2,0.256,74.153,73.235,73.757,631.688,639.846
5.699999999999996,-1,0.0,-1,-1,0.2,0.305,74.317,73.22,73.81,-1,-1
5.799999999999995,-1,0.0,-1,-1,0.2,0.219,74.324,73.594,73.969,-1,-1
5.899999999999995,-1,0.0,-1,-1,0.2,0.203,74.16,73.541,73.84,-1,-1
5.999999999999995,-1,0.0,-1,-1,0.2,0.202,74.087,73.512,73.789,-1,-1
6.099999999999994,-1,0.0,-1,-1,0.2,0.22,74.217,73.512,73.839,-1,-1
6.199999999999994,-1,0.0,-1,-1,0.2,0.199,74.217,73.606,73.926,-1,-1
6.299999999999994,-1,0.0,-1,-1,0.2,0.215,74.325,73.604,73.936,-1,-1
6.399999999999993,-1,0.0,-1,-1,0.2,0.208,74.275,73.633,73.953,-1,-1
6.499999999999993,-1,0.0,-1,-1,0.2,0.209,74.174,73.546,73.85,-1,-1
6.5999999999999925,-1,0.0,-1,-1,0.2,0.207,74.177,73.542,73.853,-1,-1
6.699999999999992,-1,0.0,-1,-1,0.2,0.219,74.051,73.349,73.724,-1,-1
6.799999999999992,-1,0.0,-1,-1,0.2,0.212,74.055,73.437,73.777,-1,-1
6.8999999999999915,-1,0.0,-1,-1,0.2,0.22,74.265,73.525,73.891,-1,-1
6.999999999999991,1.312,0.348,214.275,215.701,0.2,0.477,75.033,73.579,74.228,211.774,214.708
7.099999999999991,127.452,0.609,335.43,515.837,0.2,0.555,75.016,73.058,74.337,187.824,320.504
7.19999999999999,3.793,0.217,219.873,222.632,0.2,0.695,75.372,72.946,74.042,213.682,221.838
7.29999999999999,-1,0.0,-1,-1,0.2,0.721,75.523,73.042,74.14,-1,-1
7.39999999999999,47.425,0.348,661.589,719.258,0.2,0.428,74.692,73.066,73.852,578.007,674.506
7.499999999999989,17.85,0.304,684.845,719.818,0.2,0.271,74.448,73.302,73.92,664.999,681.703
7.599999999999989,21.523,0.304,461.639,500.603,0.2,0.215,74.291,73.532,73.981,429.067,461.08
7.699999999999989,54.912,0.522,475.741,590.032,0.2,0.196,74.275,73.658,73.965,416.515,461.048
7.799999999999988,134.844,0.391,396.537,575.902,0.2,0.209,74.296,73.609,73.935,259.083,469.283
7.899999999999988,2.366,0.783,261.74,265.626,0.2,0.288,74.728,73.706,74.145,259.022,261.184
7.999999999999988,1.658,1.0,263.783,266.685,0.2,0.369,75.155,73.89,74.544,260.884,263.676
8.099999999999987,7.837,0.739,269.102,287.178,0.2,0.41,75.2,73.647,74.558,262.079,265.742
8.199999999999987,41.51,0.348,722.342,783.128,0.2,0.358,74.626,73.327,74.077,672.952,714.899
8.299999999999986,-1,0.043,736.006,736.006,0.2,0.22,74.478,73.705,74.073,736.006,736.006
8.399999999999986,-1,0.0,-1,-1,0.2,0.203,74.197,73.514,73.869,-1,-1
8.499999999999986,-1,0.0,-1,-1,0.2,0.205,74.048,73.419,73.765,-1,-1
8.599999999999985,-1,0.0,-1,-1,0.2,0.211,74.094,73.429,73.791,-1,-1
8.699999999999985,12.818,0.174,541.036,557.635,0.2,0.234,74.322,73.479,73.913,528.639,538.39
8.799999999999985,25.67,0.478,592.586,627.072,0.2,0.428,74.836,73.406,74.115,552.649,591.784
8.899999999999984,21.171,0.435,496.619,526.46,0.2,0.354,74.818,73.599,74.179,471.386,493.255
8.999999999999984,-1,0.0,-1,-1,0.2,0.294,74.501,73.455,73.958,-1,-1
9.099999999999984,28.496,0.348,541.466,585.86,0.2,0.621,75.159,72.774,74.067,513.776,524.942
9.199999999999983,64.484,0.739,549.974,651.08,0.2,0.406,75.041,73.59,74.203,441.977,526.9
9.299999999999983,33.499,0.217,628.957,666.065,0.2,1.544,78.533,72.623,74.635,577.625,640.802
9.399999999999983,6.498,0.217,541.6,549.148,0.2,1.001,76.536,72.209,73.488,533.835,544.849
9.499999999999982,28.4,0.348,572.834,602.534,0.2,0.953,75.686,72.123,73.79,528.771,586.62
9.599999999999982,18.097,0.261,588.377,607.162,0.2,3.093,82.356,70.684,75.247,553.89,592.409
9.699999999999982,-1,0.043,733.98,733.98,0.2,0.981,74.482,70.525,73.081,733.98,733.98
9.799999999999981,-1,0.043,735.719,735.719,0.2,0.455,74.702,73.062,73.976,735.719,735.719
9.89999999999998,-1,0.0,-1,-1,0.2,0.377,74.198,72.989,73.629,-1,-1
9.99999999999998,-1,0.0,-1,-1,0.2,0.277,74.482,73.335,74.022,-1,-1
10.09999999999998,-1,0.0,-1,-1,0.2,0.202,74.249,73.66,73.972,-1,-1
10.19999999999998,-1,0.0,-1,-1,0.2,0.218,74.298,73.571,73.961,-1,-1
10.29999999999998,-1,0.0,-1,-1,0.2,0.223,74.394,73.594,74.02,-1,-1
10.399999999999979,-1,0.0,-1,-1,0.2,0.204,74.362,73.671,74.008,-1,-1
10.499999999999979,-1,0.0,-1,-1,0.2,0.205,74.261,73.584,73.925,-1,-1
10.599999999999978,23.195,0.261,786.494,816.503,0.2,0.498,75.185,72.916,73.996,747.809,787.986
10.699999999999978,78.247,0.826,735.213,837.78,0.2,0.496,75.132,73.07,74.349,628.571,741.435
10.799999999999978,40.215,0.826,651.05,768.722,0.2,0.259,74.591,73.678,74.177,592.291,656.138
10.899999999999977,209.517,0.435,485.047,756.943,0.2,0.247,74.247,73.441,73.829,244.895,594.455
10.999999999999977,3.753,0.696,252.086,256.657,0.2,0.374,74.783,73.452,74.276,242.252,252.242
11.099999999999977,233.275,0.478,390.893,758.322,0.2,0.398,74.735,73.347,74.028,252.035,255.942
11.199999999999976,91.316,0.391,617.268,764.918,0.2,0.297,74.132,73.133,73.678,540.596,567.627
11.299999999999976,40.315,0.826,586.534,656.307,0.2,0.299,74.49,73.361,73.983,540.447,574.466
11.399999999999975,28.474,0.391,625.991,650.949,0.2,0.272,74.317,73.409,73.849,571.569,637.235
11.499999999999975,-1,0.0,-1,-1,0.2,0.264,74.308,73.47,73.898,-1,-1
11.599999999999975,-1,0.0,-1,-1,0.2,0.222,74.313,73.538,73.864,-1,-1
11.699999999999974,-1,0.0,-1,-1,0.2,0.217,74.119,73.456,73.793,-1,-1
11.799999999999974,-1,0.0,-1,-1,0.2,0.217,74.12,73.498,73.792,-1,-1
11.899999999999974,-1,0.0,-1,-1,0.2,0.223,74.189,73.556,73.867,-1,-1
11.999999999999973,-1,0.0,-1,-1,0.2,0.217,74.302,73.636,73.964,-1,-1
12.099999999999973,12.069,0.13,687.135,697.692,0.2,0.292,74.594,73.512,74.031,673.778,689.736
